Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
1,4282.97,4185.0913,4172.2124,4418.9697,4261.8486,4545.182,4387.0303,4301.515,4484.394,3774.0,4452.9697,4225.273,4263.394,4134.606
2,4282.97,4183.546,4173.758,4422.061,4266.485,4549.818,4392.182,4301.515,4483.879,3776.5762,4455.5454,4224.758,4264.4243,4138.2124
3,4285.031,4185.0913,4173.2427,4424.6367,4265.97,4551.879,4399.909,4312.333,4490.576,3780.6973,4463.273,4234.5454,4267.515,4143.879
4,4282.97,4187.667,4170.1514,4420.0,4256.697,4548.273,4397.3335,4312.333,4491.0913,3779.667,4463.273,4239.182,4267.0,4141.8184
5,4281.4243,4188.1816,4170.1514,4417.9395,4255.152,4547.2427,4397.8486,4309.758,4489.546,3776.5762,4459.1514,4231.9697,4266.485,4138.2124
6,4279.879,4188.1816,4169.1216,4422.061,4260.818,4549.303,4400.9395,4313.364,4494.6973,3775.546,4459.6665,4225.273,4266.485,4135.1216
7,4276.788,4187.152,4163.9697,4421.031,4255.152,4549.303,4394.758,4310.788,4492.6367,3771.4243,4454.5156,4221.1514,4258.7573,4128.4243
8,4273.1816,4188.1816,4159.3335,4414.3335,4247.4243,4547.2427,4390.636,4305.6367,4478.7275,3764.2124,4446.273,4217.0303,4249.4854,4124.303
9,4271.636,4188.1816,4157.273,4412.788,4245.364,4545.182,4393.727,4307.182,4478.2124,3765.7578,4445.2427,4215.485,4248.4546,4122.758
10,4276.273,4186.6367,4159.8486,4418.4546,4241.7573,4542.6064,4397.3335,4312.333,4491.6064,3771.9395,4449.364,4219.606,4255.152,4127.394
11,4281.9395,4193.3335,4167.5757,4423.0913,4241.2427,4546.7275,4397.3335,4318.515,4494.1816,3776.5762,4457.606,4230.4243,4263.9097,4138.727
12,4284.515,4204.152,4173.2427,4425.667,4245.879,4554.97,4398.879,4322.1216,4493.152,3782.7578,4463.273,4238.152,4270.0913,4145.4243
13,4281.9395,4203.6367,4167.5757,4424.6367,4243.818,4550.8486,4399.909,4316.4546,4495.2124,3780.182,4457.606,4230.4243,4266.485,4140.273
14,4279.364,4200.031,4162.4243,4423.0913,4237.636,4542.6064,4397.3335,4312.8486,4491.0913,3770.9092,4450.3945,4219.606,4261.3335,4136.152
15,4281.4243,4202.606,4163.4546,4426.6973,4241.7573,4548.273,4394.758,4320.5757,4486.97,3771.9395,4453.485,4224.2427,4262.364,4139.2427
16,4282.4546,4205.6973,4167.061,4429.273,4247.4243,4555.4854,4395.788,4329.8486,4493.667,3781.7275,4462.2427,4234.5454,4267.0,4143.364
17,4282.4546,4209.8184,4169.1216,4428.2427,4246.394,4551.879,4400.9395,4331.909,4500.364,3786.3635,4466.364,4235.0605,4271.636,4144.3945
18,4280.9097,4214.455,4162.94,4429.788,4244.3335,4550.8486,4400.425,4330.879,4495.2124,3785.3333,4463.273,4233.515,4268.546,4140.273
19,4280.9097,4220.121,4156.758,4430.303,4244.8486,4553.425,4397.8486,4331.394,4496.242,3782.7578,4461.7275,4234.5454,4267.0,4140.273
20,4283.485,4230.4243,4158.303,4431.8486,4246.394,4553.9395,4403.515,4339.121,4504.485,3784.303,4465.8486,4237.1216,4278.3335,4151.091
21,4285.5454,4239.697,4159.8486,4434.94,4251.546,4556.515,4404.0303,4342.2124,4505.5156,3789.97,4468.4243,4237.1216,4285.031,4156.2427
22,4281.4243,4238.152,4158.303,4430.303,4251.546,4556.515,4397.8486,4333.4546,4497.273,3786.3635,4463.788,4228.879,4273.1816,4146.455
23,4274.7275,4235.5757,4153.6665,4423.0913,4243.303,4549.818,4393.212,4326.7573,4490.0605,3775.0305,4455.0303,4220.6367,4261.8486,4137.182
24,4272.152,4236.6064,4146.455,4421.546,4243.303,4543.636,4393.727,4327.2725,4489.546,3772.4546,4448.334,4219.606,4263.394,4137.6973
25,4270.0913,4236.6064,4145.4243,4421.031,4246.909,4544.152,4392.697,4326.7573,4493.152,3780.182,4455.0303,4222.1816,4268.546,4141.8184
26,4268.031,4238.152,4147.485,4418.9697,4245.364,4550.3335,4390.636,4323.667,4495.7275,3780.6973,4460.182,4221.6665,4265.4546,4137.182
27,4267.0,4238.152,4141.303,4418.4546,4247.9395,4558.0605,4394.2427,4326.7573,4491.6064,3775.0305,4455.0303,4218.0605,4257.7275,4130.485
28,4268.031,4237.636,4140.7876,4417.9395,4251.031,4557.031,4400.425,4329.3335,4486.97,3772.4546,4454.0005,4216.5156,4258.7573,4133.061
29,4275.758,4237.636,4151.606,4423.0913,4252.5757,4556.515,4401.4546,4329.8486,4492.121,3774.5151,4458.6367,4218.0605,4266.485,4140.7876
30,4281.4243,4232.485,4158.303,4429.273,4257.7275,4560.636,4399.909,4338.091,4497.273,3776.5762,4459.1514,4220.6367,4267.0,4141.8184
31,4279.879,4220.121,4156.758,4425.667,4260.303,4556.0,4401.9697,4342.2124,4494.1816,3775.546,4456.061,4218.576,4262.879,4138.727
32,4278.3335,4208.273,4158.819,4425.152,4254.636,4548.788,4399.394,4335.0,4491.0913,3772.9697,4456.061,4211.879,4263.394,4138.727
33,4280.9097,4196.424,4166.0303,4431.3335,4252.0605,4549.818,4395.788,4329.3335,4489.546,3772.4546,4455.5454,4210.8486,4261.3335,4139.2427
34,4283.485,4182.0,4172.7275,4432.364,4255.667,4551.879,4398.3643,4333.4546,4490.0605,3772.4546,4455.0303,4213.9395,4259.788,4139.2427
35,4285.031,4171.6973,4180.4546,4430.303,4258.2427,4553.425,4399.909,4334.4854,4493.152,3771.4243,4456.576,4213.4243,4262.364,4139.758
36,4285.5454,4164.485,4187.667,4431.8486,4261.8486,4556.515,4396.8184,4332.425,4494.6973,3772.4546,4456.061,4214.455,4264.9395,4140.7876
37,4290.182,4159.8486,4189.2124,4433.9097,4265.97,4557.546,4398.3643,4336.546,4494.1816,3774.0,4458.1216,4218.576,4265.97,4142.3335
38,4295.8486,4158.819,4190.758,4433.9097,4264.4243,4558.0605,4400.425,4339.121,4497.273,3777.6064,4462.2427,4219.606,4266.485,4142.848
39,4291.7275,4158.303,4190.758,4432.364,4251.031,4558.0605,4400.9395,4336.0303,4496.242,3779.667,4460.182,4218.0605,4265.97,4140.7876
40,4287.0913,4154.182,4185.0913,4432.364,4237.1216,4557.031,4404.546,4330.3643,4494.1816,3775.546,4452.9697,4216.5156,4265.4546,4140.7876
41,4295.3335,4155.212,4191.273,4435.455,4230.9395,4561.152,4407.121,4330.879,4500.364,3777.6064,4455.5454,4218.0605,4268.031,4142.848
42,4299.9697,4155.727,4201.0605,4437.0005,4219.606,4564.2427,4404.0303,4333.4546,4502.9395,3783.2727,4467.909,4221.6665,4269.5757,4145.94
