Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
4381148.527383804,4298.4243,4246.909,4251.546,4442.6665,4307.6973,4542.6064,4399.909,4254.121,4397.3335,3787.3938,4472.5454,4219.606,4295.3335,4167.061
4381156.238079071,4298.4243,4248.4546,4252.0605,4442.6665,4305.1216,4543.1216,4403.0,4258.2427,4400.425,3788.4246,4475.6367,4220.121,4295.3335,4169.1216
4381164.165019989,4300.485,4252.0605,4253.0913,4441.1216,4309.2427,4543.636,4401.9697,4264.9395,4403.0,3786.879,4475.6367,4218.576,4295.3335,4169.636
4381172.741174698,4302.0303,4252.5757,4253.0913,4445.2427,4312.8486,4543.636,4403.515,4265.4546,4405.0605,3788.4246,4479.2427,4218.576,4297.394,4171.6973
4381179.140806198,4299.4546,4249.4854,4251.546,4444.727,4307.182,4543.636,4403.515,4257.7275,4399.909,3787.9092,4475.1216,4212.3945,4295.3335,4168.091
4381191.053152084,4296.879,4247.4243,4249.4854,4439.061,4302.0303,4543.1216,4399.909,4253.6064,4393.727,3781.7275,4465.8486,4203.121,4289.152,4159.8486
4381199.620008469,4298.4243,4248.9697,4251.546,4439.061,4303.576,4542.6064,4406.091,4253.6064,4391.6665,3777.6064,4464.303,4202.0913,4283.485,4156.2427
4381212.21446991,4295.8486,4248.4546,4250.515,4439.576,4303.061,4542.6064,4407.6367,4253.0913,4387.5454,3772.9697,4463.788,4196.424,4281.4243,4155.727
4381213.085889816,4292.2427,4245.364,4244.8486,4433.9097,4299.9697,4542.6064,4395.788,4252.5757,4386.515,3770.394,4462.2427,4187.152,4281.4243,4154.182
4381219.63095665,4294.303,4247.4243,4238.667,4435.455,4298.9395,4542.6064,4393.727,4251.031,4390.636,3776.5762,4463.273,4193.3335,4282.4546,4155.212
4381227.195978165,4297.909,4250.0,4229.394,4441.6367,4298.9395,4542.6064,4403.515,4253.0913,4395.273,3785.3333,4467.909,4203.121,4286.5757,4157.788
4381236.434698105,4298.4243,4250.0,4219.091,4439.576,4301.0,4542.6064,4404.0303,4260.303,4397.8486,3786.3635,4473.576,4203.121,4294.303,4162.4243
4381249.022245407,4298.4243,4251.031,4217.5454,4438.031,4302.0303,4542.6064,4403.515,4264.9395,4401.4546,3787.3938,4479.758,4204.6665,4299.4546,4169.636
4381250.58221817,4300.485,4251.546,4219.606,4444.727,4299.4546,4543.636,4407.6367,4266.485,4406.091,3790.485,4481.303,4207.242,4298.4243,4173.758
4381258.184194565,4303.061,4250.515,4216.0,4448.334,4302.546,4543.636,4403.515,4268.546,4408.667,3788.4246,4481.303,4206.2124,4297.394,4172.7275
4381266.185045242,4301.515,4251.546,4211.879,4441.6367,4306.1514,4542.6064,4401.9697,4264.4243,4407.121,3787.9092,4478.2124,4203.6367,4299.9697,4169.636
4381275.241851807,4297.394,4250.515,4207.242,4438.031,4301.0,4542.6064,4404.546,4254.121,4401.4546,3786.879,4469.9697,4197.97,4294.303,4164.485
4381297.220468521,4295.3335,4245.879,4201.576,4439.576,4295.8486,4543.636,4398.879,4250.0,4394.758,3780.182,4465.3335,4189.2124,4282.4546,4157.273
4381298.187017441,4297.394,4247.9395,4203.121,4439.576,4296.879,4543.1216,4396.8184,4252.0605,4392.697,3778.6367,4465.3335,4185.0913,4282.4546,4152.1216
4381299.111604691,4299.9697,4252.5757,4207.242,4442.6665,4298.9395,4543.636,4403.515,4252.5757,4401.4546,3785.8486,4469.9697,4192.3027,4293.788,4159.8486
4381306.223392487,4301.0,4252.0605,4207.242,4448.8486,4299.4546,4544.667,4400.425,4255.152,4408.667,3789.97,4477.6973,4196.424,4299.4546,4168.091
4381314.1968250275,4301.0,4249.4854,4205.6973,4447.303,4297.394,4544.667,4390.636,4259.273,4405.0605,3786.879,4479.2427,4194.3633,4296.879,4165.0005
4381322.216272354,4301.515,4250.0,4205.1816,4446.273,4296.879,4543.636,4395.273,4263.9097,4407.6367,3788.4246,4479.758,4196.9395,4297.909,4165.515
4381329.202651978,4301.515,4251.031,4205.1816,4447.819,4297.909,4545.182,4402.4854,4266.485,4413.8184,3792.5457,4482.8486,4200.031,4302.0303,4172.2124
4381400.2685546875,4299.9697,4250.0,4201.576,4442.152,4291.7275,4545.697,4396.3037,4260.818,4404.0303,3786.879,4477.182,4190.758,4295.3335,4162.94
4381401.133060455,4298.4243,4246.909,4197.97,4434.94,4282.97,4543.636,4391.6665,4251.546,4393.212,3774.0,4464.303,4175.8184,4280.9097,4148.5156
4381402.212381363,4308.7275,4253.6064,4203.121,4446.273,4294.303,4545.697,4386.0005,4265.4546,4412.788,3783.788,4478.2124,4189.2124,4294.8184,4160.364
4381404.2532444,4310.788,4255.667,4206.2124,4448.8486,4295.8486,4546.2124,4387.5454,4265.97,4419.485,3787.3938,4479.758,4188.6973,4297.909,4168.606
4381409.116744995,4312.333,4253.6064,4208.273,4448.334,4292.758,4545.697,4392.182,4262.879,4416.394,3784.303,4477.6973,4187.152,4296.879,4171.6973
4381416.193962097,4313.879,4252.5757,4207.242,4447.819,4293.273,4545.697,4392.182,4262.879,4415.879,3785.3333,4478.7275,4188.6973,4296.879,4169.636
4381424.237728119,4315.425,4256.1816,4207.758,4450.909,4297.909,4546.7275,4389.606,4267.515,4427.2124,3795.6365,4487.4854,4190.242,4304.091,4177.364
4381509.299278259,4315.425,4256.1816,4210.8486,4450.909,4297.909,4549.303,4390.636,4269.5757,4434.4243,3802.8486,4496.242,4192.8184,4312.8486,4188.6973
4381518.536806107,4314.3936,4251.546,4210.8486,4449.364,4294.303,4552.9097,4393.727,4268.546,4433.9097,3802.3337,4497.788,4199.5156,4314.909,4189.2124
4381519.211292267,4302.546,4252.0605,4203.6367,4447.303,4291.7275,4542.6064,4379.303,4252.5757,4415.879,3777.6064,4472.0303,4166.0303,4282.97,4158.819
4381522.709846497,4299.9697,4250.515,4204.152,4445.758,4287.606,4541.5757,4375.182,4250.0,4414.3335,3774.0,4464.303,4157.788,4280.9097,4156.2427
4381531.229734421,4296.879,4244.3335,4203.6367,4440.606,4285.031,4540.546,4377.758,4249.4854,4409.182,3769.879,4462.7583,4155.727,4277.8184,4151.606
4381532.302856445,4297.909,4246.394,4203.121,4442.152,4285.031,4540.546,4388.5757,4250.0,4410.7275,3769.879,4464.303,4156.758,4278.849,4152.1216
4381534.120559692,4299.4546,4250.515,4204.6665,4443.6973,4284.515,4542.6064,4388.5757,4250.0,4414.8486,3770.394,4462.2427,4156.758,4281.9395,4154.182
4381535.232067108,4303.061,4249.4854,4205.6973,4444.2124,4288.636,4549.818,4387.5454,4252.0605,4420.0,3777.091,4467.394,4161.394,4287.0913,4156.758
4381543.283224106,4306.1514,4252.0605,4206.727,4446.7876,4295.8486,4557.031,4390.636,4254.636,4430.8184,3784.8184,4477.6973,4170.667,4294.8184,4163.9697
4381551.478147507,4301.515,4254.121,4204.6665,4446.7876,4295.3335,4559.6064,4383.94,4253.6064,4434.4243,3785.8486,4477.182,4171.182,4294.8184,4167.061
4381559.261798859,4298.9395,4251.546,4205.6973,4446.7876,4293.273,4556.515,4376.212,4250.515,4427.7275,3784.303,4471.515,4166.0303,4289.667,4161.394
4381567.183971405,4300.485,4250.515,4208.7876,4448.334,4293.788,4547.7573,4377.2427,4249.4854,4425.667,3782.7578,4468.94,4162.4243,4286.5757,4157.273
4381583.293676376,4301.0,4252.5757,4210.334,4448.334,4295.8486,4546.2124,4382.394,4250.515,4431.3335,3781.7275,4464.303,4159.8486,4283.485,4156.2427
4381584.151029587,4305.1216,4258.2427,4214.455,4450.909,4301.515,4555.4854,4389.606,4251.546,4432.879,3784.303,4465.8486,4161.394,4287.606,4159.3335
4381591.273546219,4313.364,4267.0,4221.1514,4461.2124,4306.1514,4559.6064,4390.636,4252.0605,4431.3335,3787.3938,4475.6367,4170.1514,4296.879,4167.061
4381599.174022675,4315.94,4267.0,4223.2124,4464.303,4314.909,4558.5757,4387.0303,4251.031,4439.576,3788.4246,4479.758,4176.3335,4300.485,4174.273
4381606.272697449,4309.2427,4259.273,4219.091,4455.5454,4338.6064,4556.0,4390.1216,4248.9697,4445.2427,3787.9092,4475.1216,4171.182,4297.909,4171.182
4381614.207029343,4303.061,4254.636,4217.5454,4449.8794,4358.182,4546.2124,4394.2427,4249.4854,4435.97,3784.8184,4472.0303,4165.0005,4298.4243,4167.5757
4381622.2314834595,4302.546,4254.121,4218.576,4450.909,4358.182,4544.667,4393.727,4251.546,4435.455,3786.879,4474.6064,4166.5454,4299.9697,4170.667
4381630.252361298,4302.546,4254.636,4219.091,4450.909,4355.606,4554.4546,4394.2427,4252.0605,4447.303,3795.6365,4481.303,4171.182,4299.4546,4172.2124
4381646.208763123,4300.485,4254.636,4218.576,4449.364,4358.6973,4551.364,4393.727,4253.0913,4451.4243,3800.7878,4483.364,4172.7275,4304.6064,4172.7275
4381647.530794144,4299.9697,4253.6064,4218.576,4448.334,4356.6367,4542.6064,4388.061,4254.121,4448.334,3797.697,4480.788,4167.5757,4307.182,4174.788
4381653.195381165,4301.0,4252.5757,4214.455,4448.8486,4350.9697,4544.152,4384.4546,4250.515,4443.6973,3789.4548,4476.667,4158.819,4300.485,4171.182
4381661.193370819,4301.0,4252.0605,4211.879,4447.819,4346.8486,4545.182,4389.091,4248.4546,4437.0005,3783.788,4471.0005,4153.6665,4294.8184,4162.4243
4381669.199705124,4301.0,4252.0605,4214.455,4446.273,4340.667,4542.0913,4395.788,4254.636,4440.0913,3786.3635,4467.909,4155.212,4296.364,4159.8486
4381677.637338638,4298.9395,4251.031,4212.909,4445.758,4332.9395,4543.1216,4394.2427,4252.0605,4446.7876,3786.3635,4468.4243,4155.727,4298.4243,4161.909
4381685.190439224,4299.4546,4250.515,4210.334,4447.303,4330.879,4544.152,4390.1216,4253.6064,4445.2427,3784.8184,4468.94,4152.1216,4298.9395,4166.0303
4381693.242073059,4303.576,4252.5757,4219.091,4448.8486,4333.4546,4543.1216,4389.091,4269.0605,4446.7876,3789.97,4477.6973,4156.2427,4301.515,4173.2427
4381707.237482071,4302.0303,4251.546,4220.121,4447.303,4327.788,4542.0913,4386.515,4260.818,4447.819,3791.0002,4477.182,4155.727,4300.485,4169.1216
4381709.268093109,4299.4546,4249.4854,4207.758,4444.2124,4322.1216,4541.061,4383.94,4231.9697,4440.0913,3783.2727,4467.394,4143.879,4296.879,4156.2427
4381722.401380539,4303.576,4248.9697,4207.242,4445.2427,4322.1216,4542.6064,4387.5454,4226.303,4438.031,3783.2727,4472.0303,4140.7876,4297.394,4160.364
4381725.283622742,4306.667,4252.0605,4217.0303,4448.8486,4319.0303,4544.667,4396.3037,4240.7275,4447.303,3792.5457,4481.8184,4153.6665,4305.1216,4174.273
4381739.472866058,4302.546,4253.0913,4216.0,4447.819,4316.9697,4544.152,4406.091,4250.515,4458.6367,3799.7576,4482.8486,4160.8794,4314.3936,4175.8184
4381748.631238937,4298.9395,4246.909,4208.273,4438.5454,4313.879,4544.152,4403.515,4252.5757,4459.1514,3800.7878,4484.909,4153.1514,4314.909,4172.7275
4381750.367164612,4298.9395,4243.303,4205.1816,4435.455,4306.1514,4543.636,4390.1216,4244.3335,4452.9697,3798.7273,4484.394,4144.3945,4311.8184,4173.758
4381756.256103516,4298.9395,4247.4243,4207.242,4443.182,4305.6367,4544.152,4389.091,4238.667,4455.0303,3799.2424,4483.364,4142.3335,4313.879,4174.788
4381765.179872513,4303.061,4251.031,4211.364,4448.334,4314.3936,4549.303,4396.8184,4250.515,4464.303,3803.364,4494.6973,4145.4243,4316.4546,4176.3335
4381772.225618362,4304.6064,4249.4854,4213.9395,4446.273,4314.3936,4551.879,4397.3335,4254.636,4465.3335,3802.8486,4496.242,4141.8184,4314.3936,4176.8486
4381780.210733414,4302.546,4249.4854,4213.4243,4445.758,4308.7275,4547.2427,4395.273,4240.2124,4460.6978,3800.7878,4484.394,4131.0005,4313.879,4173.758
4381788.395881653,4307.6973,4251.546,4217.0303,4448.334,4313.364,4546.7275,4394.2427,4237.1216,4463.273,3801.303,4488.0,4127.909,4317.4854,4174.788
4381796.220064163,4312.333,4252.0605,4220.6367,4448.8486,4316.9697,4547.2427,4395.273,4246.394,4464.819,3802.3337,4495.2124,4129.4546,4317.4854,4176.8486
4381803.449630737,4309.2427,4251.546,4216.5156,4448.334,4306.667,4542.0913,4401.9697,4243.818,4465.3335,3802.8486,4492.6367,4123.273,4314.909,4176.3335
