Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
1,4262.364,4268.546,4157.273,4368.485,4220.6367,4546.2124,4420.0,4297.909,4524.0605,3748.758,4473.576,4250.515,4294.8184,4157.788
2,4264.9395,4269.0605,4160.364,4369.5156,4227.8486,4542.6064,4417.4243,4296.879,4523.5454,3744.6365,4465.8486,4252.5757,4294.8184,4157.788
3,4267.0,4269.0605,4156.758,4369.5156,4230.9395,4545.697,4417.4243,4297.394,4514.2734,3748.758,4462.7583,4251.546,4294.303,4158.303
4,4266.485,4270.6064,4157.788,4369.0005,4223.7275,4559.6064,4427.2124,4300.485,4512.727,3757.5151,4467.909,4252.5757,4297.394,4160.8794
5,4263.9097,4269.5757,4161.394,4367.9697,4221.6665,4561.667,4434.94,4300.485,4515.8184,3751.3335,4469.4546,4254.121,4292.2427,4160.8794
6,4263.394,4268.031,4158.303,4367.9697,4223.7275,4543.636,4426.182,4297.394,4510.152,3741.5457,4461.2124,4249.4854,4280.394,4156.758
7,4265.97,4268.546,4157.788,4370.0303,4222.1816,4542.6064,4424.1216,4301.515,4514.2734,3751.8489,4465.3335,4248.9697,4289.152,4159.3335
8,4268.031,4268.546,4162.4243,4368.485,4222.6973,4561.667,4432.364,4308.7275,4529.2124,3766.273,4479.2427,4261.3335,4304.091,4169.636
9,4267.515,4267.515,4161.909,4365.9087,4223.2124,4559.6064,4429.273,4306.667,4530.2427,3763.6973,4476.152,4265.97,4303.061,4170.1514
10,4265.4546,4266.485,4156.758,4363.3335,4219.091,4540.031,4420.0,4298.9395,4524.576,3755.97,4466.8794,4254.121,4296.879,4161.909
11,4263.9097,4267.515,4157.273,4365.394,4227.3335,4541.5757,4422.061,4299.4546,4525.606,3754.9397,4474.6064,4250.515,4296.364,4161.909
12,4266.485,4268.546,4159.8486,4369.5156,4236.6064,4558.5757,4429.788,4307.182,4529.7275,3756.4849,4481.303,4257.7275,4300.485,4165.515
13,4263.394,4266.485,4158.303,4365.394,4228.364,4559.0913,4430.303,4306.1514,4527.152,3755.4546,4469.4546,4255.152,4298.9395,4161.394
14,4252.5757,4262.364,4155.727,4358.182,4225.788,4546.2124,4424.1216,4299.9697,4514.2734,3754.4243,4461.7275,4248.4546,4287.606,4153.6665
15,4254.121,4263.9097,4157.273,4363.3335,4235.0605,4543.1216,4423.6064,4301.515,4510.6665,3753.9094,4465.8486,4251.031,4285.031,4156.758
16,4265.4546,4267.0,4158.819,4367.9697,4235.5757,4547.7573,4424.6367,4301.515,4523.0303,3752.3638,4468.94,4253.0913,4291.7275,4159.3335
17,4265.97,4266.485,4158.303,4365.394,4232.485,4543.1216,4420.0,4295.8486,4528.6973,3753.9094,4471.0005,4251.031,4292.758,4155.727
18,4264.9395,4267.0,4158.819,4368.485,4233.0,4543.636,4422.576,4296.364,4526.1216,3755.97,4477.182,4252.5757,4293.788,4156.758
19,4267.515,4266.485,4158.819,4370.5454,4231.4546,4558.5757,4430.303,4302.546,4526.6367,3756.4849,4481.303,4257.2124,4298.9395,4160.8794
20,4265.97,4263.9097,4157.788,4367.9697,4231.4546,4557.546,4423.0913,4302.546,4530.758,3758.0305,4479.758,4257.2124,4299.9697,4161.394
21,4266.485,4268.546,4157.273,4370.5454,4235.5757,4541.061,4414.8486,4299.9697,4526.6367,3759.5757,4479.758,4253.6064,4296.879,4158.819
22,4262.879,4267.0,4156.2427,4369.5156,4236.6064,4539.515,4418.9697,4299.4546,4512.2124,3757.0002,4478.2124,4252.5757,4290.6973,4157.273
23,4256.697,4256.697,4154.182,4362.303,4232.485,4549.818,4424.1216,4300.485,4513.758,3753.394,4477.182,4253.6064,4290.6973,4158.303
24,4261.3335,4261.3335,4154.6973,4364.879,4224.758,4546.2124,4420.515,4299.9697,4526.6367,3753.9094,4481.303,4254.636,4297.394,4159.8486
