Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
1,4253.6064,4187.152,4141.303,4424.1216,4251.546,4547.7573,4382.909,4299.4546,4479.758,3749.7883,4430.303,4231.4546,4254.636,4134.0913
2,4252.0605,4185.0913,4143.879,4425.667,4252.5757,4546.2124,4377.2427,4296.364,4477.182,3746.697,4427.7275,4231.4546,4251.546,4134.606
3,4253.6064,4188.1816,4141.303,4424.1216,4252.5757,4542.6064,4374.1514,4296.879,4480.273,3748.2424,4430.8184,4234.5454,4254.636,4132.5454
4,4261.8486,4190.242,4142.848,4426.182,4252.5757,4542.0913,4374.6665,4297.394,4479.758,3752.8792,4434.94,4238.152,4263.9097,4137.182
5,4266.485,4189.2124,4151.606,4432.879,4255.152,4544.152,4378.7876,4298.9395,4477.6973,3754.9397,4436.485,4238.152,4271.121,4143.879
6,4263.9097,4190.242,4152.6367,4432.364,4255.667,4547.2427,4381.8794,4298.9395,4480.273,3753.394,4439.576,4238.152,4268.031,4141.303
7,4263.9097,4191.788,4145.4243,4430.303,4254.636,4546.2124,4379.303,4296.364,4479.758,3751.8489,4442.6665,4236.6064,4268.546,4137.6973
8,4265.4546,4190.242,4144.909,4432.364,4254.121,4546.2124,4379.303,4295.8486,4480.273,3752.8792,4441.6367,4236.6064,4270.0913,4139.758
9,4264.4243,4191.788,4148.0005,4431.8486,4253.6064,4552.394,4383.94,4297.909,4490.0605,3754.4243,4437.5156,4235.5757,4267.0,4140.273
10,4262.879,4194.3633,4145.4243,4429.788,4254.636,4560.121,4385.485,4298.9395,4496.758,3754.9397,4436.485,4235.0605,4265.97,4138.2124
11,4261.8486,4192.8184,4145.94,4430.8184,4255.152,4556.0,4384.9697,4302.0303,4492.6367,3753.9094,4443.182,4237.636,4268.031,4138.2124
12,4263.9097,4195.909,4152.1216,4431.8486,4254.121,4544.152,4387.5454,4309.2427,4491.0913,3753.394,4447.303,4239.697,4269.0605,4140.273
13,4267.515,4204.6665,4154.182,4431.8486,4252.5757,4545.697,4390.1216,4315.425,4495.7275,3757.0002,4442.152,4237.636,4270.0913,4141.303
14,4268.546,4206.727,4154.182,4433.394,4254.121,4559.0913,4395.788,4317.4854,4496.242,3761.6362,4440.606,4238.152,4272.667,4140.7876
15,4270.0913,4204.6665,4156.2427,4438.031,4255.667,4563.2124,4399.909,4318.0005,4496.242,3762.667,4446.7876,4244.8486,4278.849,4143.364
16,4272.667,4205.1816,4158.819,4438.5454,4254.636,4557.546,4396.3037,4318.515,4497.273,3761.1213,4447.303,4250.515,4284.515,4146.9697
17,4271.121,4204.6665,4158.303,4435.455,4252.5757,4556.0,4391.1514,4312.333,4497.273,3758.5454,4444.2124,4248.9697,4281.4243,4145.94
18,4267.515,4204.152,4157.788,4433.394,4252.5757,4556.515,4389.091,4304.6064,4496.758,3757.5151,4443.6973,4247.4243,4278.3335,4142.3335
19,4269.0605,4206.727,4158.303,4434.94,4253.0913,4554.4546,4387.0303,4307.6973,4496.758,3758.5454,4444.727,4248.4546,4280.9097,4142.848
20,4271.636,4207.758,4158.303,4439.061,4253.0913,4555.4854,4385.485,4312.8486,4498.3027,3762.1519,4446.273,4249.4854,4283.485,4144.909
21,4268.546,4207.242,4158.303,4440.606,4252.0605,4556.515,4384.9697,4310.2725,4497.788,3761.1213,4447.303,4249.4854,4282.97,4142.848
22,4272.152,4207.242,4157.788,4440.606,4248.4546,4554.97,4385.485,4310.788,4498.3027,3759.5757,4448.334,4252.0605,4284.0,4144.909
23,4282.97,4206.727,4158.303,4440.0913,4248.9697,4557.031,4387.5454,4316.9697,4500.364,3760.606,4449.364,4253.6064,4285.031,4147.485
24,4281.4243,4206.727,4158.303,4436.485,4250.0,4557.546,4386.515,4310.788,4495.7275,3755.97,4440.0913,4246.394,4276.788,4142.3335
25,4269.0605,4207.242,4154.6973,4431.8486,4240.2124,4549.303,4378.7876,4297.394,4484.394,3747.2122,4416.909,4233.515,4265.97,4137.6973
26,4266.485,4204.6665,4152.1216,4432.879,4234.0303,4542.6064,4373.6367,4295.8486,4478.7275,3744.6365,4399.909,4232.485,4265.4546,4138.2124
27,4270.6064,4203.121,4153.6665,4432.879,4242.273,4544.152,4373.6367,4301.515,4481.303,3748.758,4401.9697,4241.2427,4270.6064,4138.727
28,4271.636,4209.8184,4156.758,4434.94,4251.031,4543.636,4373.1216,4294.303,4481.8184,3751.3335,4406.6064,4244.3335,4268.546,4138.727
29,4274.7275,4218.576,4157.788,4444.2124,4251.031,4541.5757,4370.0303,4285.031,4478.2124,3754.9397,4404.546,4245.364,4267.515,4140.7876
30,4279.879,4218.576,4158.819,4446.273,4251.031,4545.182,4370.0303,4289.152,4477.182,3753.394,4403.0,4248.9697,4274.2124,4141.303
31,4281.9395,4217.0303,4159.3335,4440.0913,4253.0913,4547.7573,4374.1514,4294.8184,4480.273,3746.697,4406.6064,4251.031,4280.9097,4138.2124
32,4279.364,4220.121,4158.303,4439.061,4253.6064,4547.2427,4379.303,4297.394,4481.8184,3750.3032,4410.2124,4252.0605,4281.9395,4142.848
33,4277.303,4220.6367,4157.788,4440.0913,4250.515,4545.182,4379.8184,4299.9697,4480.273,3755.4546,4408.667,4252.0605,4281.4243,4153.6665
34,4279.364,4218.576,4160.8794,4441.1216,4248.9697,4544.152,4378.7876,4300.485,4479.758,3752.3638,4408.152,4251.546,4284.515,4155.212
35,4280.9097,4219.606,4162.4243,4445.2427,4251.546,4544.152,4381.364,4298.9395,4481.303,3751.3335,4409.6973,4251.546,4286.0605,4150.061
36,4281.9395,4220.6367,4158.819,4442.6665,4252.5757,4545.182,4386.0005,4299.4546,4483.364,3757.0002,4411.2427,4252.5757,4285.5454,4153.1514
37,4280.394,4219.606,4156.758,4434.4243,4250.515,4546.2124,4386.0005,4300.485,4485.4243,3758.0305,4409.6973,4252.0605,4286.0605,4157.273
38,4276.273,4218.576,4157.788,4432.879,4244.8486,4546.7275,4383.4243,4302.546,4482.8486,3749.7883,4405.0605,4251.546,4284.0,4147.485
39,4276.788,4219.091,4156.2427,4433.9097,4241.2427,4545.182,4381.364,4302.546,4479.758,3747.2122,4406.091,4250.515,4281.4243,4141.8184
40,4282.97,4219.606,4156.2427,4434.4243,4246.394,4543.1216,4379.8184,4302.0303,4486.97,3752.8792,4402.4854,4251.546,4286.5757,4151.091
41,4283.485,4219.606,4160.8794,4437.0005,4252.0605,4548.273,4381.364,4308.7275,4497.273,3759.0608,4391.1514,4258.2427,4294.8184,4155.727
42,4281.4243,4219.606,4163.4546,4437.0005,4251.031,4560.121,4390.1216,4316.4546,4497.788,3759.5757,4391.6665,4261.3335,4298.4243,4153.1514
43,4283.485,4220.6367,4160.364,4435.97,4250.515,4561.667,4398.3643,4315.94,4494.6973,3759.5757,4403.0,4255.667,4296.364,4155.212
44,4280.9097,4221.1514,4156.758,4435.455,4253.6064,4547.7573,4396.3037,4314.909,4496.242,3758.5454,4401.4546,4252.0605,4289.152,4150.576
45,4276.273,4220.6367,4156.2427,4433.394,4252.5757,4545.182,4393.727,4315.94,4497.273,3758.5454,4398.879,4254.121,4283.485,4142.848
46,4279.879,4221.1514,4158.303,4432.879,4250.515,4556.515,4396.8184,4318.0005,4495.7275,3762.667,4407.121,4255.667,4287.0913,4148.5156
47,4283.485,4220.6367,4157.788,4434.4243,4251.031,4551.879,4394.758,4314.909,4497.788,3762.1519,4409.182,4254.121,4291.7275,4149.5454
48,4276.273,4219.606,4154.6973,4434.4243,4248.4546,4540.546,4387.0303,4306.1514,4492.6367,3757.5151,4401.9697,4250.515,4285.5454,4138.727
49,4267.0,4219.091,4152.6367,4430.8184,4245.364,4543.636,4382.394,4300.485,4482.3335,3753.9094,4396.3037,4249.4854,4279.879,4137.6973
50,4268.031,4219.091,4153.1514,4429.788,4248.4546,4547.7573,4378.7876,4298.9395,4478.2124,3747.2122,4396.3037,4245.879,4280.394,4137.182
51,4271.121,4220.121,4154.6973,4433.394,4252.5757,4542.0913,4377.758,4296.879,4480.273,3745.6667,4399.909,4240.7275,4276.788,4131.5156
52,4269.0605,4220.121,4155.212,4434.4243,4251.031,4544.667,4379.303,4294.8184,4481.303,3752.3638,4400.9395,4241.7573,4274.7275,4132.031
53,4268.546,4219.606,4154.6973,4431.8486,4250.0,4554.97,4379.8184,4295.8486,4479.758,3752.3638,4399.909,4242.788,4279.364,4134.606
54,4271.121,4220.6367,4154.182,4431.8486,4252.0605,4560.636,4382.394,4296.364,4479.2427,3746.182,4401.4546,4244.3335,4280.394,4132.5454
55,4269.0605,4222.1816,4153.6665,4432.879,4252.0605,4555.4854,4386.515,4298.9395,4478.7275,3744.6365,4403.515,4249.4854,4276.273,4133.061
56,4267.515,4221.6665,4154.182,4432.879,4251.546,4546.2124,4390.1216,4306.1514,4478.2124,3747.2122,4400.9395,4250.0,4276.788,4135.6367
57,4271.121,4221.6665,4156.2427,4435.97,4251.546,4543.636,4392.697,4311.8184,4482.3335,3752.3638,4405.0605,4246.394,4282.4546,4138.727
58,4272.152,4222.1816,4156.758,4439.061,4252.0605,4546.7275,4391.1514,4314.3936,4486.4546,3757.0002,4412.273,4248.4546,4286.0605,4140.7876
59,4268.546,4221.1514,4155.212,4435.455,4252.5757,4547.2427,4385.485,4308.7275,4484.909,3754.4243,4410.7275,4252.5757,4284.515,4140.273
60,4268.031,4221.6665,4154.182,4431.8486,4252.5757,4543.636,4383.94,4301.0,4481.303,3752.3638,4405.5757,4248.4546,4280.9097,4140.273
