Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
1,4280.9097,4236.091,4158.303,4360.758,4216.0,4509.6367,4282.97,4540.031,4734.242,3832.7275,4464.303,4270.0913,4313.364,4177.364
2,4275.242,4236.6064,4158.819,4361.273,4212.909,4508.606,4289.152,4543.1216,4724.97,3830.667,4463.273,4264.9395,4306.667,4171.182
3,4273.1816,4237.1216,4156.2427,4360.2427,4214.9697,4508.606,4294.8184,4548.788,4723.9395,3827.576,4462.2427,4263.394,4300.485,4171.182
4,4278.3335,4236.6064,4154.182,4358.6973,4212.909,4507.576,4297.394,4561.152,4730.6367,3829.6367,4462.2427,4267.0,4307.182,4172.2124
5,4273.1816,4235.0605,4154.6973,4356.1216,4205.6973,4509.6367,4295.8486,4560.636,4734.242,3834.273,4465.8486,4269.0605,4311.8184,4172.7275
6,4264.9395,4234.5454,4152.1216,4354.0605,4204.152,4511.1816,4292.2427,4547.7573,4727.031,3831.6973,4465.3335,4266.485,4307.6973,4173.758
7,4268.546,4234.5454,4143.364,4353.5454,4206.727,4510.6665,4292.758,4542.6064,4716.2124,3825.0,4458.1216,4263.394,4302.0303,4164.485
8,4271.636,4234.5454,4144.3945,4354.5757,4207.758,4510.6665,4296.879,4544.152,4714.152,3823.9697,4454.0005,4263.394,4298.4243,4158.819
9,4269.5757,4235.5757,4154.182,4355.0913,4207.242,4511.6973,4298.9395,4545.697,4728.576,3832.2124,4462.2427,4266.485,4306.1514,4168.606
10,4271.121,4236.6064,4156.2427,4354.0605,4205.6973,4510.152,4297.909,4546.7275,4739.9097,3834.273,4466.8794,4270.0913,4314.909,4175.303
11,4271.636,4235.5757,4153.1514,4352.0,4203.121,4507.576,4301.515,4545.697,4729.0913,3831.1821,4458.1216,4269.0605,4308.212,4171.182
12,4272.152,4234.5454,4155.212,4355.606,4203.6367,4508.0913,4301.515,4546.7275,4717.2427,3830.1519,4452.455,4267.515,4300.485,4168.091
13,4276.788,4235.5757,4156.2427,4361.7876,4204.152,4509.6367,4299.9697,4556.0,4732.6973,3831.1821,4460.182,4269.0605,4309.2427,4170.667
14,4280.394,4237.1216,4156.2427,4363.3335,4203.121,4512.2124,4306.1514,4563.7275,4751.758,3835.8184,4469.4546,4271.121,4320.5757,4176.3335
15,4278.849,4238.152,4156.2427,4360.758,4202.606,4511.6973,4306.667,4559.0913,4732.6973,3834.273,4464.303,4270.6064,4313.364,4175.8184
16,4272.667,4237.1216,4150.061,4357.6665,4201.576,4508.606,4299.9697,4548.788,4693.0303,3822.4246,4450.909,4266.485,4298.4243,4162.94
17,4268.031,4234.0303,4144.3945,4355.0913,4199.5156,4507.576,4298.9395,4543.636,4682.727,3815.7275,4446.7876,4259.788,4296.364,4155.212
18,4268.546,4233.0,4150.576,4353.5454,4200.031,4509.121,4300.485,4543.636,4674.485,3820.879,4449.364,4260.818,4300.485,4159.3335
