Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
1,4268.031,4221.6665,4119.152,4401.9697,4340.1514,4527.667,4334.4854,4245.879,4460.6978,3718.879,4312.8486,4313.364,4252.0605,4186.6367
2,4268.031,4222.6973,4120.6973,4406.091,4340.667,4531.273,4338.6064,4245.364,4464.819,3721.9697,4315.425,4314.3936,4253.6064,4188.6973
3,4273.1816,4221.1514,4120.182,4406.6064,4339.636,4530.2427,4342.7275,4249.4854,4466.364,3726.6062,4316.9697,4315.94,4258.7573,4192.8184
4,4272.667,4220.121,4119.667,4405.5757,4339.636,4529.2124,4342.7275,4251.031,4463.273,3725.061,4315.94,4314.3936,4256.1816,4191.273
5,4271.636,4224.2427,4118.1216,4407.6367,4340.667,4533.8486,4341.1816,4248.4546,4462.2427,3721.9697,4313.879,4313.879,4252.0605,4188.1816
6,4278.849,4227.3335,4118.1216,4412.788,4342.2124,4542.0913,4343.2427,4252.0605,4465.8486,3725.061,4318.0005,4320.5757,4259.273,4192.8184
7,4282.97,4223.7275,4117.6064,4410.2124,4341.6973,4544.152,4348.909,4256.697,4466.8794,3729.1821,4323.1514,4325.7275,4266.485,4196.424
8,4277.303,4221.1514,4114.0,4406.6064,4340.1514,4537.4546,4348.909,4251.546,4464.303,3727.6365,4317.4854,4321.091,4261.3335,4192.3027
9,4276.788,4228.364,4112.9697,4411.2427,4342.7275,4537.9697,4343.2427,4247.9395,4462.2427,3723.5154,4313.364,4318.515,4256.1816,4191.788
10,4280.394,4234.5454,4114.515,4413.8184,4346.3335,4542.0913,4340.667,4250.0,4466.8794,3727.1216,4318.515,4324.182,4262.879,4199.0
11,4281.4243,4234.0303,4117.6064,4414.3335,4348.909,4542.6064,4345.8184,4253.0913,4476.667,3735.3638,4326.2427,4329.8486,4268.031,4203.6367
12,4284.0,4235.5757,4119.667,4418.4546,4350.4546,4544.152,4347.879,4254.121,4480.788,3736.9094,4330.3643,4331.909,4268.031,4202.606
13,4284.0,4234.5454,4114.0,4416.394,4344.788,4544.667,4347.364,4252.0605,4479.758,3732.7878,4325.212,4332.425,4267.515,4203.6367
14,4281.4243,4226.303,4105.2427,4407.121,4338.091,4540.031,4346.8486,4253.0913,4474.6064,3730.2124,4314.909,4325.212,4261.3335,4199.5156
15,4280.9097,4221.6665,4103.1816,4408.667,4337.5757,4539.0,4345.8184,4252.0605,4464.819,3728.6667,4311.303,4316.4546,4252.5757,4190.758
16,4282.4546,4229.394,4106.788,4415.364,4342.7275,4543.636,4347.879,4252.0605,4467.394,3728.1519,4312.8486,4321.091,4257.7275,4193.3335
17,4284.515,4231.9697,4109.364,4412.273,4345.303,4542.6064,4349.9395,4256.697,4478.7275,3732.273,4314.3936,4332.9395,4270.0913,4204.152
18,4280.394,4223.2124,4106.273,4406.6064,4339.636,4539.0,4347.364,4258.2427,4472.5454,3731.2427,4313.879,4325.212,4263.394,4203.121
19,4275.242,4221.6665,4105.758,4406.6064,4336.0303,4540.546,4344.788,4253.0913,4461.2124,3723.5154,4311.8184,4314.909,4251.546,4192.3027
20,4276.788,4227.3335,4110.394,4408.667,4340.1514,4542.0913,4346.3335,4252.0605,4465.8486,3727.1216,4312.8486,4322.1216,4257.2124,4194.3633
21,4281.9395,4225.788,4110.909,4409.182,4340.667,4541.5757,4346.3335,4254.121,4469.9697,3731.2427,4314.3936,4324.697,4262.364,4202.0913
22,4282.4546,4220.121,4108.8486,4409.182,4338.6064,4541.5757,4344.788,4252.0605,4464.819,3730.7273,4314.3936,4321.091,4255.667,4203.121
23,4280.9097,4223.2124,4111.4243,4409.182,4340.1514,4542.0913,4345.303,4250.515,4465.3335,3729.1821,4314.909,4323.667,4254.121,4200.031
24,4281.9395,4224.2427,4112.4546,4409.182,4341.1816,4541.5757,4346.8486,4251.546,4465.8486,3725.576,4309.758,4324.697,4255.152,4195.909
25,4281.9395,4221.1514,4110.909,4409.6973,4340.1514,4541.061,4345.303,4251.031,4464.303,3721.9697,4304.091,4318.0005,4252.0605,4192.8184
26,4281.4243,4225.273,4109.879,4409.6973,4340.667,4542.0913,4345.303,4250.0,4463.788,3723.5154,4305.6367,4315.94,4251.031,4192.3027
27,4281.4243,4226.8184,4109.879,4407.6367,4338.6064,4542.6064,4346.3335,4251.031,4461.7275,3722.485,4303.576,4315.94,4251.031,4191.788
28,4279.879,4220.6367,4108.3335,4406.6064,4338.6064,4542.0913,4346.3335,4249.4854,4461.7275,3715.788,4296.364,4312.8486,4248.9697,4188.1816
29,4280.9097,4220.6367,4107.303,4409.182,4340.1514,4542.6064,4346.8486,4244.8486,4459.6665,3715.788,4296.364,4312.8486,4246.909,4186.6367
30,4284.0,4224.2427,4108.3335,4409.6973,4338.6064,4541.5757,4343.758,4244.8486,4454.0005,3718.3638,4298.4243,4313.879,4244.3335,4187.667
