Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
491737.1895313263,4281.4243,4298.4243,4175.303,4428.758,4268.546,4559.6064,4408.667,4301.515,4505.0,3762.667,4480.273,4253.6064,4283.485,4157.788
491743.7403202057,4274.2124,4296.879,4172.7275,4423.0913,4265.4546,4558.0605,4407.121,4301.0,4496.758,3760.606,4476.152,4252.0605,4281.9395,4154.182
491751.74283981323,4265.97,4293.788,4170.1514,4417.9395,4254.636,4551.364,4403.515,4299.4546,4492.121,3755.4546,4472.5454,4250.515,4278.849,4146.9697
491759.7219944,4268.546,4292.2427,4171.182,4417.4243,4257.2124,4549.818,4401.4546,4299.9697,4495.2124,3756.4849,4468.94,4251.031,4277.8184,4148.5156
491771.67296409607,4271.121,4292.758,4170.667,4416.909,4263.9097,4550.8486,4398.3643,4296.879,4492.121,3759.0608,4463.273,4251.546,4279.364,4143.364
491775.6812572479,4268.546,4292.2427,4170.1514,4416.394,4257.7275,4554.4546,4404.0303,4299.9697,4498.3027,3759.5757,4467.394,4250.0,4281.9395,4142.3335
491783.72526168823,4269.5757,4293.788,4170.1514,4416.394,4250.515,4562.697,4414.8486,4310.2725,4512.727,3761.6362,4478.2124,4251.546,4284.0,4152.6367
491796.7755794525,4275.758,4296.364,4170.667,4416.909,4255.152,4559.0913,4413.8184,4313.879,4512.2124,3763.6973,4476.152,4254.636,4284.515,4156.2427
491798.6762523651,4278.3335,4296.879,4171.6973,4417.4243,4257.2124,4548.788,4407.121,4310.788,4505.0,3762.667,4463.788,4253.0913,4282.97,4152.1216
491806.67519569397,4277.303,4294.303,4171.182,4416.394,4251.546,4554.97,4408.667,4312.333,4509.121,3762.667,4466.8794,4254.121,4282.4546,4155.212
491814.7249221802,4277.303,4293.273,4171.6973,4415.364,4251.031,4561.152,4411.758,4317.4854,4513.758,3764.7275,4474.6064,4262.879,4286.0605,4158.819
491822.67928123474,4280.9097,4295.8486,4173.2427,4416.909,4253.0913,4548.273,4407.121,4315.425,4505.0,3762.1519,4472.0303,4263.9097,4287.0913,4156.2427
491830.65032958984,4283.485,4297.909,4173.758,4419.485,4254.636,4542.6064,4404.546,4308.212,4493.667,3758.0305,4473.576,4260.818,4284.0,4158.819
491838.6745452881,4282.4546,4298.9395,4173.758,4420.515,4254.121,4552.394,4405.0605,4308.212,4495.2124,3761.1213,4479.2427,4265.97,4286.5757,4162.94
