Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
5176410.878896713,4313.364,4260.303,4188.1816,4454.5156,4288.636,4591.031,4424.1216,4347.364,4532.8184,3800.2727,4462.7583,4233.515,4304.6064,4167.061
5176418.600320816,4310.2725,4252.5757,4185.6064,4446.273,4280.394,4590.0,4423.6064,4344.273,4523.5454,3797.697,4459.1514,4228.364,4297.909,4157.788
5176426.469564438,4313.879,4259.788,4189.2124,4451.94,4290.182,4590.515,4431.3335,4357.6665,4539.0,3804.3943,4466.364,4236.091,4313.879,4170.667
5176434.401273727,4316.9697,4271.121,4191.788,4463.273,4293.788,4590.0,4440.606,4366.4243,4549.303,3808.5154,4468.94,4241.7573,4319.546,4178.394
5176448.411226273,4313.364,4265.97,4190.758,4459.6665,4284.0,4588.97,4435.455,4353.0303,4536.4243,3801.8184,4460.182,4232.485,4305.6367,4165.0005
5176449.397802353,4311.303,4254.636,4187.667,4448.8486,4280.9097,4589.485,4418.9697,4342.7275,4525.606,3795.1213,4458.1216,4222.1816,4296.879,4160.364
5176458.010435104,4313.364,4256.1816,4187.152,4448.334,4285.031,4590.515,4417.9395,4349.9395,4529.7275,3794.091,4463.273,4225.273,4299.9697,4170.1514
5176467.24486351,4313.879,4264.4243,4187.667,4456.061,4288.636,4590.0,4430.303,4356.1216,4536.9395,3798.7273,4463.788,4231.4546,4305.1216,4173.758
5176473.979234695,4317.4854,4268.031,4189.7275,4461.7275,4293.788,4593.0913,4434.94,4355.606,4541.061,3804.3943,4462.7583,4234.0303,4311.303,4171.182
5176489.445447922,4323.1514,4267.0,4196.9395,4463.273,4297.394,4600.303,4433.9097,4359.727,4543.636,3804.9092,4471.0005,4237.1216,4314.909,4175.303
5176491.559743881,4325.212,4268.546,4199.5156,4462.7583,4296.364,4602.879,4435.97,4363.3335,4545.697,3805.9395,4477.6973,4237.636,4315.94,4180.4546
5176497.944355011,4323.1514,4268.546,4195.909,4462.7583,4297.394,4596.6973,4433.394,4359.727,4545.697,3809.0305,4469.9697,4235.5757,4315.425,4179.4243
5176509.213924408,4322.636,4266.485,4192.8184,4464.303,4298.4243,4591.5454,4427.2124,4357.6665,4543.636,3804.3943,4462.2427,4234.5454,4312.8486,4174.788
5176517.459392548,4324.182,4267.515,4192.3027,4463.273,4297.394,4592.061,4434.4243,4361.273,4543.1216,3803.364,4468.94,4234.5454,4312.8486,4173.2427
5176520.823001862,4322.636,4268.031,4191.273,4459.6665,4297.394,4593.6064,4443.182,4366.4243,4546.7275,3811.091,4480.273,4236.091,4316.9697,4175.8184
5176533.432006836,4318.0005,4265.4546,4189.2124,4454.5156,4297.394,4592.061,4428.2427,4362.303,4544.667,3808.5154,4477.182,4237.1216,4314.909,4174.273
5176536.607980728,4314.3936,4262.364,4187.152,4448.8486,4295.8486,4590.0,4413.8184,4355.606,4541.061,3798.2122,4464.819,4233.0,4309.2427,4169.636
5176553.379774094,4321.6064,4264.9395,4188.6973,4451.94,4297.909,4592.576,4429.273,4357.152,4542.0913,3804.3943,4465.8486,4230.9395,4310.788,4175.8184
5176554.372787476,4330.3643,4268.031,4192.3027,4462.2427,4302.0303,4595.152,4438.031,4365.394,4547.2427,3815.7275,4479.2427,4238.667,4318.0005,4186.6367
5176560.439825058,4325.7275,4266.485,4190.758,4463.788,4300.485,4594.1216,4423.6064,4368.485,4548.273,3809.0305,4476.152,4241.2427,4319.0303,4187.667
5176576.498508453,4321.6064,4264.4243,4188.1816,4455.0303,4296.879,4591.031,4429.788,4367.4546,4544.152,3798.7273,4465.8486,4234.0303,4313.879,4183.546
5176578.4304142,4328.303,4266.485,4192.8184,4455.5454,4300.485,4591.031,4447.819,4370.0303,4550.3335,3809.0305,4476.152,4241.2427,4321.6064,4187.152
5176585.437297821,4332.425,4269.5757,4196.9395,4465.8486,4305.1216,4593.6064,4441.6367,4371.576,4560.636,3819.8486,4487.4854,4253.6064,4333.4546,4193.3335
5176592.480182648,4327.2725,4268.546,4193.8486,4464.819,4301.0,4594.1216,4428.2427,4369.0005,4555.4854,3814.182,4478.7275,4246.394,4326.7573,4188.6973
5176600.431203842,4324.697,4266.485,4189.7275,4457.606,4297.394,4593.0913,4428.758,4365.9087,4544.152,3812.1213,4469.4546,4235.0605,4315.425,4176.8486
5176607.413053513,4326.7573,4268.546,4191.273,4460.182,4300.485,4594.1216,4435.97,4367.9697,4545.182,3816.2427,4472.5454,4236.6064,4320.5757,4174.273
5176615.439414978,4327.788,4269.0605,4192.3027,4463.788,4301.515,4594.1216,4434.94,4371.576,4550.8486,3814.182,4479.2427,4240.7275,4326.7573,4179.4243
5176632.472753525,4323.1514,4265.97,4190.758,4461.2124,4298.9395,4591.031,4426.182,4368.485,4547.2427,3808.5154,4475.6367,4237.1216,4319.546,4176.8486
5176633.3956718445,4316.4546,4265.97,4189.2124,4459.1514,4297.394,4589.485,4424.1216,4359.727,4541.061,3804.3943,4463.788,4227.3335,4311.8184,4169.636
5176640.200614929,4315.425,4268.031,4189.2124,4462.2427,4298.9395,4590.515,4432.364,4358.182,4540.546,3803.879,4461.2124,4221.1514,4312.333,4169.636
