Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
1,4274.7275,4201.0605,4201.0605,4414.8486,4252.0605,4559.6064,4368.485,4282.97,4478.2124,3740.0002,4448.334,4252.0605,4242.788,4109.364
2,4272.667,4201.576,4202.606,4416.909,4250.515,4558.5757,4372.091,4281.4243,4473.061,3739.485,4448.334,4251.546,4241.2427,4109.879
3,4268.031,4201.0605,4201.576,4416.394,4252.0605,4557.546,4363.848,4272.152,4463.788,3725.576,4436.485,4241.7573,4231.9697,4101.121
4,4270.0913,4200.5454,4199.5156,4410.7275,4252.0605,4556.515,4358.6973,4266.485,4455.0303,3712.1821,4427.2124,4233.0,4220.6367,4090.303
5,4269.0605,4200.031,4200.031,4405.5757,4250.0,4557.031,4361.273,4268.546,4450.3945,3712.6973,4430.303,4233.0,4217.5454,4089.2725
6,4268.546,4202.0913,4202.0913,4410.2124,4251.031,4558.0605,4361.7876,4267.515,4453.485,3715.273,4432.879,4234.0303,4220.6367,4092.8792
7,4273.697,4204.152,4202.0913,4416.909,4253.0913,4559.6064,4361.7876,4267.0,4461.2124,3718.3638,4431.8486,4240.7275,4226.303,4094.4246
8,4271.636,4202.606,4202.606,4416.394,4252.5757,4560.636,4363.848,4269.5757,4464.303,3724.0308,4433.394,4247.9395,4233.0,4097.515
9,4268.546,4200.031,4202.606,4414.8486,4250.0,4558.5757,4362.8184,4267.0,4462.7583,3724.0308,4435.97,4241.7573,4235.0605,4096.4854
10,4270.0913,4197.455,4202.606,4417.9395,4248.9697,4558.0605,4358.6973,4266.485,4462.2427,3721.9697,4435.97,4234.0303,4230.9395,4093.9092
11,4270.0913,4193.3335,4202.606,4418.9697,4249.4854,4552.9097,4361.7876,4266.485,4461.7275,3722.485,4432.879,4234.5454,4226.8184,4093.394
12,4268.546,4191.273,4202.606,4415.879,4250.515,4545.182,4371.576,4258.2427,4462.2427,3720.9395,4431.3335,4235.0605,4227.8486,4092.8792
13,4269.5757,4193.3335,4202.0913,4416.394,4250.515,4548.273,4370.0303,4250.515,4465.3335,3723.0005,4434.4243,4240.7275,4232.485,4094.4246
14,4271.121,4194.3633,4202.0913,4418.9697,4250.0,4552.9097,4364.879,4250.515,4467.394,3727.6365,4434.94,4246.909,4235.0605,4095.9697
15,4271.636,4191.273,4202.606,4417.4243,4251.031,4547.2427,4370.0303,4252.5757,4465.8486,3724.5457,4431.8486,4242.788,4231.4546,4094.9397
16,4269.5757,4188.1816,4201.0605,4411.2427,4246.909,4543.636,4372.606,4246.394,4461.2124,3716.3032,4431.3335,4236.091,4223.2124,4093.9092
17,4265.4546,4189.2124,4199.5156,4407.6367,4239.697,4545.697,4367.4546,4236.6064,4459.6665,3712.1821,4432.364,4234.0303,4218.0605,4092.8792
18,4266.485,4191.788,4199.5156,4410.2124,4241.2427,4545.182,4368.485,4238.152,4461.2124,3716.8184,4430.303,4238.152,4223.7275,4092.364
19,4269.5757,4190.758,4199.0,4411.2427,4247.4243,4545.697,4373.1216,4250.0,4463.788,3727.1216,4435.97,4247.9395,4233.515,4097.0
20,4268.546,4189.7275,4201.576,4409.182,4250.515,4547.2427,4367.9697,4253.6064,4467.909,3732.7878,4447.819,4254.636,4237.1216,4102.1514
21,4267.0,4190.242,4204.152,4409.6973,4247.9395,4543.636,4365.394,4250.0,4467.909,3732.273,4446.273,4251.031,4239.182,4100.6064
22,4269.0605,4189.2124,4202.0913,4410.2124,4243.818,4546.7275,4374.6665,4252.0605,4463.788,3729.697,4438.5454,4250.0,4238.667,4101.636
23,4270.6064,4190.758,4201.0605,4408.667,4246.909,4558.5757,4375.6973,4255.667,4463.788,3729.697,4440.606,4254.121,4237.1216,4107.8184
24,4270.0913,4193.3335,4203.6367,4412.788,4251.031,4556.0,4362.8184,4255.667,4466.8794,3727.1216,4439.061,4253.0913,4236.091,4106.273
25,4268.546,4189.7275,4202.0913,4415.364,4242.788,4545.182,4358.182,4253.0913,4465.3335,3722.485,4431.8486,4247.9395,4233.515,4094.9397
26,4268.546,4187.667,4200.031,4412.788,4237.1216,4550.3335,4363.848,4256.1816,4460.6978,3725.061,4433.394,4247.4243,4232.485,4094.4246
27,4270.6064,4194.879,4202.606,4414.3335,4247.4243,4561.667,4363.848,4266.485,4465.3335,3731.2427,4440.0913,4252.5757,4238.152,4107.303
28,4269.5757,4198.485,4204.152,4418.4546,4252.5757,4559.6064,4360.758,4271.121,4474.6064,3733.3032,4443.6973,4254.121,4241.7573,4111.4243
29,4267.515,4192.3027,4202.606,4417.4243,4244.8486,4557.031,4361.273,4265.97,4471.515,3729.1821,4441.1216,4251.031,4236.6064,4101.121
30,4267.515,4190.242,4202.0913,4413.8184,4238.152,4557.546,4361.273,4263.394,4461.7275,3725.576,4433.9097,4249.4854,4233.0,4094.4246
31,4266.485,4191.788,4201.576,4411.2427,4237.1216,4550.3335,4362.303,4269.0605,4461.7275,3727.1216,4434.94,4250.515,4236.091,4100.091
32,4264.9395,4190.242,4200.5454,4408.152,4238.152,4543.1216,4361.273,4270.6064,4469.4546,3731.7576,4442.6665,4252.5757,4239.182,4108.8486
33,4265.97,4188.6973,4199.5156,4408.667,4238.152,4545.182,4359.727,4266.485,4471.0005,3734.8484,4441.6367,4255.667,4238.152,4108.8486
34,4267.0,4190.242,4199.5156,4412.273,4236.091,4546.7275,4363.848,4270.6064,4464.819,3727.6365,4435.455,4251.031,4237.1216,4099.0605
35,4267.515,4189.7275,4201.0605,4413.303,4237.1216,4545.697,4360.2427,4268.546,4462.2427,3716.3032,4430.303,4238.152,4232.485,4092.364
36,4268.031,4189.7275,4203.121,4410.7275,4238.667,4546.2124,4348.394,4253.0913,4461.7275,3712.6973,4423.6064,4230.9395,4222.6973,4092.8792
37,4267.0,4189.7275,4202.606,4412.273,4238.152,4547.2427,4353.0303,4254.636,4455.5454,3714.2427,4424.1216,4235.0605,4217.0303,4090.818
38,4267.0,4190.242,4201.576,4415.364,4239.182,4545.697,4364.364,4269.0605,4455.5454,3715.273,4430.303,4236.6064,4224.2427,4089.788
39,4268.031,4192.3027,4203.121,4411.2427,4239.697,4545.182,4363.3335,4269.0605,4462.7583,3717.3335,4430.303,4235.5757,4233.515,4095.4546
40,4269.0605,4194.3633,4205.1816,4410.2124,4239.182,4548.273,4365.394,4268.031,4465.3335,3725.061,4432.879,4243.303,4236.6064,4101.121
41,4269.0605,4192.8184,4204.6665,4416.394,4239.697,4549.818,4373.1216,4280.394,4471.0005,3734.3335,4444.727,4252.5757,4240.2124,4104.7275
42,4268.546,4190.758,4203.6367,4417.4243,4239.697,4553.425,4370.5454,4288.636,4480.273,3737.9397,4450.3945,4253.0913,4242.788,4108.8486
43,4267.515,4190.242,4204.6665,4413.8184,4237.1216,4559.0913,4370.0303,4279.364,4478.2124,3730.7273,4446.273,4248.9697,4239.182,4106.273
44,4267.515,4189.7275,4205.6973,4415.364,4237.1216,4552.9097,4372.091,4270.0913,4475.6367,3726.0913,4442.152,4248.9697,4236.6064,4102.667
45,4268.031,4188.6973,4204.6665,4416.909,4239.182,4547.2427,4364.879,4273.1816,4478.7275,3728.1519,4441.1216,4247.4243,4237.1216,4102.1514
46,4266.485,4187.667,4202.0913,4412.273,4238.152,4555.4854,4359.727,4279.879,4473.061,3728.6667,4440.606,4241.2427,4235.5757,4101.636
47,4264.4243,4188.1816,4201.576,4408.152,4237.1216,4556.515,4362.303,4274.2124,4463.273,3725.061,4437.0005,4238.152,4235.0605,4099.5757
48,4262.879,4187.667,4199.5156,4407.6367,4236.6064,4547.7573,4360.758,4258.7573,4461.7275,3719.9092,4432.364,4236.091,4233.0,4097.0
49,4261.3335,4186.6367,4193.8486,4407.121,4236.091,4552.394,4360.2427,4251.546,4464.819,3716.8184,4431.3335,4234.5454,4227.8486,4093.9092
50,4259.788,4186.6367,4190.758,4405.5757,4235.5757,4561.152,4366.9395,4254.121,4464.303,3720.9395,4431.8486,4234.5454,4229.394,4091.3335
51,4260.303,4186.6367,4194.879,4406.6064,4235.5757,4559.6064,4370.5454,4255.667,4467.394,3727.1216,4435.455,4236.6064,4235.0605,4094.9397
52,4263.394,4188.1816,4201.0605,4409.182,4237.636,4558.0605,4369.0005,4255.152,4478.2124,3732.273,4441.6367,4243.303,4237.1216,4101.636
53,4265.97,4189.7275,4203.121,4410.2124,4239.182,4560.121,4368.485,4254.121,4477.6973,3731.7576,4440.0913,4246.394,4236.6064,4103.697
54,4265.97,4188.1816,4200.5454,4409.6973,4237.636,4559.0913,4370.5454,4251.031,4464.303,3724.0308,4435.455,4244.3335,4236.091,4100.091
55,4265.4546,4188.6973,4200.031,4407.6367,4237.1216,4558.5757,4373.6367,4256.1816,4465.3335,3725.061,4438.031,4245.879,4237.1216,4101.121
56,4266.485,4190.242,4204.152,4411.2427,4237.636,4559.6064,4374.1514,4268.031,4475.1216,3731.7576,4439.061,4247.4243,4238.152,4103.697
57,4264.9395,4189.7275,4202.0913,4414.3335,4237.636,4557.546,4374.1514,4261.8486,4467.394,3724.5457,4435.455,4239.182,4235.5757,4097.515
58,4261.3335,4188.6973,4191.273,4409.182,4236.6064,4554.4546,4375.6973,4252.0605,4458.6367,3716.3032,4431.3335,4233.0,4230.9395,4092.8792
59,4260.303,4189.7275,4188.6973,4408.667,4238.152,4557.031,4373.1216,4260.818,4463.788,3721.9697,4431.3335,4236.6064,4233.0,4097.0
60,4261.8486,4190.242,4197.455,4415.364,4243.303,4560.636,4367.9697,4269.0605,4467.394,3728.6667,4439.061,4238.667,4236.6064,4101.121
61,4262.879,4190.242,4202.606,4413.303,4250.515,4559.6064,4372.091,4265.97,4469.4546,3727.6365,4446.273,4237.636,4238.667,4100.091
62,4264.4243,4188.6973,4201.576,4408.667,4252.0605,4558.5757,4377.2427,4265.4546,4476.667,3732.7878,4446.273,4242.273,4243.818,4103.697
63,4266.485,4191.788,4202.606,4415.364,4253.0913,4561.152,4377.2427,4271.121,4480.273,3738.4548,4446.7876,4250.515,4250.515,4110.394
64,4267.515,4199.0,4204.152,4421.031,4259.788,4561.667,4377.758,4271.636,4478.2124,3735.3638,4448.8486,4252.0605,4250.515,4111.9395
65,4269.0605,4202.606,4204.6665,4419.485,4264.9395,4560.121,4376.727,4268.546,4478.2124,3734.3335,4447.303,4247.4243,4247.9395,4109.364
66,4269.0605,4201.576,4205.6973,4418.4546,4264.9395,4559.0913,4377.2427,4272.152,4477.6973,3739.485,4445.2427,4247.4243,4247.4243,4110.394
67,4269.5757,4203.121,4206.2124,4420.515,4266.485,4560.121,4384.9697,4278.849,4478.7275,3741.5457,4448.334,4250.515,4250.515,4112.4546
68,4270.0913,4205.1816,4204.152,4418.9697,4267.515,4561.667,4388.061,4285.031,4482.3335,3740.5154,4451.4243,4252.0605,4253.0913,4113.485
69,4265.4546,4200.031,4200.5454,4413.8184,4261.3335,4561.667,4376.727,4282.97,4477.182,3737.9397,4444.2124,4246.909,4244.8486,4106.788
70,4259.273,4191.273,4200.031,4411.758,4253.6064,4560.121,4366.4243,4270.6064,4466.8794,3730.7273,4436.485,4234.5454,4231.9697,4095.9697
71,4260.303,4189.2124,4200.5454,4414.3335,4253.6064,4558.0605,4371.061,4270.0913,4471.515,3732.7878,4442.6665,4234.5454,4238.152,4099.0605
72,4264.9395,4193.3335,4200.031,4414.8486,4257.2124,4560.636,4378.2725,4281.9395,4482.3335,3741.5457,4454.0005,4245.879,4249.4854,4109.879
73,4260.818,4192.3027,4201.0605,4413.303,4255.667,4558.0605,4376.212,4277.8184,4475.1216,3738.97,4452.455,4246.394,4244.3335,4108.3335
74,4257.7275,4187.152,4199.0,4412.788,4249.4854,4547.2427,4370.0303,4264.4243,4461.2124,3728.6667,4442.152,4236.091,4233.515,4098.546
75,4263.394,4191.788,4195.909,4414.3335,4247.4243,4546.7275,4367.4546,4263.9097,4461.2124,3724.5457,4439.576,4233.0,4232.485,4098.546
76,4269.0605,4202.0913,4201.0605,4419.485,4251.546,4557.546,4367.4546,4270.6064,4466.364,3732.7878,4446.273,4241.2427,4239.697,4106.788
77,4270.0913,4204.6665,4208.273,4426.182,4253.6064,4560.636,4370.5454,4277.8184,4466.8794,3742.0608,4452.9697,4252.5757,4250.515,4111.9395
78,4270.0913,4203.121,4205.6973,4425.152,4252.5757,4558.5757,4371.576,4276.788,4465.3335,3736.9094,4450.3945,4250.515,4250.515,4111.4243
79,4269.5757,4203.6367,4204.152,4424.6367,4252.0605,4559.0913,4369.5156,4266.485,4463.273,3727.6365,4445.2427,4238.152,4236.6064,4106.788
80,4270.0913,4204.6665,4209.8184,4427.2124,4245.879,4557.546,4374.1514,4273.1816,4462.7583,3733.3032,4447.819,4239.697,4237.1216,4107.8184
81,4271.121,4202.606,4212.3945,4426.6973,4237.636,4555.4854,4377.758,4283.485,4468.94,3744.6365,4457.091,4254.121,4252.5757,4115.546
82,4271.121,4201.576,4209.3027,4426.6973,4236.091,4551.879,4371.576,4274.2124,4475.1216,3748.2424,4464.303,4256.1816,4256.697,4118.6367
83,4269.5757,4201.576,4206.727,4425.667,4236.091,4544.667,4369.0005,4267.0,4471.0005,3746.697,4462.2427,4251.031,4250.515,4112.9697
84,4268.031,4202.0913,4206.727,4422.061,4236.091,4545.697,4370.5454,4265.4546,4465.3335,3743.6062,4456.061,4251.546,4250.0,4109.364
85,4267.0,4201.576,4205.1816,4422.576,4237.636,4554.4546,4369.0005,4253.0913,4463.788,3740.0002,4452.455,4249.4854,4250.0,4108.3335
86,4268.546,4201.576,4203.6367,4425.152,4238.152,4560.636,4372.606,4245.879,4462.2427,3736.9094,4452.9697,4245.879,4246.909,4107.303
87,4270.6064,4202.0913,4206.2124,4423.0913,4237.1216,4554.97,4371.576,4251.031,4461.7275,3736.9094,4451.4243,4247.9395,4247.4243,4109.364
88,4267.515,4201.576,4205.6973,4422.576,4236.6064,4545.697,4358.6973,4246.909,4463.788,3732.7878,4446.273,4247.9395,4246.909,4108.8486
89,4270.0913,4202.606,4206.727,4425.152,4236.6064,4549.303,4364.364,4241.7573,4464.819,3732.7878,4452.9697,4247.9395,4247.4243,4110.909
90,4277.8184,4204.6665,4210.8486,4428.2427,4242.788,4558.5757,4386.0005,4248.4546,4466.364,3736.3943,4462.2427,4250.515,4250.0,4115.546
91,4277.303,4206.2124,4211.879,4431.3335,4246.909,4558.5757,4387.5454,4250.515,4466.364,3736.9094,4456.061,4250.515,4250.0,4111.9395
92,4272.152,4206.2124,4211.879,4431.3335,4243.303,4558.0605,4384.4546,4248.4546,4466.8794,3738.4548,4454.5156,4246.909,4249.4854,4114.0
93,4273.697,4205.6973,4214.9697,4430.303,4239.697,4559.0913,4389.091,4252.5757,4471.0005,3744.1213,4463.273,4251.546,4254.636,4122.758
94,4272.152,4204.6665,4209.8184,4428.758,4239.182,4555.4854,4380.848,4254.121,4468.4243,3740.0002,4457.091,4250.515,4252.5757,4117.091
95,4263.9097,4203.6367,4204.152,4428.2427,4237.636,4554.4546,4376.727,4247.4243,4458.1216,3729.697,4444.727,4237.636,4239.182,4104.7275
96,4268.546,4205.1816,4207.758,4430.8184,4240.2124,4558.0605,4388.061,4247.4243,4462.2427,3732.273,4452.9697,4238.152,4240.7275,4110.909
97,4276.273,4207.242,4208.273,4431.8486,4247.9395,4559.6064,4386.0005,4255.152,4476.152,3742.0608,4465.3335,4251.546,4254.121,4121.7275
98,4272.152,4206.2124,4202.606,4429.273,4253.6064,4559.0913,4375.6973,4254.636,4472.5454,3741.0305,4463.273,4253.0913,4256.1816,4116.0605
99,4267.515,4205.1816,4203.6367,4429.273,4251.546,4561.152,4376.727,4250.0,4462.7583,3735.8792,4456.061,4242.273,4246.394,4108.3335
100,4268.546,4206.2124,4205.6973,4430.303,4240.7275,4561.667,4378.2725,4246.394,4461.7275,3731.2427,4448.8486,4236.091,4241.2427,4107.8184
101,4270.6064,4206.2124,4203.121,4426.6973,4235.5757,4558.5757,4377.2427,4247.9395,4464.819,3730.7273,4447.819,4241.7573,4245.364,4109.364
102,4269.5757,4204.6665,4203.121,4423.0913,4237.636,4557.031,4378.7876,4255.667,4468.94,3737.4246,4456.061,4252.0605,4251.546,4109.879
103,4269.5757,4204.152,4205.6973,4426.6973,4237.1216,4557.546,4375.182,4257.2124,4470.485,3740.0002,4459.1514,4253.0913,4252.5757,4111.4243
104,4269.0605,4206.2124,4205.6973,4430.8184,4236.091,4558.5757,4375.6973,4250.515,4463.788,3729.697,4449.364,4244.3335,4246.394,4110.394
105,4269.0605,4206.727,4204.152,4430.303,4241.7573,4560.121,4377.2427,4251.546,4466.8794,3728.6667,4445.2427,4245.879,4246.394,4108.3335
