Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
1625262.2382640839,4273.1816,4237.1216,4151.091,4432.879,4255.667,4541.5757,4386.515,4284.515,4463.273,3756.4849,4394.2427,4219.606,4264.9395,4125.3335
1625268.905878067,4265.4546,4236.091,4152.6367,4433.394,4253.6064,4542.6064,4386.515,4283.485,4459.1514,3752.3638,4395.788,4219.606,4261.3335,4122.2427
1625278.508901596,4276.273,4236.6064,4155.212,4434.4243,4254.636,4544.152,4392.697,4283.485,4461.2124,3754.4243,4400.425,4222.6973,4262.879,4128.9395
1625284.8773002625,4284.0,4237.636,4156.758,4438.031,4255.667,4544.152,4389.091,4285.5454,4465.3335,3760.606,4402.4854,4224.2427,4269.5757,4137.182
1625292.9396629333,4273.1816,4237.636,4156.758,4440.0913,4254.121,4542.6064,4382.909,4285.031,4464.303,3758.0305,4400.9395,4223.2124,4262.364,4131.5156
1625300.8761405945,4267.0,4237.1216,4156.758,4437.0005,4253.0913,4540.546,4387.5454,4285.5454,4465.3335,3753.394,4399.909,4221.6665,4255.667,4125.8486
1625309.103012085,4269.5757,4235.5757,4154.6973,4432.879,4253.0913,4539.515,4388.061,4284.515,4464.819,3753.394,4399.394,4220.121,4259.788,4125.8486
1625316.9586658478,4269.5757,4235.5757,4152.6367,4431.8486,4252.0605,4541.061,4386.0005,4284.515,4462.7583,3754.4243,4399.394,4220.121,4263.394,4128.4243
1625324.9297142029,4271.636,4237.636,4154.6973,4435.97,4254.121,4544.152,4392.182,4291.7275,4470.485,3759.0608,4403.515,4224.2427,4267.0,4135.6367
1625331.9463729858,4272.667,4237.636,4156.758,4439.576,4255.152,4546.7275,4393.727,4293.788,4473.576,3759.5757,4407.6367,4224.2427,4268.546,4137.6973
1625339.9460315704,4268.546,4235.0605,4153.1514,4435.97,4252.0605,4542.6064,4386.0005,4285.031,4462.2427,3751.3335,4400.425,4219.606,4259.788,4126.879
1625352.980852127,4268.031,4234.0303,4151.091,4431.8486,4248.9697,4537.4546,4382.909,4280.9097,4456.576,3751.3335,4392.697,4218.576,4252.0605,4123.273
1625356.0917377472,4269.0605,4232.485,4148.5156,4432.364,4249.4854,4540.546,4384.9697,4282.4546,4462.7583,3754.4243,4394.2427,4221.1514,4254.121,4127.909
1625363.9764785767,4265.97,4228.879,4145.4243,4431.3335,4250.0,4538.485,4385.485,4280.9097,4463.273,3748.758,4398.3643,4221.6665,4256.697,4125.3335
1625371.9687461853,4267.0,4229.909,4150.576,4429.788,4248.9697,4532.303,4386.0005,4280.394,4461.2124,3748.2424,4400.425,4221.6665,4258.2427,4125.3335
1625379.9719810486,4269.0605,4233.515,4155.727,4432.879,4249.4854,4537.4546,4387.0303,4286.0605,4465.3335,3755.97,4397.8486,4222.1816,4258.2427,4128.9395
1625387.9945278168,4268.031,4234.5454,4150.061,4434.4243,4250.0,4546.7275,4389.606,4294.303,4472.5454,3759.0608,4392.697,4221.6665,4258.2427,4127.909
1625404.0384292603,4268.031,4233.515,4148.0005,4431.3335,4249.4854,4545.182,4392.182,4299.4546,4477.182,3761.1213,4391.6665,4220.121,4263.394,4126.364
