Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
1,4275.758,4249.4854,4156.2427,4462.2427,4268.546,4546.7275,4402.4854,4302.0303,4489.546,3754.4243,4465.3335,4236.091,4286.0605,4140.273
2,4284.0,4249.4854,4156.758,4464.303,4268.546,4555.4854,4399.909,4299.9697,4483.364,3749.273,4464.303,4237.1216,4287.606,4141.303
3,4282.4546,4250.515,4157.788,4465.8486,4265.4546,4562.182,4397.8486,4298.4243,4482.8486,3744.6365,4463.273,4237.1216,4283.485,4141.303
4,4280.394,4251.031,4158.303,4463.788,4264.4243,4556.0,4398.879,4297.394,4479.758,3749.273,4464.819,4237.1216,4290.182,4143.364
5,4282.97,4253.6064,4159.3335,4464.303,4265.97,4546.2124,4400.425,4300.485,4479.758,3757.0002,4467.394,4241.2427,4301.0,4148.0005
6,4276.273,4248.9697,4155.727,4462.2427,4262.879,4547.7573,4398.3643,4302.0303,4480.788,3755.4546,4464.303,4240.2124,4293.788,4144.909
7,4265.97,4237.636,4147.485,4455.5454,4259.273,4558.5757,4395.788,4298.9395,4473.061,3745.6667,4453.485,4230.4243,4281.9395,4135.1216
8,4265.4546,4235.0605,4143.364,4453.485,4263.9097,4560.121,4399.909,4298.9395,4468.4243,3741.0305,4446.273,4222.1816,4280.394,4129.9697
9,4268.546,4239.182,4148.5156,4457.091,4265.97,4548.273,4401.9697,4301.0,4474.6064,3744.6365,4447.303,4221.6665,4277.303,4128.4243
10,4267.515,4236.6064,4146.455,4455.0303,4262.879,4543.1216,4396.3037,4299.9697,4479.2427,3747.2122,4449.364,4222.1816,4273.697,4125.8486
11,4266.485,4233.0,4142.848,4452.9697,4264.4243,4550.8486,4395.273,4299.4546,4478.7275,3744.6365,4448.8486,4221.1514,4278.849,4125.3335
12,4271.121,4242.273,4151.606,4459.1514,4269.0605,4559.6064,4403.515,4307.182,4480.273,3747.2122,4449.364,4226.8184,4282.97,4128.4243
13,4277.8184,4251.031,4158.303,4464.819,4268.031,4560.636,4406.091,4314.3936,4484.394,3755.4546,4451.94,4235.0605,4283.485,4134.606
14,4278.849,4250.0,4154.182,4462.7583,4267.515,4555.4854,4401.9697,4308.7275,4483.879,3757.0002,4454.0005,4236.6064,4286.0605,4137.6973
15,4276.273,4247.4243,4152.6367,4461.2124,4268.546,4554.97,4401.4546,4301.0,4481.8184,3753.394,4454.5156,4234.5454,4285.031,4137.6973
16,4277.303,4247.9395,4155.727,4463.273,4265.97,4556.0,4404.0303,4302.0303,4483.364,3755.4546,4456.061,4236.091,4284.515,4139.2427
17,4274.7275,4247.4243,4154.182,4462.2427,4264.4243,4557.546,4403.515,4302.0303,4484.394,3757.5151,4456.576,4237.636,4286.5757,4137.6973
18,4268.546,4240.7275,4148.5156,4458.6367,4264.9395,4557.546,4397.8486,4296.364,4477.6973,3750.3032,4456.061,4234.5454,4282.97,4133.576
19,4267.0,4235.0605,4148.0005,4457.606,4264.4243,4550.8486,4391.1514,4292.758,4471.0005,3742.576,4459.6665,4235.5757,4278.849,4134.0913
20,4267.0,4240.7275,4152.1216,4460.182,4265.4546,4542.0913,4390.1216,4293.788,4474.0913,3745.1516,4462.7583,4236.091,4278.3335,4136.152
21,4272.667,4250.0,4155.727,4464.819,4267.515,4547.2427,4393.212,4297.394,4479.758,3753.9094,4464.303,4236.091,4281.4243,4137.6973
22,4281.4243,4251.546,4157.788,4467.394,4268.546,4558.0605,4393.212,4300.485,4480.273,3758.0305,4466.364,4240.7275,4284.515,4141.8184
23,4275.242,4249.4854,4156.758,4464.819,4269.0605,4557.546,4392.697,4298.4243,4482.3335,3753.394,4466.364,4241.7573,4285.031,4140.7876
24,4270.6064,4251.546,4157.273,4463.273,4267.515,4556.515,4397.3335,4298.4243,4490.0605,3753.394,4468.94,4241.7573,4288.636,4142.3335
25,4282.4546,4253.6064,4161.909,4467.909,4267.515,4560.121,4403.0,4308.7275,4496.758,3764.7275,4477.6973,4248.4546,4297.394,4153.1514
26,4287.606,4253.0913,4164.485,4472.5454,4269.0605,4561.667,4405.0605,4316.9697,4498.8184,3772.4546,4481.8184,4253.6064,4304.6064,4155.212
27,4282.97,4253.6064,4163.9697,4471.515,4269.5757,4560.636,4402.4854,4314.909,4494.6973,3770.394,4481.303,4252.5757,4308.212,4152.1216
28,4284.515,4254.636,4162.4243,4467.394,4268.546,4560.636,4401.4546,4313.879,4498.3027,3768.8486,4482.3335,4253.6064,4310.788,4156.758
29,4286.5757,4253.6064,4159.3335,4463.788,4268.546,4561.152,4407.121,4316.9697,4507.576,3771.9395,4481.8184,4254.121,4310.788,4155.727
30,4280.394,4251.546,4156.758,4464.303,4266.485,4560.636,4410.2124,4315.425,4504.485,3768.3335,4480.273,4250.515,4306.1514,4145.4243
31,4277.8184,4252.5757,4156.758,4465.8486,4264.4243,4560.636,4404.546,4311.8184,4493.667,3762.1519,4478.7275,4248.4546,4299.9697,4142.848
32,4280.9097,4253.0913,4156.758,4463.788,4267.0,4559.6064,4401.4546,4311.303,4494.1816,3760.606,4477.6973,4251.031,4296.879,4145.94
33,4277.8184,4248.4546,4155.212,4462.7583,4266.485,4557.546,4404.546,4306.667,4494.1816,3758.5454,4476.152,4249.4854,4296.879,4143.364
34,4268.031,4244.8486,4154.182,4462.7583,4264.9395,4556.515,4401.4546,4298.9395,4478.7275,3753.9094,4473.576,4241.2427,4294.8184,4138.727
35,4271.121,4246.909,4153.6665,4461.7275,4268.031,4557.546,4398.3643,4300.485,4477.6973,3753.9094,4475.1216,4240.7275,4295.8486,4139.758
36,4282.97,4251.546,4156.2427,4462.7583,4270.0913,4559.0913,4401.9697,4307.6973,4494.6973,3763.1821,4480.788,4251.546,4301.515,4144.3945
37,4282.4546,4251.546,4157.273,4463.788,4267.0,4561.152,4403.0,4308.212,4501.3945,3769.879,4482.3335,4254.636,4302.546,4148.5156
38,4279.364,4250.515,4156.2427,4463.788,4265.4546,4556.515,4399.394,4303.061,4494.6973,3766.788,4479.2427,4248.4546,4299.4546,4149.5454
39,4285.031,4252.5757,4158.303,4464.819,4265.4546,4546.7275,4394.2427,4302.0303,4496.242,3761.1213,4477.6973,4249.4854,4297.909,4146.9697
40,4281.9395,4246.909,4157.273,4460.6978,4263.9097,4547.7573,4392.182,4301.0,4495.7275,3759.0608,4477.182,4249.4854,4298.9395,4142.3335
41,4272.667,4240.7275,4154.182,4455.5454,4262.879,4556.0,4393.727,4298.4243,4482.8486,3756.4849,4476.152,4244.3335,4296.879,4139.2427
42,4276.273,4246.909,4155.727,4459.1514,4264.9395,4556.515,4394.758,4303.061,4486.4546,3755.4546,4478.7275,4247.9395,4297.909,4144.909
43,4284.0,4254.636,4160.8794,4464.819,4265.4546,4556.0,4394.2427,4307.6973,4497.788,3759.0608,4479.758,4252.0605,4299.9697,4149.5454
44,4282.4546,4251.546,4158.819,4464.819,4264.9395,4554.97,4393.212,4301.515,4485.9395,3757.5151,4477.182,4248.4546,4290.6973,4142.848
45,4281.4243,4250.0,4159.3335,4464.819,4265.97,4551.879,4392.182,4295.3335,4475.6367,3752.8792,4476.667,4247.4243,4285.5454,4143.364
