Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
1,4269.5757,4234.5454,4149.5454,4400.425,4280.9097,4529.7275,4386.0005,4282.97,4466.8794,3761.1213,4467.909,4233.0,4251.031,4141.303
2,4271.121,4236.091,4152.1216,4403.0,4280.9097,4532.303,4386.0005,4282.97,4466.8794,3761.1213,4475.1216,4236.6064,4249.4854,4142.3335
3,4270.6064,4235.5757,4152.1216,4401.4546,4280.9097,4540.031,4387.5454,4281.9395,4467.394,3761.6362,4477.6973,4235.5757,4250.0,4138.727
4,4276.788,4237.636,4154.6973,4404.0303,4283.485,4535.909,4387.5454,4284.515,4472.5454,3766.788,4476.667,4236.091,4252.5757,4141.303
5,4282.4546,4241.2427,4156.758,4408.667,4281.9395,4535.394,4388.061,4288.636,4481.8184,3772.9697,4481.303,4238.667,4254.636,4148.0005
6,4275.758,4238.667,4155.727,4404.546,4280.9097,4542.0913,4387.5454,4285.031,4481.303,3771.9395,4480.788,4237.636,4254.121,4145.94
7,4268.546,4236.091,4153.6665,4398.879,4282.97,4542.0913,4387.5454,4282.97,4478.7275,3769.3638,4469.4546,4236.6064,4245.879,4141.303
8,4270.0913,4237.636,4149.5454,4398.3643,4280.9097,4538.485,4387.0303,4284.515,4478.2124,3767.3032,4462.2427,4232.485,4236.091,4138.727
9,4270.0913,4237.1216,4143.879,4399.394,4280.394,4540.546,4386.0005,4281.9395,4468.4243,3759.0608,4464.303,4227.8486,4234.0303,4135.1216
10,4267.515,4234.5454,4144.3945,4399.394,4283.485,4540.546,4389.606,4281.9395,4462.2427,3756.4849,4465.3335,4229.394,4235.5757,4134.606
11,4266.485,4234.0303,4144.909,4393.727,4279.364,4533.8486,4392.182,4286.0605,4464.303,3763.1821,4465.8486,4231.9697,4235.5757,4138.727
12,4265.4546,4233.515,4142.3335,4390.1216,4274.7275,4527.152,4388.061,4285.5454,4463.273,3762.1519,4466.8794,4232.485,4234.0303,4139.2427
13,4266.485,4233.515,4142.3335,4395.788,4279.879,4531.273,4388.061,4282.97,4461.7275,3757.5151,4467.909,4232.485,4236.091,4137.6973
14,4268.031,4235.5757,4148.5156,4400.425,4284.515,4538.485,4391.6665,4280.9097,4465.3335,3762.1519,4472.0303,4233.0,4236.6064,4139.2427
15,4268.031,4237.636,4154.6973,4400.425,4283.485,4541.5757,4392.182,4286.5757,4472.0303,3768.8486,4477.6973,4234.5454,4234.5454,4140.7876
16,4269.0605,4237.1216,4154.6973,4401.4546,4283.485,4544.152,4391.6665,4297.909,4477.6973,3772.4546,4478.2124,4237.636,4240.2124,4143.879
17,4269.0605,4238.152,4150.576,4401.4546,4284.515,4542.6064,4393.212,4292.758,4480.273,3774.0,4479.2427,4236.091,4249.4854,4144.909
18,4268.031,4237.1216,4148.0005,4400.9395,4284.0,4540.546,4389.606,4281.9395,4476.667,3774.0,4482.3335,4235.0605,4247.4243,4142.848
19,4269.0605,4235.0605,4144.909,4400.425,4284.0,4543.636,4386.0005,4283.485,4470.485,3768.3335,4476.667,4237.1216,4236.6064,4141.8184
20,4265.4546,4235.0605,4140.273,4396.3037,4283.485,4537.4546,4384.4546,4277.303,4465.3335,3761.1213,4464.819,4229.394,4234.0303,4135.6367
21,4257.7275,4231.4546,4139.758,4392.697,4281.4243,4534.364,4383.94,4266.485,4463.788,3757.0002,4462.7583,4221.1514,4232.485,4126.879
22,4254.121,4228.364,4141.303,4392.182,4279.364,4540.031,4384.4546,4273.697,4465.3335,3758.0305,4463.788,4219.606,4223.7275,4124.303
23,4256.697,4231.9697,4139.2427,4390.636,4281.9395,4533.8486,4385.485,4284.0,4463.788,3759.0608,4461.2124,4220.6367,4222.6973,4125.8486
24,4263.394,4236.091,4139.758,4391.6665,4285.031,4528.182,4387.0303,4284.515,4463.273,3763.1821,4462.7583,4224.2427,4231.9697,4127.909
25,4265.97,4235.0605,4143.364,4394.758,4282.97,4540.031,4385.485,4279.364,4463.788,3765.7578,4466.364,4227.3335,4236.091,4128.9395
26,4257.7275,4230.4243,4141.303,4393.212,4279.364,4544.667,4379.303,4271.636,4455.5454,3755.97,4465.3335,4223.7275,4228.364,4126.879
27,4251.031,4228.364,4136.6665,4391.1514,4279.879,4531.273,4375.6973,4265.97,4445.2427,3745.6667,4462.7583,4219.091,4220.6367,4124.303
28,4260.818,4231.9697,4139.2427,4394.2427,4284.0,4524.0605,4376.727,4268.546,4449.8794,3751.8489,4462.7583,4222.6973,4223.7275,4125.3335
29,4270.6064,4237.1216,4143.879,4396.8184,4285.031,4531.788,4379.303,4276.273,4463.273,3761.1213,4465.3335,4228.364,4232.485,4128.9395
30,4267.0,4235.0605,4142.3335,4398.879,4283.485,4541.5757,4381.364,4277.8184,4464.303,3761.1213,4468.4243,4232.485,4239.182,4132.031
31,4262.879,4233.515,4139.758,4399.909,4281.4243,4545.182,4384.4546,4273.1816,4463.273,3763.1821,4467.909,4234.5454,4238.667,4134.606
32,4267.0,4234.0303,4139.2427,4394.758,4281.4243,4538.485,4383.94,4269.0605,4466.8794,3765.7578,4465.3335,4228.879,4235.0605,4132.031
33,4265.97,4232.485,4138.727,4392.182,4282.97,4535.909,4379.8184,4269.5757,4464.819,3762.667,4462.7583,4220.121,4231.4546,4125.3335
34,4257.2124,4231.4546,4138.2124,4393.727,4285.031,4542.6064,4381.8794,4273.697,4468.94,3764.2124,4463.788,4223.7275,4232.485,4125.3335
35,4252.5757,4228.879,4138.727,4390.636,4281.9395,4544.152,4387.0303,4278.849,4477.6973,3771.4243,4468.4243,4234.0303,4236.091,4130.485
36,4252.5757,4221.6665,4134.606,4382.909,4277.303,4538.485,4387.0303,4283.485,4473.061,3771.9395,4468.4243,4228.364,4234.5454,4127.909
37,4251.546,4218.576,4129.4546,4385.485,4279.364,4540.031,4386.0005,4284.515,4462.7583,3761.6362,4457.606,4216.5156,4226.303,4120.6973
38,4251.546,4226.8184,4133.576,4391.6665,4284.0,4541.061,4388.5757,4278.3335,4462.7583,3754.9397,4452.455,4219.091,4221.6665,4120.6973
39,4252.0605,4230.4243,4138.727,4388.5757,4284.0,4533.3335,4385.485,4269.5757,4457.091,3757.0002,4459.6665,4221.1514,4228.364,4124.303
40,4256.697,4227.3335,4138.727,4387.0303,4282.4546,4534.879,4383.94,4273.697,4451.4243,3762.1519,4465.3335,4222.6973,4236.091,4125.8486
41,4263.9097,4231.4546,4140.7876,4395.788,4282.97,4545.697,4391.6665,4282.4546,4459.6665,3763.1821,4464.819,4232.485,4235.5757,4129.9697
42,4268.546,4239.182,4143.364,4401.9697,4284.515,4542.6064,4390.1216,4278.849,4460.6978,3754.9397,4463.273,4231.9697,4233.515,4134.606
43,4265.97,4233.515,4140.273,4395.273,4283.485,4530.758,4385.485,4276.788,4456.061,3749.7883,4458.6367,4220.6367,4233.0,4129.9697
44,4258.2427,4222.6973,4135.6367,4387.5454,4278.3335,4531.273,4388.061,4278.3335,4460.6978,3754.4243,4452.9697,4221.1514,4232.485,4125.3335
