Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
3916009.504556656,4287.0913,4253.6064,4156.758,4443.6973,4271.121,4559.0913,4371.061,4315.425,4583.8184,3786.879,4439.576,4265.97,4263.394,4154.6973
3916017.452478409,4282.97,4246.394,4155.212,4435.97,4268.546,4555.4854,4370.5454,4314.909,4557.031,3785.8486,4440.606,4265.97,4254.121,4153.6665
3916025.4430770874,4280.9097,4237.1216,4152.1216,4435.455,4265.4546,4550.3335,4371.061,4318.515,4537.4546,3785.8486,4445.758,4265.4546,4251.031,4153.1514
3916033.4486961365,4283.485,4238.667,4153.6665,4440.0913,4266.485,4553.9395,4374.6665,4320.5757,4559.6064,3786.879,4446.7876,4265.4546,4253.6064,4154.6973
3916041.474342346,4282.4546,4241.7573,4155.212,4442.152,4267.515,4557.031,4377.2427,4316.4546,4573.515,3786.879,4446.7876,4266.485,4253.0913,4155.727
3916048.3326911926,4281.9395,4237.1216,4153.6665,4438.031,4267.0,4554.4546,4376.212,4315.425,4556.515,3784.303,4447.303,4271.121,4251.546,4155.212
3916065.3960704803,4284.515,4239.697,4154.182,4435.97,4269.0605,4553.9395,4378.7876,4323.667,4568.364,3785.3333,4447.819,4281.9395,4251.031,4155.212
3916078.4265995026,4284.0,4249.4854,4156.758,4439.061,4270.6064,4558.0605,4384.4546,4331.394,4605.9697,3788.9397,4448.8486,4289.152,4250.515,4155.212
3916079.3871879578,4286.5757,4250.515,4156.2427,4441.6367,4271.636,4560.121,4389.091,4333.9697,4612.1514,3790.485,4448.8486,4289.667,4251.546,4155.727
3916091.404438019,4292.2427,4248.9697,4155.212,4443.6973,4275.758,4561.667,4387.5454,4332.425,4603.909,3790.485,4448.334,4287.606,4251.031,4155.212
3916092.349290848,4290.182,4249.4854,4155.727,4446.7876,4275.242,4561.152,4379.8184,4329.3335,4605.455,3789.4548,4448.334,4288.636,4250.0,4154.182
3916096.32062912,4285.5454,4249.4854,4156.2427,4447.303,4269.0605,4560.121,4376.727,4330.3643,4613.6973,3792.0305,4451.4243,4291.2124,4252.5757,4157.273
3916104.405641556,4286.5757,4246.909,4156.2427,4444.2124,4267.515,4557.031,4377.2427,4327.788,4604.9395,3795.1213,4452.9697,4290.6973,4254.636,4157.788
3916112.310409546,4284.0,4240.7275,4154.6973,4440.0913,4268.546,4551.879,4372.606,4315.94,4563.7275,3786.3635,4448.334,4282.4546,4250.0,4151.606
3916120.4006671906,4280.9097,4240.2124,4155.212,4441.6367,4268.031,4552.9097,4370.0303,4315.425,4553.9395,3783.788,4445.758,4281.9395,4248.9697,4151.091
3916127.3999214172,4285.031,4248.9697,4157.273,4447.819,4268.031,4559.6064,4376.212,4326.7573,4604.4243,3795.1213,4451.4243,4293.273,4253.6064,4158.819
3916135.4031562805,4286.5757,4250.0,4157.788,4448.334,4270.0913,4556.515,4378.2725,4324.697,4621.425,3799.7576,4455.0303,4293.273,4255.667,4158.819
3916143.329143524,4285.031,4248.4546,4157.273,4446.7876,4270.0913,4549.818,4375.182,4315.425,4595.152,3792.5457,4450.909,4284.0,4253.6064,4154.182
3916151.4127254486,4286.0605,4251.031,4157.273,4447.819,4269.5757,4554.4546,4376.212,4319.0303,4589.485,3788.4246,4449.364,4282.97,4253.6064,4156.2427
3916159.3928337097,4283.485,4243.818,4157.273,4444.727,4269.0605,4561.667,4378.7876,4327.788,4583.303,3786.879,4448.334,4284.515,4253.0913,4153.6665
3916167.3448085785,4282.4546,4234.5454,4152.6367,4439.061,4266.485,4558.5757,4377.758,4329.8486,4557.546,3785.3333,4445.758,4279.879,4251.031,4144.3945
3916175.374984741,4280.9097,4235.5757,4144.3945,4433.394,4257.7275,4548.788,4374.1514,4329.8486,4530.2427,3782.2424,4444.2124,4272.667,4251.031,4140.7876
3916183.3980083466,4273.1816,4235.5757,4138.727,4429.273,4250.0,4542.6064,4369.5156,4329.3335,4498.8184,3775.0305,4441.1216,4268.546,4249.4854,4141.303
3916190.3886795044,4267.0,4232.485,4139.758,4430.8184,4252.0605,4542.6064,4368.485,4327.2725,4477.182,3771.9395,4435.97,4263.9097,4240.7275,4138.727
3916198.390722275,4267.0,4232.485,4140.7876,4432.879,4253.0913,4543.1216,4370.0303,4326.2427,4469.4546,3772.4546,4432.879,4257.7275,4234.5454,4136.6665
3916206.3930034637,4267.0,4233.0,4138.727,4431.8486,4250.515,4542.0913,4369.5156,4327.2725,4467.394,3771.4243,4435.97,4251.546,4241.2427,4138.727
3916214.389562607,4269.0605,4236.6064,4140.273,4431.8486,4255.667,4545.182,4371.576,4330.3643,4491.6064,3776.0608,4443.182,4251.031,4249.4854,4140.7876
3916222.360610962,4272.152,4238.152,4145.4243,4433.9097,4263.9097,4547.2427,4376.727,4329.3335,4514.2734,3779.667,4441.6367,4253.0913,4249.4854,4141.8184
3916230.3643226624,4270.0913,4236.091,4146.455,4433.394,4265.4546,4543.1216,4377.758,4319.0303,4491.6064,3772.4546,4416.909,4253.0913,4247.4243,4140.273
3916238.3880615234,4271.121,4236.091,4148.5156,4434.4243,4266.485,4549.818,4377.2427,4312.333,4471.0005,3772.4546,4390.636,4250.515,4247.4243,4141.8184
3916247.5996017456,4278.849,4239.182,4153.1514,4437.5156,4267.0,4561.152,4378.7876,4320.5757,4505.5156,3786.879,4389.091,4251.546,4250.515,4151.091
3916254.370212555,4279.879,4236.6064,4151.091,4435.455,4262.879,4556.515,4378.2725,4329.8486,4529.7275,3791.5154,4393.727,4259.788,4256.697,4156.758
3916261.6255283356,4277.8184,4234.5454,4149.5454,4433.9097,4260.818,4548.788,4376.212,4329.8486,4518.909,3787.9092,4392.182,4265.97,4263.394,4155.212
3916274.5554447174,4282.97,4244.3335,4157.788,4442.6665,4267.515,4554.97,4377.2427,4329.8486,4554.97,3796.6667,4396.8184,4267.515,4267.515,4161.394
3916278.786420822,4288.121,4254.121,4162.94,4450.909,4271.636,4562.697,4378.2725,4334.4854,4613.6973,3806.4548,4405.5757,4269.5757,4270.0913,4171.182
3916285.6945991516,4286.5757,4251.031,4158.303,4449.364,4269.0605,4557.031,4376.727,4332.9395,4593.0913,3799.7576,4405.0605,4270.0913,4270.6064,4167.5757
