Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
3824868.4282302856,4267.0,4220.121,4143.364,4426.6973,4238.152,4559.6064,4346.3335,4309.2427,4370.5454,3754.9397,4407.6367,4199.5156,4229.909,4106.788
3824875.3793239594,4265.4546,4220.121,4143.364,4426.182,4235.0605,4559.6064,4348.394,4312.333,4377.758,3757.0002,4411.2427,4200.5454,4231.4546,4105.758
3824883.3770751953,4266.485,4220.121,4143.879,4425.667,4235.0605,4559.0913,4347.879,4317.4854,4411.758,3766.788,4418.4546,4203.6367,4240.7275,4112.9697
3824891.450881958,4268.031,4219.606,4142.3335,4425.667,4236.091,4559.6064,4344.788,4316.9697,4429.273,3773.4849,4421.031,4206.727,4250.515,4123.273
3824899.472951889,4265.4546,4218.0605,4139.2427,4420.515,4233.515,4560.121,4344.273,4314.909,4414.3335,3772.9697,4421.031,4206.727,4252.0605,4122.758
3824907.4211120605,4262.879,4216.0,4137.6973,4415.364,4232.485,4558.0605,4346.3335,4312.8486,4389.091,3768.8486,4420.0,4204.152,4248.4546,4110.394
3824915.8976078033,4264.4243,4216.0,4139.758,4421.031,4235.0605,4557.546,4347.879,4307.182,4382.909,3766.273,4418.9697,4202.0913,4247.4243,4107.8184
3824923.4158992767,4267.0,4218.576,4142.3335,4428.758,4237.1216,4560.121,4348.394,4307.6973,4406.6064,3768.8486,4422.576,4203.121,4249.4854,4118.6367
3824931.453704834,4267.515,4220.121,4141.303,4427.7275,4237.1216,4561.667,4348.394,4313.364,4433.9097,3774.0,4426.6973,4207.758,4252.5757,4125.3335
3824939.388513565,4267.515,4219.091,4140.273,4425.152,4237.636,4560.121,4347.879,4308.7275,4430.303,3773.4849,4425.152,4207.758,4253.0913,4119.152
3824946.4976787567,4267.0,4218.576,4142.848,4428.758,4237.636,4558.0605,4349.4243,4304.091,4414.8486,3768.8486,4421.031,4202.606,4249.4854,4112.9697
3824954.487800598,4267.515,4219.606,4144.909,4433.394,4237.1216,4558.5757,4353.5454,4312.8486,4426.6973,3771.4243,4424.1216,4206.2124,4248.4546,4118.1216
3824962.406396866,4269.0605,4220.6367,4143.364,4432.364,4237.1216,4560.636,4355.606,4318.0005,4454.0005,3781.2122,4433.394,4217.0303,4251.546,4126.364
3824970.4434871674,4270.6064,4222.1816,4148.0005,4431.8486,4236.091,4560.121,4354.5757,4315.425,4476.152,3788.4246,4435.97,4221.6665,4261.3335,4129.4546
3824978.4140586853,4271.121,4223.2124,4155.212,4433.394,4238.152,4560.121,4349.9395,4315.425,4485.9395,3787.3938,4434.4243,4221.6665,4267.515,4127.909
3824986.448764801,4270.6064,4222.6973,4151.091,4432.879,4239.697,4561.152,4344.788,4309.2427,4469.4546,3781.2122,4433.9097,4219.091,4260.818,4127.394
3824994.5392608643,4269.5757,4221.6665,4142.848,4430.8184,4236.091,4559.6064,4343.2427,4298.4243,4434.94,3773.4849,4428.758,4210.8486,4251.031,4123.788
3825002.445936203,4269.0605,4222.1816,4143.879,4431.3335,4234.0303,4557.546,4344.273,4297.394,4409.6973,3768.3335,4421.546,4202.0913,4249.4854,4116.5757
3825009.453058243,4269.0605,4222.6973,4146.9697,4432.364,4237.1216,4556.515,4345.303,4299.9697,4412.273,3769.3638,4424.1216,4204.6665,4252.0605,4116.0605
3825017.4038410187,4268.031,4222.1816,4146.455,4430.8184,4237.1216,4557.031,4346.3335,4298.9395,4426.6973,3776.0608,4431.3335,4211.879,4253.0913,4122.758
3825026.45945549,4266.485,4221.6665,4144.909,4430.303,4235.0605,4558.0605,4345.303,4297.394,4434.94,3777.6064,4432.364,4209.3027,4253.6064,4124.8184
3825033.416032791,4267.515,4220.121,4146.455,4431.3335,4236.091,4559.6064,4345.8184,4300.485,4433.394,3771.9395,4429.788,4208.273,4252.5757,4122.2427
3825041.4531230927,4269.5757,4221.1514,4152.1216,4431.8486,4236.6064,4559.6064,4352.515,4308.212,4451.94,3777.6064,4431.8486,4217.0303,4259.273,4124.303
3825049.407482147,4271.636,4224.758,4156.2427,4433.394,4236.6064,4559.0913,4356.1216,4315.425,4487.4854,3789.4548,4435.97,4221.1514,4269.5757,4128.9395
3825057.4131011963,4271.121,4224.758,4150.061,4432.879,4237.636,4558.5757,4350.4546,4314.909,4483.879,3784.8184,4437.5156,4217.5454,4269.0605,4128.4243
3825065.8781528473,4268.546,4221.1514,4142.848,4430.303,4235.5757,4558.5757,4344.788,4308.212,4446.273,3775.0305,4434.4243,4216.0,4262.879,4126.364
3825073.372364044,4266.485,4220.121,4142.848,4429.788,4232.485,4557.546,4346.3335,4307.6973,4437.5156,3775.546,4430.303,4217.5454,4264.4243,4125.3335
3825080.4076194763,4268.031,4221.6665,4145.4243,4430.8184,4234.0303,4560.121,4350.9697,4314.3936,4458.1216,3777.091,4432.364,4216.5156,4267.515,4127.394
3825088.4408950806,4268.546,4219.606,4144.3945,4426.6973,4231.9697,4559.0913,4349.9395,4315.425,4442.152,3774.0,4434.4243,4210.8486,4258.7573,4128.9395
3825096.3485240936,4262.364,4216.5156,4139.758,4419.485,4221.1514,4548.273,4345.303,4305.1216,4387.5454,3766.273,4423.0913,4201.576,4248.9697,4121.7275
3825104.3586730957,4260.818,4216.5156,4139.2427,4421.031,4223.2124,4547.2427,4343.2427,4295.8486,4362.303,3760.606,4416.394,4201.0605,4246.909,4112.4546
3825112.634420395,4265.97,4219.606,4142.3335,4426.182,4235.0605,4557.031,4341.6973,4294.303,4384.9697,3765.7578,4426.6973,4205.1816,4251.031,4115.546
3825120.430469513,4261.8486,4219.606,4141.8184,4421.546,4231.4546,4551.879,4338.6064,4294.303,4383.94,3766.788,4428.2427,4203.121,4250.0,4119.152
3825128.405570984,4251.031,4216.5156,4137.6973,4414.8486,4224.758,4540.546,4337.5757,4295.3335,4350.9697,3758.0305,4414.8486,4200.031,4241.2427,4109.364
3825136.3809108734,4251.546,4217.0303,4138.2124,4416.909,4230.9395,4549.303,4341.6973,4302.546,4361.273,3760.091,4411.2427,4201.576,4240.7275,4106.273
3825144.4704532623,4262.364,4219.091,4141.8184,4422.576,4234.5454,4561.152,4346.8486,4313.879,4414.8486,3771.9395,4424.6367,4203.6367,4251.031,4119.667
3825151.4599323273,4265.4546,4218.0605,4142.3335,4422.061,4233.515,4552.9097,4346.8486,4317.4854,4429.273,3776.0608,4431.8486,4204.6665,4256.1816,4126.879
3825159.474849701,4257.2124,4219.091,4139.758,4417.9395,4233.0,4543.1216,4344.273,4308.212,4399.909,3769.3638,4428.2427,4205.1816,4252.5757,4124.303
3825167.389154434,4251.546,4215.485,4137.6973,4415.364,4225.788,4545.182,4343.758,4299.9697,4375.182,3763.1821,4423.0913,4204.152,4250.515,4119.667
3825176.1972904205,4253.0913,4207.242,4138.2124,4415.364,4219.606,4546.7275,4344.273,4300.485,4369.0005,3761.6362,4422.061,4203.121,4248.9697,4114.515
3825183.444261551,4253.0913,4209.8184,4138.727,4416.394,4221.6665,4545.182,4345.8184,4305.6367,4379.303,3764.7275,4426.182,4203.121,4248.9697,4115.0303
3825193.4957504272,4253.6064,4219.606,4139.2427,4417.4243,4228.879,4549.818,4345.8184,4309.758,4398.879,3765.7578,4426.6973,4203.6367,4251.031,4122.758
3825209.4106674194,4256.1816,4219.091,4138.727,4420.515,4230.9395,4556.515,4345.303,4312.333,4405.5757,3763.6973,4424.6367,4204.6665,4250.515,4126.364
3825209.5460891724,4254.636,4216.0,4138.2124,4418.9697,4224.758,4553.425,4347.364,4309.2427,4389.091,3762.667,4420.0,4203.121,4244.8486,4118.6367
3825214.4021987915,4252.0605,4218.0605,4138.2124,4415.364,4223.2124,4546.7275,4347.364,4301.515,4367.4546,3758.5454,4417.4243,4201.0605,4236.6064,4109.879
3825222.5303649902,4254.121,4218.576,4138.2124,4416.394,4232.485,4549.818,4345.8184,4301.515,4367.4546,3756.4849,4416.909,4201.576,4237.636,4109.879
3825231.3673496246,4253.6064,4217.0303,4137.6973,4416.909,4234.0303,4556.515,4345.303,4308.7275,4379.303,3761.6362,4419.485,4204.6665,4246.394,4116.5757
3825240.1933670044,4258.2427,4218.576,4138.2124,4415.364,4231.4546,4558.5757,4344.788,4313.879,4395.273,3767.3032,4425.152,4205.6973,4250.0,4118.6367
3825247.943878174,4267.0,4219.091,4138.727,4416.394,4237.1216,4555.4854,4345.8184,4315.94,4415.364,3771.9395,4431.8486,4208.273,4250.0,4117.6064
3825254.4434070587,4259.788,4218.576,4138.2124,4417.4243,4233.515,4549.303,4346.8486,4313.879,4414.3335,3770.394,4433.394,4209.8184,4251.546,4120.6973
