Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
3306062.3364448547,4280.9097,4233.515,4148.0005,4472.0303,4202.0913,4511.1816,4361.7876,4336.0303,4466.364,3774.0,4472.0303,4221.1514,4267.0,4144.3945
3306070.309638977,4280.394,4235.0605,4151.606,4473.576,4201.576,4513.2427,4371.061,4340.667,4475.6367,3773.4849,4466.8794,4219.606,4265.4546,4146.9697
3306078.274488449,4281.4243,4233.515,4154.182,4478.2124,4203.121,4512.727,4372.606,4347.879,4485.9395,3774.5151,4474.6064,4220.6367,4265.4546,4151.606
3306086.24958992,4282.97,4234.0303,4154.6973,4475.6367,4204.152,4512.2124,4372.091,4352.515,4501.9097,3778.6367,4482.3335,4222.1816,4268.546,4158.303
3306094.2990779877,4282.4546,4237.1216,4150.576,4471.515,4204.152,4513.758,4373.1216,4355.0913,4501.3945,3776.5762,4474.6064,4220.121,4267.0,4155.727
3306102.242231369,4280.9097,4235.0605,4144.3945,4467.909,4203.6367,4512.727,4369.5156,4355.0913,4467.394,3769.879,4462.7583,4218.0605,4256.697,4143.879
3306109.390258789,4278.849,4230.9395,4142.3335,4464.303,4204.152,4510.6665,4362.8184,4349.9395,4447.303,3768.3335,4465.3335,4217.5454,4255.667,4140.7876
3306117.333173752,4277.303,4233.0,4148.5156,4467.394,4204.152,4510.6665,4359.727,4343.2427,4479.758,3778.1213,4479.2427,4220.121,4268.546,4154.182
3306125.3650188446,4278.3335,4234.5454,4150.576,4470.485,4205.1816,4511.1816,4353.5454,4339.121,4507.0605,3786.879,4483.879,4230.9395,4274.7275,4161.909
3306133.268594742,4280.9097,4233.0,4149.5454,4467.909,4206.727,4510.6665,4350.4546,4336.546,4498.3027,3784.303,4480.788,4234.0303,4271.121,4157.788
3306141.308069229,4281.4243,4233.515,4150.576,4467.394,4207.242,4510.6665,4358.182,4336.0303,4485.4243,3777.6064,4476.667,4224.2427,4268.031,4156.758
3306152.9037952423,4280.9097,4234.5454,4149.5454,4468.4243,4209.3027,4510.6665,4369.5156,4338.6064,4472.5454,3772.4546,4466.8794,4217.5454,4261.8486,4151.606
3306159.7702503204,4280.394,4233.0,4145.4243,4465.8486,4216.0,4511.6973,4375.182,4342.2124,4456.576,3766.788,4458.1216,4218.576,4251.546,4143.364
3306165.426969528,4277.8184,4231.4546,4141.8184,4464.303,4217.0303,4512.727,4376.212,4344.273,4444.727,3762.667,4457.091,4216.0,4247.4243,4139.758
