Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
410430.6859970093,4283.485,4238.667,4161.909,4434.4243,4254.636,4590.0,4393.212,4393.727,3883.2124,3815.2124,4542.0913,4376.212,4401.9697,4238.667
410436.7387294769,4282.97,4236.6064,4162.4243,4433.9097,4254.636,4593.0913,4393.212,4392.697,3888.3638,3814.182,4543.1216,4375.182,4400.9395,4237.1216
410458.7457180023,4281.9395,4239.182,4161.394,4431.3335,4254.121,4590.515,4384.4546,4396.8184,3895.5762,3815.2124,4543.1216,4378.2725,4404.0303,4240.7275
410460.60943603516,4284.515,4249.4854,4167.5757,4439.576,4261.8486,4592.061,4384.4546,4401.9697,3907.94,3820.364,4550.3335,4385.485,4414.3335,4250.515
410461.5879058838,4287.0913,4253.0913,4173.2427,4448.334,4268.031,4594.1216,4392.182,4401.9697,3915.6665,3822.4246,4552.9097,4382.909,4416.394,4251.546
410467.6320552826,4286.0605,4249.4854,4171.6973,4447.303,4265.4546,4593.0913,4393.727,4403.0,3918.7576,3820.364,4550.3335,4379.8184,4411.758,4248.4546
410475.6147861481,4286.0605,4251.546,4171.182,4448.334,4263.394,4593.0913,4388.061,4409.182,3930.0908,3822.4246,4557.546,4386.0005,4418.4546,4252.5757
410489.2644882202,4286.5757,4254.636,4169.1216,4449.8794,4265.4546,4594.1216,4383.4243,4406.6064,3934.2124,3822.9395,4559.6064,4385.485,4416.394,4254.121
410503.65018844604,4285.031,4253.0913,4166.0303,4446.273,4264.4243,4593.6064,4385.485,4399.394,3930.606,3816.2427,4548.788,4375.6973,4403.515,4247.9395
410504.7550201416,4283.485,4252.5757,4166.0303,4446.273,4267.515,4593.0913,4387.0303,4399.394,3940.394,3816.2427,4551.879,4376.212,4407.6367,4246.909
410508.070230484,4284.0,4254.121,4165.0005,4447.303,4270.6064,4593.6064,4383.94,4400.9395,3949.1519,3821.9092,4559.6064,4380.848,4414.3335,4251.031
410519.6621417999,4284.515,4253.6064,4159.8486,4439.061,4266.485,4593.6064,4386.515,4400.9395,3943.4849,3820.879,4549.303,4377.2427,4405.5757,4248.4546
410523.8153934479,4283.485,4252.5757,4158.303,4436.485,4265.97,4593.6064,4388.061,4400.9395,3946.5762,3816.7578,4541.061,4371.061,4398.879,4240.2124
410531.662940979,4281.9395,4254.121,4158.819,4445.2427,4267.515,4592.576,4384.9697,4397.8486,3959.455,3816.2427,4545.697,4370.0303,4401.9697,4237.1216
410543.7903404236,4282.97,4252.5757,4160.8794,4449.364,4268.031,4593.6064,4389.606,4394.2427,3963.5762,3821.3943,4546.2124,4369.5156,4401.4546,4240.2124
410547.6083755493,4282.97,4242.788,4161.909,4447.819,4268.031,4595.667,4392.697,4390.636,3961.0002,3822.4246,4544.152,4366.9395,4397.3335,4238.152
410554.8849105835,4278.3335,4234.5454,4158.303,4446.7876,4266.485,4593.6064,4385.485,4382.909,3961.0002,3813.1516,4542.0913,4359.2124,4393.212,4234.0303
410562.68095970154,4276.273,4235.0605,4156.2427,4449.8794,4265.97,4591.5454,4383.4243,4375.6973,3962.0305,3806.4548,4535.909,4353.0303,4387.0303,4229.909
410570.64175605774,4278.3335,4236.6064,4156.2427,4458.6367,4268.031,4593.0913,4386.0005,4373.1216,3965.6367,3811.091,4534.364,4355.0913,4384.9697,4228.364
410578.6907672882,4279.364,4236.6064,4154.6973,4464.819,4268.031,4593.0913,4383.94,4369.0005,3970.273,3811.091,4537.9697,4355.606,4384.4546,4230.9395
410587.11862564087,4279.364,4237.1216,4154.6973,4464.819,4267.515,4592.576,4384.4546,4365.9087,3974.3943,3807.485,4539.0,4354.5757,4384.9697,4234.0303
410594.73967552185,4280.394,4237.636,4156.758,4464.303,4270.0913,4592.576,4382.909,4371.061,3983.6667,3813.1516,4541.061,4361.7876,4390.1216,4235.0605
410602.60939598083,4281.4243,4238.152,4157.273,4465.8486,4271.636,4591.5454,4377.758,4377.758,3993.97,3820.879,4546.2124,4369.5156,4395.788,4236.091
410610.6698513031,4281.4243,4238.667,4156.758,4466.364,4270.6064,4590.515,4381.8794,4379.303,3995.0,3821.3943,4546.2124,4365.394,4393.727,4237.636
410623.6412525177,4280.9097,4238.152,4156.758,4464.303,4268.546,4591.5454,4388.5757,4376.212,3994.4849,3817.788,4543.636,4359.727,4388.5757,4236.091
410625.59819221497,4281.4243,4237.636,4156.2427,4464.303,4267.515,4590.0,4387.5454,4376.727,4001.1821,3817.273,4545.182,4360.758,4389.091,4236.091
410639.356136322,4282.4546,4236.6064,4156.758,4466.8794,4267.0,4590.0,4389.091,4381.364,4006.8486,3816.7578,4545.182,4362.8184,4389.606,4237.636
410641.6428089142,4275.242,4235.5757,4154.182,4466.364,4266.485,4593.0913,4393.212,4385.485,4011.4849,3816.2427,4544.667,4362.8184,4387.0303,4237.636
410649.6744155884,4267.0,4234.5454,4150.576,4461.2124,4264.4243,4591.5454,4390.636,4386.515,4017.1519,3818.3035,4544.667,4360.758,4386.515,4235.5757
410660.59732437134,4272.667,4235.5757,4153.1514,4463.273,4263.9097,4588.97,4385.485,4385.485,4022.818,3819.3337,4544.667,4361.273,4388.5757,4235.0605
410668.4772968292,4282.4546,4238.667,4158.303,4464.819,4267.515,4591.031,4391.6665,4389.606,4026.9397,3819.3337,4551.879,4362.303,4392.697,4235.5757
410676.1004924774,4282.97,4239.182,4160.364,4457.606,4270.6064,4594.1216,4395.273,4395.273,4035.182,3820.364,4554.4546,4364.364,4394.758,4239.182
410681.6952228546,4282.4546,4238.152,4159.8486,4457.091,4266.485,4587.4243,4383.4243,4390.636,4038.273,3818.3035,4547.2427,4362.303,4390.636,4239.697
410711.5647792816,4280.9097,4237.1216,4158.819,4464.303,4264.9395,4578.152,4375.6973,4379.303,4030.5457,3808.0002,4539.0,4353.0303,4378.7876,4228.879
410711.7033004761,4276.788,4235.0605,4156.2427,4462.7583,4267.515,4577.121,4379.8184,4371.576,4024.3635,3800.2727,4530.2427,4343.758,4367.9697,4219.606
410724.46489334106,4278.849,4234.5454,4155.727,4463.788,4264.9395,4580.2124,4378.7876,4369.5156,4029.5151,3800.7878,4527.152,4343.758,4365.394,4220.121
