Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
1,4272.152,4222.1816,4154.6973,4420.515,4275.242,4546.2124,4431.8486,4221.1514,4494.1816,3773.4849,4417.4243,4382.909,4281.9395,4154.6973
2,4264.4243,4217.5454,4153.1514,4417.9395,4271.636,4544.667,4430.8184,4221.6665,4493.152,3770.9092,4410.7275,4377.2427,4279.364,4145.4243
3,4273.1816,4220.6367,4154.6973,4420.515,4274.7275,4543.636,4430.303,4220.121,4493.152,3768.3335,4408.152,4375.6973,4277.8184,4142.3335
4,4282.97,4227.8486,4159.8486,4428.758,4282.97,4545.697,4438.031,4222.1816,4495.2124,3772.9697,4416.394,4382.394,4281.9395,4154.182
5,4277.8184,4229.394,4161.394,4430.8184,4281.4243,4546.7275,4446.7876,4227.8486,4496.758,3773.4849,4416.909,4382.909,4281.4243,4153.6665
6,4274.2124,4224.758,4157.273,4428.758,4276.788,4547.2427,4448.334,4226.8184,4494.1816,3767.8184,4411.758,4375.6973,4275.758,4147.485
7,4279.364,4223.7275,4159.3335,4429.788,4280.9097,4547.2427,4447.303,4224.2427,4495.7275,3769.879,4413.8184,4378.2725,4279.364,4152.6367
8,4281.9395,4228.364,4161.394,4430.8184,4281.9395,4549.303,4449.8794,4226.303,4502.9395,3776.5762,4417.9395,4385.485,4285.031,4155.727
9,4281.4243,4233.515,4161.909,4432.879,4279.879,4555.4854,4457.606,4231.4546,4509.121,3780.6973,4423.6064,4389.091,4286.0605,4156.2427
10,4285.031,4237.1216,4165.515,4432.879,4282.97,4560.121,4463.788,4236.6064,4512.727,3787.9092,4433.394,4394.2427,4293.273,4159.8486
11,4284.515,4235.5757,4165.0005,4432.364,4285.5454,4558.0605,4462.7583,4237.636,4510.152,3786.3635,4430.8184,4394.758,4296.364,4159.8486
12,4281.9395,4233.515,4163.4546,4433.394,4285.5454,4556.0,4461.7275,4232.485,4500.364,3778.6367,4420.515,4385.485,4286.5757,4155.727
13,4284.515,4235.0605,4165.0005,4434.4243,4284.515,4557.546,4464.303,4229.909,4496.758,3779.667,4420.0,4383.94,4282.97,4155.212
14,4284.0,4235.0605,4165.515,4431.3335,4282.4546,4556.515,4463.273,4233.515,4503.97,3782.7578,4424.6367,4387.0303,4289.667,4155.212
15,4282.4546,4234.5454,4165.0005,4431.3335,4284.0,4557.031,4467.909,4238.667,4510.152,3782.7578,4426.6973,4387.0303,4293.788,4158.303
16,4287.606,4235.5757,4168.606,4438.5454,4289.667,4561.152,4476.152,4242.788,4513.758,3787.3938,4430.8184,4391.1514,4299.4546,4163.4546
17,4288.636,4236.6064,4167.061,4438.5454,4288.636,4559.6064,4470.485,4237.1216,4510.152,3785.8486,4425.667,4391.6665,4297.394,4159.8486
18,4282.4546,4234.0303,4156.2427,4430.303,4281.9395,4555.4854,4462.7583,4232.485,4499.3335,3775.546,4415.879,4384.4546,4285.5454,4153.6665
19,4280.9097,4232.485,4152.6367,4429.273,4281.4243,4555.4854,4466.364,4237.1216,4501.9097,3776.0608,4418.4546,4383.4243,4287.606,4154.182
20,4284.515,4234.0303,4155.212,4432.879,4284.515,4557.546,4466.8794,4237.636,4510.6665,3783.788,4425.152,4386.0005,4298.4243,4158.819
21,4283.485,4233.0,4156.2427,4431.3335,4284.515,4557.031,4465.3335,4235.5757,4508.0913,3784.303,4425.667,4386.515,4298.9395,4159.8486
22,4281.4243,4231.9697,4158.303,4429.273,4283.485,4557.031,4466.364,4238.667,4506.5454,3784.8184,4428.2427,4389.091,4296.364,4156.2427
23,4281.9395,4233.515,4162.4243,4431.3335,4283.485,4558.0605,4466.8794,4242.788,4512.727,3788.9397,4433.9097,4393.212,4299.9697,4160.8794
24,4284.0,4235.0605,4163.9697,4432.364,4285.5454,4559.0913,4470.485,4242.788,4513.2427,3791.0002,4434.94,4396.3037,4303.576,4173.2427
25,4285.031,4234.5454,4163.4546,4431.8486,4284.515,4558.5757,4474.6064,4242.273,4510.6665,3787.9092,4432.364,4395.273,4301.515,4171.6973
26,4282.97,4233.515,4160.364,4430.303,4282.4546,4556.515,4474.0913,4238.667,4511.1816,3784.303,4430.303,4393.212,4298.9395,4158.819
27,4280.394,4232.485,4155.212,4430.8184,4282.97,4556.0,4474.0913,4238.152,4512.2124,3785.3333,4432.879,4391.1514,4298.9395,4161.394
28,4282.97,4234.5454,4156.2427,4432.879,4282.4546,4558.5757,4476.152,4244.8486,4511.6973,3786.3635,4435.97,4390.636,4298.9395,4168.606
29,4284.515,4232.485,4158.819,4431.3335,4281.9395,4557.031,4478.2124,4247.9395,4513.2427,3782.2424,4431.8486,4389.606,4298.4243,4161.909
30,4279.879,4227.3335,4157.273,4428.2427,4279.879,4549.303,4478.7275,4245.879,4511.1816,3778.6367,4425.152,4386.0005,4297.909,4156.2427
31,4276.273,4224.2427,4154.182,4429.273,4274.2124,4544.667,4472.0303,4241.7573,4500.364,3775.0305,4420.515,4378.7876,4288.636,4155.727
32,4278.3335,4225.273,4155.212,4430.303,4272.152,4545.182,4463.788,4236.091,4492.6367,3768.8486,4415.879,4374.1514,4281.4243,4152.1216
33,4281.9395,4227.3335,4156.758,4429.273,4275.758,4546.2124,4466.364,4234.0303,4497.273,3769.3638,4418.4546,4379.303,4287.606,4153.1514
34,4278.3335,4223.7275,4158.303,4430.303,4271.121,4546.2124,4466.8794,4235.5757,4499.3335,3773.4849,4424.1216,4382.394,4289.667,4158.303
35,4281.9395,4227.8486,4158.303,4430.8184,4275.242,4546.7275,4468.94,4235.0605,4499.3335,3771.4243,4427.7275,4380.333,4290.6973,4158.819
36,4278.3335,4220.121,4155.727,4430.8184,4268.546,4546.2124,4463.788,4233.515,4495.7275,3767.3032,4420.515,4378.2725,4284.0,4153.6665
37,4278.3335,4222.1816,4155.727,4430.303,4268.546,4545.182,4463.273,4233.515,4492.6367,3767.3032,4415.364,4376.727,4281.4243,4151.606
38,4280.9097,4227.8486,4157.788,4430.8184,4275.242,4545.182,4465.8486,4234.0303,4494.6973,3766.273,4418.4546,4373.6367,4281.9395,4153.1514
39,4280.394,4227.3335,4157.788,4431.8486,4279.879,4546.7275,4464.303,4233.0,4496.242,3764.2124,4418.9697,4370.5454,4281.9395,4153.1514
40,4278.3335,4229.909,4158.819,4432.364,4279.879,4547.7573,4466.364,4237.1216,4494.1816,3768.3335,4421.031,4375.6973,4284.0,4154.182
41,4280.394,4229.394,4160.364,4431.3335,4278.849,4546.2124,4468.4243,4242.273,4498.3027,3774.0,4429.273,4379.303,4288.121,4158.303
42,4268.031,4218.0605,4154.6973,4427.7275,4267.515,4541.061,4460.182,4242.788,4496.242,3770.9092,4430.303,4373.6367,4284.515,4154.182
43,4270.0913,4224.2427,4156.2427,4423.6064,4269.5757,4543.1216,4462.2427,4238.667,4494.1816,3770.394,4430.8184,4369.5156,4280.9097,4153.1514
44,4270.6064,4224.758,4159.3335,4430.303,4270.0913,4544.667,4464.303,4243.303,4502.4243,3770.9092,4429.273,4371.576,4287.606,4154.6973
