Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
3206557.821035385,4234.0303,4459.6665,4107.303,4463.273,4348.909,4539.0,4348.909,4293.273,4474.6064,3747.7273,4436.485,4250.515,4267.0,4129.9697
3206568.444252014,4236.6064,4463.788,4110.394,4464.819,4350.9697,4542.6064,4354.5757,4298.4243,4484.909,3759.5757,4442.6665,4263.394,4278.849,4144.909
3206572.8466510773,4234.5454,4458.1216,4109.364,4463.788,4345.303,4542.6064,4356.6367,4292.758,4481.8184,3757.0002,4438.031,4264.4243,4276.273,4142.848
3206580.846786499,4233.0,4449.364,4108.8486,4461.7275,4341.1816,4539.515,4352.0,4291.2124,4473.576,3748.758,4431.8486,4254.121,4264.9395,4129.9697
3206589.451789856,4229.909,4445.758,4107.8184,4455.5454,4342.2124,4532.8184,4345.8184,4287.606,4465.8486,3741.0305,4426.6973,4248.4546,4257.7275,4122.758
3206596.8673229218,4227.3335,4445.758,4107.8184,4455.5454,4342.7275,4528.182,4344.788,4279.879,4460.6978,3736.3943,4421.546,4250.0,4253.6064,4122.758
3206603.9669513702,4230.9395,4447.303,4108.8486,4462.2427,4341.6973,4531.273,4346.8486,4281.9395,4463.788,3740.0002,4423.0913,4251.546,4253.0913,4125.8486
3206611.9034290314,4230.4243,4443.6973,4104.7275,4457.606,4339.636,4531.273,4343.2427,4280.9097,4463.273,3738.97,4420.0,4250.0,4252.0605,4119.667
3206620.6469535828,4230.4243,4438.031,4103.697,4452.455,4340.667,4528.6973,4340.667,4274.2124,4460.182,3730.7273,4413.303,4247.4243,4247.9395,4112.4546
3206628.906726837,4234.5454,4440.0913,4109.879,4460.182,4345.8184,4530.758,4344.273,4277.8184,4462.2427,3734.3335,4418.4546,4250.0,4251.031,4117.6064
3206651.553630829,4234.5454,4441.1216,4111.4243,4460.6978,4346.3335,4532.303,4347.364,4283.485,4462.2427,3742.576,4421.031,4254.121,4254.121,4123.273
3206652.935743332,4234.0303,4433.9097,4108.8486,4453.485,4343.2427,4531.273,4344.273,4280.394,4461.7275,3738.97,4416.394,4252.0605,4251.031,4117.091
3206653.90086174,4231.9697,4430.8184,4108.8486,4454.0005,4343.758,4529.2124,4341.1816,4278.849,4458.1216,3730.7273,4414.8486,4249.4854,4250.0,4109.879
3206659.909963608,4227.8486,4432.364,4109.879,4452.9697,4344.788,4529.2124,4344.273,4281.4243,4454.0005,3731.7576,4417.4243,4251.031,4250.0,4112.9697
3206670.3679561615,4229.909,4432.364,4109.879,4454.5156,4343.2427,4530.2427,4345.8184,4282.97,4454.0005,3732.273,4416.909,4251.031,4248.9697,4115.0303
3206679.8939704895,4235.0605,4430.303,4110.394,4459.1514,4343.2427,4529.7275,4341.1816,4279.364,4457.091,3729.1821,4415.879,4250.515,4250.515,4111.9395
3206682.869195938,4234.5454,4426.6973,4111.4243,4455.0303,4342.7275,4529.7275,4342.2124,4277.303,4457.091,3732.273,4418.4546,4251.031,4252.5757,4112.4546
3206709.8989486694,4231.9697,4423.0913,4111.9395,4449.364,4338.6064,4529.7275,4346.3335,4277.303,4451.4243,3733.3032,4416.909,4250.515,4251.031,4112.9697
3206710.886001587,4231.4546,4421.031,4111.4243,4454.5156,4340.1514,4530.2427,4339.636,4277.303,4452.9697,3732.273,4414.3335,4251.546,4252.0605,4112.9697
3206711.8153572083,4235.0605,4419.485,4111.4243,4455.5454,4341.6973,4530.2427,4333.9697,4277.303,4460.6978,3735.3638,4414.8486,4253.0913,4253.6064,4114.515
3206714.8389816284,4235.0605,4417.4243,4110.394,4448.8486,4337.0605,4529.7275,4339.121,4275.242,4461.2124,3735.8792,4413.8184,4252.5757,4251.031,4112.4546
3206722.864627838,4226.303,4412.788,4108.8486,4449.8794,4335.0,4528.6973,4340.1514,4273.1816,4450.909,3732.7878,4412.788,4253.6064,4252.0605,4110.394
3206730.917453766,4224.2427,4407.6367,4107.303,4451.4243,4336.546,4528.182,4335.0,4271.636,4444.727,3729.697,4404.546,4250.0,4248.4546,4110.909
3206746.961593628,4230.4243,4408.152,4107.8184,4447.819,4332.9395,4528.6973,4334.4854,4269.0605,4445.2427,3724.0308,4390.636,4241.7573,4235.0605,4105.2427
3206748.892068863,4231.4546,4411.2427,4111.4243,4449.364,4335.515,4529.7275,4338.6064,4270.6064,4446.273,3724.0308,4390.636,4243.818,4236.091,4102.1514
3206755.1081180573,4231.9697,4408.152,4111.4243,4454.0005,4340.667,4530.2427,4342.7275,4277.303,4448.8486,3735.3638,4399.909,4254.121,4248.9697,4111.4243
3206762.8881931305,4234.5454,4406.091,4113.485,4452.455,4338.091,4531.273,4346.3335,4282.97,4450.909,3741.0305,4399.909,4253.6064,4252.0605,4115.0303
3206770.5941200256,4236.6064,4408.152,4118.1216,4448.8486,4336.546,4531.788,4349.4243,4281.9395,4455.0303,3735.3638,4397.3335,4247.9395,4246.909,4110.909
3206777.841091156,4237.1216,4407.6367,4118.1216,4449.8794,4340.1514,4530.2427,4347.879,4282.97,4459.6665,3740.5154,4400.425,4255.152,4250.515,4116.5757
3206785.8607769012,4237.1216,4407.121,4119.152,4456.576,4342.7275,4533.8486,4348.909,4285.5454,4468.94,3754.9397,4408.667,4268.546,4261.8486,4129.9697
