Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
5253808.469772339,4273.697,4223.2124,4156.758,4420.0,4286.5757,4566.303,4405.0605,4302.546,4389.091,3787.9092,4431.3335,4177.364,4277.303,4130.485
5253815.454483032,4278.3335,4221.6665,4150.576,4415.879,4287.606,4560.121,4394.758,4298.4243,4387.5454,3798.7273,4442.6665,4187.152,4286.0605,4139.758
5253838.451385498,4277.8184,4223.2124,4148.0005,4419.485,4287.606,4562.182,4395.273,4297.394,4420.515,3798.7273,4447.303,4192.8184,4287.0913,4143.364
5253839.4594192505,4278.3335,4223.2124,4148.0005,4421.031,4285.031,4563.2124,4406.091,4299.9697,4527.667,3780.6973,4432.364,4189.2124,4281.9395,4141.8184
5253848.459243774,4278.849,4220.6367,4144.3945,4414.8486,4281.9395,4564.2427,4418.4546,4299.9697,4615.2427,3762.1519,4417.4243,4179.9395,4272.152,4141.8184
5253849.427700043,4276.273,4221.6665,4141.303,4414.8486,4284.0,4565.273,4415.364,4297.394,4617.303,3756.4849,4415.879,4174.273,4265.4546,4139.2427
5253856.494426727,4269.5757,4223.2124,4140.7876,4418.9697,4286.5757,4560.121,4405.0605,4290.182,4596.6973,3754.9397,4410.7275,4172.2124,4260.818,4128.9395
5253863.369941711,4270.0913,4219.606,4140.7876,4414.3335,4282.97,4563.7275,4407.121,4288.121,4601.3335,3752.8792,4405.5757,4170.667,4255.667,4122.758
5253871.659755707,4278.849,4222.1816,4140.7876,4414.3335,4285.5454,4575.0605,4414.3335,4297.909,4609.576,3754.9397,4411.758,4171.6973,4261.3335,4127.394
5253879.465818405,4279.879,4230.9395,4142.848,4423.0913,4290.6973,4571.4546,4419.485,4299.9697,4605.455,3754.4243,4412.273,4173.2427,4265.4546,4127.394
5253888.8194561,4272.667,4230.4243,4142.848,4422.061,4289.152,4560.121,4417.4243,4293.273,4597.2124,3753.394,4404.0303,4171.182,4258.2427,4123.273
5253894.467592239,4268.031,4220.6367,4136.6665,4416.394,4285.5454,4560.636,4412.788,4294.8184,4594.6367,3755.97,4404.0303,4170.667,4253.0913,4122.758
5253902.484178543,4269.5757,4219.606,4133.576,4417.9395,4285.5454,4563.7275,4416.909,4292.758,4595.667,3757.5151,4412.273,4171.6973,4253.6064,4123.788
5253910.46667099,4273.1816,4227.3335,4136.6665,4422.061,4286.0605,4559.6064,4411.758,4281.9395,4596.182,3758.0305,4417.4243,4171.6973,4258.7573,4124.8184
5253918.400287628,4275.242,4230.4243,4133.061,4418.9697,4284.0,4559.0913,4400.425,4288.121,4601.8486,3762.1519,4417.9395,4175.303,4265.4546,4125.8486
5253926.479816437,4277.303,4230.9395,4130.485,4418.4546,4284.0,4562.697,4406.091,4301.515,4603.394,3763.1821,4418.9697,4177.364,4266.485,4127.394
5253942.502975464,4281.9395,4233.515,4134.606,4424.1216,4284.0,4561.667,4416.394,4299.9697,4599.273,3759.5757,4418.9697,4175.8184,4264.9395,4128.4243
5253944.43821907,4280.394,4233.0,4132.031,4422.061,4275.242,4559.6064,4407.6367,4294.303,4599.788,3759.0608,4415.879,4175.8184,4263.394,4126.364
5253950.524091721,4276.273,4231.9697,4127.909,4420.0,4267.0,4564.7573,4398.879,4301.0,4603.394,3765.7578,4419.485,4183.546,4265.4546,4129.4546
5253966.570615768,4286.0605,4236.6064,4138.727,4430.8184,4275.242,4573.0,4413.303,4313.364,4611.6367,3774.5151,4431.3335,4196.9395,4277.303,4144.909
5253967.528820038,4290.6973,4240.2124,4144.909,4439.061,4284.0,4574.546,4423.6064,4312.8486,4618.8486,3778.6367,4435.97,4204.152,4287.0913,4150.576
5253973.484039307,4285.031,4235.5757,4139.758,4430.8184,4278.849,4575.0605,4418.4546,4311.303,4618.3335,3779.667,4431.8486,4203.121,4283.485,4145.4243
5253981.525659561,4290.182,4238.152,4140.7876,4430.303,4278.849,4578.152,4421.031,4320.5757,4622.4546,3784.8184,4438.031,4206.2124,4288.121,4152.6367
5253989.394903183,4293.273,4244.3335,4144.909,4440.0913,4284.515,4576.6064,4422.061,4322.636,4629.1514,3789.97,4445.2427,4210.8486,4301.515,4159.8486
5253997.485399246,4286.0605,4241.2427,4142.3335,4439.061,4282.4546,4575.5757,4410.2124,4313.364,4625.0303,3789.4548,4439.061,4209.3027,4300.485,4151.091
5254005.416870117,4283.485,4234.5454,4139.758,4431.3335,4279.364,4573.515,4407.121,4312.8486,4617.303,3783.788,4433.9097,4207.758,4291.7275,4143.879
5254013.4563446045,4283.485,4236.091,4138.727,4428.758,4276.273,4563.2124,4407.121,4311.8184,4611.6367,3774.5151,4430.303,4204.152,4282.97,4139.758
5254021.522760391,4281.9395,4236.6064,4134.606,4425.667,4273.1816,4556.515,4395.788,4298.9395,4602.364,3768.3335,4421.031,4193.3335,4273.1816,4129.9697
5254029.472351074,4281.4243,4226.303,4128.4243,4417.4243,4272.667,4560.121,4393.727,4295.8486,4597.7275,3770.9092,4419.485,4188.6973,4273.697,4127.909
5254045.483827591,4273.697,4218.576,4125.8486,4415.364,4268.546,4559.6064,4400.425,4296.879,4594.6367,3766.788,4422.061,4188.6973,4272.667,4129.4546
5254046.39172554,4267.515,4225.788,4125.8486,4420.0,4269.5757,4557.031,4400.9395,4288.636,4592.061,3759.0608,4416.909,4187.667,4265.97,4126.879
5254052.47592926,4271.121,4232.485,4126.879,4420.515,4277.8184,4560.121,4401.9697,4283.485,4588.97,3754.9397,4412.788,4184.0605,4264.4243,4123.788
5254069.638729095,4268.546,4226.303,4126.879,4418.4546,4274.7275,4560.636,4394.758,4282.97,4577.636,3745.6667,4408.152,4173.758,4257.2124,4116.5757
5254070.609331131,4265.97,4225.788,4126.364,4417.9395,4267.515,4559.0913,4387.0303,4283.485,4573.515,3744.1213,4405.0605,4170.667,4252.5757,4113.485
5254076.444387436,4276.788,4233.515,4127.394,4419.485,4271.636,4562.182,4408.152,4293.788,4592.061,3762.1519,4417.9395,4189.7275,4271.121,4133.061
5254084.4078063965,4285.031,4235.5757,4131.5156,4424.6367,4272.152,4564.2427,4432.879,4306.1514,4608.0303,3775.0305,4432.879,4206.2124,4289.152,4148.0005
5254092.43106842,4282.97,4233.515,4133.061,4430.303,4266.485,4561.152,4425.152,4311.8184,4603.909,3771.4243,4433.394,4203.121,4282.97,4142.848
5254100.484848022,4282.4546,4235.5757,4133.061,4431.8486,4276.273,4561.152,4404.546,4313.879,4604.9395,3778.6367,4433.394,4204.152,4284.515,4145.94
5254108.533620834,4283.485,4235.5757,4136.6665,4426.6973,4284.515,4563.2124,4395.788,4309.758,4610.091,3785.8486,4434.4243,4207.758,4291.2124,4152.1216
5254115.443468094,4281.4243,4233.0,4140.273,4422.576,4274.7275,4562.182,4406.091,4302.546,4602.879,3775.0305,4429.273,4200.031,4282.4546,4141.8184
5254123.5728263855,4282.97,4235.5757,4142.3335,4427.2124,4273.697,4567.3335,4415.879,4310.788,4601.8486,3770.9092,4432.879,4201.576,4280.9097,4140.273
5254131.476640701,4285.5454,4236.6064,4144.909,4430.303,4283.485,4574.546,4408.152,4315.94,4607.0005,3772.9697,4432.364,4207.242,4287.0913,4146.9697
5254148.469924927,4283.485,4234.0303,4142.848,4424.6367,4279.879,4573.0,4403.0,4304.6064,4598.2427,3761.1213,4418.9697,4194.3633,4279.364,4137.182
5254149.456977844,4282.97,4235.5757,4143.364,4425.667,4276.788,4572.4854,4416.909,4303.576,4589.485,3755.97,4418.9697,4188.6973,4273.1816,4132.031
5254155.608415604,4285.5454,4240.2124,4154.182,4434.4243,4284.0,4577.121,4426.182,4314.909,4593.6064,3768.8486,4430.8184,4201.576,4280.9097,4140.7876
5254171.585321426,4288.121,4239.182,4158.303,4434.94,4278.3335,4575.5757,4428.758,4317.4854,4599.273,3774.0,4430.8184,4205.6973,4285.031,4142.3335
5254177.251577377,4290.182,4237.636,4148.0005,4432.879,4269.5757,4570.9395,4437.0005,4312.8486,4598.2427,3767.8184,4427.7275,4202.606,4281.9395,4142.848
5254185.069322586,4292.758,4239.697,4143.364,4435.455,4270.6064,4574.031,4423.0913,4310.2725,4600.8184,3770.9092,4434.4243,4208.273,4286.0605,4148.5156
5254192.396402359,4292.2427,4239.182,4146.455,4434.4243,4262.879,4576.0913,4399.909,4312.333,4604.9395,3776.5762,4437.0005,4208.7876,4289.667,4147.485
5254194.454193115,4285.5454,4237.636,4144.909,4433.394,4248.9697,4573.0,4414.3335,4313.879,4597.7275,3772.9697,4430.8184,4208.273,4283.485,4145.4243
5254203.966140747,4287.0913,4243.303,4142.848,4438.5454,4240.2124,4573.515,4439.061,4317.4854,4595.667,3776.0608,4437.0005,4216.5156,4287.606,4152.6367
5254210.754394531,4294.303,4248.9697,4143.364,4439.061,4233.0,4576.0913,4425.667,4321.091,4608.0303,3787.3938,4449.364,4222.1816,4299.9697,4160.364
5254219.071865082,4291.2124,4243.303,4142.3335,4433.394,4220.6367,4571.97,4400.9395,4312.8486,4607.0005,3786.3635,4443.6973,4219.606,4295.3335,4156.758
5254229.348659515,4281.4243,4235.0605,4139.758,4429.273,4207.242,4569.394,4405.5757,4299.4546,4588.97,3773.4849,4429.788,4209.8184,4280.394,4146.455
5254238.72423172,4285.5454,4241.2427,4142.3335,4433.394,4202.606,4575.0605,4426.182,4302.546,4588.97,3769.3638,4429.273,4205.1816,4279.879,4143.364
5254250.460386276,4291.7275,4247.9395,4144.909,4436.485,4205.1816,4576.0913,4433.9097,4314.3936,4596.6973,3770.9092,4431.8486,4209.8184,4284.0,4150.061
5254252.4354457855,4285.5454,4241.2427,4141.8184,4430.8184,4197.97,4575.0605,4422.576,4315.425,4590.515,3768.8486,4425.152,4210.8486,4279.364,4149.0303
5254258.423089981,4282.97,4236.6064,4138.727,4429.788,4187.152,4573.0,4425.152,4308.7275,4588.4546,3768.3335,4425.667,4205.1816,4277.8184,4141.303
5254266.3650512695,4286.0605,4238.667,4140.273,4434.4243,4189.2124,4563.7275,4442.6665,4303.061,4585.879,3769.879,4430.8184,4204.152,4276.273,4140.7876
5254274.120092392,4284.0,4237.1216,4138.727,4430.8184,4188.6973,4561.152,4432.879,4305.1216,4577.121,3769.3638,4431.3335,4204.6665,4269.5757,4139.758
5254281.397819519,4280.9097,4235.5757,4137.6973,4429.273,4185.6064,4573.515,4404.0303,4308.212,4578.667,3769.879,4431.8486,4202.0913,4267.0,4133.576
5254289.432048798,4283.485,4238.667,4139.758,4434.4243,4187.152,4578.152,4398.3643,4299.4546,4583.303,3777.091,4436.485,4205.6973,4271.636,4133.576
5254297.425270081,4283.485,4237.1216,4134.0913,4427.2124,4181.485,4574.031,4397.3335,4290.6973,4579.182,3777.091,4437.5156,4206.727,4272.152,4132.5454
5254305.798530579,4277.303,4232.485,4124.303,4418.4546,4175.8184,4575.5757,4388.061,4295.3335,4571.97,3760.606,4427.2124,4195.394,4263.394,4120.182
5254313.461780548,4276.273,4235.0605,4124.303,4427.7275,4184.0605,4576.6064,4404.0303,4298.9395,4567.849,3751.8489,4421.546,4187.152,4259.273,4116.0605
5254321.395635605,4280.9097,4237.636,4132.031,4434.4243,4188.6973,4573.0,4430.8184,4297.394,4569.394,3761.6362,4428.2427,4195.909,4264.9395,4125.8486
5254329.380512238,4280.394,4234.5454,4131.5156,4423.6064,4184.0605,4572.4854,4418.9697,4300.485,4572.4854,3765.7578,4431.8486,4203.6367,4268.031,4128.4243
5254336.489200592,4277.303,4233.0,4126.879,4420.0,4184.576,4572.4854,4388.5757,4296.364,4567.3335,3760.091,4427.7275,4195.909,4262.879,4122.758
5254353.491783142,4280.394,4236.091,4129.4546,4430.8184,4188.1816,4573.515,4389.606,4294.8184,4570.9395,3767.8184,4430.8184,4197.455,4265.97,4128.9395
5254354.510784149,4284.515,4238.152,4135.1216,4431.8486,4187.667,4576.6064,4400.9395,4305.1216,4587.9395,3781.2122,4445.2427,4213.4243,4278.3335,4140.7876
5254360.525131226,4281.9395,4237.1216,4134.606,4427.2124,4188.1816,4574.546,4396.3037,4306.667,4586.9097,3787.3938,4447.303,4214.9697,4279.364,4143.364
5254368.451118469,4279.879,4236.091,4128.9395,4430.303,4189.2124,4577.121,4398.3643,4297.909,4574.546,3786.3635,4435.97,4206.727,4270.6064,4139.2427
5254376.511096954,4280.394,4236.6064,4127.394,4432.879,4189.2124,4587.4243,4396.3037,4293.273,4573.0,3774.5151,4429.788,4204.152,4264.9395,4136.152
5254384.457349777,4280.394,4236.6064,4132.031,4429.273,4188.6973,4595.667,4387.0303,4296.364,4574.031,3763.1821,4431.8486,4205.1816,4263.9097,4133.576
5254392.4651145935,4282.4546,4236.6064,4138.727,4432.879,4190.758,4596.6973,4397.8486,4304.091,4575.0605,3768.8486,4432.879,4212.909,4262.364,4138.727
5254400.527954102,4283.485,4237.1216,4139.758,4435.97,4194.879,4595.152,4404.0303,4308.7275,4577.121,3777.6064,4433.9097,4217.5454,4264.4243,4143.879
5254407.486438751,4279.364,4236.091,4132.5454,4426.6973,4191.788,4594.6367,4394.2427,4302.546,4574.546,3773.4849,4432.364,4208.7876,4264.9395,4137.6973
5254415.466308594,4278.3335,4234.0303,4126.879,4423.0913,4191.273,4593.0913,4393.212,4296.879,4569.394,3766.788,4429.788,4202.606,4253.0913,4133.576
5254423.488378525,4281.9395,4235.5757,4132.031,4431.3335,4199.5156,4592.576,4400.9395,4300.485,4568.364,3770.9092,4431.8486,4208.7876,4286.5757,4138.2124
5254431.524038315,4281.9395,4237.636,4139.2427,4437.0005,4204.6665,4592.061,4410.2124,4302.0303,4568.879,3778.6367,4432.364,4208.273,4393.212,4139.2427
5254439.474105835,4278.849,4238.667,4135.6367,4433.394,4202.0913,4590.515,4415.364,4302.0303,4570.9395,3780.6973,4432.364,4205.1816,4486.97,4137.6973
5254455.415725708,4278.849,4237.1216,4128.4243,4430.303,4201.0605,4589.485,4401.4546,4300.485,4570.4243,3776.0608,4432.364,4211.364,4500.879,4137.6973
5254462.44096756,4280.394,4236.6064,4132.5454,4432.879,4202.0913,4586.9097,4392.182,4297.394,4569.394,3775.0305,4429.273,4214.9697,4457.606,4135.6367
