Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
755530.104637146,4299.4546,4225.273,4141.8184,4416.909,4290.6973,4544.667,4384.9697,4311.303,4475.6367,3736.9094,4399.394,4235.5757,4252.0605,4117.091
755531.0461521149,4299.4546,4230.4243,4142.3335,4419.485,4293.788,4543.636,4385.485,4314.909,4477.6973,3747.2122,4409.6973,4242.788,4260.818,4121.2124
755537.008523941,4301.0,4236.091,4147.485,4425.152,4301.0,4546.7275,4393.727,4329.8486,4492.121,3761.6362,4420.0,4253.0913,4275.758,4131.0005
755545.0422763824,4304.091,4236.6064,4150.576,4425.667,4300.485,4547.7573,4397.3335,4335.515,4503.455,3767.8184,4428.758,4256.697,4282.4546,4139.758
755553.0731678009,4302.546,4234.0303,4150.061,4424.1216,4295.8486,4543.636,4389.606,4330.3643,4499.849,3767.3032,4433.9097,4254.636,4284.0,4141.303
755561.0592365265,4299.4546,4233.515,4150.061,4426.6973,4296.364,4543.636,4386.0005,4330.3643,4495.7275,3763.6973,4428.2427,4254.121,4282.4546,4136.152
755574.5370388031,4301.0,4235.0605,4150.061,4428.758,4299.4546,4546.7275,4390.1216,4326.2427,4496.242,3760.606,4418.9697,4254.121,4276.273,4129.9697
755577.1887302399,4302.0303,4236.091,4144.3945,4423.6064,4297.909,4546.2124,4388.5757,4314.3936,4490.576,3757.0002,4415.879,4251.031,4269.5757,4126.364
755586.0691070557,4299.4546,4231.9697,4141.8184,4418.9697,4294.8184,4543.636,4383.4243,4315.425,4485.9395,3754.4243,4415.879,4248.9697,4268.031,4124.8184
755593.0726528168,4300.485,4229.394,4150.061,4423.6064,4296.879,4544.152,4387.0303,4323.667,4489.546,3754.9397,4417.9395,4251.031,4270.0913,4127.909
755609.3776226044,4302.0303,4231.4546,4152.6367,4428.758,4298.9395,4544.152,4387.5454,4319.546,4493.152,3755.4546,4418.9697,4252.0605,4270.6064,4129.4546
755610.0504398346,4299.4546,4229.909,4145.94,4426.6973,4294.303,4543.1216,4380.848,4314.909,4491.0913,3754.9397,4418.4546,4251.031,4268.546,4127.394
755620.0895309448,4298.4243,4222.6973,4143.364,4422.576,4291.7275,4543.636,4382.394,4318.0005,4487.4854,3755.97,4419.485,4250.515,4266.485,4127.394
755639.0607357025,4299.4546,4219.606,4144.909,4421.546,4294.303,4544.152,4386.0005,4316.4546,4482.3335,3753.394,4416.909,4249.4854,4266.485,4127.909
755640.0129795074,4299.4546,4226.8184,4144.909,4424.1216,4296.879,4544.667,4385.485,4318.0005,4483.879,3754.9397,4415.364,4250.0,4268.546,4126.364
755642.1654224396,4299.4546,4229.909,4142.3335,4425.667,4297.909,4544.667,4386.0005,4325.7275,4493.667,3761.1213,4419.485,4252.5757,4270.6064,4125.8486
755649.2471694946,4298.9395,4224.758,4141.8184,4422.061,4295.3335,4544.152,4387.5454,4325.212,4495.7275,3761.1213,4421.031,4252.5757,4270.6064,4128.4243
755661.1230373383,4297.909,4221.1514,4142.3335,4418.4546,4287.0913,4543.1216,4385.485,4316.9697,4492.121,3757.0002,4416.909,4251.031,4267.515,4127.909
755664.1237735748,4297.394,4222.6973,4143.364,4419.485,4285.031,4541.5757,4385.485,4314.909,4493.152,3756.4849,4415.364,4250.0,4264.4243,4125.8486
755672.123670578,4297.394,4225.273,4144.909,4421.546,4293.273,4542.6064,4386.515,4320.5757,4491.6064,3755.4546,4418.4546,4249.4854,4267.0,4126.879
755680.1295280457,4298.9395,4224.2427,4146.455,4420.515,4293.788,4543.1216,4383.94,4321.6064,4488.5156,3753.9094,4417.4243,4247.9395,4268.031,4127.394
755688.2441043854,4297.909,4222.1816,4143.364,4418.4546,4285.5454,4542.0913,4379.8184,4316.9697,4489.031,3757.0002,4412.273,4247.4243,4265.97,4125.3335
