Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
124049.01647567749,4370.5454,4297.909,4189.2124,4431.3335,4314.909,4551.879,4409.182,4374.1514,4735.273,3946.5762,4448.8486,4268.031,4313.879,4185.0913
124057.06977844238,4371.061,4295.8486,4190.758,4431.8486,4315.94,4543.1216,4401.9697,4367.9697,4725.4854,3945.5454,4449.8794,4265.4546,4313.879,4179.4243
124070.22356987,4370.0303,4297.394,4199.0,4435.97,4315.94,4545.182,4400.425,4366.9395,4727.031,3945.0303,4451.4243,4264.9395,4312.8486,4179.4243
124072.95441627502,4371.061,4301.0,4202.0913,4445.758,4315.425,4547.2427,4404.0303,4371.576,4736.8184,3946.5762,4451.4243,4268.031,4315.94,4187.152
124081.02059364319,4371.061,4300.485,4200.5454,4450.909,4315.94,4547.2427,4404.0303,4373.6367,4732.1816,3947.0913,4450.3945,4267.515,4316.4546,4189.2124
124090.05665779114,4370.5454,4301.0,4199.5156,4446.7876,4317.4854,4554.97,4406.6064,4372.606,4727.546,3945.5454,4448.8486,4264.4243,4308.212,4183.0303
124097.01204299927,4370.5454,4300.485,4194.3633,4445.758,4317.4854,4559.6064,4410.7275,4372.091,4732.6973,3943.4849,4446.7876,4262.364,4302.0303,4176.3335
124105.04984855652,4370.5454,4299.9697,4189.7275,4448.334,4316.4546,4556.0,4408.667,4371.061,4731.152,3944.0002,4446.273,4261.3335,4308.7275,4173.758
124113.17443847656,4370.5454,4301.0,4190.242,4447.819,4315.425,4550.3335,4406.6064,4371.061,4726.5156,3944.5151,4447.819,4263.9097,4312.8486,4178.909
124121.05894088745,4369.5156,4301.0,4195.909,4446.273,4314.3936,4545.182,4404.546,4370.5454,4730.6367,3945.0303,4451.94,4267.0,4312.8486,4185.0913
124128.03030014038,4371.576,4301.0,4203.121,4447.303,4313.879,4543.636,4401.4546,4372.091,4736.3027,3949.6667,4458.6367,4268.546,4317.4854,4186.121
124136.0673904419,4376.212,4301.515,4204.152,4447.819,4315.425,4544.667,4406.091,4376.212,4736.3027,3950.6973,4462.7583,4269.5757,4320.5757,4188.6973
124155.0841331482,4378.2725,4302.0303,4201.576,4447.819,4314.909,4544.152,4413.303,4376.212,4731.152,3947.0913,4460.6978,4269.5757,4316.4546,4190.242
124156.01921081543,4380.333,4300.485,4203.6367,4448.334,4313.879,4544.152,4409.182,4372.091,4728.0605,3944.0002,4458.6367,4266.485,4312.8486,4187.667
124160.47811508179,4386.515,4299.4546,4205.6973,4446.7876,4315.425,4545.697,4404.0303,4370.0303,4729.6064,3943.4849,4460.6978,4269.0605,4315.425,4188.1816
