Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
1,4288.121,4231.9697,4148.0005,4395.273,4188.1816,4531.788,4396.8184,4300.485,4497.273,3666.3335,4423.6064,4222.1816,4248.4546,4107.303
2,4285.5454,4223.7275,4141.303,4389.606,4190.758,4528.6973,4395.788,4299.9697,4495.2124,3664.788,4418.9697,4220.6367,4246.394,4106.273
3,4285.031,4226.8184,4140.7876,4396.3037,4188.1816,4528.6973,4390.636,4293.273,4490.576,3660.6667,4422.576,4218.0605,4246.909,4106.788
4,4291.7275,4229.909,4142.3335,4404.546,4187.667,4527.152,4395.788,4293.273,4491.6064,3666.3335,4431.3335,4225.788,4251.546,4110.909
5,4296.364,4221.1514,4141.303,4400.9395,4186.6367,4526.6367,4400.9395,4298.9395,4495.2124,3669.9397,4430.303,4234.5454,4251.031,4110.909
6,4296.364,4225.273,4143.364,4397.3335,4189.7275,4529.7275,4403.515,4301.515,4496.242,3669.4243,4426.182,4231.9697,4250.0,4110.394
7,4291.2124,4235.0605,4141.303,4396.3037,4193.8486,4529.7275,4401.9697,4298.9395,4494.6973,3669.4243,4424.1216,4222.6973,4251.031,4110.909
8,4285.031,4226.303,4133.576,4392.182,4189.7275,4527.667,4396.3037,4295.3335,4492.121,3666.8486,4419.485,4222.6973,4248.9697,4107.303
9,4293.788,4219.606,4136.152,4396.3037,4186.6367,4526.1216,4398.3643,4298.9395,4498.8184,3670.97,4424.1216,4232.485,4248.9697,4108.8486
10,4302.0303,4224.758,4143.364,4405.0605,4188.1816,4527.667,4400.9395,4308.7275,4510.152,3677.667,4433.9097,4235.5757,4254.121,4115.546
11,4298.9395,4222.6973,4141.8184,4404.0303,4189.7275,4529.2124,4394.758,4310.2725,4510.6665,3677.667,4433.9097,4232.485,4259.273,4117.6064
12,4298.4243,4225.273,4139.758,4397.3335,4191.788,4529.2124,4391.6665,4304.6064,4509.6367,3682.303,4432.879,4237.636,4260.303,4116.0605
13,4294.303,4231.9697,4137.6973,4395.273,4192.3027,4528.6973,4393.727,4299.4546,4506.5454,3684.364,4433.394,4237.636,4255.152,4112.4546
14,4285.031,4225.788,4133.576,4395.788,4190.242,4529.7275,4389.606,4298.4243,4502.9395,3675.6064,4432.364,4225.273,4251.546,4108.3335
15,4283.485,4218.576,4134.0913,4397.3335,4188.1816,4528.6973,4384.9697,4298.4243,4504.485,3674.5762,4432.364,4225.273,4255.667,4108.3335
16,4285.031,4219.091,4136.152,4397.8486,4188.6973,4528.182,4388.5757,4296.364,4502.4243,3678.182,4432.364,4233.0,4256.697,4110.394
17,4286.5757,4224.2427,4136.6665,4397.8486,4194.3633,4528.6973,4391.1514,4295.3335,4494.6973,3672.5156,4430.303,4233.515,4252.5757,4109.879
18,4292.758,4231.4546,4141.303,4399.394,4202.0913,4527.152,4388.061,4296.879,4496.242,3674.0608,4431.8486,4232.485,4253.0913,4108.3335
19,4296.879,4228.364,4143.879,4403.515,4202.606,4526.1216,4386.0005,4296.364,4499.3335,3680.7578,4435.455,4234.0303,4255.152,4109.879
20,4296.364,4219.091,4141.8184,4407.121,4200.031,4528.6973,4390.636,4294.8184,4495.2124,3675.6064,4434.94,4233.515,4255.667,4110.909
21,4298.4243,4226.303,4149.5454,4408.152,4202.0913,4530.758,4398.3643,4297.909,4501.3945,3676.6367,4432.879,4233.515,4256.1816,4110.394
22,4297.394,4233.515,4155.212,4403.515,4203.6367,4530.2427,4403.0,4302.546,4510.6665,3685.3943,4433.9097,4233.515,4255.667,4111.4243
23,4288.121,4223.7275,4145.94,4397.8486,4204.152,4529.2124,4402.4854,4301.0,4510.152,3679.2122,4429.788,4226.8184,4252.0605,4110.909
24,4283.485,4218.576,4138.2124,4396.8184,4204.6665,4530.758,4398.3643,4298.4243,4505.0,3668.9092,4423.0913,4219.606,4251.031,4108.3335
25,4284.515,4222.6973,4144.909,4396.8184,4202.0913,4531.788,4398.3643,4298.9395,4506.5454,3677.1516,4426.182,4222.6973,4254.121,4108.3335
26,4282.97,4224.2427,4149.5454,4397.3335,4202.606,4528.182,4399.394,4300.485,4508.0913,3684.8792,4432.364,4230.9395,4252.5757,4110.394
27,4288.121,4221.6665,4150.576,4400.425,4203.121,4530.758,4398.3643,4301.0,4502.9395,3679.2122,4432.364,4233.515,4253.6064,4112.9697
28,4299.4546,4221.6665,4154.6973,4402.4854,4201.0605,4539.0,4398.3643,4300.485,4500.364,3679.2122,4431.8486,4234.0303,4261.3335,4117.091
29,4293.788,4222.1816,4151.606,4396.8184,4202.606,4536.4243,4398.879,4298.9395,4500.879,3685.9094,4433.394,4235.0605,4261.3335,4115.546
30,4281.4243,4222.1816,4142.3335,4390.1216,4204.6665,4526.6367,4398.3643,4298.4243,4498.8184,3683.3337,4431.8486,4228.364,4251.546,4109.879
