Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
1,4280.9097,4221.6665,4153.6665,4412.273,4270.6064,4542.6064,4407.6367,4309.758,4511.6973,3776.5762,4431.3335,4236.091,4170.667,4128.4243
2,4281.9395,4223.7275,4155.212,4411.2427,4268.031,4544.152,4408.667,4305.1216,4511.6973,3779.667,4426.6973,4236.091,4172.2124,4126.879
3,4282.4546,4222.6973,4156.2427,4405.0605,4267.515,4544.152,4407.121,4298.9395,4507.0605,3774.0,4421.546,4235.0605,4171.182,4125.3335
4,4277.303,4222.1816,4157.788,4414.8486,4269.5757,4543.1216,4406.6064,4299.4546,4500.879,3770.394,4424.6367,4234.5454,4169.636,4124.303
5,4268.031,4223.2124,4154.6973,4419.485,4270.0913,4544.152,4406.091,4296.879,4493.667,3769.3638,4421.031,4231.4546,4168.091,4122.2427
6,4267.0,4220.6367,4145.94,4408.667,4268.031,4545.697,4408.152,4296.879,4498.8184,3769.879,4418.9697,4232.485,4169.636,4121.2124
7,4269.0605,4216.5156,4140.273,4400.9395,4264.9395,4543.1216,4409.6973,4304.6064,4509.6367,3772.4546,4430.8184,4236.091,4173.758,4121.7275
8,4268.546,4216.0,4145.94,4403.0,4260.303,4541.061,4410.7275,4302.546,4502.9395,3772.4546,4431.8486,4234.0303,4173.2427,4121.7275
9,4270.0913,4217.0303,4149.5454,4404.546,4261.3335,4544.667,4412.788,4300.485,4491.6064,3769.3638,4422.576,4233.0,4171.6973,4123.273
10,4268.546,4216.5156,4146.9697,4400.9395,4265.97,4545.697,4412.788,4306.1514,4499.849,3769.879,4425.667,4237.1216,4173.2427,4126.364
11,4265.97,4216.0,4144.3945,4398.879,4258.2427,4535.394,4407.121,4305.1216,4511.6973,3771.9395,4432.364,4238.152,4173.758,4127.394
12,4268.031,4216.5156,4145.94,4405.0605,4250.515,4526.1216,4404.0303,4298.4243,4506.5454,3770.9092,4429.273,4236.6064,4173.2427,4125.8486
13,4269.0605,4218.576,4151.091,4409.182,4258.7573,4530.758,4405.0605,4297.394,4497.788,3768.8486,4428.2427,4235.0605,4172.2124,4125.3335
14,4269.5757,4220.6367,4153.6665,4402.4854,4267.0,4540.031,4406.6064,4299.9697,4494.6973,3768.8486,4430.303,4234.0303,4174.788,4125.3335
15,4276.273,4221.1514,4158.819,4404.546,4265.4546,4541.5757,4411.2427,4303.061,4500.364,3775.546,4433.394,4241.7573,4183.546,4131.0005
16,4286.0605,4222.6973,4172.2124,4413.303,4266.485,4541.5757,4418.4546,4309.2427,4510.152,3783.788,4443.182,4251.031,4191.273,4139.758
17,4286.5757,4223.2124,4175.303,4411.2427,4270.0913,4544.152,4418.4546,4314.909,4512.727,3785.8486,4449.364,4253.0913,4194.3633,4143.364
18,4282.4546,4222.1816,4164.485,4408.152,4270.0913,4544.667,4417.9395,4315.94,4511.6973,3785.8486,4446.7876,4253.0913,4199.5156,4142.848
19,4284.515,4221.6665,4158.819,4410.7275,4270.6064,4544.667,4420.515,4311.303,4511.1816,3785.8486,4445.758,4252.5757,4202.0913,4141.303
20,4283.485,4220.121,4161.909,4407.121,4268.031,4542.6064,4417.9395,4305.6367,4511.1816,3781.2122,4449.364,4250.515,4194.879,4141.8184
21,4273.697,4217.5454,4155.727,4402.4854,4264.4243,4542.0913,4410.7275,4304.6064,4508.606,3778.6367,4445.758,4248.4546,4189.2124,4139.758
22,4267.515,4217.0303,4148.0005,4397.8486,4265.97,4543.1216,4406.6064,4304.6064,4501.3945,3775.0305,4434.94,4241.7573,4189.7275,4131.5156
23,4268.031,4218.0605,4143.364,4390.636,4267.0,4534.879,4404.546,4298.9395,4495.2124,3768.3335,4429.273,4233.515,4185.6064,4124.303
24,4269.0605,4216.5156,4140.273,4390.1216,4265.97,4528.182,4402.4854,4295.8486,4494.1816,3768.3335,4429.788,4233.515,4177.879,4124.8184
25,4268.031,4216.5156,4143.879,4391.6665,4267.0,4539.0,4404.546,4296.879,4493.667,3768.8486,4426.182,4235.0605,4177.879,4125.8486
26,4270.0913,4217.5454,4149.5454,4391.6665,4265.97,4546.7275,4408.667,4298.9395,4494.1816,3767.3032,4422.576,4234.0303,4183.546,4124.303
27,4270.6064,4218.0605,4152.1216,4400.9395,4263.9097,4539.0,4407.121,4301.515,4497.273,3768.8486,4427.7275,4235.0605,4185.0913,4126.364
28,4268.546,4218.576,4148.0005,4402.4854,4267.0,4534.879,4405.0605,4302.546,4496.758,3770.9092,4432.364,4235.5757,4185.0913,4125.8486
29,4268.546,4219.091,4146.455,4392.182,4268.031,4538.485,4410.2124,4303.061,4498.3027,3768.8486,4431.3335,4234.0303,4185.6064,4124.8184
30,4270.6064,4217.0303,4148.5156,4392.697,4265.4546,4539.0,4416.909,4309.2427,4509.121,3769.879,4432.364,4235.5757,4188.6973,4128.9395
31,4269.5757,4216.5156,4145.4243,4397.8486,4264.9395,4540.031,4416.909,4313.879,4511.1816,3774.0,4433.394,4237.1216,4190.758,4132.5454
32,4269.0605,4218.576,4141.8184,4393.212,4265.97,4542.6064,4415.364,4308.212,4500.364,3773.4849,4431.8486,4237.1216,4190.758,4131.5156
33,4277.303,4218.0605,4142.3335,4389.606,4263.9097,4539.0,4418.4546,4303.061,4494.1816,3771.9395,4431.8486,4237.1216,4191.273,4131.5156
34,4285.031,4215.485,4143.364,4395.273,4261.3335,4532.303,4418.4546,4308.7275,4497.273,3771.4243,4433.394,4238.667,4193.8486,4136.6665
35,4282.4546,4217.0303,4143.879,4401.4546,4259.788,4530.758,4416.909,4312.333,4496.242,3771.4243,4434.4243,4238.667,4197.97,4139.2427
36,4282.4546,4219.606,4153.6665,4404.0303,4256.697,4532.303,4417.4243,4311.8184,4493.152,3771.9395,4436.485,4239.182,4199.0,4140.7876
37,4286.5757,4218.576,4159.3335,4402.4854,4252.0605,4529.7275,4419.485,4315.94,4493.667,3774.0,4437.5156,4240.7275,4199.5156,4141.8184
38,4283.485,4217.5454,4153.1514,4400.9395,4250.515,4527.152,4415.879,4313.879,4493.667,3775.0305,4435.97,4239.697,4200.5454,4141.303
39,4280.394,4218.576,4151.606,4401.9697,4252.0605,4526.6367,4407.121,4302.0303,4493.667,3774.0,4433.9097,4238.667,4199.0,4140.273
40,4279.364,4218.0605,4149.0303,4401.9697,4253.0913,4527.152,4405.0605,4298.9395,4493.667,3770.394,4433.394,4237.636,4192.8184,4136.6665
41,4272.152,4216.0,4141.303,4397.3335,4251.546,4526.6367,4405.0605,4302.0303,4494.6973,3762.667,4430.8184,4234.0303,4186.6367,4126.879
