Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
431130.0220489502,4330.3643,4251.031,4162.94,4436.485,4243.303,4553.425,4392.182,4316.4546,4515.8184,3770.394,4444.727,4254.636,4299.4546,4150.061
431138.1299495697,4328.8184,4251.031,4162.94,4438.031,4237.636,4544.667,4391.6665,4309.758,4512.727,3768.8486,4443.182,4253.0913,4296.879,4151.606
431146.1081504822,4328.303,4251.031,4163.4546,4441.6367,4240.2124,4547.2427,4391.1514,4306.1514,4510.6665,3769.3638,4440.606,4252.0605,4297.909,4148.0005
431153.04040908813,4330.3643,4251.546,4165.515,4444.2124,4247.9395,4559.0913,4394.758,4311.303,4513.2427,3770.394,4440.606,4253.6064,4298.4243,4150.576
431161.11612319946,4331.909,4253.0913,4164.485,4450.909,4246.909,4556.515,4394.2427,4311.303,4516.334,3769.3638,4439.576,4254.121,4295.3335,4151.606
431169.0351963043,4331.394,4253.0913,4164.485,4453.485,4244.8486,4549.303,4392.182,4307.6973,4513.758,3764.2124,4437.0005,4252.0605,4294.303,4148.0005
431177.0534515381,4331.394,4252.0605,4165.0005,4445.2427,4246.909,4556.0,4398.879,4312.333,4510.6665,3766.273,4441.6367,4252.0605,4296.879,4148.5156
431185.0345134735,4331.909,4250.515,4165.0005,4438.5454,4243.303,4559.6064,4400.9395,4317.4854,4515.303,3772.4546,4446.273,4255.152,4300.485,4148.5156
431193.05634498596,4330.879,4250.515,4165.0005,4439.061,4237.1216,4549.303,4393.212,4313.879,4516.334,3771.9395,4444.2124,4252.5757,4298.4243,4142.3335
431201.00688934326,4330.3643,4251.546,4167.061,4440.0913,4235.5757,4543.1216,4391.6665,4311.303,4511.6973,3769.879,4444.727,4252.0605,4297.909,4144.3945
431210.28113365173,4330.879,4251.031,4166.5454,4440.606,4238.152,4546.2124,4395.273,4314.909,4519.4243,3775.546,4449.8794,4258.7573,4305.1216,4154.6973
431216.03512763977,4329.8486,4250.0,4165.0005,4440.606,4237.636,4546.7275,4393.727,4316.9697,4529.7275,3779.1516,4450.909,4259.273,4308.7275,4156.758
431224.56312179565,4327.2725,4250.515,4164.485,4438.031,4235.0605,4546.2124,4390.636,4315.425,4528.182,3776.5762,4449.364,4256.1816,4301.515,4155.727
431233.04533958435,4330.879,4251.546,4165.515,4438.031,4235.5757,4545.697,4392.697,4313.364,4525.091,3774.5151,4450.3945,4256.697,4301.0,4157.273
431240.19026756287,4330.879,4250.515,4163.4546,4439.061,4237.1216,4544.152,4394.2427,4308.7275,4518.3945,3770.394,4444.2124,4255.152,4303.576,4150.576
