Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
1,4316.4546,4234.0303,4146.455,4417.4243,4247.9395,4542.6064,4386.515,4303.576,4526.6367,3754.4243,4416.394,4240.2124,4268.031,4131.0005
2,4313.879,4235.0605,4144.909,4410.7275,4237.636,4538.485,4386.515,4301.515,4525.091,3753.394,4417.4243,4240.2124,4269.5757,4132.031
3,4311.303,4232.485,4143.879,4405.5757,4232.485,4533.3335,4385.485,4301.0,4517.364,3754.4243,4417.4243,4237.636,4268.031,4130.485
4,4311.303,4229.394,4143.364,4407.6367,4230.9395,4536.4243,4381.364,4301.0,4513.2427,3754.4243,4413.8184,4235.0605,4264.4243,4127.394
5,4314.3936,4234.0303,4144.3945,4412.788,4234.0303,4544.152,4382.909,4305.6367,4523.5454,3753.394,4415.364,4239.182,4268.546,4127.909
6,4314.3936,4234.0303,4144.909,4410.7275,4236.6064,4541.5757,4384.9697,4306.1514,4527.667,3754.9397,4420.515,4238.667,4272.667,4129.4546
7,4312.333,4226.303,4144.3945,4407.121,4224.2427,4531.273,4378.2725,4301.0,4517.364,3761.6362,4420.515,4239.697,4272.667,4132.5454
8,4313.879,4228.879,4146.455,4412.788,4246.394,4528.6973,4374.6665,4299.9697,4517.364,3762.667,4418.4546,4249.4854,4277.303,4138.2124
9,4314.909,4237.1216,4148.5156,4418.9697,4323.667,4533.8486,4378.7876,4303.576,4527.667,3760.606,4424.1216,4250.515,4282.4546,4140.273
10,4316.4546,4236.6064,4149.5454,4418.4546,4362.8184,4541.5757,4383.4243,4306.667,4527.667,3766.788,4430.8184,4248.4546,4282.97,4139.2427
11,4319.546,4235.5757,4150.576,4417.9395,4331.909,4545.697,4385.485,4311.8184,4526.1216,3774.0,4430.8184,4250.0,4283.485,4141.303
12,4321.091,4238.152,4151.091,4419.485,4309.758,4542.6064,4383.4243,4308.7275,4525.606,3767.3032,4428.2427,4249.4854,4282.4546,4140.7876
13,4316.9697,4237.636,4149.0303,4421.031,4306.667,4541.061,4378.7876,4298.4243,4518.3945,3756.4849,4424.6367,4246.394,4277.303,4136.152
14,4314.909,4236.091,4146.9697,4419.485,4292.758,4542.6064,4377.2427,4296.879,4511.1816,3752.3638,4418.4546,4243.818,4271.121,4133.061
15,4318.0005,4237.1216,4149.5454,4418.9697,4281.9395,4543.636,4380.848,4300.485,4513.758,3758.0305,4418.9697,4244.8486,4274.2124,4134.0913
16,4318.515,4237.1216,4150.576,4420.515,4263.9097,4542.6064,4385.485,4302.0303,4515.303,3762.667,4425.667,4247.9395,4281.9395,4135.1216
17,4314.909,4234.0303,4145.4243,4415.879,4231.4546,4542.0913,4380.848,4301.0,4513.2427,3754.9397,4420.515,4242.788,4274.2124,4129.4546
18,4310.2725,4229.394,4139.758,4410.2124,4211.364,4540.031,4373.6367,4298.9395,4512.2124,3747.2122,4411.2427,4230.9395,4262.364,4123.273
19,4311.8184,4229.909,4143.364,4413.8184,4206.2124,4539.0,4378.7876,4299.4546,4513.2427,3757.0002,4416.394,4236.6064,4272.152,4128.4243
20,4315.94,4234.0303,4148.5156,4419.485,4205.1816,4542.0913,4388.061,4302.0303,4516.8486,3767.8184,4427.7275,4250.515,4286.5757,4139.2427
21,4315.425,4234.0303,4149.5454,4417.9395,4204.6665,4542.0913,4386.0005,4302.0303,4516.8486,3760.606,4425.152,4245.364,4281.4243,4136.152
22,4313.364,4231.9697,4145.94,4416.394,4202.606,4540.546,4382.394,4300.485,4513.2427,3752.8792,4415.879,4235.0605,4273.697,4126.879
23,4310.2725,4232.485,4144.3945,4414.3335,4200.031,4540.031,4381.8794,4299.4546,4512.727,3757.0002,4417.4243,4238.152,4275.242,4127.394
24,4302.546,4233.0,4144.3945,4410.2124,4203.6367,4540.031,4377.758,4298.4243,4512.727,3759.0608,4419.485,4240.2124,4272.667,4129.4546
25,4297.909,4232.485,4144.3945,4410.2124,4204.152,4539.515,4374.6665,4297.909,4510.152,3755.4546,4415.879,4235.5757,4268.546,4125.3335
26,4305.1216,4234.0303,4145.4243,4415.879,4209.3027,4542.0913,4381.364,4299.4546,4510.6665,3755.97,4417.4243,4240.7275,4274.2124,4126.364
27,4309.758,4236.6064,4150.576,4418.4546,4220.6367,4544.152,4384.9697,4303.576,4514.2734,3761.1213,4421.546,4246.909,4279.879,4131.0005
28,4301.0,4231.4546,4146.455,4409.6973,4218.576,4541.5757,4379.303,4303.576,4512.727,3756.4849,4413.303,4238.667,4270.6064,4124.303
29,4295.3335,4221.1514,4134.606,4400.425,4205.1816,4539.0,4375.6973,4298.4243,4508.0913,3746.697,4401.9697,4228.364,4261.3335,4118.6367
30,4298.4243,4218.0605,4133.576,4400.9395,4204.152,4540.546,4379.8184,4297.394,4508.606,3744.1213,4403.0,4228.879,4261.8486,4122.758
31,4301.515,4220.6367,4141.303,4405.0605,4208.7876,4543.636,4381.8794,4301.515,4511.6973,3749.273,4407.6367,4235.0605,4265.4546,4125.3335
32,4299.9697,4219.091,4140.273,4403.515,4208.7876,4543.1216,4381.364,4300.485,4511.6973,3748.758,4408.152,4236.6064,4265.4546,4124.303
33,4299.9697,4217.5454,4134.606,4402.4854,4205.1816,4540.546,4380.848,4296.364,4510.152,3742.576,4405.5757,4234.0303,4263.394,4123.788
34,4299.9697,4218.576,4138.727,4409.6973,4205.6973,4539.0,4376.212,4298.4243,4509.6367,3744.6365,4405.5757,4233.0,4262.879,4124.8184
35,4300.485,4219.091,4143.364,4411.758,4210.334,4542.0913,4376.727,4301.515,4511.1816,3753.9094,4413.8184,4235.5757,4267.0,4129.9697
36,4301.515,4218.576,4141.8184,4405.5757,4212.3945,4544.152,4383.94,4300.485,4512.2124,3756.4849,4418.4546,4239.182,4269.5757,4134.606
37,4299.9697,4218.576,4142.3335,4404.0303,4211.879,4541.061,4386.0005,4299.9697,4510.152,3753.394,4414.8486,4241.2427,4268.546,4131.5156
38,4301.0,4218.576,4146.9697,4406.6064,4213.4243,4543.1216,4384.4546,4301.515,4508.606,3753.9094,4416.909,4242.273,4268.546,4132.031
39,4302.546,4219.091,4145.4243,4404.0303,4211.879,4541.061,4382.909,4301.0,4510.152,3755.4546,4420.0,4243.303,4269.0605,4136.6665
40,4299.9697,4218.576,4140.7876,4400.9395,4202.606,4532.303,4379.8184,4300.485,4509.6367,3753.9094,4411.2427,4243.303,4265.97,4134.606
41,4299.4546,4218.0605,4141.303,4406.091,4203.121,4535.394,4381.8794,4308.212,4511.1816,3753.9094,4408.667,4242.273,4265.4546,4134.0913
42,4306.667,4220.121,4146.455,4413.8184,4216.5156,4545.697,4388.061,4316.4546,4513.758,3755.97,4417.9395,4248.4546,4271.636,4139.758
43,4307.6973,4222.6973,4144.909,4411.2427,4216.5156,4544.152,4384.4546,4309.758,4512.727,3755.97,4418.4546,4251.031,4270.6064,4141.303
44,4301.515,4221.6665,4144.909,4407.121,4209.8184,4540.546,4380.848,4304.091,4512.727,3755.4546,4414.8486,4244.3335,4268.031,4139.2427
45,4303.061,4219.606,4144.3945,4409.182,4212.909,4543.636,4385.485,4308.212,4514.2734,3754.4243,4415.879,4241.2427,4270.6064,4137.6973
46,4306.667,4219.606,4143.879,4410.7275,4221.6665,4546.2124,4390.1216,4312.333,4514.788,3754.9397,4419.485,4246.909,4275.758,4139.758
47,4302.0303,4222.6973,4144.909,4408.667,4222.1816,4545.697,4387.5454,4313.364,4515.8184,3758.0305,4423.0913,4250.515,4279.879,4140.7876
48,4299.4546,4223.2124,4140.273,4407.6367,4218.576,4541.5757,4380.333,4308.212,4514.788,3753.9094,4417.9395,4244.8486,4274.7275,4134.0913
49,4301.0,4220.121,4131.0005,4407.121,4216.0,4539.0,4375.182,4297.909,4508.0913,3745.6667,4408.667,4234.5454,4264.9395,4125.8486
50,4299.9697,4219.091,4129.4546,4407.121,4217.5454,4542.0913,4376.212,4295.3335,4506.031,3744.6365,4411.2427,4234.5454,4265.97,4128.4243
51,4302.546,4221.6665,4132.5454,4410.2124,4221.1514,4544.152,4379.8184,4301.0,4510.6665,3747.7273,4417.9395,4241.2427,4272.667,4132.5454
52,4305.6367,4222.1816,4130.485,4410.2124,4218.576,4543.636,4379.8184,4302.0303,4511.1816,3746.182,4415.879,4242.273,4268.546,4128.9395
53,4302.0303,4221.6665,4129.4546,4408.667,4215.485,4542.6064,4377.2427,4298.9395,4508.0913,3746.182,4411.758,4237.636,4264.4243,4126.364
54,4298.9395,4220.6367,4126.879,4411.758,4216.5156,4541.5757,4374.6665,4297.394,4506.5454,3745.6667,4408.667,4236.091,4267.515,4125.8486
55,4299.9697,4221.6665,4123.788,4415.879,4218.576,4541.5757,4379.8184,4299.4546,4508.606,3744.6365,4409.6973,4236.091,4266.485,4125.3335
56,4301.0,4225.788,4125.3335,4414.8486,4219.091,4543.636,4386.0005,4303.061,4511.1816,3750.3032,4413.303,4238.152,4265.97,4127.394
57,4301.515,4225.273,4129.9697,4410.2124,4219.091,4542.0913,4381.8794,4302.0303,4510.6665,3752.3638,4415.364,4239.182,4268.546,4129.4546
58,4300.485,4220.6367,4129.9697,4407.6367,4219.091,4541.061,4376.727,4299.4546,4508.0913,3745.6667,4412.273,4237.636,4267.515,4128.4243
59,4302.546,4224.758,4128.9395,4410.2124,4219.091,4543.1216,4381.364,4298.9395,4508.0913,3743.6062,4411.2427,4236.091,4265.4546,4127.394
60,4308.212,4235.0605,4127.909,4416.909,4220.121,4545.697,4387.0303,4301.515,4508.0913,3749.7883,4412.788,4237.1216,4267.0,4127.394
61,4305.6367,4234.0303,4127.909,4419.485,4220.6367,4545.182,4381.8794,4298.9395,4502.4243,3747.2122,4411.758,4237.1216,4265.97,4126.364
62,4297.909,4221.1514,4125.3335,4412.788,4219.091,4543.636,4378.2725,4292.2427,4494.1816,3735.8792,4404.0303,4233.515,4261.3335,4123.273
63,4298.4243,4222.6973,4125.3335,4409.6973,4217.0303,4543.1216,4384.4546,4295.3335,4494.1816,3737.4246,4400.9395,4234.5454,4261.8486,4123.788
64,4303.576,4236.091,4127.394,4414.3335,4216.0,4544.667,4388.5757,4303.061,4506.031,3747.7273,4408.152,4236.091,4265.4546,4125.8486
