Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
1,4297.909,4235.0605,4139.758,4416.394,4276.788,4541.5757,4376.727,4307.182,4494.1816,3703.4246,4445.758,4247.9395,4265.97,4125.3335
2,4292.758,4236.6064,4133.061,4415.364,4278.849,4541.061,4377.2427,4298.4243,4482.8486,3698.788,4434.4243,4237.636,4255.667,4115.0303
3,4288.121,4235.0605,4129.4546,4417.9395,4270.6064,4534.364,4372.091,4297.909,4480.788,3699.3035,4432.364,4234.0303,4254.121,4111.9395
4,4290.182,4233.0,4135.1216,4416.394,4267.0,4527.667,4366.9395,4298.4243,4490.0605,3702.9092,4437.5156,4237.636,4257.7275,4116.5757
5,4296.364,4234.5454,4138.727,4415.879,4271.636,4528.182,4367.9697,4299.9697,4494.1816,3710.1216,4436.485,4236.6064,4257.2124,4116.5757
6,4295.3335,4231.9697,4131.0005,4417.4243,4271.121,4532.8184,4371.061,4301.0,4488.5156,3715.273,4432.364,4236.091,4256.1816,4110.394
7,4288.121,4226.8184,4126.879,4415.364,4269.5757,4538.485,4372.606,4304.6064,4492.6367,3716.3032,4433.394,4238.152,4256.697,4110.394
8,4290.182,4229.909,4127.909,4412.273,4273.697,4545.697,4377.2427,4309.758,4498.8184,3714.2427,4435.455,4238.152,4254.121,4112.9697
9,4297.394,4234.5454,4125.3335,4414.3335,4271.121,4540.546,4381.364,4311.8184,4489.546,3710.1216,4431.8486,4235.5757,4250.515,4114.515
10,4299.9697,4233.0,4128.9395,4419.485,4267.0,4532.8184,4381.8794,4310.2725,4482.3335,3708.576,4429.273,4237.636,4255.667,4119.152
11,4302.546,4233.515,4135.6367,4421.546,4273.1816,4539.0,4381.364,4310.2725,4489.546,3711.667,4437.5156,4246.394,4264.4243,4124.303
12,4310.788,4234.5454,4135.6367,4424.6367,4278.3335,4541.5757,4380.848,4312.333,4498.3027,3717.8486,4448.334,4252.5757,4268.546,4129.9697
13,4314.3936,4233.0,4137.182,4425.152,4278.849,4534.879,4380.848,4313.364,4494.6973,3719.9092,4449.8794,4253.0913,4269.0605,4134.606
14,4313.364,4235.5757,4144.3945,4422.061,4279.879,4536.9395,4384.4546,4315.425,4496.758,3718.3638,4448.8486,4253.6064,4270.6064,4136.152
15,4313.364,4238.152,4143.364,4420.0,4275.758,4545.182,4386.515,4316.9697,4505.0,3720.4243,4449.8794,4253.0913,4271.121,4133.061
16,4312.8486,4235.5757,4143.364,4421.031,4267.515,4541.5757,4383.94,4319.0303,4506.031,3723.0005,4448.334,4251.546,4270.0913,4129.9697
17,4315.94,4235.5757,4148.5156,4425.667,4267.0,4539.0,4386.515,4322.1216,4506.5454,3724.5457,4446.273,4253.0913,4274.7275,4135.6367
18,4319.546,4237.636,4149.0303,4431.3335,4270.0913,4541.5757,4390.1216,4320.061,4504.485,3722.485,4449.364,4254.636,4275.758,4141.8184
19,4316.4546,4236.6064,4147.485,4432.879,4272.152,4540.546,4386.0005,4316.4546,4497.273,3717.3335,4449.8794,4253.6064,4270.6064,4136.6665
20,4313.364,4235.0605,4145.94,4423.6064,4278.3335,4543.1216,4384.4546,4315.425,4493.152,3712.6973,4445.758,4252.0605,4268.031,4131.0005
21,4312.333,4234.0303,4142.3335,4416.394,4281.4243,4543.636,4387.0303,4313.879,4495.7275,3710.6367,4445.2427,4250.515,4268.031,4131.0005
22,4310.788,4233.515,4140.7876,4418.4546,4275.242,4539.0,4383.4243,4311.8184,4496.242,3712.1821,4446.7876,4250.0,4268.546,4128.9395
23,4305.6367,4231.9697,4140.7876,4417.9395,4268.031,4537.9697,4380.848,4311.8184,4493.152,3717.3335,4446.7876,4250.0,4266.485,4125.3335
24,4305.1216,4232.485,4141.303,4416.394,4267.515,4543.636,4388.061,4315.94,4496.758,3724.5457,4447.819,4252.5757,4268.546,4131.0005
25,4307.182,4234.0303,4143.879,4419.485,4268.546,4546.2124,4389.606,4320.5757,4506.031,3725.576,4450.3945,4254.121,4276.788,4137.6973
26,4305.6367,4233.515,4145.4243,4421.546,4267.515,4541.5757,4379.303,4319.0303,4506.5454,3721.9697,4451.94,4253.0913,4278.3335,4135.1216
27,4306.667,4231.4546,4143.364,4419.485,4268.546,4538.485,4373.6367,4314.3936,4496.758,3718.879,4451.4243,4252.5757,4268.031,4130.485
28,4306.667,4235.0605,4144.909,4418.9697,4270.6064,4539.515,4375.6973,4309.758,4494.6973,3712.1821,4445.2427,4253.0913,4266.485,4128.9395
29,4299.4546,4232.485,4143.364,4416.909,4269.0605,4532.8184,4368.485,4300.485,4497.273,3702.3943,4434.4243,4245.364,4264.4243,4123.273
30,4295.8486,4222.6973,4141.303,4413.303,4267.0,4525.091,4360.2427,4294.8184,4492.6367,3699.8184,4429.273,4235.0605,4253.6064,4115.0303
31,4299.4546,4225.273,4139.758,4414.3335,4264.9395,4531.788,4366.4243,4304.6064,4493.667,3710.6367,4434.4243,4238.667,4256.1816,4116.0605
32,4301.0,4235.0605,4139.758,4417.4243,4265.97,4543.1216,4377.758,4313.879,4506.5454,3718.3638,4443.182,4248.4546,4265.4546,4123.788
