Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
1,4306.667,4219.606,4151.091,4394.758,4270.0913,4555.4854,4374.6665,4293.788,4473.061,3735.8792,4379.303,4221.6665,4234.0303,4100.091
2,4302.0303,4220.121,4146.455,4394.2427,4267.515,4553.425,4375.6973,4283.485,4464.303,3727.6365,4369.5156,4215.485,4229.909,4091.8486
3,4302.546,4219.606,4146.455,4398.3643,4267.515,4553.425,4374.6665,4281.4243,4462.7583,3730.2124,4369.0005,4217.0303,4233.0,4096.4854
4,4308.212,4220.121,4149.5454,4400.425,4268.546,4557.546,4377.758,4284.0,4468.94,3735.3638,4374.6665,4220.6367,4235.5757,4106.273
5,4312.8486,4227.8486,4152.1216,4406.091,4272.152,4561.667,4386.0005,4291.2124,4478.7275,3741.0305,4383.94,4225.273,4237.1216,4111.9395
6,4313.879,4230.4243,4152.6367,4410.7275,4278.849,4562.182,4391.6665,4299.9697,4481.8184,3746.182,4389.606,4229.394,4243.818,4111.4243
7,4313.879,4227.8486,4152.1216,4406.6064,4280.9097,4561.667,4392.697,4302.0303,4471.0005,3748.758,4387.0303,4229.394,4248.4546,4108.8486
8,4313.879,4230.4243,4154.6973,4406.091,4281.9395,4562.182,4390.1216,4301.0,4458.6367,3748.2424,4387.0303,4226.303,4243.303,4109.364
9,4313.364,4229.909,4156.758,4408.667,4284.0,4561.152,4385.485,4299.4546,4447.303,3743.6062,4384.9697,4223.7275,4239.182,4109.364
10,4313.364,4223.2124,4153.1514,4405.5757,4285.031,4561.152,4389.091,4296.879,4434.4243,3740.0002,4378.7876,4222.1816,4239.697,4106.273
11,4314.909,4221.1514,4149.5454,4400.9395,4284.0,4562.697,4393.727,4299.4546,4427.2124,3742.576,4378.7876,4221.1514,4237.1216,4105.2427
12,4312.8486,4223.2124,4148.5156,4400.9395,4284.0,4562.182,4390.1216,4303.576,4424.6367,3744.1213,4384.9697,4221.6665,4240.2124,4104.212
13,4311.8184,4221.6665,4148.5156,4405.0605,4286.0605,4560.121,4383.4243,4304.091,4417.9395,3742.576,4388.061,4222.1816,4249.4854,4100.6064
14,4314.3936,4221.1514,4148.5156,4411.758,4286.5757,4561.152,4379.303,4303.061,4407.6367,3742.576,4384.4546,4221.1514,4245.879,4099.5757
15,4312.333,4219.606,4145.94,4410.7275,4285.5454,4561.152,4377.2427,4295.8486,4393.727,3737.9397,4375.182,4219.606,4234.5454,4098.0303
16,4310.2725,4218.0605,4144.909,4402.4854,4284.515,4558.5757,4377.758,4286.0605,4381.364,3729.1821,4373.6367,4218.0605,4234.0303,4098.0303
17,4311.303,4218.0605,4146.455,4401.9697,4284.0,4557.546,4377.758,4285.5454,4379.303,3728.6667,4378.7876,4219.606,4237.1216,4100.6064
18,4311.8184,4215.485,4150.061,4405.0605,4283.485,4559.6064,4377.2427,4284.515,4373.1216,3732.7878,4375.6973,4219.091,4235.5757,4099.0605
19,4310.788,4216.5156,4149.0303,4403.515,4280.394,4559.0913,4377.2427,4284.0,4361.7876,3731.2427,4366.4243,4216.5156,4233.0,4093.394
20,4306.667,4217.5454,4145.94,4403.0,4281.9395,4557.546,4377.2427,4294.303,4359.2124,3726.0913,4363.3335,4212.909,4226.303,4091.3335
21,4304.6064,4209.8184,4141.8184,4401.4546,4281.9395,4556.515,4376.727,4294.8184,4355.606,3718.3638,4357.152,4205.1816,4217.5454,4087.212
22,4307.182,4206.2124,4142.848,4400.425,4272.667,4556.515,4376.212,4282.4546,4341.6973,3713.7275,4349.9395,4200.031,4214.9697,4083.6064
23,4310.2725,4214.455,4147.485,4406.6064,4270.6064,4554.97,4376.212,4287.0913,4338.6064,3717.8486,4353.0303,4206.727,4218.576,4087.212
24,4313.879,4221.1514,4150.576,4412.788,4279.879,4554.97,4378.7876,4301.0,4346.8486,3724.5457,4362.8184,4217.5454,4222.6973,4092.8792
25,4315.425,4216.5156,4151.606,4410.2124,4279.364,4557.546,4379.303,4298.9395,4341.6973,3727.1216,4364.879,4220.121,4223.7275,4094.4246
26,4307.6973,4207.758,4145.94,4400.425,4268.546,4552.9097,4376.727,4289.667,4330.879,3721.9697,4356.1216,4209.3027,4219.606,4092.364
27,4301.0,4201.576,4141.303,4394.2427,4264.9395,4544.667,4373.6367,4285.031,4326.7573,3714.7578,4349.9395,4200.5454,4214.455,4086.697
28,4309.2427,4208.273,4145.4243,4403.515,4271.636,4550.3335,4374.6665,4283.485,4326.7573,3717.8486,4357.6665,4209.3027,4216.0,4088.7576
29,4315.94,4220.121,4153.1514,4416.394,4280.394,4560.121,4380.333,4287.0913,4327.2725,3729.697,4369.0005,4221.6665,4225.788,4098.0303
30,4314.909,4221.1514,4155.727,4420.0,4283.485,4560.636,4384.9697,4290.6973,4329.3335,3732.7878,4369.5156,4221.6665,4232.485,4100.6064
31,4316.4546,4219.606,4156.758,4418.4546,4281.4243,4560.636,4386.515,4292.2427,4328.8184,3728.1519,4365.9087,4217.0303,4231.9697,4097.515
32,4319.0303,4221.1514,4159.3335,4421.031,4282.97,4561.152,4384.4546,4295.8486,4323.667,3728.6667,4366.4243,4218.0605,4229.394,4098.0303
