Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
1,4281.9395,4235.5757,4179.4243,4432.879,4238.152,4523.5454,4393.212,4315.94,4481.8184,3760.606,4448.8486,4253.6064,4264.9395,4141.303
2,4282.97,4237.1216,4183.0303,4434.4243,4241.2427,4523.5454,4391.1514,4315.94,4479.2427,3758.5454,4446.7876,4253.6064,4264.9395,4141.303
3,4281.9395,4235.0605,4173.2427,4432.364,4248.4546,4524.576,4393.212,4314.909,4479.758,3752.8792,4448.334,4252.0605,4267.515,4138.727
4,4281.9395,4233.0,4170.1514,4425.152,4251.031,4525.606,4393.212,4311.8184,4477.6973,3748.758,4442.152,4247.9395,4262.364,4135.1216
5,4282.97,4233.515,4176.3335,4423.0913,4252.5757,4526.6367,4393.727,4310.788,4478.7275,3751.3335,4434.94,4246.394,4255.152,4136.152
6,4282.4546,4234.0303,4177.879,4425.667,4252.5757,4526.1216,4397.3335,4313.364,4480.788,3754.9397,4433.394,4247.4243,4252.5757,4135.1216
7,4280.394,4232.485,4168.091,4419.485,4252.5757,4526.1216,4401.4546,4315.94,4484.909,3755.4546,4433.394,4245.879,4256.1816,4130.485
8,4280.394,4233.515,4159.3335,4415.364,4260.303,4528.182,4402.4854,4316.4546,4493.667,3760.091,4437.0005,4247.9395,4264.4243,4133.576
9,4282.97,4235.0605,4159.8486,4422.061,4269.5757,4529.2124,4401.4546,4314.909,4494.1816,3763.1821,4437.5156,4249.4854,4263.9097,4140.273
10,4284.0,4234.5454,4162.4243,4422.576,4267.515,4529.7275,4401.4546,4311.8184,4484.394,3758.0305,4431.8486,4242.788,4256.697,4138.727
11,4282.4546,4233.0,4163.4546,4417.4243,4264.9395,4528.182,4402.4854,4310.2725,4480.273,3755.4546,4430.8184,4238.152,4251.546,4137.6973
12,4280.394,4235.0605,4165.515,4418.4546,4266.485,4526.1216,4404.0303,4312.8486,4482.3335,3755.97,4434.4243,4243.303,4252.0605,4139.2427
13,4280.394,4234.5454,4167.5757,4419.485,4266.485,4526.6367,4402.4854,4315.94,4482.8486,3755.97,4434.4243,4251.031,4258.7573,4140.273
14,4279.879,4226.303,4165.515,4417.9395,4264.9395,4525.606,4395.788,4312.8486,4481.303,3758.0305,4434.94,4252.0605,4263.9097,4141.303
15,4280.394,4220.6367,4165.515,4414.8486,4258.7573,4523.5454,4392.697,4305.6367,4480.273,3755.4546,4437.5156,4243.818,4259.273,4139.2427
16,4275.758,4222.1816,4161.909,4410.2124,4252.0605,4523.5454,4393.212,4303.061,4478.2124,3748.758,4429.788,4235.5757,4251.546,4130.485
17,4268.546,4221.6665,4157.273,4406.6064,4251.031,4526.1216,4396.8184,4307.182,4478.2124,3745.1516,4417.9395,4233.0,4244.3335,4123.788
18,4272.152,4219.091,4153.6665,4405.0605,4252.5757,4526.6367,4401.4546,4308.7275,4478.7275,3743.6062,4414.8486,4231.4546,4237.636,4123.788
