Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
2034780.2648544312,4269.5757,4217.0303,4154.6973,4423.6064,4222.1816,4523.5454,4382.394,4313.364,4482.3335,3761.6362,4428.758,4240.2124,4264.9395,4112.9697
2034788.333415985,4269.5757,4217.5454,4159.3335,4426.182,4220.121,4523.5454,4386.0005,4311.8184,4481.8184,3763.1821,4430.303,4240.2124,4273.1816,4113.485
2034796.283006668,4268.031,4217.0303,4158.819,4428.758,4219.091,4525.606,4387.0303,4313.879,4481.8184,3763.1821,4434.4243,4239.697,4282.4546,4117.6064
2034804.3022155762,4269.0605,4217.5454,4153.1514,4424.1216,4219.091,4526.6367,4388.061,4313.364,4481.303,3762.667,4431.8486,4244.8486,4275.242,4118.1216
2034812.370300293,4270.0913,4218.576,4151.091,4425.152,4220.121,4527.667,4389.091,4309.2427,4481.8184,3764.2124,4430.303,4247.9395,4273.697,4117.6064
2034820.2798366547,4269.5757,4218.576,4149.0303,4431.3335,4218.0605,4528.182,4386.0005,4308.7275,4488.5156,3766.273,4434.4243,4247.4243,4281.4243,4121.7275
2034828.2861709595,4270.6064,4217.5454,4146.455,4431.3335,4224.758,4528.6973,4388.061,4312.8486,4494.6973,3767.8184,4434.4243,4250.515,4282.4546,4123.788
2034835.2551460266,4271.121,4220.121,4149.0303,4429.788,4235.5757,4530.758,4396.8184,4308.7275,4488.5156,3765.2427,4434.4243,4250.0,4279.364,4123.273
2034843.2936668396,4269.0605,4218.0605,4147.485,4426.6973,4230.4243,4530.2427,4394.2427,4296.879,4479.2427,3758.0305,4431.3335,4241.2427,4273.697,4120.182
2034868.7212467194,4269.0605,4207.242,4142.848,4422.576,4219.606,4526.6367,4388.5757,4300.485,4479.2427,3752.3638,4424.1216,4235.0605,4265.4546,4112.4546
2034877.1533966064,4269.0605,4204.152,4142.3335,4421.031,4220.121,4529.7275,4392.697,4314.909,4482.8486,3755.4546,4423.6064,4237.636,4265.97,4111.9395
2034877.2559165955,4267.0,4206.727,4142.3335,4418.9697,4223.2124,4534.364,4395.788,4317.4854,4482.3335,3760.606,4429.273,4240.2124,4270.0913,4118.1216
2034877.7356147766,4266.485,4207.242,4140.273,4419.485,4219.091,4528.6973,4392.182,4312.333,4481.8184,3759.5757,4432.364,4238.152,4269.0605,4118.1216
2034884.260416031,4269.5757,4211.364,4142.3335,4424.1216,4217.0303,4527.152,4391.6665,4312.8486,4482.8486,3755.97,4429.788,4238.667,4269.5757,4113.485
2034910.3872776031,4269.5757,4217.5454,4142.848,4422.576,4217.0303,4537.9697,4396.8184,4314.909,4481.303,3754.9397,4424.6367,4238.667,4268.031,4114.515
2034910.5503559113,4267.515,4217.0303,4139.758,4416.909,4218.0605,4543.1216,4400.9395,4316.4546,4483.879,3758.5454,4424.6367,4241.2427,4269.5757,4121.2124
2034913.5527610779,4269.5757,4215.485,4143.879,4422.576,4221.1514,4542.6064,4400.9395,4316.4546,4491.6064,3762.1519,4432.879,4247.4243,4277.8184,4123.788
