Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
4821802.3109436035,4273.1816,4233.0,4187.152,4428.758,4446.7876,4561.152,4403.0,4315.425,4514.2734,3782.2424,4439.576,4254.121,4285.031,4145.4243
4821809.87071991,4264.9395,4229.909,4176.3335,4421.546,4437.0005,4559.0913,4400.9395,4308.7275,4508.0913,3765.2427,4429.273,4248.4546,4278.849,4141.303
4821818.185806274,4271.636,4231.4546,4177.364,4423.6064,4432.879,4560.121,4404.0303,4311.303,4509.6367,3770.9092,4435.455,4250.0,4282.4546,4149.5454
4821825.863361359,4285.5454,4236.6064,4189.2124,4433.394,4435.97,4560.121,4406.6064,4319.0303,4513.2427,3786.879,4448.334,4262.364,4292.2427,4159.3335
4821833.914756775,4285.031,4236.6064,4190.242,4433.394,4428.758,4558.5757,4403.515,4315.94,4512.727,3782.7578,4443.6973,4261.8486,4288.121,4157.273
4821841.951370239,4280.394,4234.5454,4185.0913,4430.303,4417.4243,4558.0605,4403.0,4312.8486,4512.727,3774.5151,4434.94,4251.031,4282.4546,4153.1514
4821849.857568741,4279.879,4235.0605,4186.121,4431.8486,4412.273,4558.0605,4401.4546,4312.8486,4511.6973,3774.0,4433.394,4247.9395,4282.97,4146.455
4821857.9478263855,4279.364,4235.0605,4186.121,4431.8486,4408.152,4557.546,4400.9395,4308.212,4508.606,3775.0305,4431.8486,4250.0,4281.9395,4140.7876
4821865.845441818,4279.879,4235.0605,4185.0913,4427.7275,4407.121,4559.0913,4406.091,4308.212,4510.152,3778.6367,4433.9097,4249.4854,4279.879,4144.3945
4821872.872829437,4278.849,4235.0605,4185.6064,4426.6973,4405.5757,4562.697,4406.6064,4313.364,4511.6973,3777.6064,4433.394,4250.0,4279.364,4142.3335
4821880.903482437,4276.273,4233.0,4185.6064,4429.273,4400.425,4559.0913,4400.9395,4312.333,4509.121,3777.091,4431.8486,4250.0,4280.394,4141.303
4821888.902187347,4276.788,4233.0,4185.6064,4430.8184,4405.0605,4559.6064,4406.6064,4311.8184,4509.121,3783.788,4438.5454,4250.0,4281.9395,4152.6367
4821896.91734314,4280.9097,4235.5757,4186.121,4429.273,4413.8184,4567.849,4417.9395,4316.4546,4509.6367,3785.8486,4447.303,4258.7573,4287.0913,4158.819
4821904.936313629,4285.031,4238.152,4188.1816,4431.3335,4415.364,4566.303,4415.364,4319.546,4508.0913,3780.182,4448.334,4267.0,4294.303,4157.273
4821912.899494171,4286.5757,4238.152,4189.7275,4435.97,4414.8486,4558.5757,4407.121,4319.546,4510.6665,3776.5762,4441.1216,4260.818,4291.7275,4157.788
4821920.90845108,4282.97,4235.0605,4187.667,4432.364,4415.879,4557.031,4410.2124,4323.1514,4510.6665,3778.1213,4434.4243,4251.031,4281.4243,4156.2427
4821928.901672363,4281.9395,4236.091,4188.6973,4431.3335,4420.0,4560.636,4416.394,4332.9395,4512.2124,3783.2727,4440.606,4257.2124,4286.0605,4153.6665
