Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
3513413.3892059326,4219.606,4189.2124,4121.7275,4383.94,4221.1514,4516.8486,4373.1216,4290.6973,4481.8184,3741.0305,4395.273,4208.273,4244.8486,4092.8792
3513420.8233356476,4224.758,4200.031,4131.5156,4392.182,4221.1514,4517.879,4386.0005,4303.061,4495.7275,3755.97,4408.667,4218.576,4259.788,4107.8184
3513428.7662506104,4222.1816,4204.152,4141.8184,4400.9395,4225.788,4506.031,4373.1216,4296.879,4496.758,3761.1213,4409.182,4223.7275,4261.8486,4111.9395
3513436.758041382,4226.303,4202.0913,4137.6973,4400.425,4230.9395,4507.0605,4367.9697,4288.636,4489.031,3754.4243,4405.5757,4222.1816,4255.667,4105.758
3513449.802160263,4235.0605,4205.1816,4145.4243,4411.2427,4224.758,4514.788,4380.848,4297.909,4493.152,3750.8186,4418.4546,4230.9395,4264.9395,4110.909
3513452.842950821,4237.1216,4208.273,4156.758,4418.4546,4224.758,4510.6665,4378.7876,4302.0303,4494.1816,3750.8186,4423.6064,4235.0605,4270.6064,4114.0
3513460.803747177,4231.9697,4206.727,4145.94,4406.6064,4233.515,4499.849,4361.7876,4289.667,4483.879,3754.9397,4413.303,4226.303,4259.273,4109.364
3513469.3467617035,4224.2427,4200.031,4134.606,4397.8486,4229.394,4497.273,4359.727,4283.485,4482.3335,3761.1213,4410.7275,4220.121,4256.697,4109.879
3513476.8862724304,4219.606,4192.8184,4138.727,4399.909,4218.576,4497.788,4367.9697,4286.0605,4482.8486,3751.8489,4414.3335,4218.0605,4258.7573,4106.273
3513483.884334564,4224.758,4196.9395,4141.8184,4400.425,4218.0605,4499.849,4372.606,4289.152,4479.758,3741.0305,4412.788,4224.758,4256.697,4102.667
3513492.8443431854,4235.0605,4205.6973,4142.3335,4406.6064,4221.1514,4509.121,4377.758,4299.4546,4491.6064,3754.9397,4416.909,4236.091,4266.485,4114.515
3513499.8168945312,4233.515,4203.6367,4142.3335,4407.121,4221.6665,4509.6367,4375.182,4298.4243,4495.2124,3760.091,4419.485,4229.909,4270.0913,4115.546
3513508.879184723,4232.485,4201.0605,4138.727,4393.212,4223.7275,4499.3335,4367.4546,4285.031,4481.303,3748.2424,4414.3335,4219.606,4262.364,4103.697
3513515.9130096436,4233.0,4203.121,4137.182,4391.1514,4221.6665,4491.0913,4366.9395,4286.0605,4480.273,3747.2122,4411.758,4224.758,4262.879,4104.7275
3513523.8399505615,4229.394,4201.576,4139.758,4403.0,4217.5454,4482.8486,4363.848,4285.031,4478.7275,3745.6667,4409.6973,4222.6973,4259.788,4106.273
3513531.931877136,4226.303,4202.0913,4140.273,4403.515,4216.5156,4483.364,4357.6665,4274.2124,4469.4546,3731.7576,4408.667,4215.485,4250.0,4097.0
3513539.8824214935,4225.273,4201.576,4136.152,4393.727,4217.5454,4492.121,4362.8184,4276.788,4474.0913,3735.8792,4410.2124,4219.606,4252.5757,4097.515
3513546.764612198,4218.576,4190.242,4124.303,4382.394,4218.576,4482.8486,4360.758,4274.7275,4470.485,3744.1213,4397.3335,4210.8486,4246.909,4094.4246
3513554.8601150513,4215.485,4184.576,4118.6367,4379.8184,4219.606,4473.576,4355.606,4268.546,4459.6665,3733.818,4388.5757,4201.0605,4237.1216,4087.7275
3513563.0238056183,4225.788,4196.9395,4131.5156,4393.212,4220.6367,4491.6064,4371.061,4284.515,4476.667,3741.0305,4410.2124,4218.0605,4252.0605,4102.667
3513570.8718299866,4228.364,4202.606,4138.727,4399.909,4220.6367,4501.9097,4379.8184,4292.758,4490.0605,3757.5151,4417.4243,4224.758,4260.303,4112.9697
3513578.78446579,4221.6665,4192.8184,4128.4243,4387.5454,4220.6367,4488.5156,4372.091,4284.0,4481.8184,3753.394,4398.879,4209.3027,4250.0,4101.121
3513586.869239807,4220.121,4190.758,4121.7275,4380.333,4220.121,4480.788,4373.1216,4282.4546,4474.0913,3736.3943,4392.697,4202.606,4244.8486,4091.8486
