Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
3305881.7632198334,4335.515,4296.879,4236.6064,4482.8486,4269.5757,4620.394,4485.4243,4405.0605,4593.0913,3854.8792,4502.9395,4307.6973,4349.9395,4217.5454
3305882.72857666,4337.0605,4302.0303,4239.697,4480.788,4270.0913,4617.8184,4485.9395,4407.6367,4599.273,3855.3943,4507.0605,4315.425,4350.9697,4224.2427
3305888.7479305267,4330.3643,4290.6973,4224.758,4466.8794,4268.031,4597.7275,4475.6367,4383.94,4575.0605,3833.7578,4497.788,4301.515,4335.0,4207.758
3305896.836042404,4329.3335,4281.4243,4223.2124,4471.0005,4265.97,4601.3335,4473.576,4379.8184,4566.303,3828.6064,4483.879,4288.121,4327.788,4197.97
3305904.8595428467,4330.879,4289.152,4235.0605,4483.879,4266.485,4619.3643,4485.9395,4393.212,4580.2124,3839.4243,4488.0,4294.303,4333.4546,4204.6665
3305916.7981147766,4326.7573,4291.2124,4227.8486,4476.667,4268.031,4610.6064,4479.758,4386.0005,4575.5757,3835.3032,4492.121,4296.364,4331.394,4199.0
3305924.8299598694,4324.697,4285.031,4217.0303,4462.2427,4269.0605,4602.879,4465.8486,4371.061,4564.2427,3826.5457,4484.909,4293.273,4322.636,4189.2124
3305928.822994232,4328.8184,4289.152,4227.3335,4466.8794,4268.031,4619.3643,4473.576,4373.1216,4572.4854,3829.6367,4484.909,4296.364,4324.182,4193.3335
3305940.768480301,4330.3643,4294.303,4233.515,4475.1216,4268.031,4624.515,4482.8486,4378.2725,4576.0913,3831.1821,4483.364,4291.2124,4328.303,4192.8184
3305943.840742111,4330.3643,4294.303,4229.394,4477.6973,4270.6064,4616.788,4480.788,4383.4243,4573.0,3834.788,4483.364,4287.606,4329.3335,4192.8184
3305951.828479767,4332.425,4298.9395,4232.485,4477.182,4270.6064,4614.212,4478.2124,4388.5757,4581.758,3840.4546,4491.6064,4295.3335,4331.909,4202.0913
3305959.857225418,4331.394,4293.273,4226.303,4461.7275,4269.0605,4607.0005,4471.515,4377.758,4578.667,3830.667,4488.5156,4293.273,4325.212,4195.394
3305967.8292274475,4324.697,4282.97,4211.879,4444.2124,4269.0605,4603.394,4464.819,4366.4243,4566.303,3821.9092,4477.6973,4284.0,4318.515,4182.0
