Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
1560021.5034484863,4315.425,4259.788,4187.152,4438.031,4266.485,4563.7275,4425.152,4332.425,4515.8184,3795.1213,4412.788,4316.4546,4298.9395,4155.727
1560033.5040092468,4312.8486,4253.6064,4190.758,4439.061,4268.031,4558.5757,4412.788,4325.212,4507.576,3784.8184,4409.182,4313.879,4296.364,4154.182
1560036.4248752594,4310.2725,4250.0,4202.606,4446.273,4267.0,4570.9395,4406.6064,4327.788,4510.152,3785.3333,4409.6973,4312.8486,4296.364,4153.6665
1560044.5210933685,4312.333,4257.2124,4203.121,4449.364,4266.485,4577.636,4410.7275,4329.8486,4514.788,3798.7273,4417.4243,4318.515,4303.061,4156.2427
1560052.5324344635,4318.0005,4269.0605,4205.6973,4453.485,4270.0913,4576.6064,4421.031,4338.6064,4526.1216,3816.2427,4430.8184,4333.4546,4319.0303,4171.6973
1560060.4956150055,4316.4546,4265.97,4203.6367,4450.909,4270.0913,4577.636,4421.546,4344.273,4532.8184,3815.2124,4433.394,4334.4854,4321.091,4174.788
1560068.4714317322,4309.758,4252.0605,4194.3633,4443.182,4266.485,4577.636,4414.8486,4337.0605,4525.606,3803.364,4421.546,4322.636,4310.2725,4163.9697
1560076.481103897,4310.788,4252.0605,4199.5156,4447.303,4267.0,4576.6064,4416.394,4339.121,4525.091,3810.0608,4420.0,4325.7275,4312.8486,4167.061
1560088.5047912598,4314.909,4257.7275,4209.3027,4452.455,4270.6064,4578.667,4420.515,4349.4243,4534.364,3821.3943,4428.2427,4331.394,4319.0303,4176.3335
1560092.4942493439,4312.333,4253.0913,4198.485,4447.303,4268.546,4573.515,4417.4243,4346.3335,4532.303,3814.182,4423.6064,4323.667,4312.8486,4169.636
1560100.5527973175,4309.758,4251.546,4191.788,4445.2427,4265.4546,4565.7886,4415.879,4340.1514,4526.6367,3802.8486,4416.909,4320.061,4304.6064,4159.3335
1560107.7818870544,4312.333,4254.636,4195.909,4447.303,4267.0,4562.697,4422.576,4343.2427,4527.152,3796.6667,4415.879,4320.061,4301.0,4157.788
1560115.5171394348,4314.3936,4258.7573,4191.273,4444.727,4267.0,4561.152,4427.7275,4341.6973,4524.0605,3792.5457,4414.3335,4314.909,4300.485,4157.273
1560123.5129833221,4314.3936,4262.364,4193.3335,4446.273,4264.9395,4565.273,4425.667,4336.0303,4516.334,3793.576,4417.9395,4314.909,4301.515,4157.273
1560131.4904689789,4314.909,4258.2427,4202.0913,4448.8486,4267.0,4571.97,4421.546,4336.0303,4512.727,3794.6062,4416.909,4316.9697,4299.9697,4156.2427
1560139.4188404083,4313.879,4251.546,4194.879,4447.819,4266.485,4565.273,4412.273,4336.546,4516.334,3792.0305,4407.121,4313.879,4298.9395,4155.212
1560151.8638134003,4311.303,4250.515,4183.546,4444.2124,4262.879,4545.182,4402.4854,4326.7573,4510.152,3789.97,4405.5757,4310.2725,4296.364,4152.1216
1560155.5435657501,4311.8184,4254.121,4192.3027,4443.6973,4263.394,4539.515,4407.121,4326.2427,4509.121,3794.6062,4414.3335,4314.909,4297.394,4154.182
1560167.5350666046,4316.4546,4259.788,4206.2124,4452.455,4267.0,4549.818,4420.0,4342.2124,4523.5454,3803.879,4422.061,4325.7275,4309.758,4167.061
1560171.3950634003,4318.0005,4268.546,4204.152,4460.6978,4266.485,4551.364,4422.061,4343.2427,4525.606,3804.9092,4424.6367,4327.2725,4315.94,4170.667
