Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
888103.7349700928,4266.485,4233.0,4155.727,4409.6973,4326.2427,4537.4546,4391.1514,4315.425,4496.758,3751.3335,4406.6064,4228.879,4265.97,4132.5454
888109.605550766,4268.546,4235.5757,4156.2427,4411.2427,4328.303,4542.6064,4392.182,4319.0303,4501.9097,3759.5757,4410.7275,4231.4546,4267.0,4137.6973
888117.6109313965,4266.485,4230.9395,4152.1216,4406.091,4330.879,4540.031,4384.9697,4304.6064,4493.667,3748.2424,4404.546,4219.091,4250.0,4125.8486
888133.7113380432,4268.031,4233.515,4155.727,4410.7275,4330.3643,4541.5757,4390.1216,4298.9395,4489.546,3739.485,4407.6367,4221.6665,4254.636,4127.394
888134.5665454865,4271.121,4238.667,4160.8794,4416.909,4328.303,4544.152,4396.3037,4303.576,4488.0,3743.091,4418.4546,4236.6064,4268.031,4141.8184
888141.5631771088,4269.0605,4235.5757,4157.788,4409.182,4327.788,4540.031,4389.091,4300.485,4488.0,3747.7273,4417.4243,4236.091,4265.4546,4140.273
888148.633480072,4267.0,4234.5454,4156.2427,4409.182,4327.788,4539.0,4384.9697,4299.4546,4494.6973,3749.7883,4410.7275,4231.9697,4265.4546,4137.182
888156.5749645233,4266.485,4235.5757,4158.303,4417.4243,4322.636,4543.636,4386.515,4304.091,4495.7275,3751.8489,4408.667,4232.485,4269.5757,4139.2427
888164.5903587341,4266.485,4233.515,4156.758,4414.3335,4318.515,4544.152,4384.9697,4302.0303,4490.576,3753.9094,4409.182,4233.0,4268.031,4137.182
888172.8889942169,4268.031,4234.5454,4158.303,4411.2427,4321.6064,4543.1216,4385.485,4301.0,4494.1816,3757.5151,4414.8486,4233.0,4268.031,4138.2124
888184.6308708191,4269.5757,4236.091,4160.8794,4414.8486,4320.061,4543.1216,4387.0303,4309.2427,4499.849,3755.97,4417.9395,4232.485,4269.0605,4140.7876
888188.5967254639,4269.0605,4236.6064,4158.819,4415.879,4314.3936,4543.1216,4387.5454,4311.8184,4496.242,3752.8792,4415.364,4234.0303,4269.5757,4138.727
888206.6671848297,4269.5757,4234.5454,4159.8486,4414.8486,4313.879,4543.636,4388.061,4310.788,4495.7275,3758.5454,4415.879,4236.6064,4269.5757,4139.758
888207.5774669647,4270.0913,4233.515,4161.909,4416.394,4314.3936,4544.152,4386.0005,4311.8184,4499.3335,3759.5757,4417.4243,4234.5454,4269.5757,4141.303
888212.1024131775,4270.0913,4234.0303,4159.8486,4415.364,4313.364,4543.1216,4386.515,4306.667,4492.6367,3748.2424,4413.303,4227.8486,4268.031,4136.6665
888219.6815013885,4271.121,4234.5454,4158.819,4414.8486,4317.4854,4542.6064,4391.1514,4299.4546,4484.394,3743.6062,4407.6367,4223.2124,4266.485,4129.4546
888228.0216217041,4270.6064,4233.0,4158.819,4415.364,4318.0005,4544.667,4393.212,4301.0,4491.0913,3752.8792,4405.5757,4222.6973,4265.4546,4127.909
888235.6896400452,4268.031,4231.9697,4157.788,4411.2427,4312.8486,4544.667,4392.697,4303.576,4495.2124,3750.3032,4402.4854,4222.1816,4264.9395,4127.909
888243.8013553619,4268.031,4232.485,4158.819,4407.6367,4312.333,4542.6064,4393.727,4299.9697,4490.0605,3740.5154,4400.425,4220.121,4264.4243,4124.303
888251.7359256744,4270.0913,4235.0605,4160.364,4410.2124,4315.94,4544.667,4393.212,4301.515,4492.121,3745.1516,4405.0605,4222.1816,4265.4546,4128.9395
888259.6700191498,4271.121,4234.5454,4159.8486,4413.303,4318.0005,4545.697,4393.212,4306.1514,4497.273,3748.758,4406.6064,4223.2124,4264.9395,4136.6665
888267.7297592163,4264.4243,4225.788,4156.2427,4408.667,4317.4854,4543.1216,4394.758,4302.546,4495.7275,3741.5457,4400.9395,4219.091,4259.273,4131.0005
888274.6860980988,4260.818,4219.091,4152.6367,4401.9697,4313.879,4541.061,4392.697,4298.4243,4489.546,3741.0305,4399.909,4220.121,4255.152,4123.788
888287.7006530762,4263.9097,4219.606,4152.6367,4399.909,4312.8486,4540.031,4389.091,4298.4243,4480.788,3738.4548,4397.8486,4221.6665,4253.0913,4124.8184
888290.6246185303,4258.7573,4219.091,4151.606,4401.9697,4313.364,4539.515,4389.091,4296.364,4475.1216,3720.9395,4389.091,4212.3945,4248.9697,4118.6367
888303.7083148956,4251.031,4219.091,4145.4243,4403.0,4308.212,4540.546,4389.606,4296.364,4478.2124,3717.3335,4386.0005,4204.152,4248.9697,4111.4243
888306.7004680634,4251.546,4215.485,4139.2427,4396.8184,4305.6367,4539.0,4387.0303,4297.909,4481.303,3731.2427,4387.5454,4206.727,4248.4546,4112.9697
888315.0329589844,4251.031,4204.6665,4135.6367,4389.091,4313.364,4533.8486,4387.5454,4291.2124,4478.7275,3735.3638,4384.4546,4206.2124,4243.303,4107.8184
888323.0011463165,4250.515,4206.727,4137.182,4394.758,4317.4854,4528.6973,4391.1514,4286.5757,4477.182,3730.2124,4385.485,4202.0913,4245.879,4106.273
888330.7209014893,4260.303,4218.576,4141.8184,4403.0,4314.909,4528.182,4393.212,4293.273,4478.7275,3732.7878,4394.2427,4209.8184,4253.6064,4118.1216
888338.6795520782,4265.4546,4219.091,4145.4243,4400.425,4319.0303,4535.394,4391.6665,4299.4546,4478.7275,3733.3032,4396.3037,4218.576,4252.0605,4121.2124
888346.6773033142,4270.0913,4224.758,4151.606,4404.546,4328.303,4543.1216,4394.758,4306.1514,4484.394,3736.3943,4399.394,4219.606,4255.667,4124.8184
888353.7871837616,4282.97,4240.7275,4165.515,4415.879,4332.425,4543.636,4401.9697,4314.909,4496.242,3751.8489,4410.7275,4225.273,4268.031,4138.2124
888366.6763305664,4284.0,4238.152,4167.5757,4412.788,4331.394,4544.152,4403.0,4316.9697,4499.3335,3757.0002,4413.303,4231.4546,4269.5757,4140.273
888373.7614154816,4279.364,4229.909,4160.8794,4406.091,4331.394,4546.2124,4401.9697,4315.425,4494.6973,3759.0608,4410.7275,4232.485,4268.031,4136.152
888383.8386535645,4281.4243,4237.1216,4161.394,4409.6973,4333.9697,4546.2124,4403.515,4317.4854,4497.788,3766.273,4413.8184,4233.0,4273.697,4143.364
888385.6546878815,4276.788,4233.0,4160.8794,4407.121,4332.425,4543.636,4403.0,4316.4546,4497.273,3757.0002,4409.6973,4229.394,4271.121,4141.303
888404.6819210052,4263.394,4217.5454,4152.6367,4396.8184,4328.8184,4541.061,4400.9395,4311.303,4482.3335,3736.9094,4393.727,4217.0303,4256.697,4123.788
888421.6578006744,4266.485,4224.758,4155.212,4400.9395,4327.788,4540.031,4404.546,4313.364,4480.788,3736.9094,4396.8184,4220.6367,4256.697,4125.3335
888422.0216274261,4276.788,4240.2124,4166.0303,4413.303,4327.788,4541.5757,4407.6367,4322.1216,4496.758,3748.758,4415.364,4235.5757,4271.636,4140.273
888422.0826625824,4274.7275,4235.0605,4162.94,4412.273,4328.8184,4541.5757,4403.515,4322.636,4500.364,3748.2424,4413.8184,4230.9395,4271.121,4139.758
888425.5836009979,4264.9395,4221.6665,4155.727,4403.515,4330.879,4541.5757,4399.394,4314.3936,4486.4546,3742.0608,4398.3643,4218.0605,4256.697,4126.364
888437.6556873322,4256.697,4219.091,4151.091,4399.394,4330.3643,4542.0913,4395.788,4306.667,4478.7275,3732.273,4392.182,4213.9395,4251.546,4117.091
888440.6621456146,4253.6064,4220.6367,4146.455,4398.879,4329.3335,4541.061,4390.636,4301.515,4477.6973,3722.485,4389.606,4207.758,4245.364,4111.4243
888448.6632347107,4254.121,4220.6367,4149.5454,4399.394,4331.909,4540.031,4389.091,4299.9697,4476.152,3721.9697,4384.9697,4203.121,4237.1216,4110.394
888466.1345481873,4255.667,4222.1816,4156.2427,4400.425,4333.4546,4541.5757,4388.061,4298.9395,4475.6367,3721.4546,4386.0005,4205.6973,4242.273,4114.0
888466.3026332855,4255.152,4220.6367,4149.0303,4396.8184,4331.909,4542.0913,4383.4243,4296.879,4472.5454,3714.2427,4384.9697,4204.6665,4248.4546,4114.515
888472.5983142853,4251.546,4217.5454,4142.3335,4395.273,4331.394,4541.5757,4383.4243,4305.1216,4477.6973,3723.0005,4388.5757,4206.2124,4247.4243,4116.5757
888480.5779457092,4253.6064,4220.121,4151.606,4402.4854,4331.394,4541.5757,4390.636,4317.4854,4495.2124,3744.6365,4402.4854,4219.606,4254.121,4126.364
888488.605260849,4256.1816,4223.2124,4154.6973,4407.121,4330.3643,4542.0913,4392.697,4316.4546,4496.758,3744.1213,4405.0605,4223.7275,4258.2427,4129.4546
888504.61602211,4253.0913,4219.606,4143.879,4400.425,4328.8184,4542.6064,4392.182,4310.2725,4482.3335,3736.9094,4398.879,4219.091,4252.0605,4124.8184
888505.5713653564,4251.031,4217.0303,4140.273,4395.273,4326.7573,4542.0913,4397.3335,4310.2725,4485.9395,3746.182,4402.4854,4219.606,4256.697,4126.364
888512.6152038574,4259.273,4220.121,4145.4243,4399.394,4328.303,4542.6064,4404.546,4312.8486,4498.8184,3751.8489,4410.2124,4224.758,4267.0,4135.1216
888519.5732116699,4268.031,4223.2124,4146.9697,4403.0,4332.9395,4543.636,4406.6064,4315.425,4497.788,3745.6667,4412.788,4230.9395,4268.031,4139.758
888527.8742313385,4265.97,4222.1816,4146.9697,4402.4854,4332.425,4543.636,4404.546,4316.4546,4494.6973,3744.6365,4411.2427,4235.5757,4264.9395,4137.6973
888535.6233119965,4264.4243,4222.6973,4150.576,4402.4854,4330.879,4543.636,4403.515,4318.0005,4498.8184,3749.7883,4409.182,4232.485,4266.485,4139.2427
888545.0320243835,4266.485,4223.2124,4149.0303,4404.546,4337.0605,4545.697,4399.909,4320.5757,4499.849,3749.273,4407.121,4225.788,4267.0,4139.2427
888551.6202449799,4260.818,4221.1514,4144.3945,4399.909,4340.667,4547.7573,4395.273,4318.0005,4496.758,3737.4246,4402.4854,4220.6367,4256.697,4128.9395
888559.6013069153,4252.0605,4219.091,4141.8184,4395.788,4333.9697,4545.182,4392.697,4309.2427,4489.546,3728.1519,4397.8486,4218.0605,4248.9697,4120.6973
888567.6386356354,4253.0913,4219.091,4140.273,4399.394,4328.8184,4539.515,4388.5757,4307.6973,4484.909,3738.97,4401.4546,4219.091,4256.697,4125.8486
888575.5922794342,4256.1816,4219.606,4145.4243,4403.515,4329.8486,4540.546,4387.0303,4309.2427,4492.121,3748.758,4409.6973,4222.6973,4267.0,4132.031
888583.6911201477,4255.152,4219.091,4150.061,4403.515,4328.8184,4542.0913,4386.0005,4303.576,4492.121,3735.8792,4408.667,4222.1816,4258.2427,4129.4546
888590.6193256378,4254.636,4218.576,4148.0005,4402.4854,4327.788,4533.8486,4380.333,4294.8184,4480.273,3724.5457,4401.9697,4218.0605,4248.9697,4123.788
888599.65467453,4255.152,4220.6367,4153.1514,4406.091,4331.394,4532.8184,4376.727,4295.8486,4483.364,3738.97,4405.0605,4220.121,4257.7275,4126.364
888607.5615882874,4253.6064,4222.1816,4155.727,4407.121,4333.4546,4541.061,4378.7876,4300.485,4496.242,3749.7883,4407.121,4223.2124,4262.364,4129.4546
888614.5603656769,4252.5757,4219.091,4144.3945,4401.9697,4331.394,4535.394,4374.1514,4297.394,4489.546,3736.9094,4401.4546,4219.091,4252.0605,4125.3335
888623.279094696,4252.5757,4217.0303,4140.273,4399.909,4329.3335,4525.091,4367.9697,4295.3335,4477.6973,3724.5457,4395.788,4215.485,4246.909,4121.7275
888630.6209564209,4253.6064,4219.606,4145.94,4403.0,4328.303,4528.182,4370.0303,4299.4546,4479.2427,3729.697,4397.8486,4217.0303,4250.0,4123.273
888638.561964035,4253.0913,4221.1514,4146.455,4403.0,4327.2725,4532.8184,4373.6367,4302.0303,4482.8486,3737.9397,4398.879,4218.576,4251.031,4124.303
888646.6236114502,4251.546,4219.091,4143.879,4399.394,4326.7573,4529.7275,4369.0005,4299.9697,4478.2124,3732.7878,4394.2427,4216.5156,4250.515,4123.273
888654.6068191528,4251.546,4218.0605,4143.879,4399.909,4328.303,4527.667,4361.7876,4297.394,4475.1216,3718.3638,4392.182,4214.9697,4247.4243,4119.667
888661.988735199,4254.636,4220.6367,4148.0005,4401.4546,4329.3335,4528.6973,4360.758,4297.394,4480.788,3725.061,4399.909,4219.606,4252.0605,4123.788
888670.6991195679,4256.1816,4221.6665,4150.576,4400.9395,4330.3643,4530.758,4363.848,4297.394,4485.4243,3745.6667,4410.2124,4224.758,4262.879,4132.031
888677.9386997223,4254.121,4219.091,4146.9697,4399.909,4329.8486,4529.7275,4362.303,4297.909,4482.8486,3743.091,4405.0605,4221.1514,4260.303,4128.4243
888685.6453418732,4256.697,4219.091,4149.5454,4401.4546,4329.3335,4530.2427,4359.2124,4300.485,4484.394,3733.818,4403.0,4219.091,4254.121,4127.394
888707.6752185822,4264.9395,4223.2124,4157.273,4403.515,4330.3643,4532.8184,4362.303,4303.061,4493.152,3742.0608,4411.758,4227.3335,4263.9097,4137.6973
888709.60521698,4263.9097,4222.1816,4156.758,4402.4854,4330.879,4530.758,4369.0005,4304.6064,4493.667,3744.1213,4415.364,4230.4243,4271.121,4137.6973
888710.6401920319,4255.667,4219.606,4151.091,4403.0,4330.879,4528.6973,4371.061,4304.6064,4487.4854,3735.8792,4415.364,4224.758,4261.8486,4130.485
888717.6597118378,4253.0913,4219.606,4146.9697,4401.4546,4328.8184,4529.2124,4361.7876,4301.0,4482.3335,3734.3335,4408.152,4220.6367,4252.5757,4127.394
888725.6169319153,4253.0913,4218.576,4144.909,4395.788,4323.667,4527.667,4352.515,4295.3335,4477.182,3730.7273,4397.8486,4219.091,4250.0,4123.273
888733.683347702,4251.031,4218.576,4147.485,4396.3037,4321.6064,4525.606,4356.6367,4297.394,4477.6973,3731.7576,4403.515,4220.6367,4254.121,4123.788
888740.6346797943,4251.546,4221.1514,4149.5454,4399.909,4323.1514,4525.091,4361.273,4299.9697,4481.8184,3735.8792,4414.3335,4223.2124,4256.1816,4128.9395
888749.6922016144,4252.0605,4221.6665,4151.606,4398.879,4322.1216,4526.1216,4363.848,4297.909,4478.2124,3729.1821,4410.2124,4219.606,4250.0,4125.3335
888756.715297699,4252.5757,4223.7275,4157.788,4401.9697,4318.515,4528.182,4373.6367,4300.485,4483.364,3733.818,4409.182,4222.1816,4256.1816,4126.879
888764.6021842957,4255.152,4225.788,4156.2427,4404.546,4324.697,4529.2124,4377.758,4305.1216,4496.758,3752.3638,4415.879,4231.4546,4268.031,4133.576
888773.598909378,4254.636,4222.1816,4149.0303,4396.3037,4330.3643,4528.182,4369.0005,4301.515,4492.6367,3746.697,4408.152,4227.3335,4259.788,4128.4243
888780.6768417358,4251.031,4219.091,4148.0005,4394.2427,4321.6064,4528.182,4360.758,4297.909,4479.2427,3726.0913,4397.3335,4216.0,4246.909,4122.758
888788.7296676636,4254.636,4223.2124,4155.727,4403.515,4318.0005,4529.2124,4360.758,4300.485,4480.273,3732.273,4406.6064,4219.091,4255.667,4126.364
888803.7173748016,4258.2427,4224.2427,4155.212,4404.0303,4322.1216,4529.2124,4360.758,4302.0303,4487.4854,3744.6365,4412.788,4224.758,4262.879,4128.9395
888804.6278953552,4253.6064,4220.121,4145.94,4396.8184,4323.667,4527.667,4359.727,4299.9697,4482.8486,3729.697,4401.4546,4219.606,4251.031,4124.303
888812.2293949127,4250.515,4219.091,4142.3335,4398.879,4325.212,4528.6973,4359.727,4301.515,4479.2427,3720.4243,4397.3335,4217.0303,4246.394,4122.2427
888819.7486400604,4253.6064,4220.6367,4143.879,4401.4546,4323.1514,4530.2427,4360.2427,4302.0303,4482.3335,3735.8792,4406.091,4220.6367,4253.6064,4125.3335
888829.0400505066,4253.0913,4220.121,4145.4243,4396.3037,4317.4854,4528.182,4362.303,4295.8486,4481.8184,3741.5457,4408.667,4221.1514,4255.152,4127.909
888836.7631435394,4251.546,4219.091,4150.576,4395.788,4320.061,4525.606,4361.7876,4291.7275,4478.2124,3729.697,4409.6973,4221.1514,4252.0605,4126.879
888845.0684547424,4254.121,4220.6367,4155.727,4403.0,4328.303,4527.152,4360.758,4296.879,4480.788,3726.6062,4414.8486,4222.1816,4254.121,4127.394
888858.7090969086,4255.152,4221.6665,4154.6973,4403.0,4328.303,4528.182,4361.273,4300.485,4482.3335,3732.273,4411.2427,4221.1514,4253.6064,4127.394
