Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
987039.7551059723,4250.0,4206.727,4127.394,4384.9697,4315.94,4530.758,4311.303,4294.8184,4471.515,3750.3032,4399.394,4214.9697,4264.4243,4107.303
987047.7945804596,4251.546,4205.1816,4129.9697,4387.0303,4315.94,4529.7275,4314.3936,4295.3335,4469.9697,3749.273,4401.4546,4215.485,4263.394,4107.303
987054.6879768372,4252.5757,4216.0,4140.273,4393.212,4315.94,4538.485,4316.4546,4299.9697,4478.2124,3759.5757,4409.6973,4218.576,4267.515,4111.4243
987064.2054080963,4250.515,4214.455,4139.2427,4390.1216,4315.94,4533.8486,4316.4546,4302.0303,4480.273,3762.667,4409.6973,4220.121,4270.0913,4113.485
987070.6822872162,4252.5757,4212.909,4138.2124,4389.606,4315.425,4524.0605,4326.7573,4308.7275,4488.5156,3768.8486,4410.2124,4225.273,4275.758,4119.152
987079.1909694672,4254.636,4219.606,4140.273,4393.212,4316.4546,4526.6367,4339.121,4308.7275,4492.6367,3771.9395,4418.9697,4226.303,4283.485,4125.3335
987096.1046218872,4253.0913,4219.606,4139.758,4393.212,4316.4546,4536.9395,4349.4243,4299.9697,4486.4546,3766.273,4424.1216,4226.303,4284.515,4125.8486
987096.7836380005,4257.2124,4218.0605,4139.2427,4394.758,4315.94,4540.031,4363.3335,4298.4243,4490.576,3769.3638,4418.9697,4229.394,4283.485,4125.3335
987102.7245521545,4262.364,4220.121,4142.848,4396.3037,4316.9697,4531.788,4377.758,4302.546,4498.8184,3778.1213,4417.9395,4232.485,4284.515,4126.364
987110.8767986298,4258.2427,4218.576,4142.848,4394.2427,4315.94,4525.091,4386.515,4302.0303,4496.758,3780.6973,4428.2427,4233.515,4286.0605,4131.0005
987118.7937259674,4252.0605,4217.5454,4140.7876,4392.697,4315.425,4528.6973,4389.091,4301.0,4495.7275,3776.0608,4428.758,4234.0303,4285.031,4130.485
987125.7476806641,4251.546,4217.5454,4141.303,4391.6665,4322.636,4528.182,4388.061,4299.4546,4495.2124,3770.394,4418.4546,4230.4243,4281.9395,4123.273
987133.7225437164,4255.152,4217.5454,4144.3945,4397.3335,4331.394,4526.1216,4388.5757,4303.576,4498.3027,3783.788,4426.182,4233.0,4286.5757,4127.909
987146.7745304108,4259.788,4220.6367,4146.9697,4403.515,4332.425,4529.7275,4386.515,4308.212,4506.031,3793.576,4433.9097,4237.1216,4292.2427,4137.6973
987149.7414112091,4261.8486,4219.091,4149.0303,4400.9395,4330.3643,4529.2124,4375.6973,4301.0,4500.364,3769.879,4420.0,4224.758,4282.4546,4126.879
