Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
146518.20182800293,4464.303,4468.94,4486.4546,4590.0,4314.3936,4539.515,4522.5156,4484.394,4745.576,4016.6365,4693.0303,4380.848,4508.606,4342.7275
146521.14081382751,4463.788,4468.94,4490.0605,4587.4243,4310.788,4543.636,4529.7275,4489.546,4756.3945,4019.2124,4688.909,4375.182,4505.5156,4343.2427
146532.18626976013,4465.3335,4467.909,4494.1816,4594.1216,4311.303,4544.667,4529.7275,4497.788,4763.091,4026.4246,4686.8486,4377.2427,4511.1816,4351.485
146537.2347831726,4466.364,4471.0005,4496.242,4601.8486,4312.333,4542.6064,4532.303,4495.7275,4759.485,4025.394,4688.394,4379.303,4509.121,4354.0605
146545.26543617249,4472.0303,4480.273,4506.031,4609.576,4306.667,4543.1216,4544.152,4499.849,4767.2124,4032.0913,4697.1514,4388.061,4513.758,4362.303
146557.28220939636,4465.8486,4472.0303,4493.152,4595.152,4299.4546,4531.273,4536.4243,4493.667,4758.9697,4026.9397,4685.303,4378.2725,4509.6367,4356.1216
146562.2284412384,4450.3945,4455.0303,4473.061,4576.6064,4296.879,4526.1216,4524.576,4479.758,4744.5454,4005.818,4666.2427,4358.182,4490.0605,4336.0303
146568.3195590973,4448.334,4450.909,4477.6973,4577.636,4294.8184,4534.879,4531.273,4476.152,4741.97,3993.97,4666.2427,4357.6665,4478.2124,4329.8486
146576.21955871582,4450.909,4450.909,4479.758,4578.152,4290.182,4531.273,4527.152,4469.4546,4736.3027,3993.97,4668.8184,4363.848,4479.758,4331.394
146584.1817855835,4448.8486,4449.8794,4473.576,4574.546,4286.5757,4523.0303,4516.334,4465.3335,4737.334,4003.7576,4674.485,4367.9697,4491.0913,4339.121
146592.2348499298,4449.8794,4451.4243,4479.758,4578.667,4285.031,4519.9395,4513.758,4469.4546,4738.364,4011.9998,4683.2427,4373.1216,4498.3027,4347.879
146600.1513004303,4448.8486,4449.8794,4478.2124,4577.121,4285.031,4510.152,4502.4243,4460.6978,4721.364,4002.7275,4671.909,4363.848,4488.0,4340.667
146608.86120796204,4440.606,4446.7876,4467.909,4574.031,4282.4546,4505.0,4491.0913,4446.7876,4711.576,3986.2427,4656.9697,4349.9395,4473.576,4323.667
146616.2040233612,4435.455,4446.273,4466.8794,4574.546,4282.97,4512.727,4496.242,4445.758,4715.6973,3979.5457,4656.9697,4348.909,4471.515,4319.0303
