Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
1078688.8744831085,4268.546,4219.606,4171.182,4427.2124,4282.97,4543.1216,4405.5757,4345.8184,4507.0605,3771.9395,4431.8486,4219.606,4281.9395,4140.273
1078689.846754074,4270.0913,4223.7275,4172.7275,4430.303,4284.515,4544.152,4394.2427,4342.7275,4501.9097,3770.9092,4429.788,4215.485,4280.9097,4143.364
1078691.00522995,4270.6064,4223.2124,4169.636,4426.6973,4285.031,4542.6064,4384.4546,4337.5757,4497.273,3771.4243,4424.6367,4212.909,4275.242,4139.758
1078699.2049217224,4268.546,4219.091,4162.94,4421.546,4279.879,4540.031,4384.4546,4327.2725,4486.4546,3757.5151,4415.879,4207.242,4263.394,4127.394
1078705.8866024017,4265.97,4220.121,4156.758,4420.515,4281.9395,4540.546,4388.061,4322.1216,4478.2124,3741.5457,4410.2124,4200.5454,4259.273,4120.182
1078715.4142856598,4267.515,4221.6665,4161.394,4420.0,4282.4546,4543.1216,4386.0005,4330.879,4489.031,3751.3335,4414.3335,4203.6367,4265.97,4124.8184
1078730.2277088165,4270.0913,4221.6665,4165.515,4419.485,4272.152,4545.182,4377.758,4339.636,4501.3945,3766.273,4420.0,4207.758,4270.6064,4131.0005
1078731.8415641785,4269.5757,4222.1816,4160.8794,4417.9395,4269.0605,4544.667,4374.6665,4338.091,4492.121,3759.5757,4417.9395,4205.1816,4269.0605,4129.4546
1078737.8888130188,4268.031,4222.6973,4159.8486,4417.4243,4280.394,4543.1216,4375.6973,4331.394,4479.758,3746.697,4412.788,4202.0913,4261.3335,4122.758
1078759.8977088928,4268.031,4221.1514,4160.8794,4418.9697,4286.0605,4542.0913,4374.6665,4327.2725,4479.2427,3747.7273,4408.667,4202.0913,4251.546,4119.667
1078760.9000205994,4267.0,4221.1514,4156.2427,4415.879,4281.9395,4539.515,4376.212,4326.7573,4485.4243,3759.0608,4408.667,4202.606,4251.546,4123.273
1078762.2225284576,4264.9395,4220.6367,4153.6665,4410.2124,4280.394,4534.364,4386.515,4326.7573,4493.667,3762.667,4412.273,4201.0605,4260.818,4124.303
1078768.856048584,4263.394,4219.091,4156.758,4411.758,4282.4546,4530.758,4397.8486,4328.8184,4493.667,3759.0608,4416.394,4203.6367,4264.4243,4123.788
1078776.85880661,4265.4546,4221.1514,4160.364,4418.4546,4282.4546,4530.758,4407.121,4335.515,4493.667,3765.7578,4425.152,4213.9395,4267.515,4132.031
1078793.981552124,4269.0605,4223.2124,4160.364,4418.9697,4284.0,4531.273,4414.8486,4342.2124,4501.9097,3775.546,4432.879,4220.6367,4272.667,4142.848
1078795.2287197113,4268.031,4221.6665,4156.758,4413.8184,4285.5454,4529.7275,4413.8184,4337.5757,4503.97,3774.0,4428.2427,4214.9697,4270.0913,4139.2427
1078801.2464046478,4262.364,4218.576,4154.182,4407.6367,4282.97,4528.6973,4405.5757,4329.8486,4499.3335,3770.9092,4420.515,4207.758,4267.0,4127.909
1078808.8970184326,4264.9395,4218.576,4155.727,4407.121,4277.303,4527.152,4393.727,4329.8486,4494.6973,3767.3032,4421.031,4208.273,4268.546,4129.4546
1078816.8425559998,4266.485,4220.121,4158.303,4410.7275,4279.879,4526.6367,4379.8184,4325.212,4485.9395,3755.4546,4417.4243,4207.758,4262.364,4128.4243
1078824.8040676117,4258.7573,4220.6367,4157.273,4406.091,4286.5757,4527.152,4367.4546,4317.4854,4478.2124,3748.2424,4407.121,4200.031,4250.0,4115.0303
1078840.8410549164,4258.2427,4218.576,4154.182,4398.879,4278.849,4529.2124,4360.2427,4321.6064,4479.758,3749.273,4406.091,4199.5156,4247.9395,4114.515
1078841.7930603027,4262.879,4219.091,4156.758,4400.9395,4271.636,4530.758,4361.7876,4329.8486,4480.788,3746.697,4409.6973,4202.606,4254.121,4123.273
1078855.919122696,4256.697,4219.606,4156.2427,4401.4546,4275.758,4529.7275,4363.3335,4325.212,4479.2427,3743.6062,4405.5757,4196.424,4252.5757,4115.546
1078857.8691482544,4248.4546,4209.3027,4144.3945,4391.6665,4275.242,4527.152,4353.0303,4315.425,4479.2427,3745.6667,4398.879,4186.6367,4241.2427,4103.697
1078864.8357391357,4251.031,4205.1816,4139.758,4389.606,4269.5757,4527.667,4346.8486,4311.303,4479.2427,3747.7273,4398.879,4186.121,4235.0605,4105.2427
1078880.9850215912,4255.152,4216.5156,4151.091,4399.909,4269.0605,4529.2124,4353.0303,4312.333,4480.273,3747.2122,4401.4546,4189.2124,4238.667,4109.879
1078889.1201019287,4253.0913,4220.121,4156.2427,4401.9697,4271.636,4528.6973,4355.0913,4314.3936,4479.2427,3738.4548,4399.909,4188.6973,4240.2124,4107.303
1078898.0152606964,4254.121,4213.9395,4152.1216,4397.8486,4268.546,4527.152,4356.6367,4312.8486,4478.2124,3729.1821,4398.879,4188.1816,4236.091,4103.697
