Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
2318978.6393642426,4261.8486,4219.606,4151.091,4431.8486,4235.5757,4558.0605,4360.758,4322.1216,4494.1816,3772.9697,4435.455,4220.6367,4281.9395,4125.8486
2318986.615896225,4261.3335,4219.606,4150.061,4428.2427,4236.091,4559.0913,4364.364,4318.515,4487.4854,3759.5757,4429.273,4216.0,4271.636,4120.182
2318994.6353435516,4267.515,4223.2124,4160.364,4441.1216,4237.1216,4569.9097,4372.091,4331.394,4494.1816,3775.0305,4442.152,4220.121,4277.8184,4129.9697
2319002.75182724,4262.364,4223.2124,4161.909,4448.334,4234.5454,4565.7886,4371.061,4329.8486,4499.3335,3790.485,4451.94,4225.788,4287.606,4134.606
2319009.6440315247,4251.031,4218.0605,4149.0303,4429.788,4233.0,4552.394,4356.6367,4312.8486,4486.4546,3779.1516,4437.5156,4218.0605,4276.273,4125.3335
2319017.7114009857,4250.0,4214.9697,4139.758,4415.364,4234.5454,4552.9097,4349.4243,4308.7275,4476.152,3765.7578,4427.2124,4210.8486,4262.879,4121.7275
2319025.60544014,4252.0605,4218.0605,4148.5156,4424.6367,4235.0605,4559.0913,4356.6367,4314.909,4483.364,3771.9395,4439.061,4217.0303,4270.6064,4125.8486
2319033.7669849396,4250.515,4220.6367,4157.788,4432.879,4236.091,4559.0913,4360.758,4315.425,4488.0,3781.2122,4446.273,4222.1816,4282.97,4127.909
2319045.7389354706,4252.5757,4219.606,4156.2427,4432.364,4237.636,4559.6064,4364.879,4311.303,4480.788,3775.546,4439.061,4220.6367,4279.879,4124.8184
2319049.695253372,4252.5757,4218.576,4155.727,4433.394,4234.5454,4560.636,4370.5454,4305.1216,4472.5454,3770.394,4435.455,4217.5454,4272.152,4124.303
2319061.698436737,4250.515,4219.091,4156.2427,4429.273,4232.485,4559.0913,4366.4243,4301.515,4468.4243,3775.546,4430.8184,4211.364,4269.5757,4125.3335
2319065.637111664,4252.0605,4219.606,4152.6367,4424.1216,4236.091,4558.0605,4358.182,4298.4243,4463.788,3773.4849,4418.9697,4201.0605,4266.485,4119.152
2319073.672771454,4251.031,4215.485,4149.0303,4424.1216,4238.152,4553.9395,4360.2427,4295.3335,4461.7275,3766.273,4416.909,4198.485,4259.273,4109.364
2319081.6128253937,4256.1816,4221.6665,4159.8486,4433.9097,4238.152,4561.667,4370.0303,4305.6367,4473.061,3780.182,4435.97,4211.879,4271.121,4122.2427
2319097.5325107574,4266.485,4234.5454,4170.667,4446.7876,4237.636,4575.0605,4375.6973,4322.636,4490.0605,3792.5457,4446.7876,4223.2124,4287.606,4141.8184
2319097.627401352,4259.788,4227.8486,4160.364,4437.5156,4235.0605,4564.2427,4364.879,4312.8486,4478.2124,3770.394,4429.273,4211.879,4272.667,4126.364
2319109.4691753387,4247.9395,4213.4243,4146.455,4422.576,4234.0303,4547.2427,4353.0303,4292.2427,4456.576,3755.97,4418.4546,4197.97,4255.152,4107.303
2319112.585067749,4252.0605,4217.0303,4153.1514,4428.758,4236.6064,4554.4546,4360.758,4297.909,4465.8486,3774.5151,4430.8184,4205.6973,4267.515,4121.2124
2319120.722055435,4254.636,4222.1816,4157.788,4435.455,4237.1216,4564.7573,4371.576,4313.364,4484.909,3786.3635,4437.5156,4216.0,4277.303,4133.061
2319128.561735153,4251.031,4219.091,4156.758,4431.8486,4235.0605,4560.636,4373.6367,4318.0005,4484.909,3783.2727,4432.364,4215.485,4274.7275,4127.909
2319136.864423752,4260.303,4222.1816,4167.061,4439.061,4236.091,4558.5757,4376.727,4319.0303,4481.303,3785.3333,4436.485,4219.091,4281.9395,4130.485
2319150.9552001953,4269.0605,4225.273,4172.7275,4442.6665,4238.667,4560.636,4375.6973,4315.425,4482.3335,3782.7578,4438.031,4217.5454,4281.4243,4132.5454
2319152.620077133,4264.4243,4221.1514,4162.94,4432.364,4238.667,4559.0913,4369.0005,4304.091,4473.576,3767.8184,4426.6973,4207.242,4270.0913,4122.758
2319159.58571434,4257.2124,4219.606,4157.788,4426.182,4238.152,4560.121,4369.0005,4296.879,4464.819,3762.1519,4417.4243,4198.485,4264.4243,4115.546
2319167.568206787,4251.546,4219.091,4155.212,4421.031,4238.152,4559.0913,4372.091,4297.909,4463.788,3767.3032,4414.3335,4189.2124,4256.697,4109.879
2319176.5396595,4248.4546,4214.9697,4150.576,4414.3335,4238.152,4554.4546,4371.576,4297.909,4461.2124,3765.7578,4414.3335,4184.576,4250.515,4105.758
2319183.542251587,4255.667,4220.6367,4158.303,4426.182,4238.667,4562.697,4386.0005,4311.8184,4471.515,3775.0305,4427.7275,4202.606,4267.515,4118.6367
2319191.505432129,4267.515,4231.9697,4175.303,4444.727,4241.2427,4578.152,4405.5757,4340.1514,4495.7275,3803.879,4451.4243,4229.909,4293.788,4142.848
2319199.562072754,4268.546,4227.3335,4177.364,4440.0913,4238.667,4570.9395,4397.3335,4341.1816,4497.788,3803.364,4451.4243,4228.879,4292.2427,4145.4243
2319207.589864731,4263.9097,4218.576,4168.606,4432.879,4238.152,4552.9097,4377.758,4314.909,4475.6367,3774.0,4435.455,4216.0,4275.242,4128.4243
2319215.5792713165,4267.0,4227.3335,4175.8184,4441.6367,4243.818,4555.4854,4379.8184,4312.333,4472.0303,3773.4849,4439.576,4224.2427,4276.273,4129.9697
2319222.591161728,4271.121,4236.6064,4188.1816,4448.8486,4241.7573,4566.303,4394.758,4329.8486,4493.152,3795.1213,4454.0005,4238.667,4287.606,4144.909
2319230.602502823,4268.031,4233.0,4183.0303,4445.758,4238.667,4562.697,4394.758,4326.2427,4495.7275,3793.576,4452.9697,4236.091,4288.121,4143.879
2319239.583969116,4267.0,4229.909,4177.879,4443.6973,4248.4546,4560.636,4388.061,4312.333,4482.8486,3786.3635,4446.7876,4232.485,4281.4243,4137.182
2319246.515750885,4271.121,4234.5454,4187.152,4445.758,4252.5757,4570.9395,4395.788,4314.3936,4488.0,3794.6062,4451.4243,4237.636,4285.031,4143.364
2319254.6367645264,4270.6064,4234.5454,4188.1816,4443.182,4240.7275,4580.2124,4407.121,4320.5757,4495.7275,3796.1516,4452.455,4230.9395,4287.606,4143.364
2319262.627363205,4263.9097,4223.2124,4174.273,4435.97,4234.5454,4577.121,4400.425,4315.94,4484.394,3783.2727,4440.0913,4216.5156,4277.303,4129.4546
2319270.573616028,4263.394,4215.485,4168.606,4430.8184,4240.7275,4566.8184,4387.5454,4306.1514,4477.6973,3771.9395,4430.8184,4216.0,4267.0,4122.758
2319278.5589694977,4264.9395,4221.1514,4173.2427,4432.879,4241.2427,4559.6064,4384.4546,4298.4243,4478.2124,3770.9092,4434.94,4220.121,4267.515,4125.8486
2319290.56596756,4259.273,4223.2124,4173.2427,4432.879,4236.091,4556.515,4378.2725,4293.273,4466.364,3772.9697,4433.394,4213.9395,4267.0,4123.788
2319301.643848419,4258.7573,4216.5156,4173.2427,4430.8184,4235.5757,4556.0,4375.182,4298.9395,4466.364,3779.1516,4432.364,4211.364,4269.0605,4122.2427
2319302.709341049,4266.485,4219.606,4177.364,4436.485,4238.667,4559.0913,4387.5454,4312.333,4482.8486,3786.879,4447.303,4223.7275,4281.9395,4135.6367
2319310.627937317,4271.121,4223.7275,4176.8486,4438.031,4240.2124,4561.667,4389.091,4316.9697,4484.394,3787.9092,4453.485,4228.879,4287.0913,4144.3945
2319318.342924118,4264.9395,4220.121,4171.6973,4433.9097,4238.152,4560.121,4376.212,4312.333,4479.758,3787.3938,4446.273,4223.7275,4282.4546,4136.152
2319325.630426407,4255.667,4217.5454,4170.1514,4431.8486,4237.636,4556.0,4372.091,4310.2725,4478.7275,3784.303,4444.727,4221.6665,4281.4243,4131.0005
2319333.6338996887,4257.7275,4218.576,4170.667,4430.303,4241.7573,4562.182,4382.909,4315.425,4483.879,3785.3333,4448.334,4223.2124,4283.485,4138.727
2319341.555118561,4267.515,4220.6367,4171.6973,4432.879,4247.4243,4574.546,4393.212,4320.5757,4493.152,3795.1213,4449.8794,4224.758,4287.0913,4144.3945
2319356.644630432,4268.031,4218.576,4170.667,4432.364,4252.0605,4573.515,4389.606,4313.879,4485.9395,3790.485,4441.6367,4222.6973,4282.97,4132.031
2319357.6142787933,4265.97,4220.121,4168.606,4430.8184,4251.031,4569.9097,4386.0005,4307.182,4478.7275,3782.7578,4437.5156,4217.5454,4276.273,4123.788
2319365.692615509,4270.0913,4222.1816,4173.2427,4435.97,4241.2427,4576.0913,4390.636,4320.5757,4493.152,3797.182,4448.334,4223.2124,4284.0,4136.152
2319372.6420402527,4268.546,4213.4243,4171.182,4434.4243,4235.0605,4571.4546,4382.909,4321.6064,4494.6973,3798.2122,4445.758,4223.2124,4285.031,4136.152
2319380.7170391083,4264.4243,4202.606,4160.8794,4421.546,4242.788,4556.515,4367.4546,4301.515,4473.061,3770.394,4427.2124,4208.7876,4267.515,4116.0605
2319389.4307613373,4265.4546,4203.6367,4161.909,4421.031,4250.0,4557.031,4366.9395,4301.0,4468.94,3766.273,4424.1216,4205.6973,4262.364,4115.0303
2319401.6482830048,4265.97,4207.758,4170.667,4432.364,4248.4546,4568.364,4374.6665,4311.8184,4479.758,3786.3635,4434.94,4217.5454,4274.2124,4128.9395
2319405.6022167206,4267.515,4207.758,4173.2427,4437.0005,4248.4546,4576.6064,4379.8184,4316.4546,4488.0,3792.0305,4445.758,4223.7275,4284.0,4135.6367
2319419.627428055,4269.0605,4207.242,4172.7275,4432.364,4252.0605,4573.515,4378.2725,4320.061,4491.6064,3784.303,4446.273,4222.6973,4282.97,4133.576
2319420.6128120422,4266.485,4205.1816,4168.606,4422.576,4251.546,4561.152,4365.9087,4312.8486,4483.364,3775.546,4429.273,4217.5454,4271.121,4125.3335
2319430.276155472,4262.879,4201.576,4162.94,4420.0,4248.9697,4554.97,4356.1216,4300.485,4473.061,3768.3335,4420.515,4211.879,4260.818,4119.667
2319436.651468277,4264.9395,4203.6367,4167.5757,4429.273,4248.9697,4559.0913,4360.2427,4303.061,4472.5454,3765.2427,4432.879,4215.485,4265.97,4122.758
2319443.58420372,4269.0605,4206.727,4172.7275,4433.9097,4252.0605,4560.636,4362.303,4309.2427,4475.1216,3768.8486,4437.0005,4219.091,4270.6064,4124.8184
2319451.6744613647,4269.0605,4206.2124,4171.182,4429.788,4254.121,4559.0913,4361.7876,4307.6973,4476.152,3779.667,4431.3335,4218.576,4267.0,4123.788
2319460.602760315,4268.031,4203.6367,4173.2427,4431.3335,4253.0913,4559.0913,4365.394,4309.758,4480.788,3785.8486,4436.485,4219.091,4271.636,4126.364
2319467.659711838,4272.667,4210.8486,4175.303,4436.485,4253.6064,4564.2427,4371.061,4316.9697,4490.0605,3788.9397,4447.303,4223.2124,4283.485,4131.5156
2319476.6731262207,4276.788,4219.091,4174.273,4434.94,4256.1816,4572.4854,4375.6973,4321.6064,4498.8184,3791.0002,4450.909,4232.485,4286.0605,4138.727
2319488.6322021484,4272.152,4211.364,4174.273,4432.364,4255.152,4575.0605,4372.091,4319.546,4492.6367,3789.97,4449.364,4232.485,4283.485,4140.7876
2319491.6281700134,4266.485,4202.0913,4170.667,4432.364,4252.0605,4568.879,4364.364,4313.879,4484.909,3790.485,4448.334,4223.2124,4284.515,4133.576
