Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
1242415.4393672943,4361.273,4284.0,4186.121,4494.6973,4298.4243,4633.788,4445.2427,4400.9395,4587.4243,3866.7273,4541.061,4313.364,4387.5454,4217.5454
1242422.4557876587,4361.273,4287.0913,4189.7275,4497.273,4297.394,4637.394,4447.819,4394.2427,4591.031,3864.6667,4548.788,4315.425,4387.0303,4219.606
1242430.3534030914,4361.273,4293.788,4188.6973,4493.667,4300.485,4646.667,4454.5156,4400.9395,4605.455,3871.3638,4557.546,4318.515,4389.606,4218.576
1242438.4880065918,4360.758,4291.7275,4182.515,4487.4854,4300.485,4646.667,4459.6665,4408.152,4608.0303,3878.0608,4550.8486,4316.9697,4389.606,4220.121
1242446.4263916016,4358.6973,4282.4546,4176.8486,4480.788,4298.9395,4638.425,4450.3945,4397.3335,4593.6064,3864.1516,4541.5757,4312.8486,4383.94,4216.5156
1242454.4327259064,4361.7876,4288.121,4187.667,4490.576,4301.0,4644.6064,4449.364,4395.273,4593.6064,3864.1516,4551.879,4319.546,4389.606,4218.576
1242462.4354839325,4365.9087,4293.273,4190.242,4496.758,4302.546,4650.788,4456.576,4403.0,4601.3335,3873.9397,4555.4854,4321.6064,4394.2427,4223.7275
1242470.451593399,4360.758,4281.4243,4171.6973,4478.7275,4300.485,4639.9697,4446.273,4393.727,4587.9395,3854.364,4537.4546,4302.0303,4375.6973,4208.273
1242478.7402153015,4357.6665,4279.879,4172.2124,4475.6367,4298.9395,4641.0,4438.5454,4386.515,4580.7275,3846.6365,4535.394,4298.9395,4369.5156,4200.5454
1242490.4198646545,4364.364,4291.2124,4190.758,4495.2124,4297.909,4654.909,4455.0303,4400.425,4597.2124,3868.273,4546.2124,4318.0005,4387.0303,4218.0605
1242493.4358596802,4366.4243,4289.667,4187.152,4498.3027,4301.0,4651.8184,4461.2124,4406.6064,4602.364,3872.9094,4545.182,4315.425,4387.0303,4224.2427
1242501.4352798462,4362.303,4282.4546,4175.303,4488.0,4303.061,4643.5757,4446.7876,4395.788,4592.061,3857.4548,4537.9697,4301.515,4371.576,4213.9395
1242509.4845294952,4363.848,4288.121,4182.515,4492.6367,4299.9697,4650.273,4448.8486,4401.4546,4597.2124,3860.5457,4541.5757,4311.8184,4379.303,4217.5454
1242518.652677536,4372.606,4298.4243,4193.3335,4500.879,4304.091,4659.031,4466.364,4421.031,4612.667,3881.667,4553.9395,4324.697,4399.394,4230.4243
1242525.4702568054,4378.2725,4301.0,4189.7275,4497.273,4315.94,4658.0005,4468.94,4416.394,4611.1216,3882.1821,4556.515,4319.0303,4398.3643,4228.879
