Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
1186375.0698566437,4243.818,4219.091,4137.182,4404.546,4164.485,4523.0303,4346.8486,4297.909,4466.8794,3747.2122,4422.061,4206.727,4265.97,4126.879
1186383.0196857452,4246.909,4218.0605,4137.182,4403.0,4177.879,4511.1816,4346.3335,4298.4243,4464.819,3752.8792,4420.515,4211.364,4267.515,4122.758
1186400.0444412231,4247.4243,4218.0605,4137.182,4402.4854,4187.667,4512.2124,4355.606,4300.485,4474.6064,3757.0002,4422.061,4217.5454,4267.515,4124.8184
1186402.740240097,4249.4854,4220.6367,4141.8184,4400.9395,4190.758,4525.606,4366.4243,4303.576,4482.8486,3760.091,4423.6064,4218.0605,4270.6064,4128.9395
1186426.4104366302,4251.546,4219.606,4140.7876,4402.4854,4195.909,4527.667,4363.848,4300.485,4476.152,3755.4546,4421.546,4217.5454,4269.5757,4124.8184
1186426.89037323,4252.5757,4220.121,4140.7876,4408.667,4203.121,4524.576,4363.848,4301.515,4473.576,3758.5454,4425.667,4219.606,4273.1816,4128.4243
1186428.346157074,4253.0913,4223.2124,4145.4243,4411.2427,4207.758,4526.6367,4374.6665,4308.212,4480.788,3766.788,4431.8486,4222.6973,4280.394,4139.758
1186430.0093650818,4251.546,4221.1514,4142.848,4407.121,4213.4243,4527.152,4382.909,4305.1216,4482.8486,3762.1519,4432.879,4221.1514,4279.879,4139.2427
1186438.017129898,4252.5757,4226.8184,4144.909,4410.2124,4225.273,4528.6973,4377.2427,4308.212,4482.8486,3764.7275,4432.364,4220.121,4280.394,4135.6367
1186452.386856079,4256.697,4235.0605,4153.1514,4415.364,4235.0605,4529.2124,4368.485,4317.4854,4485.4243,3777.6064,4438.031,4224.2427,4287.0913,4141.8184
1186463.3474349976,4255.152,4226.8184,4151.606,4410.2124,4236.6064,4525.606,4361.7876,4306.667,4480.788,3767.3032,4438.5454,4223.7275,4284.0,4143.364
1186463.9139175415,4252.5757,4223.2124,4151.091,4409.182,4235.0605,4524.576,4361.7876,4294.8184,4476.152,3749.273,4431.8486,4219.091,4277.303,4136.6665
1186469.9149131775,4255.667,4234.0303,4154.6973,4417.4243,4235.5757,4528.182,4364.879,4304.6064,4482.3335,3756.4849,4431.3335,4221.6665,4280.394,4137.6973
1186478.1374931335,4254.121,4227.8486,4144.909,4410.2124,4238.667,4525.091,4361.273,4309.2427,4482.3335,3760.606,4434.94,4224.2427,4281.4243,4140.273
1186485.971212387,4249.4854,4216.0,4137.182,4399.909,4243.303,4521.485,4357.152,4302.0303,4476.152,3752.8792,4430.8184,4219.091,4277.303,4137.6973
1186493.9727783203,4251.031,4224.2427,4147.485,4410.7275,4254.121,4525.091,4370.0303,4310.788,4485.9395,3765.7578,4430.303,4223.2124,4280.9097,4139.758
1186515.9754753113,4254.121,4229.394,4149.5454,4417.4243,4258.7573,4529.2124,4385.485,4322.636,4501.9097,3787.3938,4440.0913,4234.0303,4287.0913,4145.4243
1186516.8976783752,4252.0605,4220.6367,4139.758,4406.6064,4255.152,4527.667,4383.4243,4319.0303,4495.2124,3777.6064,4441.1216,4228.879,4285.031,4143.364
1186518.8975334167,4250.0,4218.576,4139.2427,4404.546,4258.2427,4524.576,4380.333,4313.879,4485.4243,3761.6362,4431.3335,4218.576,4278.3335,4136.6665
1186524.9412059784,4253.0913,4224.758,4144.3945,4412.788,4265.97,4528.182,4385.485,4313.879,4491.6064,3770.9092,4432.364,4223.7275,4282.4546,4142.3335
1186533.5400104523,4251.546,4223.2124,4143.879,4410.7275,4269.5757,4527.667,4377.2427,4303.576,4486.4546,3769.3638,4435.455,4223.7275,4282.97,4143.879
1186540.9579277039,4247.4243,4216.5156,4138.2124,4405.5757,4269.0605,4515.303,4367.4546,4292.2427,4473.061,3754.4243,4428.2427,4215.485,4272.152,4132.5454
1186549.0145683289,4251.546,4222.6973,4142.848,4413.8184,4268.546,4511.6973,4382.394,4300.485,4478.7275,3765.2427,4431.8486,4223.2124,4275.758,4134.606
1186556.9689273834,4257.7275,4237.636,4155.727,4422.576,4269.5757,4523.0303,4397.3335,4310.2725,4486.4546,3776.0608,4441.1216,4231.4546,4287.0913,4145.4243
1186564.9628639221,4255.667,4236.091,4157.273,4418.4546,4276.273,4527.667,4389.606,4302.546,4478.7275,3758.0305,4432.364,4220.6367,4276.273,4137.6973
1186571.9878673553,4253.0913,4222.6973,4145.94,4414.3335,4281.9395,4523.5454,4384.4546,4294.303,4474.6064,3751.8489,4424.1216,4216.5156,4264.9395,4129.9697
1186580.9934139252,4252.0605,4220.121,4140.273,4415.364,4278.849,4525.091,4390.1216,4297.394,4477.6973,3762.1519,4431.3335,4220.6367,4274.7275,4137.6973
1186588.0007743835,4249.4854,4221.6665,4140.273,4409.6973,4272.152,4527.667,4390.1216,4298.9395,4476.667,3762.1519,4433.9097,4219.606,4281.4243,4140.7876
1186596.6520309448,4248.9697,4219.091,4140.273,4405.5757,4268.031,4525.606,4386.515,4298.4243,4476.152,3762.667,4431.8486,4219.606,4282.4546,4137.6973
1186603.939294815,4251.546,4219.606,4143.364,4412.788,4271.636,4525.091,4385.485,4299.9697,4478.2124,3765.7578,4433.9097,4222.6973,4280.9097,4138.727
1186612.6692295074,4252.0605,4219.606,4140.273,4414.3335,4281.4243,4524.576,4382.394,4298.9395,4477.182,3758.0305,4428.758,4218.576,4270.0913,4138.2124
1186619.9533939362,4252.5757,4222.1816,4142.848,4411.758,4286.5757,4525.091,4378.2725,4299.4546,4478.2124,3760.091,4426.6973,4218.576,4274.7275,4139.2427
1186628.1917095184,4255.667,4228.879,4153.1514,4414.8486,4283.485,4527.667,4370.5454,4302.546,4483.364,3770.394,4434.4243,4225.273,4287.0913,4143.364
1186634.9895000458,4255.667,4227.3335,4151.091,4417.4243,4286.0605,4525.091,4360.2427,4300.485,4481.8184,3763.1821,4430.8184,4222.1816,4278.3335,4139.2427
1186643.0032253265,4252.0605,4219.606,4142.848,4416.394,4292.2427,4522.5156,4358.6973,4299.9697,4476.667,3751.3335,4418.4546,4216.5156,4265.4546,4131.0005
1186651.0725021362,4251.546,4217.5454,4144.3945,4414.3335,4289.152,4524.0605,4359.727,4303.061,4475.6367,3751.8489,4414.3335,4216.5156,4267.515,4125.8486
1186659.0178012848,4251.546,4219.606,4144.909,4409.6973,4282.97,4525.606,4356.6367,4302.0303,4477.182,3755.97,4418.4546,4218.576,4269.0605,4125.3335
