Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
1280390.0763988495,4248.9697,4220.121,4140.273,4407.6367,4325.212,4528.6973,4368.485,4280.9097,4434.4243,3720.9395,4346.8486,4176.3335,4136.152,4002.2126
1280398.5478878021,4249.4854,4223.2124,4148.0005,4408.667,4330.3643,4531.788,4369.5156,4285.031,4449.364,3745.1516,4366.4243,4163.9697,4160.8794,4008.3943
1280406.108379364,4250.0,4222.1816,4152.6367,4406.6064,4332.425,4530.2427,4366.9395,4285.031,4451.4243,3739.485,4312.333,4181.485,4143.364,4006.3337
1280414.3602848053,4250.0,4221.1514,4146.455,4406.6064,4331.909,4532.303,4361.7876,4283.485,4444.2124,3720.9395,4289.667,4191.273,4126.364,4000.152
1280422.1017360687,4247.4243,4221.1514,4139.758,4402.4854,4332.425,4540.031,4362.303,4281.9395,4431.8486,3709.6064,4328.303,4163.4546,4131.0005,3988.8184
1280430.4327964783,4246.394,4219.091,4140.273,4401.9697,4332.9395,4543.1216,4369.0005,4282.4546,4435.455,3717.3335,4339.121,4148.0005,4135.1216,3988.8184
1280438.0412101746,4249.4854,4219.606,4148.5156,4410.2124,4335.515,4540.546,4372.091,4286.0605,4449.364,3737.9397,4308.7275,4176.8486,4139.2427,4012.5154
1280446.5153217316,4253.0913,4226.8184,4155.727,4414.8486,4338.091,4542.6064,4369.5156,4286.5757,4444.2124,3740.5154,4310.2725,4197.455,4143.879,4020.2424
1280453.3717632294,4252.5757,4231.9697,4156.758,4413.303,4339.636,4544.667,4366.4243,4283.485,4430.303,3725.061,4332.9395,4177.364,4139.2427,4002.7275
1280461.1809253693,4251.031,4228.879,4152.1216,4411.2427,4338.6064,4540.031,4360.758,4280.394,4426.6973,3721.9697,4336.546,4161.394,4138.2124,3998.091
1280469.120502472,4252.5757,4231.9697,4154.6973,4410.7275,4333.9697,4540.546,4358.6973,4281.9395,4429.273,3734.8484,4324.697,4179.9395,4141.8184,4010.4548
1280477.0851135254,4253.0913,4233.515,4157.788,4410.7275,4329.8486,4541.5757,4359.2124,4286.0605,4431.8486,3741.5457,4338.6064,4186.6367,4148.0005,4010.9697
1280485.279083252,4249.4854,4221.1514,4152.6367,4408.667,4331.394,4530.758,4355.606,4282.4546,4430.8184,3741.0305,4367.4546,4165.515,4155.727,4004.2732
1280493.0894374847,4249.4854,4219.091,4150.576,4410.7275,4334.4854,4529.7275,4355.0913,4278.3335,4422.061,3735.3638,4326.2427,4172.2124,4137.182,4005.818
1280501.1274814606,4254.121,4236.091,4157.273,4416.394,4332.425,4540.031,4360.2427,4288.636,4425.667,3744.6365,4292.758,4194.3633,4134.0913,4017.667
1280508.07595253,4253.6064,4237.1216,4157.788,4413.303,4323.667,4535.909,4361.273,4302.546,4438.5454,3759.5757,4349.9395,4182.0,4167.061,4027.9702
1280516.1395072937,4251.031,4222.1816,4149.5454,4407.121,4315.425,4526.6367,4359.2124,4295.3335,4427.2124,3738.4548,4383.94,4154.6973,4160.364,4008.9092
1280525.0117778778,4252.0605,4219.606,4146.455,4409.182,4315.425,4529.2124,4358.182,4281.4243,4408.152,3709.0913,4337.5757,4160.8794,4117.091,3988.3032
1280532.1278572083,4243.303,4221.1514,4144.3945,4403.515,4317.4854,4529.2124,4356.6367,4281.4243,4408.152,3708.0605,4302.546,4182.0,4116.5757,3995.5154
1280540.1265621185,4234.0303,4214.9697,4137.182,4394.758,4313.879,4525.091,4356.6367,4285.031,4417.9395,3721.9697,4316.4546,4172.2124,4146.455,4004.2732
1280548.1588840485,4244.3335,4219.606,4141.303,4403.0,4319.0303,4527.152,4361.273,4287.0913,4422.061,3728.6667,4336.0303,4156.2427,4141.8184,4000.667
1280556.1652183533,4256.1816,4231.4546,4155.727,4412.788,4329.3335,4529.2124,4361.7876,4286.0605,4418.9697,3724.5457,4365.9087,4158.819,4132.5454,3997.576
1280565.001487732,4251.546,4224.2427,4157.273,4405.0605,4326.2427,4529.2124,4359.2124,4286.5757,4425.152,3730.2124,4374.6665,4175.8184,4160.364,4018.182
1280572.1395015717,4249.4854,4221.6665,4151.606,4403.515,4317.4854,4529.7275,4358.6973,4289.152,4431.8486,3745.1516,4342.7275,4184.0605,4165.0005,4029.0002
1280579.5454978943,4255.152,4235.0605,4156.758,4412.273,4319.546,4529.7275,4360.758,4289.667,4428.758,3743.091,4341.6973,4180.4546,4145.94,4016.6365
1280587.1322154999,4253.0913,4233.515,4157.273,4412.788,4326.2427,4529.2124,4360.758,4286.0605,4425.667,3733.3032,4369.5156,4183.546,4155.212,4012.5154
1280595.555305481,4250.0,4225.273,4151.091,4407.121,4327.2725,4530.758,4360.2427,4286.5757,4428.758,3737.4246,4370.5454,4177.879,4163.4546,4017.1519
1280603.1785011292,4252.0605,4229.909,4151.091,4405.5757,4323.1514,4532.303,4362.303,4289.152,4431.3335,3738.4548,4354.5757,4157.273,4145.4243,4010.9697
1280611.1493110657,4249.4854,4225.788,4149.0303,4400.425,4318.515,4531.273,4359.727,4282.4546,4420.515,3729.1821,4356.1216,4151.606,4144.3945,4000.667
1280619.080066681,4246.909,4216.5156,4147.485,4398.879,4316.4546,4526.6367,4354.0605,4277.303,4416.394,3732.273,4342.2124,4188.1816,4162.94,4017.1519
1280656.2986373901,4250.0,4223.2124,4155.212,4405.5757,4316.4546,4524.576,4355.606,4285.5454,4427.7275,3738.97,4331.909,4194.879,4160.8794,4026.4246
1280658.1695079803,4251.031,4226.303,4154.182,4403.515,4315.94,4527.152,4362.303,4295.8486,4429.788,3735.3638,4353.5454,4154.6973,4148.0005,4007.3638
1280660.192489624,4248.9697,4220.121,4144.909,4399.394,4315.94,4528.6973,4363.3335,4293.788,4418.4546,3725.576,4359.727,4146.455,4135.1216,3991.9094
1280668.149471283,4250.0,4223.7275,4148.0005,4402.4854,4316.4546,4527.152,4358.6973,4288.636,4418.4546,3727.1216,4364.879,4167.061,4146.9697,4009.4243
1280699.2020606995,4253.0913,4236.091,4159.3335,4408.667,4317.4854,4527.667,4363.848,4298.9395,4435.97,3742.0608,4366.4243,4195.909,4182.515,4047.0305
1280700.1008987427,4251.546,4235.5757,4155.727,4408.152,4317.4854,4530.2427,4371.576,4304.091,4435.455,3735.3638,4357.6665,4190.242,4171.182,4031.0608
1280701.0617256165,4252.0605,4232.485,4155.727,4409.6973,4315.425,4527.152,4364.879,4302.546,4448.334,3753.394,4345.303,4172.2124,4160.364,4022.818
1280702.0349502563,4253.0913,4233.515,4153.6665,4406.6064,4315.94,4529.7275,4364.879,4302.546,4433.9097,3736.3943,4336.546,4185.6064,4158.819,4027.9702
1280706.1681747437,4250.0,4220.6367,4139.758,4397.8486,4314.3936,4527.667,4358.6973,4295.8486,4418.4546,3723.0005,4363.848,4164.485,4163.9697,4019.2124
1280714.1299247742,4250.0,4224.758,4144.3945,4403.515,4314.909,4526.6367,4358.6973,4285.5454,4420.0,3728.1519,4369.5156,4175.8184,4167.061,4016.1213
1280722.145318985,4252.5757,4233.515,4154.6973,4409.6973,4317.4854,4535.909,4360.758,4283.485,4427.2124,3737.4246,4384.4546,4172.2124,4160.8794,4009.4243
1280730.4799556732,4252.0605,4223.7275,4145.94,4403.515,4318.0005,4537.9697,4360.758,4293.273,4436.485,3749.7883,4384.9697,4150.061,4157.788,4013.546
1280737.0822429657,4250.0,4217.5454,4137.6973,4400.9395,4314.3936,4531.788,4365.9087,4298.4243,4443.182,3763.1821,4338.6064,4172.2124,4171.182,4033.1213
1280745.3207969666,4251.546,4223.2124,4144.3945,4405.0605,4312.8486,4535.909,4371.576,4294.303,4436.485,3757.0002,4328.8184,4196.424,4173.2427,4033.6362
1280753.5717487335,4252.5757,4223.2124,4146.9697,4406.6064,4315.425,4542.6064,4372.606,4289.667,4425.667,3735.8792,4375.182,4168.606,4152.6367,4009.9392
1280761.3003253937,4250.0,4219.091,4139.2427,4406.091,4314.909,4535.394,4369.5156,4287.0913,4429.788,3741.5457,4386.0005,4146.455,4154.182,4005.3032
1280769.1354751587,4244.3335,4218.0605,4137.182,4406.091,4312.333,4526.6367,4364.879,4283.485,4438.031,3763.1821,4379.8184,4155.212,4180.4546,4018.182
1280777.1139144897,4240.7275,4216.0,4137.6973,4407.6367,4312.333,4526.6367,4359.727,4282.97,4431.3335,3752.3638,4367.4546,4153.6665,4168.606,4013.0308
1280785.1190567017,4245.879,4216.5156,4139.758,4408.152,4312.8486,4525.606,4359.727,4288.636,4422.061,3731.2427,4331.909,4165.0005,4143.879,4009.9392
1280793.0836677551,4250.515,4218.0605,4141.8184,4407.121,4312.8486,4526.6367,4362.303,4295.8486,4427.7275,3744.6365,4341.1816,4187.667,4164.485,4022.818
1280801.2211322784,4248.4546,4218.0605,4140.273,4407.6367,4312.8486,4529.2124,4366.4243,4300.485,4442.6665,3763.6973,4381.364,4170.667,4175.303,4025.394
1280808.3684444427,4248.4546,4219.606,4140.273,4407.6367,4312.8486,4529.7275,4369.5156,4301.515,4445.758,3752.3638,4371.576,4151.606,4165.515,4024.3635
1280816.1849975586,4249.4854,4219.091,4139.758,4405.5757,4313.879,4528.6973,4370.5454,4298.9395,4434.94,3734.3335,4342.7275,4166.0303,4160.364,4019.2124
1280824.201822281,4250.0,4218.0605,4140.7876,4408.152,4316.9697,4528.182,4370.5454,4298.9395,4429.273,3733.3032,4334.4854,4177.364,4152.1216,4011.4849
1280832.203388214,4251.546,4220.121,4144.909,4412.273,4318.0005,4529.7275,4372.091,4302.546,4439.061,3741.0305,4353.5454,4159.8486,4154.182,4013.546
1280840.1939868927,4251.546,4219.606,4142.3335,4408.152,4318.0005,4530.2427,4370.5454,4299.9697,4447.819,3750.8186,4392.697,4145.4243,4174.273,4016.6365
1280866.2400245667,4251.031,4220.6367,4143.364,4409.182,4316.4546,4529.2124,4369.0005,4301.0,4448.334,3757.5151,4371.576,4173.2427,4181.485,4030.5457
1280866.3730621338,4254.121,4229.394,4155.212,4417.9395,4306.667,4534.879,4372.091,4310.2725,4449.364,3752.3638,4325.7275,4194.3633,4161.394,4040.3335
1280866.8653964996,4256.697,4233.515,4160.364,4417.4243,4296.364,4543.1216,4371.061,4305.6367,4443.182,3735.8792,4360.758,4169.636,4155.727,4024.3635
1280872.228384018,4254.636,4225.788,4150.061,4411.758,4303.061,4540.546,4369.5156,4297.394,4440.0913,3736.9094,4399.909,4151.091,4175.303,4021.273
1280881.1211585999,4250.515,4218.576,4144.3945,4409.182,4309.758,4532.303,4370.0303,4299.9697,4449.364,3759.5757,4382.909,4157.273,4182.515,4030.0308
1280887.1462345123,4254.636,4225.273,4151.606,4411.758,4303.576,4528.6973,4369.5156,4304.091,4450.3945,3761.1213,4362.303,4169.1216,4165.0005,4021.788
1280895.898103714,4265.4546,4236.6064,4159.8486,4417.4243,4302.0303,4528.182,4375.182,4306.667,4447.303,3745.6667,4357.152,4186.6367,4169.636,4030.5457
1280904.095172882,4269.5757,4237.1216,4160.364,4420.0,4307.6973,4530.758,4377.758,4307.182,4450.909,3745.1516,4364.364,4191.273,4196.9395,4049.6062
1280914.6137237549,4267.515,4230.9395,4156.758,4416.909,4309.2427,4539.0,4370.0303,4297.394,4443.6973,3743.6062,4365.394,4170.667,4176.8486,4030.0308
1280919.1501140594,4268.546,4234.0303,4157.273,4417.4243,4308.212,4544.152,4370.0303,4296.879,4437.5156,3733.818,4341.6973,4162.94,4137.6973,4012.5154
1280927.1421432495,4272.667,4238.667,4160.8794,4421.031,4306.1514,4539.0,4376.212,4303.576,4445.758,3732.7878,4350.4546,4162.94,4136.6665,4013.546
1280935.0397586823,4266.485,4227.8486,4155.727,4413.303,4299.9697,4530.2427,4365.9087,4286.0605,4435.97,3724.0308,4371.576,4144.909,4147.485,3996.5454
1280943.0191516876,4254.121,4216.0,4143.364,4401.9697,4293.273,4527.667,4350.9697,4256.697,4403.0,3688.485,4340.667,4137.182,4140.273,3983.6667
1280950.1192569733,4250.515,4217.0303,4139.758,4399.394,4285.5454,4529.2124,4353.0303,4261.8486,4403.0,3689.0002,4311.303,4156.758,4136.6665,4003.7576
1280958.0628871918,4252.5757,4219.091,4142.3335,4403.0,4273.697,4529.2124,4356.6367,4285.5454,4431.3335,3722.485,4328.303,4154.182,4129.4546,4002.7275
1280966.1028385162,4251.031,4216.0,4140.273,4404.0303,4266.485,4528.182,4346.3335,4279.364,4423.6064,3702.9092,4333.9697,4122.2427,4117.091,3971.303
1280974.0839004517,4251.031,4215.485,4140.273,4403.0,4264.4243,4526.6367,4333.9697,4261.8486,4399.909,3675.6064,4318.0005,4135.1216,4131.0005,3980.5762
1280991.1305904388,4252.5757,4217.0303,4142.848,4402.4854,4259.273,4523.5454,4331.909,4263.394,4410.2124,3701.364,4346.8486,4162.4243,4148.5156,4009.4243
1280992.0642375946,4250.0,4216.5156,4139.758,4402.4854,4252.0605,4524.576,4332.425,4263.9097,4421.031,3706.5154,4374.1514,4134.0913,4134.0913,3988.3032
1280998.1153011322,4250.515,4216.5156,4139.758,4405.5757,4250.0,4528.182,4330.3643,4264.9395,4411.2427,3676.1213,4325.7275,4120.6973,4104.7275,3959.455
1281006.0937404633,4255.152,4219.606,4144.3945,4409.6973,4250.515,4527.667,4335.0,4286.5757,4422.576,3691.576,4276.273,4153.6665,4101.636,3980.5762
1281013.447523117,4255.667,4221.1514,4144.3945,4409.6973,4242.273,4525.091,4338.6064,4296.364,4439.061,3721.9697,4320.5757,4150.576,4128.9395,3999.1216
1281021.1679935455,4253.6064,4220.6367,4142.3335,4408.667,4235.0605,4523.0303,4331.909,4272.152,4422.061,3701.364,4380.848,4136.152,4168.606,4003.7576
1281044.2156791687,4252.0605,4219.091,4141.303,4406.6064,4236.6064,4524.576,4325.7275,4261.8486,4409.6973,3685.9094,4374.1514,4146.455,4169.636,4006.3337
