Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
3270771.7819213867,4250.0,4209.3027,4158.303,4405.0605,4217.0303,4574.546,4391.1514,4325.7275,4481.303,3755.4546,4427.2124,4230.9395,4284.515,4118.6367
3270779.82711792,4248.9697,4205.6973,4149.0303,4398.879,4215.485,4559.0913,4376.727,4313.364,4466.8794,3740.5154,4415.364,4220.6367,4268.546,4107.303
3270788.7444496155,4252.0605,4216.0,4161.394,4413.303,4218.576,4568.879,4381.364,4312.333,4474.0913,3749.7883,4418.4546,4221.1514,4273.1816,4106.273
3270794.8031425476,4253.6064,4220.6367,4168.091,4419.485,4221.1514,4580.2124,4384.4546,4307.6973,4475.1216,3756.4849,4423.0913,4224.758,4277.303,4108.3335
3270802.746772766,4249.4854,4216.0,4158.303,4407.121,4220.6367,4570.4243,4372.606,4292.2427,4455.5454,3734.3335,4412.788,4218.576,4265.4546,4099.0605
3270815.8371448517,4256.1816,4219.091,4163.9697,4414.8486,4220.121,4568.879,4375.182,4296.879,4459.1514,3730.7273,4417.4243,4222.1816,4269.0605,4100.091
3270819.089651108,4265.97,4223.7275,4177.364,4424.6367,4221.6665,4579.6973,4386.515,4313.879,4478.2124,3752.8792,4431.3335,4233.515,4283.485,4110.394
3270826.8473148346,4256.697,4219.091,4171.182,4410.7275,4221.1514,4576.6064,4379.303,4311.8184,4478.2124,3758.5454,4423.0913,4229.394,4282.97,4109.364
3270834.855556488,4254.121,4218.0605,4167.061,4408.152,4218.576,4568.364,4373.1216,4310.788,4477.182,3752.3638,4423.6064,4226.8184,4281.9395,4111.9395
3270846.8165397644,4268.031,4222.1816,4175.8184,4424.6367,4219.606,4570.9395,4389.091,4329.8486,4493.667,3758.5454,4443.182,4240.7275,4294.303,4123.788
3270850.8710861206,4271.636,4223.7275,4177.879,4427.7275,4220.6367,4580.2124,4403.0,4347.364,4510.152,3776.0608,4450.909,4250.515,4309.2427,4133.576
3270857.845067978,4264.9395,4222.1816,4173.2427,4417.9395,4220.6367,4588.97,4401.4546,4350.4546,4516.334,3792.0305,4447.303,4250.0,4314.3936,4140.7876
3270865.8344745636,4265.97,4221.1514,4172.2124,4414.3335,4221.1514,4592.576,4407.6367,4348.909,4516.334,3787.3938,4448.334,4250.515,4306.1514,4143.879
3270873.8510608673,4267.0,4222.1816,4172.7275,4417.4243,4222.1816,4593.6064,4415.879,4349.9395,4513.758,3769.879,4447.819,4251.546,4297.394,4140.273
3270881.798505783,4263.394,4222.1816,4173.2427,4417.4243,4221.6665,4594.6367,4409.182,4341.6973,4504.485,3770.394,4442.6665,4248.9697,4301.0,4134.0913
3270890.9142017365,4265.4546,4222.1816,4172.2124,4416.394,4221.1514,4591.5454,4402.4854,4330.879,4497.273,3775.546,4437.5156,4241.7573,4302.546,4129.4546
3270897.8521823883,4266.485,4222.6973,4172.2124,4417.9395,4220.6367,4588.97,4404.546,4331.394,4492.6367,3762.667,4434.94,4236.6064,4291.2124,4126.364
3270909.8641872406,4260.818,4222.6973,4172.2124,4418.4546,4220.6367,4587.4243,4399.394,4328.8184,4485.9395,3752.8792,4432.879,4237.1216,4284.0,4122.758
3270913.839817047,4257.2124,4218.0605,4170.1514,4413.303,4220.6367,4585.879,4392.697,4315.425,4477.182,3754.4243,4424.6367,4231.9697,4281.9395,4117.091
3270921.825170517,4264.9395,4220.6367,4169.636,4414.3335,4220.6367,4587.9395,4398.879,4314.3936,4477.6973,3753.9094,4425.152,4229.909,4279.879,4116.5757
3270929.447889328,4270.0913,4232.485,4178.909,4427.2124,4221.1514,4589.485,4405.0605,4328.303,4486.97,3762.1519,4443.6973,4245.879,4291.7275,4128.4243
3270936.8183612823,4267.0,4237.636,4186.121,4434.94,4220.121,4590.0,4406.6064,4336.0303,4495.7275,3774.0,4450.909,4255.152,4303.576,4137.6973
3270949.8398303986,4264.9395,4230.4243,4178.909,4424.6367,4221.1514,4591.5454,4403.0,4334.4854,4496.758,3766.788,4437.5156,4245.364,4295.3335,4131.5156
3270953.88507843,4265.97,4224.758,4171.182,4414.8486,4222.1816,4588.97,4395.273,4328.8184,4494.1816,3761.1213,4431.8486,4242.788,4288.121,4122.2427
3270960.8342647552,4261.3335,4223.2124,4174.788,4418.9697,4220.121,4584.849,4392.697,4326.7573,4495.7275,3771.9395,4438.031,4246.394,4295.8486,4123.788
3270969.1705703735,4254.636,4220.6367,4176.3335,4423.6064,4219.606,4584.3335,4392.697,4327.788,4494.6973,3775.546,4434.4243,4237.1216,4296.879,4126.879
3270976.841211319,4259.273,4220.6367,4171.182,4420.515,4222.1816,4591.5454,4395.788,4331.909,4498.3027,3770.394,4432.879,4238.667,4294.8184,4125.8486
3270984.875679016,4265.97,4223.2124,4173.758,4421.546,4222.6973,4596.6973,4407.121,4336.546,4506.5454,3772.4546,4438.031,4253.0913,4298.9395,4125.3335
3270997.763156891,4264.4243,4224.2427,4171.6973,4417.9395,4220.6367,4595.667,4416.394,4335.0,4502.9395,3771.4243,4435.97,4245.364,4297.909,4124.8184
3271000.832557678,4261.3335,4223.2124,4160.8794,4408.667,4220.121,4596.182,4413.303,4332.425,4489.546,3766.273,4429.273,4230.4243,4293.788,4121.7275
3271008.8255405426,4256.697,4220.121,4155.727,4407.6367,4220.121,4596.6973,4402.4854,4325.7275,4481.303,3762.1519,4423.0913,4232.485,4289.152,4115.0303
3271015.825510025,4251.546,4217.5454,4157.788,4411.758,4218.0605,4591.5454,4390.636,4316.9697,4478.2124,3761.6362,4417.9395,4236.6064,4287.606,4109.364
3271023.8225460052,4251.031,4217.0303,4152.6367,4404.546,4217.5454,4590.515,4388.061,4323.1514,4478.2124,3760.091,4417.9395,4227.3335,4293.788,4109.879
3271032.8481197357,4250.515,4218.0605,4144.3945,4395.273,4220.121,4594.6367,4393.212,4332.425,4480.273,3753.9094,4415.364,4217.5454,4294.8184,4108.8486
3271039.8716926575,4247.4243,4217.0303,4149.5454,4405.0605,4222.6973,4594.6367,4395.788,4330.3643,4487.4854,3761.1213,4414.3335,4225.273,4295.3335,4114.0
3271047.821521759,4251.546,4217.5454,4159.3335,4420.0,4221.6665,4592.576,4397.8486,4329.8486,4494.1816,3774.0,4423.0913,4237.1216,4304.091,4125.3335
3271060.8744621277,4253.6064,4219.606,4158.819,4417.4243,4221.6665,4587.4243,4397.3335,4326.2427,4484.394,3768.8486,4430.8184,4234.5454,4306.1514,4125.8486
3271063.8258457184,4251.546,4220.6367,4160.364,4413.303,4222.1816,4586.9097,4400.425,4322.1216,4474.6064,3763.1821,4431.3335,4235.5757,4305.6367,4122.758
3271071.8302726746,4258.7573,4222.6973,4174.273,4428.758,4220.6367,4599.273,4414.3335,4333.4546,4484.909,3771.4243,4436.485,4247.4243,4315.94,4131.0005
3271080.168247223,4262.364,4223.2124,4175.8184,4438.5454,4219.606,4601.8486,4417.4243,4337.0605,4483.364,3768.8486,4435.455,4245.364,4318.0005,4132.031
3271091.8748378754,4254.121,4219.606,4163.9697,4423.6064,4220.6367,4590.0,4400.9395,4318.0005,4463.273,3751.3335,4424.1216,4230.4243,4304.6064,4116.5757
3271094.878435135,4252.0605,4218.0605,4162.94,4415.879,4221.1514,4588.97,4403.0,4310.2725,4458.6367,3745.6667,4429.273,4230.9395,4304.091,4109.364
3271102.771759033,4261.8486,4222.6973,4172.7275,4422.061,4220.6367,4596.6973,4418.9697,4316.4546,4467.909,3747.7273,4447.303,4236.091,4315.425,4117.091
3271111.8512153625,4261.3335,4223.7275,4171.182,4420.515,4220.121,4592.576,4413.303,4315.425,4463.788,3741.0305,4441.6367,4228.364,4316.9697,4116.0605
3271118.792295456,4252.5757,4219.091,4159.8486,4412.788,4219.606,4588.97,4407.6367,4310.788,4457.091,3736.9094,4431.3335,4219.606,4317.4854,4109.879
3271131.564617157,4253.6064,4218.576,4156.2427,4414.8486,4220.121,4594.6367,4414.8486,4315.94,4471.0005,3749.273,4445.2427,4228.364,4329.8486,4119.152
3271141.371011734,4256.697,4220.121,4156.2427,4416.909,4219.606,4593.6064,4411.758,4315.425,4479.2427,3758.5454,4450.909,4235.0605,4343.2427,4126.364
3271148.0884552,4251.031,4218.576,4154.182,4410.7275,4219.606,4586.394,4399.909,4305.6367,4466.364,3754.9397,4434.94,4223.2124,4344.788,4119.667
3271150.7289409637,4248.4546,4215.485,4153.1514,4408.667,4222.1816,4589.485,4400.425,4308.7275,4466.8794,3758.0305,4434.94,4220.6367,4347.364,4118.6367
