Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
707910.6857776642,4374.6665,4294.303,4251.031,4478.2124,4329.8486,4619.3643,4478.7275,4354.0605,4596.182,3832.7275,4542.6064,4282.97,4348.394,4200.031
707917.3369407654,4374.6665,4294.303,4254.121,4478.2124,4329.8486,4622.9697,4475.1216,4355.606,4602.879,3843.0308,4546.7275,4289.152,4356.1216,4207.242
707930.3607940674,4382.909,4303.576,4269.5757,4487.4854,4330.3643,4621.94,4487.4854,4373.1216,4612.667,3867.2427,4561.152,4303.576,4374.6665,4224.2427
707933.3448410034,4380.848,4302.546,4263.394,4484.909,4331.394,4608.0303,4497.788,4368.485,4611.6367,3864.1516,4562.697,4303.061,4374.1514,4224.758
707941.383600235,4367.4546,4289.152,4243.303,4469.9697,4324.697,4590.515,4496.758,4344.788,4596.182,3838.9092,4541.5757,4286.0605,4355.606,4205.6973
707949.3317604065,4360.758,4281.4243,4237.1216,4461.7275,4314.3936,4579.182,4491.6064,4340.667,4581.758,3827.576,4526.1216,4271.121,4344.788,4190.758
707957.4468135834,4356.6367,4279.879,4230.9395,4454.0005,4312.8486,4575.5757,4483.364,4347.879,4576.6064,3828.0913,4527.667,4267.0,4340.1514,4188.6973
707965.3525352478,4350.9697,4275.758,4223.2124,4447.819,4314.3936,4577.121,4475.1216,4341.1816,4577.636,3823.9697,4524.0605,4264.4243,4337.0605,4184.576
707973.3581542969,4355.606,4277.8184,4229.909,4456.061,4311.303,4588.4546,4478.2124,4345.303,4590.0,3832.2124,4527.667,4269.5757,4345.8184,4191.273
707980.3340435028,4364.364,4286.0605,4240.2124,4467.394,4310.2725,4594.1216,4489.031,4363.3335,4608.546,3851.273,4545.182,4282.97,4359.2124,4206.727
707988.7669086456,4361.7876,4283.485,4238.152,4463.273,4314.909,4582.273,4484.394,4353.5454,4598.2427,3838.9092,4541.061,4278.849,4347.879,4198.485
708001.3172626495,4359.727,4279.364,4234.5454,4458.6367,4316.9697,4572.4854,4477.182,4332.425,4576.0913,3814.182,4521.485,4263.9097,4329.3335,4179.9395
708005.304813385,4368.485,4284.515,4237.636,4462.7583,4315.94,4575.0605,4488.0,4338.6064,4582.273,3820.364,4523.0303,4264.9395,4334.4854,4185.0913
708013.4081840515,4372.606,4287.606,4237.636,4464.303,4317.4854,4579.6973,4500.879,4352.0,4596.6973,3836.8486,4532.8184,4272.667,4346.8486,4194.3633
708020.3413963318,4369.0005,4283.485,4236.091,4461.2124,4322.636,4581.758,4498.8184,4349.9395,4592.576,3834.788,4528.6973,4269.5757,4345.303,4187.667
708028.3148288727,4370.5454,4285.031,4242.788,4461.7275,4325.212,4585.364,4496.758,4349.9395,4591.5454,3831.6973,4529.7275,4271.121,4341.1816,4189.2124
708036.2701416016,4381.8794,4297.394,4257.7275,4474.0913,4324.697,4592.576,4510.6665,4367.4546,4610.6064,3848.1821,4543.636,4291.2124,4357.6665,4207.758
708044.3391799927,4386.0005,4301.0,4260.818,4479.758,4324.697,4597.7275,4519.4243,4378.2725,4617.303,3859.0002,4550.3335,4301.515,4372.606,4216.0
708056.3943386078,4377.2427,4288.121,4250.515,4467.394,4327.788,4590.0,4507.576,4363.3335,4597.7275,3844.576,4544.152,4287.0913,4359.727,4204.6665
708059.4182014465,4372.606,4284.515,4248.4546,4459.6665,4329.3335,4577.121,4491.0913,4346.8486,4583.8184,3827.0605,4534.879,4275.242,4343.2427,4190.758
708067.3234462738,4374.6665,4291.2124,4256.1816,4466.8794,4323.667,4576.0913,4494.6973,4352.515,4591.5454,3829.1216,4529.7275,4280.394,4344.788,4189.2124
708076.343536377,4373.6367,4287.606,4254.636,4468.94,4317.4854,4577.121,4501.3945,4354.5757,4593.0913,3834.273,4529.7275,4280.9097,4346.8486,4190.242
708084.3999385834,4372.091,4282.97,4250.0,4462.2427,4320.5757,4576.6064,4493.667,4342.2124,4584.849,3831.6973,4537.4546,4277.8184,4344.273,4192.8184
708092.3037528992,4375.6973,4293.788,4259.788,4470.485,4325.7275,4587.9395,4497.273,4344.788,4590.515,3842.0005,4543.636,4284.0,4354.5757,4201.576
708100.9106636047,4377.2427,4297.394,4265.97,4479.2427,4326.7573,4593.0913,4508.606,4354.5757,4595.667,3850.2427,4544.152,4287.0913,4360.2427,4207.758
708121.3245391846,4375.6973,4287.0913,4256.1816,4470.485,4327.788,4581.758,4501.9097,4353.5454,4591.031,3837.3638,4541.5757,4284.0,4350.4546,4200.031
708122.2157478333,4376.727,4284.515,4253.6064,4467.394,4329.3335,4579.182,4495.2124,4351.485,4593.0913,3831.6973,4538.485,4283.485,4349.4243,4195.909
708124.3381500244,4378.2725,4291.7275,4264.9395,4478.7275,4329.3335,4590.0,4508.606,4355.0913,4602.879,3840.9702,4540.546,4284.0,4355.606,4202.606
708137.1486186981,4378.7876,4295.8486,4268.031,4477.182,4329.8486,4592.061,4515.303,4356.6367,4603.394,3836.8486,4538.485,4283.485,4350.4546,4197.97
708138.911485672,4380.848,4293.788,4262.879,4468.4243,4330.879,4586.394,4501.3945,4348.394,4593.6064,3831.6973,4531.273,4280.9097,4345.303,4192.3027
708146.2857723236,4384.9697,4291.7275,4265.97,4473.576,4334.4854,4587.9395,4493.667,4342.2124,4594.1216,3843.0308,4534.879,4281.4243,4353.0303,4200.031
708159.2676639557,4386.515,4294.8184,4269.5757,4481.303,4336.0303,4591.5454,4497.273,4349.9395,4605.9697,3851.7878,4546.2124,4287.0913,4361.7876,4207.242
708166.3372516632,4386.515,4299.4546,4269.0605,4477.6973,4337.5757,4588.97,4497.788,4357.152,4612.1514,3851.7878,4546.2124,4290.182,4362.303,4206.727
708170.3300476074,4385.485,4295.8486,4265.97,4467.394,4338.091,4583.8184,4492.6367,4349.9395,4605.9697,3846.6365,4537.9697,4284.515,4352.515,4200.5454
708179.3668270111,4383.4243,4290.6973,4264.4243,4464.303,4335.515,4583.8184,4491.6064,4343.758,4599.788,3836.3335,4535.394,4280.394,4348.394,4194.879
708186.3150596619,4386.0005,4296.879,4268.031,4473.576,4332.9395,4590.515,4496.242,4352.0,4605.455,3839.4243,4540.031,4284.515,4358.182,4200.031
708194.2944526672,4388.5757,4298.4243,4269.5757,4478.7275,4331.909,4594.1216,4498.8184,4358.182,4609.061,3846.1216,4542.6064,4287.606,4358.6973,4205.6973
708202.3496627808,4386.0005,4294.8184,4267.515,4476.667,4335.0,4593.0913,4497.273,4357.6665,4605.455,3846.1216,4542.6064,4285.5454,4355.0913,4203.121
708214.3580913544,4388.5757,4297.394,4268.546,4477.182,4340.667,4593.0913,4495.7275,4361.7876,4605.455,3847.1519,4544.667,4286.5757,4363.3335,4207.758
708218.6198234558,4388.061,4292.758,4265.97,4470.485,4336.546,4590.0,4494.6973,4358.6973,4599.273,3842.0005,4544.152,4286.0605,4357.6665,4204.152
708226.3333797455,4380.333,4282.97,4260.818,4462.2427,4327.2725,4586.9097,4491.6064,4348.394,4587.9395,3830.1519,4538.485,4281.4243,4342.7275,4193.3335
708233.3309650421,4381.8794,4291.2124,4264.4243,4472.0303,4330.879,4590.515,4492.121,4351.485,4595.667,3838.9092,4540.031,4283.485,4351.485,4200.5454
708241.3520812988,4391.1514,4302.546,4271.636,4483.364,4337.5757,4592.576,4495.2124,4359.2124,4605.9697,3848.1821,4543.1216,4288.121,4361.273,4207.758
708249.3243217468,4386.515,4291.7275,4268.031,4478.2124,4331.909,4587.9395,4489.546,4354.0605,4595.667,3838.9092,4542.6064,4288.121,4353.5454,4200.031
708257.4210166931,4378.7876,4281.9395,4257.2124,4468.94,4331.394,4587.9395,4480.273,4352.0,4589.485,3836.3335,4544.152,4286.5757,4352.515,4200.031
708265.3865814209,4382.394,4290.6973,4251.546,4468.94,4338.6064,4587.9395,4484.394,4361.273,4597.2124,3840.9702,4543.1216,4284.515,4357.152,4204.152
708273.4038829803,4386.515,4297.394,4258.7573,4475.6367,4340.1514,4590.515,4495.2124,4363.848,4600.303,3845.0913,4542.0913,4288.636,4357.6665,4202.606
708281.3363075256,4389.091,4297.909,4268.546,4479.758,4338.6064,4598.758,4497.788,4361.273,4604.9395,3852.3032,4549.303,4298.4243,4362.8184,4206.2124
708288.8672351837,4392.697,4298.9395,4267.515,4480.273,4338.6064,4598.2427,4495.2124,4360.2427,4607.0005,3847.1519,4546.2124,4292.758,4362.303,4205.1816
708301.3734817505,4389.091,4292.758,4264.4243,4477.6973,4337.5757,4589.485,4495.7275,4357.6665,4597.2124,3832.7275,4533.3335,4280.394,4350.4546,4193.3335
708304.3885231018,4383.4243,4284.0,4265.4546,4474.6064,4337.0605,4588.97,4494.1816,4353.0303,4590.515,3831.1821,4528.182,4281.9395,4344.273,4187.152
708312.2787475586,4385.485,4285.5454,4262.879,4474.6064,4339.636,4587.4243,4482.8486,4353.0303,4592.061,3832.7275,4529.2124,4284.0,4346.8486,4188.1816
708320.2545642853,4386.515,4287.0913,4260.818,4476.667,4335.0,4580.7275,4480.788,4358.182,4597.7275,3834.788,4533.3335,4280.394,4349.9395,4193.8486
708328.272819519,4383.4243,4284.0,4264.9395,4476.152,4331.394,4586.394,4493.667,4357.6665,4602.364,3846.6365,4542.0913,4289.667,4357.6665,4203.6367
708336.3239765167,4386.0005,4285.5454,4265.4546,4476.152,4337.5757,4591.5454,4494.1816,4350.9697,4599.273,3852.3032,4548.788,4295.8486,4363.848,4207.758
708344.2471027374,4387.5454,4285.5454,4263.9097,4477.182,4341.1816,4581.758,4479.758,4343.758,4594.1216,3844.576,4544.152,4285.5454,4360.2427,4204.152
708352.331161499,4384.9697,4284.515,4265.97,4477.6973,4338.091,4574.546,4477.6973,4341.1816,4595.152,3845.0913,4542.6064,4288.121,4358.182,4204.152
708359.414100647,4385.485,4293.788,4266.485,4479.2427,4337.0605,4577.121,4483.879,4341.6973,4595.667,3849.7273,4550.8486,4301.515,4363.848,4208.273
708367.3319816589,4388.061,4298.9395,4267.0,4481.303,4337.5757,4576.6064,4482.8486,4339.121,4592.061,3839.9395,4551.879,4297.909,4364.364,4207.242
708375.3461837769,4386.515,4291.2124,4267.515,4482.8486,4336.546,4574.031,4480.273,4336.0303,4591.031,3827.576,4537.9697,4281.4243,4352.515,4197.97
708383.2874298096,4383.4243,4290.182,4265.4546,4479.758,4338.6064,4574.546,4485.4243,4336.0303,4589.485,3828.0913,4527.667,4277.8184,4344.273,4191.273
708391.3145065308,4388.5757,4298.4243,4269.5757,4482.3335,4339.636,4577.636,4491.6064,4340.667,4591.031,3838.9092,4541.5757,4291.2124,4354.0605,4200.5454
708399.3427753448,4396.3037,4299.9697,4283.485,4495.7275,4338.091,4579.182,4490.0605,4340.667,4593.6064,3841.485,4556.0,4302.0303,4364.364,4209.8184
708407.5427055359,4393.727,4297.394,4285.031,4495.7275,4337.5757,4575.5757,4476.152,4330.879,4587.4243,3832.2124,4550.3335,4298.9395,4358.182,4203.121
708415.3456687927,4385.485,4295.8486,4269.5757,4480.273,4337.5757,4571.4546,4463.273,4328.303,4583.303,3833.2427,4540.546,4293.273,4354.5757,4197.455
