Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
2171430.5663108826,4267.0,4201.576,4155.212,4401.4546,4236.6064,4577.121,4380.848,4294.8184,4478.2124,3750.3032,4371.061,4196.9395,4261.3335,4120.182
2171438.7912750244,4269.0605,4205.6973,4154.6973,4401.4546,4239.697,4578.667,4388.061,4300.485,4482.3335,3760.091,4378.2725,4207.758,4267.515,4125.3335
2171441.490650177,4267.0,4205.6973,4169.636,4415.879,4237.636,4575.0605,4379.303,4302.0303,4482.8486,3757.5151,4385.485,4218.576,4270.0913,4127.394
2171450.582265854,4268.031,4203.121,4169.636,4418.4546,4237.1216,4568.364,4372.091,4297.909,4480.273,3748.758,4382.909,4211.879,4267.0,4123.273
2171458.5332870483,4267.515,4203.6367,4154.182,4403.0,4238.152,4558.5757,4370.5454,4289.667,4476.667,3744.6365,4374.6665,4202.606,4265.4546,4117.6064
2171469.2549705505,4265.4546,4203.6367,4151.606,4398.3643,4234.5454,4554.4546,4366.9395,4288.636,4477.182,3752.3638,4377.758,4203.121,4267.0,4121.2124
2171472.605228424,4266.485,4203.121,4163.4546,4410.2124,4238.152,4556.515,4369.5156,4296.879,4479.2427,3758.5454,4384.9697,4210.8486,4267.0,4126.364
2171480.609178543,4275.242,4212.3945,4171.182,4421.031,4250.0,4563.7275,4382.394,4308.212,4487.4854,3760.606,4389.091,4217.0303,4274.2124,4129.4546
2171488.8706207275,4280.394,4220.121,4172.2124,4422.061,4250.515,4571.97,4387.5454,4313.879,4497.273,3770.9092,4395.788,4223.7275,4286.0605,4135.1216
2171496.6294765472,4271.636,4211.364,4170.667,4417.4243,4244.3335,4567.849,4380.848,4305.6367,4488.5156,3768.3335,4393.212,4220.6367,4278.3335,4133.061
2171505.59258461,4267.0,4204.6665,4170.667,4416.394,4246.909,4557.546,4375.6973,4293.788,4474.0913,3750.8186,4383.94,4210.334,4264.4243,4122.2427
2171512.6190185547,4271.121,4209.8184,4170.667,4418.4546,4252.0605,4556.515,4372.091,4289.667,4476.152,3745.1516,4380.848,4205.6973,4262.879,4116.0605
2171520.5833911896,4268.031,4208.7876,4168.606,4414.8486,4248.9697,4560.636,4371.061,4293.273,4478.7275,3751.8489,4383.94,4203.6367,4264.4243,4116.5757
2171528.5592079163,4273.1816,4210.334,4171.182,4418.9697,4248.9697,4569.9097,4382.394,4304.091,4482.3335,3759.0608,4392.697,4213.9395,4270.0913,4123.273
2171536.597967148,4286.0605,4222.6973,4175.8184,4430.8184,4251.546,4579.6973,4392.697,4311.303,4491.6064,3764.2124,4399.394,4222.6973,4277.8184,4129.4546
2171543.6069965363,4278.3335,4220.6367,4173.2427,4427.2124,4251.546,4570.9395,4382.394,4302.0303,4485.4243,3759.5757,4390.1216,4212.3945,4271.121,4125.3335
2171552.6762008667,4264.4243,4206.2124,4167.5757,4412.788,4252.5757,4559.0913,4373.6367,4293.788,4473.576,3750.8186,4382.394,4201.576,4264.4243,4120.6973
2171560.63246727,4267.0,4204.152,4168.091,4415.364,4253.6064,4559.0913,4375.182,4301.515,4480.273,3758.0305,4388.5757,4207.242,4270.0913,4125.8486
2171567.6741600037,4270.6064,4212.3945,4169.1216,4423.6064,4253.6064,4561.152,4377.758,4309.758,4493.152,3765.7578,4390.636,4208.7876,4271.636,4128.4243
2171575.6046772003,4266.485,4216.5156,4167.5757,4420.515,4253.0913,4563.7275,4380.333,4311.8184,4496.758,3760.091,4389.606,4206.2124,4269.5757,4124.8184
2171588.6178016663,4267.515,4216.0,4171.182,4421.031,4253.6064,4569.9097,4384.9697,4319.0303,4504.485,3766.788,4398.879,4216.0,4278.849,4132.5454
2171599.034309387,4275.242,4216.5156,4173.758,4426.182,4253.6064,4575.5757,4393.212,4330.879,4516.8486,3784.303,4404.546,4224.2427,4288.121,4142.848
2171600.712776184,4275.242,4218.576,4170.1514,4420.0,4251.546,4571.97,4390.636,4327.2725,4509.121,3772.9697,4397.3335,4216.0,4278.849,4131.0005
2171607.661008835,4269.5757,4214.455,4170.1514,4416.909,4252.0605,4564.2427,4379.8184,4310.2725,4489.546,3754.4243,4391.6665,4209.3027,4269.0605,4121.2124
2171615.6253814697,4268.031,4207.242,4168.606,4416.909,4252.0605,4560.121,4373.6367,4302.0303,4482.3335,3752.3638,4386.0005,4206.2124,4267.515,4123.788
2171623.610973358,4265.97,4201.576,4155.212,4404.0303,4249.4854,4555.4854,4369.5156,4300.485,4478.2124,3743.091,4372.606,4190.758,4253.0913,4107.303
2171641.6199207306,4264.9395,4202.0913,4152.6367,4399.394,4249.4854,4562.182,4375.182,4308.7275,4482.8486,3745.1516,4376.727,4189.7275,4252.0605,4104.212
2171642.590522766,4272.667,4213.9395,4170.1514,4416.394,4253.0913,4574.546,4390.636,4327.2725,4510.6665,3774.0,4399.909,4213.4243,4277.8184,4133.061
2171646.70586586,4275.242,4221.1514,4176.8486,4424.1216,4254.121,4571.97,4390.636,4327.2725,4521.485,3781.7275,4404.546,4219.091,4284.515,4141.303
2171654.569387436,4268.031,4211.364,4161.909,4408.667,4252.5757,4553.9395,4371.061,4303.576,4497.273,3758.5454,4386.0005,4201.576,4265.4546,4121.2124
2171662.6164913177,4266.485,4202.0913,4151.091,4397.3335,4250.515,4543.1216,4363.3335,4291.2124,4478.7275,3743.6062,4377.758,4197.455,4259.788,4112.9697
2171670.546770096,4268.546,4204.152,4160.8794,4406.091,4247.9395,4547.2427,4372.091,4305.1216,4486.4546,3753.394,4390.1216,4209.3027,4270.6064,4123.273
2171678.567647934,4267.0,4209.3027,4172.7275,4418.9697,4246.394,4554.97,4376.727,4316.9697,4495.7275,3768.3335,4403.0,4219.606,4275.758,4132.031
2171690.6147003174,4273.1816,4217.5454,4173.758,4422.576,4247.9395,4558.0605,4376.727,4315.425,4494.6973,3763.6973,4403.0,4222.1816,4272.667,4130.485
2171701.7290592194,4282.4546,4219.606,4170.1514,4417.9395,4250.0,4557.031,4377.758,4314.3936,4492.6367,3747.7273,4393.727,4211.879,4265.97,4123.273
2171702.8634548187,4276.273,4207.758,4169.1216,4410.2124,4250.515,4558.0605,4376.727,4309.758,4490.0605,3750.8186,4387.5454,4202.606,4263.394,4121.7275
2171709.64884758,4266.485,4205.1816,4169.636,4408.667,4251.031,4560.636,4375.6973,4299.4546,4486.4546,3758.5454,4391.1514,4206.727,4266.485,4124.8184
2171717.666864395,4273.697,4216.5156,4170.1514,4416.394,4252.0605,4560.121,4380.333,4292.2427,4490.576,3754.4243,4394.2427,4207.758,4265.97,4123.788
2171725.5425453186,4284.0,4219.606,4173.2427,4421.031,4253.6064,4563.7275,4385.485,4292.758,4494.1816,3753.9094,4391.6665,4205.6973,4265.97,4124.8184
2171733.6122989655,4282.4546,4216.5156,4174.788,4417.4243,4253.6064,4571.4546,4391.1514,4303.061,4498.8184,3764.2124,4394.2427,4210.334,4272.667,4128.9395
2171742.614030838,4281.9395,4218.576,4172.2124,4417.4243,4252.5757,4575.0605,4398.3643,4315.425,4510.152,3769.879,4397.8486,4211.879,4276.273,4130.485
2171749.633550644,4284.0,4219.091,4169.1216,4413.8184,4253.6064,4566.8184,4395.788,4313.364,4510.6665,3762.1519,4390.636,4205.6973,4270.0913,4126.879
2171757.64131546,4277.8184,4211.879,4163.4546,4405.5757,4255.152,4550.8486,4379.303,4296.879,4494.6973,3746.697,4382.909,4201.576,4261.8486,4121.2124
2171765.6478881836,4273.1816,4208.7876,4159.3335,4406.6064,4253.0913,4544.152,4374.1514,4283.485,4488.5156,3746.182,4384.9697,4201.0605,4261.3335,4118.6367
2171775.6175994873,4280.394,4218.0605,4168.606,4417.4243,4254.636,4562.182,4394.758,4291.7275,4507.0605,3767.3032,4397.3335,4210.8486,4274.7275,4130.485
2171781.272172928,4287.606,4225.788,4179.4243,4423.6064,4264.4243,4579.182,4408.152,4308.212,4516.8486,3775.0305,4402.4854,4220.121,4282.97,4138.727
2171793.6131954193,4285.031,4221.6665,4174.273,4417.9395,4269.0605,4568.364,4398.879,4303.061,4501.3945,3757.0002,4395.788,4211.364,4272.152,4127.909
2171801.6695976257,4282.4546,4219.091,4168.606,4417.4243,4262.364,4559.0913,4394.758,4289.667,4490.0605,3753.394,4396.3037,4208.7876,4268.031,4123.273
2171804.6069145203,4285.031,4222.1816,4174.788,4423.6064,4259.788,4564.2427,4404.0303,4298.9395,4507.0605,3765.7578,4399.909,4217.0303,4273.697,4129.4546
2171812.554836273,4280.9097,4219.606,4173.758,4416.909,4263.9097,4560.121,4395.273,4297.394,4502.4243,3759.0608,4393.212,4209.8184,4271.121,4127.394
2171823.186159134,4275.242,4216.0,4167.061,4405.0605,4263.394,4549.818,4375.182,4264.9395,4455.5454,3752.8792,4395.788,4207.758,4281.9395,4133.576
2171831.4073085785,4278.849,4219.606,4170.1514,4409.182,4261.8486,4556.515,4382.394,4267.515,4454.5156,3773.4849,4407.6367,4221.1514,4302.546,4152.1216
