Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
2632759.633541107,4295.3335,4279.879,4206.2124,4423.0913,4267.515,4508.606,4433.394,4337.0605,4495.2124,3758.5454,4515.303,4343.2427,4327.2725,4139.758
2632760.6904506683,4303.061,4282.97,4211.364,4427.7275,4264.9395,4511.6973,4430.303,4333.4546,4494.6973,3769.879,4517.364,4344.273,4335.0,4144.909
2632761.7280483246,4315.425,4287.606,4223.7275,4438.5454,4265.97,4516.8486,4436.485,4339.121,4500.879,3784.8184,4534.879,4357.6665,4345.303,4158.303
2632767.650127411,4305.6367,4284.515,4220.6367,4433.394,4265.97,4510.6665,4430.303,4326.2427,4489.546,3769.879,4523.5454,4352.0,4330.3643,4145.4243
2632775.711297989,4295.8486,4279.879,4212.909,4429.788,4264.9395,4507.576,4419.485,4311.303,4476.667,3752.8792,4508.0913,4339.121,4316.4546,4128.4243
2632783.6446762085,4301.0,4280.9097,4210.334,4428.758,4262.879,4512.727,4422.061,4316.4546,4478.2124,3750.8186,4507.0605,4335.515,4314.909,4133.576
2632799.701690674,4302.546,4280.394,4203.121,4416.909,4260.303,4515.303,4429.273,4325.212,4484.394,3753.394,4505.5156,4329.8486,4311.8184,4138.727
2632801.6624450684,4298.9395,4279.364,4202.606,4415.364,4262.364,4513.2427,4430.303,4328.303,4493.667,3762.667,4504.485,4329.3335,4318.0005,4140.7876
2632814.7208690643,4300.485,4280.394,4213.9395,4429.788,4267.515,4511.1816,4424.1216,4332.9395,4501.3945,3775.0305,4511.6973,4339.121,4330.3643,4151.606
2632822.718143463,4303.061,4282.4546,4218.576,4433.9097,4267.515,4508.606,4418.4546,4333.9697,4498.8184,3775.546,4526.1216,4348.909,4332.9395,4159.8486
2632824.7475624084,4301.515,4280.394,4211.364,4427.2124,4263.394,4508.0913,4415.879,4330.879,4495.7275,3770.9092,4528.182,4346.3335,4330.3643,4155.727
2632830.7209014893,4297.909,4271.636,4202.606,4417.9395,4261.8486,4508.606,4414.3335,4327.2725,4496.758,3770.394,4511.6973,4336.546,4325.212,4148.0005
2632838.7525081635,4294.8184,4266.485,4202.606,4414.8486,4263.9097,4510.6665,4422.061,4328.303,4500.879,3772.4546,4510.152,4335.0,4322.636,4149.0303
2632850.707054138,4297.394,4269.5757,4206.727,4421.546,4266.485,4512.2124,4437.0005,4334.4854,4510.152,3776.5762,4524.576,4345.303,4329.3335,4157.273
2632854.686498642,4298.4243,4269.5757,4206.727,4424.6367,4264.4243,4505.0,4441.1216,4334.4854,4512.2124,3776.5762,4522.5156,4348.909,4333.4546,4159.3335
2632862.718105316,4293.788,4266.485,4203.6367,4414.8486,4260.818,4494.1816,4434.94,4324.697,4500.364,3768.8486,4512.2124,4337.0605,4322.636,4149.0303
2632869.7781562805,4293.788,4268.031,4201.0605,4407.6367,4264.9395,4494.6973,4434.94,4320.5757,4494.1816,3761.1213,4507.0605,4328.303,4311.8184,4138.727
2632902.4522304535,4296.364,4268.031,4200.5454,4410.2124,4269.0605,4504.485,4434.4243,4323.667,4494.6973,3761.6362,4500.364,4327.2725,4312.8486,4138.727
2632902.7156829834,4296.879,4264.4243,4201.0605,4416.394,4265.97,4509.121,4428.2427,4325.7275,4495.7275,3771.4243,4502.9395,4327.788,4315.94,4143.364
2632902.796983719,4298.9395,4267.0,4208.7876,4424.1216,4263.9097,4514.2734,4434.4243,4334.4854,4501.9097,3779.1516,4513.758,4330.879,4318.0005,4148.5156
2632902.9507637024,4297.394,4269.5757,4205.6973,4416.909,4264.4243,4515.303,4437.0005,4337.5757,4498.8184,3767.8184,4507.576,4328.8184,4315.425,4144.3945
2632914.659023285,4288.121,4263.394,4188.1816,4398.879,4265.4546,4501.9097,4421.031,4321.091,4481.303,3749.7883,4491.0913,4316.9697,4304.6064,4134.606
2632925.6448745728,4288.121,4259.273,4189.7275,4399.394,4265.4546,4498.8184,4413.303,4309.758,4474.0913,3748.2424,4489.031,4311.8184,4296.879,4134.606
2632927.842617035,4295.8486,4264.9395,4202.606,4412.788,4265.4546,4509.6367,4423.6064,4315.94,4480.788,3756.4849,4494.6973,4319.0303,4303.061,4138.727
2632945.636510849,4298.4243,4270.0913,4208.7876,4421.546,4265.97,4511.6973,4428.758,4323.1514,4485.4243,3758.5454,4497.788,4327.788,4313.364,4143.364
2632946.551322937,4301.515,4271.121,4213.4243,4424.6367,4267.515,4510.6665,4433.394,4331.394,4492.6367,3765.7578,4498.8184,4331.909,4318.515,4154.182
2632950.574874878,4298.9395,4269.0605,4211.364,4416.394,4267.0,4514.788,4433.394,4333.9697,4498.8184,3772.4546,4496.758,4323.1514,4314.3936,4151.091
2632960.5901241302,4284.515,4264.4243,4201.0605,4409.6973,4266.485,4511.6973,4421.546,4325.7275,4495.2124,3762.667,4492.121,4314.3936,4308.212,4137.182
2632964.6379947662,4285.5454,4265.97,4202.0913,4417.9395,4268.546,4508.606,4422.061,4335.0,4494.1816,3761.1213,4493.152,4324.182,4311.303,4144.909
2632972.6543426514,4297.909,4270.0913,4210.334,4423.0913,4269.5757,4511.1816,4429.788,4353.0303,4500.364,3772.4546,4497.788,4326.2427,4317.4854,4154.182
2632980.628013611,4292.2427,4268.031,4207.758,4418.4546,4267.515,4507.576,4425.152,4344.273,4498.3027,3768.3335,4495.2124,4315.425,4314.909,4146.455
2632993.6287403107,4279.879,4264.4243,4202.0913,4414.3335,4265.4546,4506.031,4424.6367,4328.303,4491.0913,3755.97,4490.576,4315.425,4309.758,4144.909
2632996.608734131,4285.031,4266.485,4203.6367,4420.515,4265.4546,4512.727,4443.182,4339.121,4499.3335,3768.8486,4498.3027,4327.788,4319.546,4157.273
2633009.7000598907,4293.273,4268.031,4207.242,4430.8184,4265.4546,4516.334,4454.5156,4353.5454,4514.788,3787.3938,4509.121,4332.425,4331.909,4165.515
2633012.6633644104,4289.667,4266.485,4202.0913,4425.667,4265.4546,4513.758,4445.758,4344.273,4514.2734,3779.667,4502.9395,4323.667,4324.697,4162.94
2633020.610332489,4288.636,4267.0,4193.3335,4414.8486,4268.031,4510.6665,4437.0005,4329.8486,4504.485,3760.091,4493.152,4314.909,4309.2427,4153.6665
2633032.8171253204,4296.364,4269.0605,4199.5156,4424.6367,4270.0913,4514.788,4443.6973,4336.0303,4506.5454,3760.606,4495.7275,4319.0303,4311.303,4153.1514
2633061.7735385895,4300.485,4270.0913,4207.242,4437.0005,4269.5757,4518.909,4451.4243,4346.8486,4511.6973,3771.9395,4496.758,4325.7275,4317.4854,4158.819
2633063.7488365173,4295.8486,4270.0913,4202.0913,4433.394,4269.5757,4514.788,4446.7876,4341.6973,4506.5454,3771.4243,4493.152,4325.7275,4313.879,4156.2427
2633064.72325325,4298.9395,4271.121,4202.606,4432.879,4269.5757,4515.8184,4448.8486,4344.273,4508.606,3771.9395,4500.879,4331.394,4318.515,4156.2427
2633065.734386444,4300.485,4269.5757,4202.606,4433.394,4269.5757,4519.4243,4455.0303,4354.0605,4513.2427,3774.5151,4505.5156,4332.9395,4323.1514,4160.364
2633067.8288936615,4288.636,4265.97,4191.273,4426.6973,4269.5757,4514.788,4449.8794,4345.303,4503.97,3764.2124,4491.6064,4319.546,4309.758,4151.091
