Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
494789.8373603821,4287.0913,4238.667,4137.6973,4455.5454,4271.636,4545.697,4414.3335,4322.636,4511.1816,3708.0605,4482.8486,4235.0605,4310.788,4155.727
494801.67841911316,4293.788,4251.031,4141.303,4463.273,4281.9395,4557.031,4416.909,4328.8184,4511.6973,3708.0605,4482.8486,4237.636,4315.94,4157.273
494805.79805374146,4287.606,4254.121,4142.848,4460.6978,4289.152,4558.0605,4417.9395,4330.3643,4510.6665,3702.3943,4483.364,4235.5757,4309.758,4156.758
494813.6715888977,4285.031,4245.879,4139.758,4456.061,4280.394,4548.273,4416.909,4327.2725,4509.6367,3700.8486,4482.8486,4233.515,4299.4546,4155.212
494820.66082954407,4292.2427,4248.9697,4142.3335,4461.2124,4276.273,4552.9097,4421.031,4328.8184,4509.6367,3703.9395,4480.273,4231.4546,4301.0,4154.182
494828.66978645325,4287.0913,4253.0913,4143.879,4461.2124,4278.3335,4560.121,4425.152,4332.425,4512.2124,3701.364,4479.2427,4225.273,4302.546,4148.0005
494838.3357524872,4278.849,4243.303,4140.273,4451.4243,4275.242,4554.4546,4421.546,4325.7275,4511.6973,3699.3035,4479.758,4219.091,4297.909,4140.273
494844.8181152344,4280.9097,4236.091,4138.727,4448.334,4268.546,4545.697,4415.364,4316.9697,4509.6367,3699.8184,4475.6367,4219.606,4295.8486,4139.2427
494852.8869152069,4280.9097,4235.5757,4140.273,4448.334,4270.6064,4543.636,4414.3335,4318.515,4509.121,3697.7578,4473.576,4226.8184,4296.364,4145.4243
494860.73899269104,4285.031,4237.636,4143.879,4445.758,4280.394,4549.818,4415.879,4325.212,4508.0913,3697.243,4476.152,4233.0,4301.515,4151.606
494868.6981201172,4296.879,4241.2427,4152.1216,4448.8486,4288.121,4558.0605,4420.0,4331.909,4513.2427,3706.0,4484.394,4237.636,4313.879,4160.8794
494887.0840072632,4302.0303,4242.273,4158.819,4452.455,4285.5454,4557.031,4423.0913,4339.121,4522.0,3713.7275,4493.152,4241.7573,4319.546,4171.182
494887.7053260803,4297.909,4238.152,4152.1216,4445.2427,4274.2124,4547.2427,4419.485,4337.5757,4518.3945,3708.576,4489.031,4241.7573,4315.425,4168.606
494891.74461364746,4295.3335,4235.5757,4144.909,4438.5454,4272.152,4543.636,4415.364,4329.8486,4509.6367,3700.3337,4478.7275,4237.1216,4312.333,4158.303
494899.71470832825,4292.758,4235.5757,4145.94,4443.182,4280.9097,4546.2124,4415.879,4328.8184,4511.1816,3699.8184,4478.7275,4233.515,4311.303,4156.2427
494908.73765945435,4291.7275,4233.0,4147.485,4446.7876,4281.9395,4545.697,4416.909,4331.394,4513.758,3701.879,4482.3335,4233.515,4307.6973,4158.303
494918.1342124939,4295.8486,4233.515,4150.061,4445.758,4278.3335,4545.182,4417.4243,4331.394,4510.6665,3700.3337,4478.7275,4233.0,4308.7275,4156.2427
494926.66935920715,4291.7275,4236.6064,4146.9697,4444.727,4279.364,4546.7275,4416.394,4326.2427,4510.6665,3700.3337,4479.2427,4233.0,4306.1514,4155.727
