Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
281319.7817802429,4267.0,4233.515,4188.6973,4415.364,4252.0605,4545.182,4413.303,4317.4854,4507.576,3742.0608,4495.7275,4245.879,4296.879,4141.8184
281327.8429508209,4262.879,4220.6367,4186.121,4414.3335,4249.4854,4542.6064,4407.121,4320.5757,4508.606,3742.0608,4496.242,4246.394,4297.394,4144.3945
281335.800409317,4261.8486,4216.5156,4186.6367,4415.364,4248.4546,4543.1216,4409.6973,4325.212,4509.6367,3747.2122,4497.273,4250.515,4299.4546,4148.0005
281343.87016296387,4267.515,4228.364,4189.7275,4419.485,4254.121,4545.182,4414.3335,4330.879,4512.2124,3750.3032,4500.879,4251.546,4309.2427,4155.212
281350.79884529114,4271.121,4237.1216,4190.758,4424.6367,4255.152,4544.152,4411.758,4329.8486,4513.2427,3746.182,4500.879,4251.546,4309.2427,4159.8486
281358.83116722107,4269.5757,4234.5454,4189.2124,4418.9697,4248.9697,4542.6064,4411.758,4323.1514,4510.6665,3742.576,4497.273,4251.031,4299.4546,4156.2427
281366.708278656,4267.515,4232.485,4188.1816,4410.2124,4254.636,4543.636,4414.3335,4315.425,4506.5454,3739.485,4494.1816,4243.303,4297.909,4150.061
281379.75811958313,4268.546,4234.0303,4187.667,4413.8184,4268.031,4544.152,4411.758,4312.8486,4505.5156,3734.8484,4488.5156,4236.091,4298.4243,4143.364
281382.70020484924,4266.485,4230.9395,4187.152,4415.364,4263.9097,4543.1216,4406.091,4312.8486,4506.031,3733.3032,4479.758,4235.0605,4292.2427,4139.758
281390.77830314636,4263.394,4225.788,4186.6367,4407.6367,4252.5757,4542.0913,4406.091,4312.8486,4507.576,3736.9094,4483.364,4235.0605,4291.2124,4139.758
281398.73790740967,4264.4243,4227.3335,4188.1816,4408.152,4258.2427,4542.6064,4408.152,4315.425,4508.0913,3738.97,4490.576,4236.091,4293.788,4142.3335
281411.75746917725,4267.0,4234.5454,4188.6973,4414.3335,4266.485,4543.1216,4408.152,4315.425,4506.5454,3736.9094,4486.97,4235.5757,4290.182,4141.303
281414.6547317505,4268.031,4238.152,4187.152,4417.4243,4265.4546,4545.182,4410.7275,4318.0005,4507.0605,3737.4246,4488.5156,4235.5757,4292.758,4138.727
281423.0213165283,4268.546,4236.6064,4190.758,4418.9697,4269.0605,4546.2124,4414.8486,4324.697,4511.1816,3742.0608,4497.273,4237.1216,4299.9697,4148.0005
281429.7354221344,4269.5757,4235.5757,4193.3335,4420.515,4270.0913,4543.636,4415.879,4322.1216,4509.121,3741.5457,4495.2124,4239.182,4298.9395,4154.182
281437.88623809814,4269.0605,4236.091,4188.6973,4418.4546,4263.394,4541.5757,4409.6973,4314.909,4498.8184,3734.8484,4482.8486,4238.152,4295.3335,4145.94
281445.79887390137,4269.0605,4235.0605,4186.6367,4415.879,4264.9395,4541.061,4405.5757,4314.909,4499.849,3729.697,4478.7275,4237.636,4296.879,4144.909
281453.99594306946,4271.121,4235.0605,4191.273,4415.364,4272.152,4541.5757,4410.2124,4319.0303,4511.1816,3735.3638,4486.4546,4239.697,4296.879,4153.1514
281461.73429489136,4270.0913,4234.0303,4189.2124,4416.394,4268.546,4537.9697,4410.2124,4318.515,4510.152,3742.0608,4493.667,4237.1216,4292.758,4146.455
281469.94042396545,4268.031,4234.0303,4189.2124,4416.909,4260.303,4534.364,4403.0,4319.0303,4502.9395,3737.4246,4494.1816,4239.182,4292.758,4141.8184
281477.6842594147,4274.7275,4240.7275,4194.3633,4419.485,4259.273,4537.9697,4403.0,4319.0303,4505.0,3735.8792,4492.121,4247.9395,4296.364,4153.6665
281485.6843948364,4285.031,4245.879,4197.455,4424.1216,4264.9395,4543.636,4409.182,4318.515,4510.6665,3743.091,4495.2124,4255.152,4298.9395,4158.819
281492.755651474,4282.4546,4237.636,4196.424,4422.061,4265.97,4542.0913,4409.6973,4320.061,4509.6367,3742.0608,4495.2124,4248.4546,4295.8486,4154.182
281509.74893569946,4275.242,4231.4546,4195.909,4420.515,4261.8486,4539.515,4407.121,4322.1216,4506.5454,3737.9397,4492.121,4237.1216,4294.8184,4153.6665
