Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
446541.79525375366,4280.9097,4230.9395,4143.879,4399.909,4260.818,4544.152,4410.2124,4353.5454,4529.2124,3725.061,4507.0605,4233.515,4353.5454,4162.94
446554.77595329285,4279.879,4232.485,4145.94,4401.9697,4263.9097,4544.667,4413.303,4356.6367,4528.6973,3721.9697,4509.6367,4235.0605,4354.0605,4161.394
446557.77525901794,4280.9097,4233.0,4145.94,4402.4854,4271.121,4547.7573,4418.4546,4358.182,4531.788,3724.0308,4509.6367,4235.5757,4354.0605,4161.394
446565.7641887665,4280.394,4233.515,4152.1216,4404.546,4272.667,4548.273,4415.879,4348.394,4530.758,3722.485,4500.364,4234.5454,4347.879,4158.819
446572.984457016,4281.4243,4234.5454,4156.2427,4411.2427,4268.546,4546.2124,4410.7275,4343.2427,4526.6367,3717.8486,4495.7275,4235.0605,4344.273,4157.273
446580.8229446411,4285.031,4241.7573,4155.212,4417.9395,4267.515,4545.697,4413.8184,4344.788,4526.6367,3716.8184,4500.879,4236.6064,4345.8184,4159.8486
446588.81521224976,4285.5454,4251.031,4156.758,4420.0,4267.515,4545.182,4415.879,4339.636,4524.0605,3714.2427,4501.9097,4237.1216,4344.788,4158.819
446607.0251464844,4284.0,4246.394,4155.212,4418.4546,4267.0,4540.546,4408.152,4335.0,4517.879,3710.1216,4495.7275,4236.6064,4344.273,4157.788
446608.7770462036,4282.4546,4235.5757,4145.94,4412.788,4263.394,4537.4546,4403.515,4337.5757,4514.2734,3709.6064,4494.6973,4236.091,4344.788,4159.3335
446617.712020874,4281.4243,4234.5454,4139.2427,4406.091,4263.9097,4539.515,4405.5757,4338.091,4514.2734,3711.1519,4501.9097,4236.091,4344.788,4156.758
446621.77443504333,4282.4546,4236.6064,4141.303,4407.6367,4268.031,4542.0913,4409.6973,4338.091,4518.3945,3714.2427,4509.121,4237.1216,4345.303,4160.364
446628.77464294434,4282.97,4234.5454,4141.8184,4409.182,4270.6064,4542.6064,4409.6973,4341.1816,4527.667,3718.3638,4510.152,4238.152,4347.364,4167.5757
446636.95096969604,4280.9097,4234.5454,4139.758,4405.0605,4267.0,4542.6064,4408.667,4338.6064,4525.606,3720.9395,4508.606,4237.636,4349.4243,4165.515
446658.82110595703,4280.394,4235.5757,4141.303,4401.9697,4258.7573,4541.5757,4407.6367,4329.8486,4512.727,3718.3638,4509.121,4237.636,4348.394,4160.8794
446660.6855392456,4280.394,4236.091,4142.848,4399.909,4252.0605,4539.0,4403.515,4328.8184,4513.758,3714.7578,4507.576,4238.667,4346.3335,4159.8486
446662.7686023712,4281.9395,4237.636,4142.3335,4399.909,4252.5757,4540.031,4405.5757,4336.0303,4525.091,3719.394,4507.0605,4239.182,4348.394,4160.364
446667.7796840668,4285.031,4235.0605,4144.3945,4403.515,4257.2124,4542.0913,4412.273,4340.667,4528.6973,3725.061,4512.2124,4239.697,4351.485,4165.0005
446675.9672164917,4285.5454,4235.0605,4143.879,4404.0303,4256.1816,4541.061,4410.2124,4339.121,4525.091,3721.9697,4508.606,4240.2124,4349.4243,4171.182
446683.7797164917,4281.9395,4232.485,4139.758,4398.3643,4252.5757,4539.515,4407.121,4337.0605,4524.0605,3715.788,4496.758,4236.6064,4345.8184,4170.1514
446691.83826446533,4280.9097,4224.758,4138.727,4397.3335,4256.697,4542.6064,4412.273,4341.6973,4525.606,3715.788,4500.879,4240.7275,4348.394,4167.5757
446699.7938156128,4284.0,4227.3335,4139.2427,4403.515,4268.031,4546.2124,4418.4546,4349.9395,4528.182,3719.9092,4510.6665,4247.9395,4355.606,4172.2124
446707.82351493835,4282.97,4238.152,4138.727,4403.0,4271.636,4545.182,4416.909,4346.8486,4529.7275,3718.879,4501.9097,4242.273,4355.606,4171.182
446716.24517440796,4281.4243,4239.182,4139.2427,4404.0303,4265.4546,4542.6064,4411.758,4333.4546,4522.5156,3715.788,4491.6064,4233.515,4347.364,4162.4243
446722.7621078491,4281.9395,4233.515,4136.6665,4411.758,4265.97,4543.636,4409.6973,4328.8184,4513.758,3710.6367,4498.3027,4237.1216,4346.3335,4159.3335
446730.8075428009,4274.7275,4232.485,4131.5156,4409.6973,4267.0,4543.636,4408.152,4326.2427,4510.152,3702.9092,4494.6973,4234.0303,4346.8486,4155.727
446738.7788295746,4269.0605,4233.515,4132.031,4399.909,4261.8486,4541.5757,4403.0,4320.5757,4508.606,3701.364,4477.6973,4223.7275,4339.636,4146.455
446761.82770729065,4276.788,4235.0605,4139.2427,4404.546,4264.9395,4544.152,4404.546,4326.2427,4513.2427,3709.6064,4479.758,4228.879,4337.5757,4148.0005
446762.7794742584,4286.0605,4235.5757,4143.364,4411.758,4271.636,4547.7573,4412.788,4337.5757,4523.0303,3717.8486,4494.6973,4237.636,4345.303,4158.819
446763.77725601196,4281.4243,4231.4546,4141.303,4405.0605,4268.031,4545.697,4410.7275,4337.5757,4526.1216,3716.8184,4496.242,4235.0605,4350.4546,4159.3335
446771.00586891174,4276.788,4231.4546,4140.7876,4398.879,4261.8486,4542.0913,4401.9697,4333.4546,4522.0,3714.2427,4492.6367,4232.485,4351.485,4158.303
446778.81383895874,4281.9395,4236.091,4143.364,4404.0303,4262.364,4544.152,4404.0303,4336.546,4525.606,3717.3335,4498.3027,4236.6064,4358.182,4166.5454
446790.8523082733,4286.0605,4237.636,4149.5454,4410.2124,4266.485,4546.7275,4409.182,4340.1514,4527.667,3717.3335,4501.9097,4239.697,4361.7876,4174.273
446795.1488494873,4285.5454,4235.0605,4151.606,4409.182,4263.394,4543.1216,4401.9697,4330.3643,4516.334,3706.0,4496.758,4239.697,4355.606,4167.5757
446810.653924942,4285.031,4235.5757,4151.091,4406.6064,4253.6064,4537.9697,4393.727,4315.94,4507.576,3697.243,4493.667,4237.636,4348.909,4160.364
446810.941696167,4287.0913,4239.182,4153.1514,4412.788,4257.7275,4540.031,4398.3643,4319.0303,4510.6665,3707.0303,4496.242,4237.1216,4352.0,4165.515
446817.82507896423,4287.0913,4239.182,4151.606,4418.4546,4272.667,4541.061,4402.4854,4326.2427,4514.788,3717.8486,4498.3027,4238.667,4359.2124,4167.061
