Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
218781.8992137909,4529.2124,4207.758,4043.4246,4470.485,4309.758,4508.0913,4430.8184,4275.242,4482.3335,3771.4243,4478.7275,4236.091,4251.546,4154.182
218789.9191379547,4528.6973,4198.485,4037.7573,4459.1514,4299.4546,4510.152,4430.303,4268.031,4478.7275,3767.8184,4483.364,4226.303,4239.182,4145.94
218797.94836044312,4532.303,4171.6973,4032.0913,4446.273,4311.303,4508.0913,4430.303,4269.0605,4475.1216,3760.091,4480.788,4217.5454,4230.9395,4138.727
218805.96804618835,4532.303,4176.3335,4028.485,4449.364,4316.9697,4509.6367,4431.3335,4278.3335,4478.2124,3757.5151,4475.1216,4219.091,4233.515,4140.273
218813.9636516571,4529.7275,4200.031,4031.0608,4464.303,4319.0303,4512.727,4432.879,4284.515,4483.364,3761.6362,4478.2124,4221.6665,4238.152,4142.3335
218821.93732261658,4525.606,4196.9395,4032.0913,4465.8486,4311.8184,4511.6973,4430.8184,4279.364,4480.273,3762.667,4481.303,4220.6367,4238.152,4140.273
218829.87880706787,4535.394,4187.152,4031.0608,4459.6665,4295.3335,4509.6367,4429.273,4268.546,4472.0303,3759.5757,4477.6973,4218.576,4236.091,4139.758
218836.95459365845,4525.606,4204.152,4039.3035,4466.364,4300.485,4512.2124,4432.364,4269.5757,4474.0913,3758.0305,4481.8184,4224.758,4238.152,4146.455
218844.98047828674,4451.4243,4219.606,4047.5457,4474.6064,4321.091,4514.2734,4432.879,4282.4546,4481.8184,3765.7578,4491.0913,4237.1216,4251.546,4156.2427
218857.980966568,4388.061,4212.3945,4046.5151,4477.182,4329.3335,4510.152,4429.788,4282.97,4484.909,3778.6367,4495.7275,4238.667,4259.788,4160.8794
218860.95356941223,4406.091,4205.1816,4038.273,4472.5454,4325.7275,4510.6665,4429.788,4270.0913,4477.6973,3776.0608,4486.97,4223.2124,4240.2124,4151.606
218868.8817024231,4445.2427,4202.606,4025.9097,4461.7275,4319.0303,4515.303,4431.8486,4264.4243,4464.303,3753.9094,4466.8794,4207.242,4224.758,4136.6665
218876.9726753235,4469.4546,4196.424,4020.2424,4464.819,4321.091,4515.303,4432.364,4267.0,4465.3335,3745.6667,4462.2427,4208.273,4229.394,4134.606
218888.920545578,4508.0913,4189.2124,4024.8787,4467.909,4326.2427,4512.727,4432.364,4269.5757,4476.152,3758.5454,4474.6064,4215.485,4228.364,4141.8184
218892.96221733093,4534.364,4185.6064,4021.273,4450.3945,4314.909,4512.727,4429.788,4269.5757,4471.0005,3757.5151,4474.0913,4211.364,4218.576,4137.6973
218900.96759796143,4528.182,4185.6064,4009.9392,4441.6367,4295.8486,4511.1816,4423.0913,4262.879,4458.6367,3743.091,4457.606,4200.031,4217.0303,4127.909
218909.015417099,4532.303,4185.0913,4015.0913,4458.6367,4295.8486,4508.606,4415.879,4252.5757,4458.6367,3736.9094,4458.6367,4203.6367,4219.606,4132.031
218915.9345626831,4550.3335,4188.6973,4030.0308,4471.0005,4309.2427,4510.152,4415.879,4250.0,4462.2427,3741.0305,4471.515,4217.0303,4222.6973,4140.273
