Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
846620.1899051666,4241.7573,4202.0913,4141.303,4404.0303,4226.303,4512.727,4375.6973,4313.879,4481.303,3777.6064,4418.4546,4203.6367,4295.3335,4099.5757
846627.6578903198,4240.2124,4206.727,4143.879,4407.6367,4236.6064,4514.2734,4377.2427,4316.4546,4483.879,3786.879,4422.061,4207.242,4297.909,4104.7275
846635.6835365295,4247.9395,4211.879,4153.1514,4412.788,4234.5454,4513.2427,4374.6665,4311.8184,4481.8184,3784.8184,4424.6367,4204.6665,4299.9697,4110.394
846643.7032222748,4252.5757,4213.9395,4156.2427,4411.2427,4233.515,4512.727,4370.0303,4303.576,4477.6973,3771.9395,4424.6367,4209.3027,4297.909,4112.9697
846665.8809185028,4253.6064,4213.9395,4155.727,4408.667,4233.0,4511.6973,4367.9697,4298.9395,4477.6973,3768.8486,4420.515,4216.0,4295.8486,4112.9697
846667.0155525208,4254.636,4208.273,4155.212,4411.2427,4224.2427,4510.152,4371.576,4304.6064,4478.2124,3769.3638,4417.4243,4210.334,4296.879,4111.4243
846668.6706542969,4253.0913,4204.152,4157.273,4412.273,4222.1816,4511.1816,4374.6665,4310.788,4478.2124,3765.7578,4418.4546,4203.6367,4297.909,4109.879
846674.6785640717,4254.636,4209.8184,4155.727,4409.6973,4228.879,4511.6973,4371.061,4310.2725,4478.7275,3766.788,4420.515,4210.8486,4295.3335,4114.0
846682.6655864716,4261.8486,4216.0,4153.1514,4409.182,4221.6665,4507.0605,4366.9395,4311.303,4477.182,3772.4546,4423.0913,4218.0605,4296.364,4123.273
846690.6323432922,4268.546,4218.576,4165.0005,4414.8486,4212.909,4507.0605,4373.1216,4319.0303,4480.273,3781.7275,4430.303,4224.758,4308.212,4128.9395
846698.638677597,4269.5757,4217.5454,4173.758,4418.4546,4220.6367,4512.2124,4379.8184,4323.667,4489.031,3786.3635,4433.9097,4230.4243,4312.8486,4129.4546
846706.5887451172,4259.273,4208.7876,4157.273,4408.667,4222.1816,4512.727,4377.758,4318.0005,4487.4854,3782.2424,4424.1216,4223.2124,4301.515,4122.758
846714.6780490875,4249.4854,4201.0605,4144.3945,4397.8486,4222.1816,4511.1816,4375.182,4312.8486,4479.758,3775.0305,4415.364,4213.9395,4295.8486,4117.091
846722.695350647,4252.0605,4203.121,4155.727,4404.0303,4233.515,4514.2734,4377.758,4313.879,4480.788,3772.9697,4420.0,4218.0605,4299.9697,4119.667
846729.688167572,4254.636,4204.152,4155.727,4407.6367,4241.7573,4516.334,4378.7876,4310.2725,4483.364,3772.4546,4422.061,4220.121,4299.4546,4119.667
846737.7107143402,4251.546,4202.606,4140.7876,4397.3335,4237.636,4511.6973,4376.727,4304.6064,4476.667,3767.8184,4415.879,4207.242,4294.303,4109.879
846745.7401752472,4250.515,4199.5156,4139.758,4390.1216,4227.3335,4509.6367,4377.758,4306.1514,4465.8486,3762.1519,4414.3335,4200.5454,4288.636,4105.758
846762.7358436584,4252.5757,4191.788,4145.4243,4392.182,4221.1514,4507.576,4375.6973,4308.7275,4464.303,3760.091,4416.909,4207.758,4288.121,4110.909
846763.7150287628,4251.546,4192.3027,4143.879,4396.3037,4212.909,4499.849,4369.0005,4309.2427,4472.5454,3764.2124,4418.9697,4207.758,4295.8486,4111.9395
846769.7072029114,4252.0605,4202.0913,4142.848,4399.394,4210.8486,4496.758,4369.0005,4311.8184,4478.2124,3768.8486,4417.4243,4200.5454,4298.9395,4109.364
846777.7798175812,4252.5757,4203.6367,4147.485,4399.909,4217.0303,4499.3335,4372.606,4315.425,4477.6973,3768.8486,4420.515,4207.758,4297.909,4115.0303
846785.6938838959,4253.0913,4201.0605,4154.6973,4403.0,4223.7275,4501.9097,4372.091,4321.091,4486.4546,3774.5151,4428.758,4222.1816,4301.0,4123.273
846794.8412895203,4252.0605,4202.0913,4156.2427,4406.6064,4222.1816,4505.0,4367.9697,4321.091,4493.667,3779.1516,4428.2427,4219.091,4303.061,4122.2427
846801.6951084137,4250.515,4203.6367,4150.576,4404.546,4220.121,4508.606,4367.4546,4315.94,4488.5156,3775.0305,4425.152,4214.9697,4300.485,4118.1216
846808.7191581726,4251.546,4204.6665,4146.9697,4404.546,4224.758,4509.6367,4375.182,4318.0005,4483.364,3770.9092,4427.2124,4220.121,4301.515,4116.5757
846816.6739940643,4252.0605,4203.121,4145.94,4405.0605,4221.1514,4508.0913,4380.333,4316.4546,4482.3335,3771.4243,4424.1216,4213.4243,4298.4243,4112.4546
846824.7125148773,4249.4854,4199.5156,4144.909,4400.425,4215.485,4508.0913,4377.2427,4307.182,4478.2124,3768.8486,4417.4243,4205.1816,4294.8184,4111.4243
846832.7240943909,4254.121,4201.576,4150.576,4399.909,4217.5454,4509.6367,4380.333,4312.333,4479.2427,3768.8486,4424.6367,4217.0303,4300.485,4119.667
846840.7247066498,4260.818,4205.6973,4156.758,4404.546,4221.6665,4514.788,4386.515,4320.5757,4484.909,3774.5151,4428.2427,4224.758,4304.6064,4121.7275
846849.6949672699,4253.0913,4202.0913,4152.6367,4403.0,4221.1514,4512.727,4380.848,4313.879,4482.3335,3772.4546,4414.3335,4212.3945,4294.8184,4112.9697
846863.68060112,4249.4854,4202.606,4151.091,4400.9395,4218.0605,4499.849,4372.606,4310.788,4478.7275,3767.3032,4409.6973,4204.6665,4292.2427,4110.394
846864.6802902222,4259.788,4212.3945,4155.727,4411.2427,4219.606,4495.2124,4373.1216,4315.425,4481.8184,3771.4243,4418.9697,4207.758,4298.9395,4115.546
846872.718334198,4259.788,4213.4243,4151.606,4417.9395,4220.121,4495.7275,4368.485,4306.1514,4477.182,3767.8184,4416.909,4208.273,4291.7275,4110.394
846879.6620368958,4251.031,4202.0913,4141.303,4404.546,4214.455,4495.7275,4362.8184,4295.3335,4463.273,3755.4546,4403.515,4200.5454,4279.364,4099.0605
846892.6146030426,4251.546,4197.455,4139.2427,4388.061,4214.455,4501.3945,4367.9697,4297.394,4459.6665,3751.3335,4396.8184,4191.273,4278.3335,4097.515
846899.4498252869,4251.031,4202.606,4138.727,4394.2427,4225.788,4510.152,4372.091,4295.8486,4463.788,3752.8792,4398.3643,4190.758,4278.3335,4098.546
846903.6910533905,4247.9395,4204.152,4140.7876,4413.303,4235.0605,4512.2124,4370.5454,4290.182,4463.273,3755.97,4408.152,4196.9395,4277.303,4098.0303
846912.6861095428,4251.031,4203.6367,4149.5454,4421.546,4231.4546,4512.727,4369.0005,4294.8184,4462.7583,3763.1821,4416.909,4200.5454,4281.4243,4100.6064
846919.7103977203,4254.121,4206.2124,4148.5156,4417.4243,4223.7275,4512.2124,4370.0303,4298.9395,4469.4546,3764.2124,4410.7275,4201.0605,4284.515,4103.697
846929.187297821,4254.636,4205.6973,4144.909,4411.758,4223.7275,4509.6367,4371.061,4297.909,4476.667,3763.6973,4408.667,4202.606,4285.5454,4105.758
