Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
2413787.4944210052,4268.031,4219.091,4156.758,4411.2427,4190.758,4547.7573,4372.091,4293.788,4478.2124,3759.5757,4441.6367,4248.9697,4258.2427,4117.6064
2413788.1710529327,4266.485,4221.6665,4155.727,4408.152,4186.6367,4546.2124,4371.576,4279.879,4462.2427,3744.6365,4431.8486,4239.182,4247.9395,4107.8184
2413790.2789115906,4258.2427,4220.6367,4151.091,4405.5757,4194.879,4544.667,4375.182,4268.546,4450.3945,3742.576,4424.1216,4231.9697,4241.7573,4101.121
2413798.78783226,4248.9697,4208.273,4139.758,4401.4546,4200.5454,4544.152,4379.8184,4269.0605,4445.758,3738.97,4418.4546,4220.6367,4234.5454,4093.394
2413820.5070495605,4247.9395,4205.1816,4136.6665,4398.3643,4197.455,4544.152,4380.848,4278.849,4448.334,3735.8792,4417.9395,4219.091,4237.636,4090.818
2413826.9844055176,4256.1816,4216.5156,4145.94,4401.9697,4199.0,4543.1216,4379.303,4290.182,4463.273,3753.394,4429.788,4239.697,4256.1816,4105.758
2413827.05783844,4261.3335,4224.2427,4155.212,4404.546,4196.9395,4542.6064,4380.333,4302.0303,4477.6973,3773.4849,4446.7876,4254.636,4271.636,4123.273
2413829.292535782,4259.788,4214.9697,4155.212,4400.9395,4186.6367,4540.031,4380.333,4312.333,4483.364,3772.9697,4448.334,4249.4854,4271.121,4124.8184
2413842.316865921,4261.3335,4206.727,4153.1514,4397.8486,4185.6064,4539.515,4379.8184,4319.546,4491.6064,3774.5151,4446.273,4255.667,4273.697,4129.4546
2413845.2887535095,4266.485,4213.4243,4158.819,4401.9697,4190.242,4543.1216,4379.303,4326.7573,4500.879,3787.9092,4454.5156,4271.121,4284.515,4140.7876
2413857.2771549225,4268.031,4216.5156,4160.364,4404.546,4182.515,4544.152,4380.333,4325.212,4499.849,3788.4246,4457.091,4268.546,4287.0913,4139.2427
2413861.2797260284,4261.8486,4211.879,4152.6367,4401.9697,4174.273,4542.6064,4380.333,4311.8184,4491.0913,3774.5151,4447.303,4254.636,4274.2124,4124.303
2413873.265981674,4255.152,4212.3945,4144.3945,4398.879,4173.758,4543.636,4378.2725,4297.394,4481.303,3762.667,4436.485,4243.303,4257.2124,4110.909
2413884.2735290527,4253.0913,4221.1514,4142.848,4400.425,4174.788,4545.697,4381.8794,4287.606,4471.515,3751.3335,4431.3335,4235.0605,4247.4243,4101.121
2413885.2665424347,4255.152,4217.5454,4143.879,4401.9697,4172.2124,4548.788,4387.0303,4283.485,4464.819,3743.091,4424.6367,4233.0,4245.364,4095.4546
2413904.2749404907,4252.5757,4205.1816,4141.303,4398.879,4166.5454,4548.788,4382.909,4279.879,4465.3335,3743.091,4422.576,4234.5454,4247.4243,4099.5757
2413905.2352905273,4249.4854,4207.242,4142.3335,4397.3335,4168.606,4544.667,4373.1216,4280.394,4474.0913,3744.6365,4426.6973,4234.5454,4248.9697,4104.7275
2413908.3149433136,4255.152,4218.576,4147.485,4402.4854,4170.667,4542.0913,4372.091,4290.6973,4485.9395,3752.8792,4434.94,4240.7275,4255.667,4110.909
2413916.702270508,4259.788,4221.6665,4149.5454,4405.5757,4170.667,4545.182,4375.6973,4302.0303,4494.1816,3769.879,4443.6973,4250.515,4267.515,4119.667
