Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
590771.4667320251,4340.1514,4232.485,4136.152,4387.0303,4250.0,4523.5454,4395.788,4253.6064,4476.152,3741.0305,4387.0303,4171.182,4205.1816,4105.2427
590774.5568752289,4345.303,4238.152,4142.848,4394.758,4238.667,4525.091,4396.3037,4251.031,4474.0913,3743.091,4397.3335,4177.364,4212.909,4111.4243
590782.4463844299,4351.485,4241.7573,4148.0005,4400.9395,4253.6064,4526.1216,4396.8184,4248.9697,4463.273,3744.1213,4399.394,4188.6973,4221.6665,4114.515
590790.4782295227,4356.6367,4237.636,4152.6367,4406.6064,4270.6064,4526.1216,4397.3335,4251.546,4464.303,3742.576,4395.788,4187.667,4219.091,4113.485
590798.3422279358,4353.0303,4235.5757,4147.485,4405.0605,4269.0605,4525.606,4401.9697,4254.121,4468.4243,3738.97,4393.212,4176.3335,4212.909,4110.909
590806.4916133881,4345.303,4239.182,4138.727,4396.3037,4263.394,4525.091,4403.515,4253.6064,4466.364,3735.8792,4390.1216,4172.7275,4209.3027,4106.788
590813.43126297,4344.788,4240.7275,4140.273,4391.6665,4257.2124,4526.6367,4401.9697,4253.0913,4464.303,3731.7576,4383.4243,4175.303,4202.606,4101.121
590821.4066028595,4347.879,4239.182,4142.848,4394.2427,4255.667,4530.758,4403.0,4254.121,4466.364,3731.2427,4386.0005,4174.273,4201.576,4102.667
590829.3862342834,4348.394,4239.697,4140.7876,4397.3335,4256.697,4529.7275,4403.515,4255.152,4472.5454,3739.485,4394.758,4174.273,4212.3945,4109.879
590842.6840305328,4346.3335,4239.697,4142.3335,4398.3643,4252.5757,4526.1216,4405.0605,4253.6064,4476.667,3744.1213,4395.273,4176.3335,4219.606,4111.9395
590845.3567028046,4347.879,4240.2124,4143.879,4401.9697,4255.667,4534.879,4409.182,4252.0605,4477.182,3744.1213,4394.758,4176.3335,4217.0303,4109.879
590853.3132076263,4346.8486,4238.667,4141.8184,4403.0,4271.636,4544.667,4406.6064,4251.546,4479.758,3748.2424,4396.3037,4174.273,4216.5156,4110.394
590861.3753318787,4341.1816,4236.091,4140.273,4394.2427,4272.667,4536.9395,4401.4546,4248.9697,4479.758,3747.2122,4393.727,4174.273,4218.0605,4104.7275
