Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
379406.7590236664,4367.9697,4222.6973,4021.273,4464.819,4264.4243,4529.2124,4435.455,4298.4243,4492.6367,3767.3032,4509.6367,4236.091,4281.9395,4158.819
379416.8484210968,4363.3335,4223.2124,4018.697,4461.7275,4271.121,4527.152,4434.4243,4295.3335,4494.6973,3763.6973,4508.606,4237.636,4282.97,4159.3335
379418.7521934509,4354.5757,4213.9395,4007.3638,4450.909,4256.697,4525.091,4430.303,4286.0605,4486.4546,3758.5454,4498.8184,4229.909,4270.6064,4155.212
379435.01329421997,4349.4243,4207.242,3997.576,4440.606,4238.667,4525.606,4431.3335,4281.9395,4476.667,3754.9397,4491.0913,4218.576,4260.818,4148.5156
379443.18652153015,4360.2427,4217.0303,4004.2732,4446.7876,4259.273,4527.152,4433.9097,4287.606,4487.4854,3760.606,4493.152,4224.2427,4270.6064,4151.606
379444.0019130707,4371.576,4220.121,4009.4243,4455.0303,4279.364,4529.7275,4433.394,4289.152,4493.152,3762.667,4496.242,4235.0605,4275.758,4157.788
379450.336933136,4361.7876,4204.6665,3999.6365,4442.6665,4257.7275,4524.576,4432.364,4284.0,4482.3335,3753.9094,4492.6367,4230.9395,4267.0,4155.212
379458.0409526825,4354.0605,4201.576,3996.0305,4433.394,4240.2124,4516.334,4432.364,4288.636,4482.8486,3752.8792,4490.0605,4227.8486,4267.0,4150.576
379466.00675582886,4364.364,4217.0303,4009.4243,4455.0303,4265.4546,4524.576,4433.9097,4298.9395,4497.273,3764.7275,4497.788,4235.5757,4278.849,4154.182
379473.97208213806,4373.6367,4230.9395,4025.394,4481.8184,4286.0605,4534.364,4435.97,4304.091,4505.5156,3777.6064,4513.758,4242.788,4286.0605,4161.909
379481.9881916046,4371.061,4231.4546,4025.394,4477.6973,4272.667,4529.2124,4433.9097,4301.515,4502.9395,3775.0305,4511.6973,4239.182,4280.394,4159.3335
379488.96169662476,4362.303,4226.303,4013.0308,4464.303,4263.394,4527.152,4433.9097,4292.2427,4491.6064,3755.97,4490.0605,4227.3335,4268.031,4146.455
