Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
172124.591588974,4313.879,4250.0,4156.758,4480.273,4332.425,4530.2427,4169.636,4380.848,4524.576,3810.0608,4511.1816,4285.031,4351.485,4186.6367
172132.33351707458,4302.546,4242.273,4153.1514,4470.485,4319.546,4526.1216,4169.1216,4376.212,4512.727,3798.7273,4509.121,4281.4243,4345.303,4177.879
172140.71321487427,4298.9395,4239.182,4154.6973,4468.4243,4313.879,4525.606,4171.6973,4374.1514,4509.121,3794.091,4511.6973,4284.515,4346.3335,4173.2427
172158.67447853088,4299.9697,4237.636,4149.0303,4469.9697,4320.061,4525.091,4173.758,4371.061,4513.2427,3792.5457,4509.121,4280.394,4342.7275,4173.2427
172168.5676574707,4295.8486,4235.0605,4139.2427,4463.788,4318.0005,4524.0605,4173.2427,4367.9697,4508.0913,3786.879,4497.788,4268.031,4333.4546,4170.1514
172176.5193939209,4295.3335,4238.667,4142.848,4463.788,4310.788,4524.576,4174.273,4367.4546,4502.9395,3785.8486,4492.121,4265.4546,4332.425,4168.091
172180.46069145203,4303.576,4248.9697,4155.212,4476.152,4318.515,4527.667,4183.546,4368.485,4508.0913,3794.6062,4502.9395,4277.8184,4341.6973,4170.667
172181.39791488647,4310.2725,4254.121,4159.3335,4482.3335,4335.515,4531.788,4190.758,4371.576,4514.788,3802.8486,4515.303,4287.606,4350.4546,4175.8184
172187.23058700562,4310.2725,4252.0605,4155.212,4477.6973,4335.0,4530.758,4185.0913,4372.606,4514.788,3803.879,4514.788,4285.031,4350.9697,4175.303
172195.9445476532,4307.182,4251.031,4156.2427,4478.7275,4325.212,4526.1216,4175.303,4370.5454,4512.727,3800.2727,4510.6665,4281.4243,4346.8486,4173.758
172203.2494544983,4302.0303,4250.0,4156.758,4479.2427,4328.303,4524.0605,4172.7275,4369.5156,4511.1816,3795.6365,4512.2124,4281.9395,4345.8184,4172.2124
172211.5514278412,4299.9697,4250.0,4149.0303,4477.182,4326.7573,4524.576,4174.273,4369.0005,4508.0913,3789.4548,4508.606,4279.364,4344.273,4171.182
172221.39382362366,4300.485,4249.4854,4145.94,4479.758,4313.879,4526.1216,4177.879,4370.0303,4509.121,3787.9092,4498.3027,4278.849,4338.6064,4171.6973
172235.2020740509,4296.879,4240.7275,4146.455,4476.667,4315.425,4529.2124,4185.6064,4372.091,4511.1816,3789.97,4494.6973,4279.364,4337.0605,4169.1216
172235.31699180603,4292.758,4233.515,4142.3335,4464.819,4326.2427,4531.273,4189.7275,4369.5156,4508.0913,3786.3635,4495.2124,4275.758,4337.5757,4165.515
172242.30456352234,4295.3335,4240.2124,4140.7876,4462.7583,4328.303,4529.7275,4187.152,4365.9087,4506.5454,3786.879,4495.2124,4274.2124,4336.0303,4163.9697
172250.33903121948,4299.4546,4251.546,4148.0005,4474.6064,4330.879,4528.182,4186.121,4369.5156,4509.6367,3796.6667,4504.485,4280.394,4342.2124,4166.5454
172263.35048675537,4301.0,4245.364,4150.576,4474.6064,4328.303,4527.152,4187.152,4372.606,4510.6665,3799.7576,4513.2427,4280.9097,4347.879,4168.606
172266.21913909912,4298.9395,4238.667,4143.364,4463.788,4314.3936,4526.6367,4187.152,4370.0303,4508.0913,3793.0608,4509.6367,4272.152,4344.788,4171.182
172274.51086044312,4297.909,4250.515,4141.8184,4470.485,4322.636,4529.2124,4188.1816,4373.1216,4508.0913,3794.091,4509.121,4269.5757,4344.788,4170.667
172282.24277496338,4297.909,4253.6064,4142.848,4480.788,4342.7275,4529.7275,4187.152,4375.6973,4509.121,3795.6365,4512.727,4271.636,4346.8486,4166.0303
