Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
92176.34987831116,4263.9097,4216.0,4138.727,4404.0303,4218.576,4528.6973,4370.0303,4298.4243,4480.788,3756.4849,4428.2427,4248.9697,4262.364,4111.4243
92184.30924415588,4264.9395,4219.606,4139.758,4403.0,4226.303,4531.788,4375.6973,4299.9697,4480.788,3759.5757,4430.8184,4250.0,4262.879,4111.4243
92192.25263595581,4267.515,4220.6367,4141.8184,4405.5757,4235.0605,4531.273,4377.758,4306.667,4485.4243,3767.8184,4433.9097,4250.0,4264.9395,4119.667
92200.33431053162,4269.0605,4218.576,4147.485,4411.2427,4232.485,4528.6973,4371.576,4309.758,4495.2124,3772.9697,4436.485,4254.636,4271.636,4124.8184
92212.34488487244,4270.0913,4221.1514,4153.1514,4414.8486,4224.758,4530.2427,4371.061,4309.2427,4497.273,3771.4243,4437.5156,4261.8486,4276.788,4125.8486
92215.29793739319,4269.0605,4221.6665,4147.485,4410.7275,4220.121,4530.758,4373.1216,4308.212,4489.031,3765.2427,4435.455,4259.273,4272.667,4124.303
92223.34480285645,4258.7573,4217.0303,4138.2124,4405.0605,4220.121,4525.606,4367.9697,4304.091,4481.303,3758.5454,4430.8184,4251.031,4264.9395,4117.6064
92231.29224777222,4250.515,4214.9697,4139.2427,4403.515,4218.576,4526.1216,4370.5454,4300.485,4480.273,3757.0002,4425.667,4248.9697,4265.4546,4113.485
92239.30215835571,4257.7275,4216.5156,4141.8184,4404.0303,4218.576,4535.394,4379.8184,4300.485,4480.788,3757.5151,4424.6367,4251.031,4268.546,4114.515
92247.25770950317,4265.97,4217.0303,4140.273,4404.0303,4227.3335,4535.909,4376.727,4299.9697,4478.2124,3756.4849,4423.0913,4250.0,4264.9395,4114.515
92259.34910774231,4265.4546,4217.0303,4139.2427,4405.5757,4235.0605,4529.2124,4369.0005,4297.394,4476.152,3754.4243,4422.576,4250.0,4262.364,4112.4546
92263.32783699036,4261.8486,4218.0605,4139.2427,4408.667,4234.0303,4529.7275,4370.0303,4297.394,4477.182,3754.9397,4427.7275,4251.031,4264.9395,4112.9697
92271.36945724487,4257.7275,4218.576,4138.727,4409.6973,4233.0,4532.303,4371.061,4297.909,4478.7275,3759.0608,4432.879,4250.515,4266.485,4114.0
92279.32691574097,4258.7573,4218.576,4141.303,4409.6973,4231.9697,4529.7275,4370.0303,4297.394,4481.303,3763.6973,4433.394,4249.4854,4265.97,4112.9697
92286.18955612183,4260.818,4218.576,4141.8184,4410.2124,4228.364,4529.7275,4370.0303,4298.4243,4481.8184,3765.2427,4432.879,4245.364,4265.97,4112.4546
92294.2168712616,4255.667,4217.0303,4138.727,4407.6367,4229.909,4530.2427,4366.4243,4297.909,4478.2124,3763.6973,4431.3335,4239.697,4263.394,4109.364
92303.24578285217,4250.0,4217.5454,4138.2124,4404.546,4237.1216,4528.6973,4361.273,4297.909,4479.2427,3760.091,4429.273,4236.091,4258.2427,4102.667
92315.32907485962,4251.546,4215.485,4136.6665,4403.515,4237.636,4528.6973,4361.7876,4296.364,4478.7275,3757.5151,4427.2124,4235.5757,4255.667,4100.6064
92318.31002235413,4253.0913,4206.727,4132.031,4403.515,4235.0605,4528.6973,4362.8184,4290.182,4469.9697,3757.0002,4422.576,4237.1216,4253.6064,4101.636
92326.30395889282,4251.031,4205.6973,4132.5454,4403.515,4236.6064,4528.182,4362.303,4289.152,4466.8794,3755.97,4419.485,4235.5757,4251.031,4100.6064
92334.3596458435,4255.152,4215.485,4139.758,4403.515,4236.091,4528.182,4361.273,4295.8486,4471.0005,3754.9397,4422.576,4236.6064,4253.0913,4103.697
92346.30584716797,4262.879,4220.6367,4142.848,4407.121,4233.515,4527.667,4362.303,4297.909,4468.4243,3756.4849,4428.758,4244.3335,4259.788,4110.394
92350.3155708313,4263.394,4215.485,4138.2124,4407.6367,4235.0605,4525.606,4362.8184,4290.182,4463.273,3753.9094,4433.394,4244.3335,4262.364,4110.394
92358.28733444214,4256.697,4210.8486,4134.0913,4402.4854,4236.6064,4523.0303,4356.6367,4285.5454,4463.273,3749.7883,4431.8486,4236.091,4261.3335,4107.8184
