Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
2046691.3917064667,4285.031,4254.636,4185.6064,4449.364,4220.121,4527.667,4390.636,4302.0303,4499.3335,3772.4546,4448.334,4238.152,4298.9395,4137.6973
2046699.4054317474,4284.0,4253.6064,4179.9395,4443.6973,4223.2124,4530.758,4395.273,4301.0,4496.758,3776.5762,4449.364,4242.788,4302.0303,4140.273
2046707.3934078217,4282.4546,4252.0605,4175.303,4441.1216,4222.1816,4530.2427,4399.394,4303.061,4495.7275,3775.0305,4449.364,4245.879,4301.515,4138.727
2046715.4388427734,4281.9395,4250.515,4179.9395,4443.6973,4218.0605,4527.152,4395.788,4309.758,4495.7275,3773.4849,4447.303,4238.667,4297.909,4135.6367
2046723.373413086,4283.485,4251.031,4183.546,4448.334,4218.576,4529.2124,4392.697,4311.303,4496.758,3779.667,4447.819,4236.6064,4300.485,4131.0005
2046731.3525676727,4277.303,4252.0605,4176.8486,4447.303,4221.1514,4531.273,4393.727,4303.576,4499.3335,3776.5762,4446.7876,4236.6064,4298.4243,4124.303
2046739.34841156,4264.9395,4249.4854,4169.636,4439.576,4219.091,4526.6367,4393.727,4297.909,4490.576,3762.1519,4436.485,4222.1816,4285.031,4112.9697
2046748.4157085419,4263.9097,4247.9395,4168.091,4440.606,4221.6665,4527.667,4392.182,4297.394,4481.303,3758.5454,4429.788,4217.0303,4279.879,4107.8184
2046756.9329738617,4275.758,4249.4854,4170.667,4446.7876,4233.515,4540.031,4395.273,4299.4546,4489.546,3767.8184,4439.061,4231.9697,4291.2124,4117.6064
2046763.953447342,4282.4546,4254.636,4180.4546,4449.364,4238.667,4543.636,4403.0,4304.6064,4500.879,3777.6064,4447.303,4240.7275,4298.9395,4131.0005
2046770.4219818115,4286.0605,4261.8486,4188.6973,4449.8794,4234.0303,4533.8486,4404.546,4309.2427,4500.364,3784.8184,4448.8486,4243.818,4302.0303,4137.182
2046778.4621715546,4295.3335,4267.515,4191.788,4454.5156,4231.9697,4527.152,4397.8486,4305.6367,4495.7275,3786.879,4457.091,4251.546,4309.758,4140.7876
2046786.7641448975,4299.9697,4271.121,4196.424,4457.606,4234.0303,4529.2124,4393.212,4298.9395,4496.758,3782.7578,4463.273,4255.152,4309.758,4145.4243
2046794.3089008331,4291.2124,4263.9097,4195.394,4451.94,4234.0303,4529.7275,4391.6665,4296.879,4496.758,3774.5151,4454.0005,4251.546,4301.515,4143.879
2046804.0027618408,4283.485,4254.121,4186.121,4445.758,4229.909,4525.091,4388.061,4297.394,4489.546,3768.8486,4445.2427,4243.303,4297.394,4135.1216
2046810.3878498077,4284.515,4257.7275,4185.6064,4445.758,4229.394,4524.576,4388.5757,4299.4546,4488.0,3768.8486,4446.7876,4238.152,4297.394,4133.061
2046818.383216858,4286.0605,4261.8486,4190.242,4448.334,4233.0,4528.6973,4392.697,4302.0303,4495.2124,3771.4243,4449.364,4239.182,4298.4243,4137.6973
2046831.2990665436,4282.4546,4253.6064,4183.546,4441.6367,4226.8184,4528.6973,4393.212,4299.9697,4494.6973,3769.879,4443.6973,4238.667,4295.3335,4133.061
2046834.382534027,4272.152,4246.909,4172.7275,4431.3335,4217.5454,4525.606,4391.1514,4294.8184,4480.273,3762.667,4438.031,4233.0,4286.0605,4123.788
