Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
766746.0336685181,4392.697,4204.6665,4009.4243,4445.2427,4252.5757,4541.061,4396.3037,4278.3335,4480.273,3753.394,4448.334,4202.606,4254.121,4138.727
766754.421710968,4401.9697,4212.3945,4016.1213,4447.819,4248.4546,4539.0,4401.4546,4282.4546,4483.364,3757.0002,4455.0303,4206.727,4261.8486,4143.879
766762.0363235474,4416.394,4222.6973,4024.8787,4457.606,4257.7275,4542.0913,4398.879,4284.0,4486.97,3760.091,4464.819,4207.758,4272.152,4146.9697
766771.0416316986,4417.4243,4221.6665,4023.8486,4459.6665,4271.121,4544.667,4395.273,4281.4243,4479.758,3763.6973,4463.788,4206.727,4269.0605,4145.94
766783.1001281738,4409.6973,4220.121,4022.818,4456.061,4271.636,4543.636,4398.879,4281.4243,4484.394,3767.3032,4463.788,4208.7876,4267.515,4144.3945
766786.0193252563,4401.4546,4223.2124,4023.3335,4451.94,4267.0,4545.697,4404.546,4285.031,4493.152,3764.2124,4459.1514,4203.121,4268.546,4142.848
766794.141292572,4394.2427,4219.606,4012.5154,4447.819,4267.515,4547.2427,4402.4854,4283.485,4488.0,3759.5757,4448.334,4190.242,4257.2124,4138.2124
766806.1108589172,4396.3037,4217.0303,4010.9697,4452.9697,4269.5757,4546.2124,4395.788,4279.879,4489.546,3763.6973,4454.5156,4193.3335,4255.667,4136.6665
766809.6761703491,4405.0605,4230.4243,4023.8486,4463.788,4273.1816,4545.697,4395.788,4282.4546,4499.3335,3774.0,4466.364,4206.727,4268.031,4142.3335
766817.0640468597,4403.515,4237.1216,4029.0002,4465.8486,4273.1816,4547.2427,4403.0,4287.0913,4499.849,3777.6064,4464.819,4207.242,4270.6064,4145.4243
766825.0617980957,4392.697,4227.3335,4021.788,4459.1514,4270.6064,4548.273,4407.6367,4287.0913,4496.242,3771.4243,4461.7275,4201.0605,4265.4546,4142.3335
766833.046913147,4386.0005,4220.6367,4013.546,4452.455,4267.0,4545.697,4408.667,4281.4243,4493.667,3761.1213,4455.5454,4201.0605,4264.9395,4140.273
766841.1099910736,4380.848,4223.2124,4011.9998,4448.334,4262.879,4545.182,4409.182,4282.97,4490.576,3757.0002,4447.819,4202.0913,4265.4546,4140.273
766849.0562438965,4377.2427,4223.2124,4016.6365,4450.3945,4265.4546,4547.7573,4409.182,4290.6973,4492.6367,3764.2124,4455.5454,4203.121,4268.031,4142.848
766857.1829795837,4377.758,4220.6367,4020.2424,4452.455,4273.1816,4546.7275,4409.182,4289.667,4495.2124,3767.3032,4466.364,4204.152,4271.121,4143.879
766865.0879859924,4377.758,4222.6973,4015.6064,4450.3945,4269.5757,4542.0913,4401.9697,4284.0,4494.1816,3767.8184,4463.273,4204.152,4270.6064,4144.3945
766873.0475902557,4376.212,4222.6973,4010.9697,4450.909,4256.1816,4540.031,4391.1514,4284.0,4494.6973,3770.394,4457.606,4203.6367,4270.6064,4144.3945
766881.0865879059,4370.5454,4219.606,4007.8787,4448.8486,4257.7275,4543.636,4395.273,4285.5454,4494.1816,3767.3032,4452.9697,4194.879,4267.0,4141.303
766888.3054256439,4368.485,4218.576,4008.3943,4444.2124,4265.97,4544.667,4399.394,4279.879,4495.7275,3761.6362,4449.364,4188.1816,4257.7275,4138.727
766901.1354446411,4372.606,4219.091,4010.4548,4445.758,4262.879,4542.6064,4392.697,4270.6064,4494.1816,3761.1213,4448.8486,4190.758,4253.0913,4137.182
766905.3959846497,4372.606,4218.0605,4004.2732,4446.7876,4261.3335,4542.6064,4388.5757,4264.9395,4484.394,3754.4243,4446.7876,4189.2124,4250.515,4130.485
766912.1308326721,4370.5454,4216.0,3999.6365,4446.273,4268.546,4543.1216,4392.182,4267.515,4478.2124,3746.697,4444.727,4185.6064,4248.4546,4126.879
766921.0772514343,4375.182,4216.0,4003.2427,4445.758,4267.515,4541.061,4396.8184,4268.031,4479.2427,3744.1213,4444.727,4186.6367,4248.9697,4128.9395
766928.1589984894,4379.303,4216.0,4005.3032,4442.6665,4255.667,4542.6064,4399.394,4263.9097,4477.6973,3739.485,4443.182,4187.152,4248.4546,4129.4546
766936.0864162445,4384.4546,4217.0303,4005.818,4440.0913,4251.031,4545.697,4404.0303,4272.152,4478.2124,3741.5457,4445.2427,4190.758,4251.031,4134.0913
766944.1330432892,4395.273,4218.576,4015.0913,4449.364,4252.0605,4545.182,4411.2427,4289.667,4483.364,3755.97,4454.0005,4200.5454,4261.3335,4147.485
766952.0919322968,4403.515,4226.303,4027.4546,4463.273,4259.273,4549.303,4416.909,4301.0,4495.2124,3770.394,4465.8486,4213.9395,4277.8184,4158.303
766959.1743946075,4400.9395,4233.515,4027.9702,4462.2427,4261.8486,4556.515,4416.909,4304.091,4508.606,3778.1213,4474.0913,4220.6367,4285.031,4161.394
766967.1652317047,4392.697,4225.788,4015.6064,4451.4243,4258.7573,4555.4854,4413.303,4305.6367,4507.0605,3774.5151,4471.515,4211.364,4276.788,4153.6665
