Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
503229.79283332825,4245.879,4205.6973,4164.485,4431.8486,4234.0303,4526.6367,4442.6665,4299.4546,4492.121,3726.0913,4451.94,4213.4243,4272.152,4119.667
503238.01851272583,4256.1816,4205.1816,4171.182,4437.5156,4234.5454,4527.667,4445.2427,4303.576,4492.6367,3732.273,4463.273,4226.8184,4285.031,4130.485
503244.8904514313,4262.364,4207.758,4173.758,4438.031,4244.8486,4529.7275,4443.6973,4306.1514,4492.6367,3735.3638,4464.819,4235.0605,4288.121,4136.6665
503252.84814834595,4260.818,4211.879,4171.182,4435.97,4250.0,4528.6973,4445.758,4308.212,4493.152,3731.2427,4459.6665,4233.515,4284.515,4134.0913
503261.43527030945,4254.121,4209.3027,4167.5757,4437.5156,4240.7275,4528.182,4447.819,4313.364,4494.1816,3731.2427,4461.2124,4226.303,4284.0,4129.9697
503268.949508667,4251.546,4204.6665,4169.1216,4438.5454,4235.5757,4528.182,4447.303,4316.9697,4496.242,3734.3335,4463.788,4221.6665,4285.031,4129.4546
503277.13561058044,4253.6064,4201.0605,4168.606,4436.485,4237.636,4524.576,4445.2427,4317.4854,4499.849,3738.4548,4461.2124,4222.6973,4286.0605,4130.485
503284.9085330963,4252.0605,4207.758,4169.1216,4437.0005,4235.0605,4524.0605,4444.2124,4315.425,4498.8184,3740.0002,4460.182,4222.6973,4283.485,4129.4546
503293.25342178345,4253.6064,4220.121,4171.6973,4440.606,4238.667,4528.182,4443.6973,4312.8486,4496.242,3736.9094,4463.273,4221.6665,4284.0,4128.4243
503300.7688522339,4257.7275,4216.5156,4173.758,4441.6367,4248.4546,4528.6973,4442.6665,4311.8184,4497.788,3731.7576,4460.6978,4222.1816,4282.4546,4127.394
503310.99486351013,4254.121,4202.606,4169.636,4440.0913,4243.303,4526.1216,4441.1216,4305.6367,4490.576,3724.5457,4449.8794,4219.091,4272.152,4123.273
503316.930770874,4249.4854,4206.2124,4168.606,4440.606,4234.5454,4525.606,4438.5454,4297.909,4481.8184,3717.8486,4448.334,4216.0,4270.6064,4123.788
503323.8456249237,4255.152,4221.6665,4172.7275,4446.7876,4237.1216,4525.606,4439.576,4303.061,4489.546,3723.5154,4460.182,4222.1816,4284.0,4131.5156
503331.79569244385,4267.515,4223.7275,4173.758,4449.8794,4237.636,4526.6367,4443.6973,4316.9697,4500.364,3737.4246,4466.8794,4236.091,4292.758,4140.7876
503339.8344516754,4269.0605,4214.9697,4171.6973,4445.2427,4235.0605,4528.6973,4446.7876,4319.546,4497.273,3739.485,4465.3335,4236.091,4288.636,4142.3335
503347.86915779114,4259.273,4209.8184,4172.7275,4439.576,4237.1216,4528.182,4446.273,4315.94,4495.2124,3731.7576,4463.788,4222.1816,4283.485,4133.576
503355.8347225189,4258.2427,4214.9697,4172.7275,4440.0913,4237.636,4528.6973,4447.303,4313.364,4492.6367,3729.697,4460.6978,4223.7275,4281.9395,4124.8184
503363.86919021606,4266.485,4218.576,4173.2427,4440.0913,4238.152,4529.2124,4449.8794,4307.6973,4482.8486,3724.5457,4456.576,4233.0,4281.4243,4124.303
503371.8476295471,4268.031,4210.8486,4176.8486,4435.455,4240.7275,4528.6973,4446.7876,4304.6064,4479.758,3717.3335,4453.485,4231.9697,4281.9395,4129.9697
503378.9095878601,4264.9395,4209.3027,4176.3335,4433.394,4239.182,4528.6973,4448.334,4311.303,4488.0,3719.9092,4452.9697,4227.8486,4282.97,4134.606
503386.8489265442,4263.394,4217.0303,4173.2427,4438.031,4235.0605,4530.2427,4451.94,4313.879,4491.0913,3726.0913,4455.5454,4228.879,4282.4546,4133.061
503399.81341362,4265.4546,4218.576,4175.303,4442.152,4235.5757,4527.667,4447.303,4312.8486,4493.152,3731.7576,4458.6367,4232.485,4281.4243,4133.576
503402.7862548828,4268.031,4219.606,4180.9697,4446.7876,4235.0605,4525.606,4444.2124,4315.94,4504.485,3739.485,4467.909,4237.1216,4290.182,4140.273
503415.86327552795,4269.0605,4221.1514,4178.909,4449.8794,4234.5454,4527.152,4447.303,4315.425,4507.576,3741.0305,4477.182,4237.1216,4299.9697,4143.879
503418.8210964203,4262.879,4217.0303,4173.758,4448.8486,4241.7573,4527.667,4444.727,4311.303,4497.273,3734.3335,4471.0005,4234.0303,4294.303,4140.273
503427.0923137665,4255.152,4217.5454,4171.182,4447.303,4245.879,4528.6973,4442.152,4314.3936,4494.1816,3732.273,4462.7583,4234.5454,4285.5454,4137.182
503434.85379219055,4254.121,4219.091,4171.182,4443.6973,4237.1216,4528.182,4446.273,4314.909,4497.273,3732.7878,4463.273,4227.3335,4284.515,4133.061
503442.9864883423,4253.0913,4211.879,4170.667,4435.97,4235.5757,4529.7275,4448.8486,4311.303,4494.6973,3730.2124,4458.6367,4216.5156,4282.4546,4127.394
503451.1239528656,4251.031,4203.121,4170.1514,4432.364,4245.879,4534.879,4448.8486,4311.8184,4492.121,3723.5154,4450.3945,4217.0303,4277.8184,4123.788
503460.0284099579,4251.031,4204.6665,4169.636,4434.4243,4243.303,4533.3335,4449.8794,4314.3936,4495.7275,3721.9697,4458.6367,4221.1514,4279.879,4125.3335
503470.8790779114,4253.6064,4207.242,4170.667,4435.455,4237.636,4531.788,4448.8486,4313.879,4496.242,3728.1519,4465.8486,4221.6665,4284.0,4134.0913
503484.82847213745,4252.0605,4206.727,4171.6973,4434.4243,4247.4243,4537.4546,4445.758,4312.8486,4495.7275,3730.7273,4458.6367,4221.6665,4284.0,4139.2427
503485.910654068,4252.0605,4206.727,4171.6973,4435.97,4254.121,4541.5757,4446.7876,4311.303,4496.242,3728.6667,4454.5156,4223.2124,4283.485,4137.182
503494.53043937683,4257.2124,4207.242,4171.6973,4437.0005,4244.8486,4539.0,4448.8486,4313.364,4496.242,3732.7878,4456.061,4224.2427,4284.515,4139.2427
503507.75241851807,4258.2427,4206.727,4172.7275,4433.9097,4234.5454,4531.788,4445.758,4313.364,4495.7275,3734.3335,4451.94,4223.2124,4286.0605,4139.2427
503507.85422325134,4252.0605,4205.6973,4170.1514,4431.3335,4236.091,4530.2427,4443.6973,4304.091,4493.667,3725.576,4446.273,4220.121,4282.97,4128.9395
503520.9562778473,4246.909,4203.121,4165.515,4431.8486,4238.667,4536.9395,4445.758,4301.0,4492.121,3720.4243,4442.152,4214.455,4273.1816,4120.6973
503522.0971107483,4246.909,4202.606,4165.0005,4431.3335,4234.5454,4540.546,4446.273,4307.6973,4490.0605,3720.9395,4434.94,4207.242,4267.515,4121.2124
503530.17020225525,4250.0,4203.6367,4168.091,4429.788,4235.0605,4537.9697,4445.2427,4308.7275,4489.546,3718.879,4431.8486,4203.6367,4269.0605,4122.2427
503537.7507209778,4251.031,4201.576,4170.1514,4428.758,4243.303,4542.0913,4448.334,4307.182,4491.0913,3718.3638,4432.879,4208.273,4268.546,4122.2427
503550.78625679016,4250.0,4203.6367,4169.1216,4430.8184,4244.8486,4541.061,4448.8486,4309.758,4493.152,3725.061,4435.455,4214.455,4270.0913,4127.394
503553.74908447266,4255.152,4207.242,4170.667,4436.485,4234.5454,4532.8184,4446.273,4312.8486,4496.758,3730.7273,4444.2124,4221.1514,4279.879,4135.6367
503561.5885257721,4265.97,4205.1816,4170.667,4432.879,4230.9395,4536.4243,4448.334,4315.94,4501.3945,3733.3032,4449.8794,4228.879,4286.5757,4145.94
503568.8555240631,4271.121,4208.7876,4173.758,4428.2427,4240.2124,4543.636,4447.303,4318.0005,4500.879,3733.818,4448.8486,4228.364,4285.031,4151.606
503585.86502075195,4270.6064,4220.6367,4173.758,4441.6367,4247.4243,4539.515,4443.182,4312.8486,4496.758,3727.1216,4448.334,4224.2427,4284.0,4146.9697
503586.8227481842,4268.031,4221.6665,4171.6973,4450.909,4248.4546,4537.9697,4444.727,4310.788,4495.2124,3722.485,4444.727,4222.6973,4283.485,4141.8184
503593.15276145935,4264.4243,4216.0,4170.667,4441.6367,4250.515,4542.6064,4447.819,4314.909,4495.2124,3727.6365,4440.606,4220.121,4281.9395,4142.848
503600.80671310425,4268.031,4217.5454,4174.273,4437.0005,4253.0913,4544.152,4450.3945,4316.4546,4499.849,3732.273,4445.758,4224.2427,4288.636,4143.879
503610.96811294556,4268.031,4219.606,4172.7275,4440.0913,4250.515,4541.5757,4449.8794,4319.546,4507.576,3732.273,4451.94,4232.485,4297.394,4143.364
503620.8641529083,4255.667,4217.0303,4170.1514,4436.485,4247.9395,4542.6064,4449.364,4325.7275,4509.6367,3734.3335,4449.8794,4228.364,4297.909,4143.364
503623.8145828247,4250.0,4218.0605,4170.1514,4433.9097,4251.546,4545.697,4455.0303,4328.303,4508.606,3740.5154,4447.819,4222.6973,4296.364,4141.303
503631.7718029022,4255.152,4219.091,4169.636,4434.4243,4252.0605,4547.2427,4458.6367,4327.2725,4509.6367,3740.5154,4448.334,4228.879,4296.879,4140.273
503639.8105621338,4253.0913,4217.5454,4168.606,4432.364,4250.0,4547.2427,4455.5454,4332.425,4513.2427,3736.9094,4446.7876,4226.8184,4292.2427,4136.6665
503652.86231040955,4250.0,4217.0303,4170.1514,4431.3335,4250.0,4546.2124,4452.9697,4332.425,4510.152,3730.7273,4439.061,4217.5454,4284.0,4128.9395
503655.8222770691,4252.0605,4218.0605,4171.182,4431.3335,4248.4546,4544.152,4454.0005,4319.546,4499.849,3723.0005,4430.303,4217.0303,4274.2124,4123.788
503663.86461257935,4253.0913,4220.121,4169.636,4432.879,4245.364,4544.152,4450.909,4315.425,4499.3335,3724.0308,4428.2427,4219.091,4270.0913,4123.273
503676.3391494751,4258.2427,4221.6665,4172.2124,4438.5454,4248.4546,4547.2427,4452.455,4322.636,4509.121,3730.7273,4433.9097,4218.576,4278.3335,4128.9395
503680.8478832245,4268.031,4221.6665,4174.788,4440.606,4257.2124,4547.2427,4457.606,4322.636,4510.6665,3733.3032,4443.182,4224.2427,4285.5454,4139.2427
503694.84972953796,4271.121,4221.1514,4175.8184,4438.031,4257.7275,4543.1216,4452.9697,4322.636,4506.5454,3735.3638,4450.3945,4231.9697,4289.667,4143.879
503695.8122253418,4267.515,4228.364,4173.758,4443.182,4252.5757,4542.0913,4447.303,4327.2725,4510.6665,3736.9094,4451.94,4235.0605,4297.909,4144.3945
503702.752828598,4269.0605,4235.0605,4173.758,4450.3945,4252.5757,4544.667,4449.364,4322.1216,4509.6367,3734.3335,4451.94,4236.6064,4299.4546,4145.4243
503711.2808227539,4266.485,4226.303,4172.7275,4442.152,4246.909,4537.4546,4448.334,4313.364,4498.3027,3731.7576,4450.3945,4232.485,4287.606,4140.273
503718.8594341278,4255.667,4216.5156,4171.6973,4430.8184,4237.636,4530.2427,4446.273,4316.4546,4494.6973,3730.2124,4448.334,4227.8486,4281.9395,4135.6367
503727.04124450684,4252.5757,4218.576,4169.1216,4437.0005,4244.3335,4537.4546,4449.8794,4323.1514,4503.455,3729.1821,4451.94,4231.4546,4289.152,4140.273
503734.8699569702,4261.3335,4221.6665,4170.667,4447.303,4256.697,4545.697,4453.485,4323.667,4509.121,3736.3943,4453.485,4238.152,4294.8184,4143.364
