Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
39956.39777183533,4319.0303,4269.5757,4205.1816,4462.2427,4303.061,4561.152,4403.515,4347.364,4526.6367,3716.3032,4481.303,4251.031,4314.909,4176.3335
39964.4455909729,4311.8184,4265.4546,4200.5454,4454.5156,4297.909,4559.6064,4407.121,4349.9395,4527.667,3716.3032,4478.7275,4246.394,4313.364,4171.182
39972.65577316284,4314.909,4265.97,4202.0913,4458.1216,4300.485,4566.303,4411.2427,4355.606,4528.6973,3721.9697,4486.4546,4250.515,4315.425,4176.8486
39980.38840293884,4321.091,4269.5757,4205.1816,4465.8486,4313.879,4568.364,4406.091,4351.485,4530.2427,3727.1216,4493.152,4253.6064,4319.0303,4187.152
39988.65365982056,4316.9697,4265.97,4203.6367,4455.5454,4304.6064,4556.515,4396.3037,4338.091,4526.1216,3718.879,4481.8184,4250.0,4314.909,4178.909
39995.37897109985,4310.788,4259.788,4200.5454,4448.334,4286.5757,4551.364,4395.273,4337.5757,4524.576,3714.2427,4473.576,4248.4546,4311.8184,4170.667
40003.68690490723,4314.909,4262.879,4203.121,4456.061,4298.4243,4561.667,4403.0,4352.0,4529.2124,3724.0308,4486.97,4252.0605,4318.515,4182.0
40011.44051551819,4319.546,4269.0605,4206.2124,4462.2427,4314.909,4568.879,4410.7275,4358.182,4531.788,3727.1216,4492.6367,4253.6064,4321.091,4191.273
40019.78850364685,4316.4546,4269.0605,4204.6665,4459.1514,4305.6367,4564.2427,4409.6973,4350.4546,4529.2124,3716.8184,4480.788,4248.9697,4313.364,4183.546
40027.36592292786,4316.9697,4268.031,4203.6367,4458.1216,4295.3335,4559.6064,4403.0,4339.121,4523.0303,3711.1519,4477.6973,4248.9697,4310.2725,4177.364
40043.45464706421,4320.5757,4268.546,4204.6665,4459.6665,4301.515,4559.6064,4401.9697,4335.0,4514.788,3712.6973,4480.788,4252.5757,4310.788,4178.909
