Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
1850464.4498825073,4256.1816,4217.0303,4080.5154,4433.9097,4255.667,4574.546,4393.212,4284.515,4494.6973,3761.1213,4469.4546,4183.0303,4267.0,4136.6665
1850472.595691681,4247.4243,4213.9395,4076.9092,4429.273,4251.031,4570.4243,4391.6665,4282.97,4494.6973,3759.5757,4466.8794,4186.121,4265.4546,4140.7876
1850480.3273677826,4236.6064,4216.5156,4079.4854,4429.273,4250.0,4562.182,4392.182,4285.5454,4494.6973,3757.5151,4463.273,4187.667,4267.515,4141.8184
1850488.4519577026,4234.5454,4222.6973,4088.2424,4433.9097,4252.5757,4563.2124,4392.697,4288.636,4495.7275,3758.5454,4467.909,4192.3027,4270.6064,4146.455
1850496.3834285736,4231.9697,4219.091,4084.6365,4434.94,4249.4854,4561.667,4387.5454,4284.515,4492.6367,3755.97,4466.8794,4185.6064,4264.9395,4142.848
1850504.3783187866,4223.2124,4207.758,4074.8486,4430.303,4243.303,4558.0605,4384.9697,4281.9395,4492.6367,3751.3335,4462.2427,4175.8184,4260.818,4137.182
1850512.312412262,4221.1514,4206.727,4077.4243,4429.273,4246.909,4562.182,4390.1216,4290.182,4498.3027,3757.0002,4463.788,4182.515,4267.515,4139.758
1850519.5953845978,4218.576,4218.576,4083.0908,4434.4243,4250.515,4563.2124,4392.697,4295.8486,4499.3335,3765.2427,4469.9697,4191.273,4271.636,4143.879
1850532.3901176453,4205.6973,4221.6665,4078.9697,4433.394,4246.909,4559.6064,4389.606,4289.152,4498.3027,3761.1213,4473.061,4188.1816,4270.0913,4143.364
1850536.2884998322,4201.0605,4210.8486,4075.8787,4430.303,4247.9395,4559.6064,4384.4546,4283.485,4498.3027,3752.8792,4467.909,4187.152,4267.515,4140.273
1850558.364868164,4205.6973,4203.6367,4076.9092,4430.303,4251.031,4559.6064,4378.7876,4280.394,4489.031,3749.273,4461.2124,4183.0303,4260.303,4132.031
1850560.3520870209,4205.1816,4212.909,4077.4243,4432.879,4252.0605,4559.0913,4380.333,4279.879,4480.788,3747.7273,4461.2124,4178.394,4252.0605,4128.9395
1850560.4457855225,4206.727,4219.606,4078.9697,4432.364,4253.0913,4562.697,4387.0303,4281.9395,4479.758,3743.6062,4459.1514,4183.0303,4253.0913,4131.5156
