Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
426519.76203918457,4256.697,4239.182,4154.6973,4411.2427,4180.9697,4522.5156,4379.303,4314.909,4471.0005,3776.0608,4430.303,4217.0303,4231.9697,4107.303
426528.9134979248,4260.818,4247.9395,4161.394,4422.061,4190.242,4525.606,4379.303,4313.879,4477.6973,3784.303,4437.0005,4218.576,4236.6064,4108.8486
426535.7789993286,4269.5757,4252.5757,4172.7275,4431.8486,4207.242,4528.182,4379.303,4315.94,4481.8184,3788.9397,4447.819,4228.879,4246.909,4114.0
426543.8425540924,4265.97,4250.515,4168.606,4426.6973,4206.2124,4526.6367,4381.8794,4314.3936,4475.6367,3787.9092,4449.364,4228.364,4249.4854,4112.9697
426552.4685382843,4257.2124,4246.394,4157.273,4421.546,4199.5156,4524.576,4383.4243,4313.364,4472.5454,3785.8486,4446.7876,4219.606,4246.394,4109.879
426559.9081516266,4262.364,4248.4546,4160.364,4428.758,4202.0913,4526.1216,4384.9697,4318.0005,4479.2427,3785.8486,4449.8794,4228.364,4251.031,4118.1216
426567.8639411926,4267.515,4251.546,4169.1216,4432.364,4202.606,4527.152,4386.515,4324.697,4482.3335,3791.0002,4452.455,4239.182,4254.121,4127.909
426574.8224258423,4266.485,4250.515,4172.7275,4429.273,4194.3633,4527.667,4386.515,4331.394,4480.788,3794.091,4452.455,4234.5454,4254.121,4127.394
426583.8861465454,4268.546,4251.546,4169.636,4432.364,4190.242,4527.667,4387.0303,4331.394,4481.8184,3789.97,4452.9697,4235.0605,4255.667,4126.879
426590.7926559448,4265.4546,4247.9395,4159.8486,4430.8184,4189.2124,4517.879,4383.94,4322.636,4478.7275,3784.303,4446.7876,4236.6064,4248.9697,4123.273
426598.7796783447,4256.697,4239.182,4152.6367,4420.515,4184.0605,4508.606,4376.727,4315.425,4467.909,3778.1213,4435.455,4223.7275,4234.5454,4111.4243
426611.7193698883,4254.121,4239.697,4154.182,4416.909,4184.576,4518.3945,4378.2725,4315.425,4467.394,3772.9697,4431.3335,4216.5156,4231.4546,4107.303
426622.78962135315,4257.7275,4242.273,4157.788,4418.4546,4194.3633,4529.2124,4388.061,4315.94,4469.9697,3773.4849,4432.364,4220.6367,4239.182,4109.879
426623.7895488739,4256.697,4237.1216,4156.758,4416.909,4195.909,4524.576,4386.0005,4312.8486,4465.8486,3774.0,4432.364,4220.121,4230.4243,4106.788
426630.73539733887,4256.697,4237.636,4157.788,4417.4243,4188.6973,4520.9697,4377.758,4311.8184,4461.2124,3769.3638,4431.8486,4217.5454,4205.6973,4106.273
426638.799905777,4258.2427,4239.697,4159.8486,4419.485,4187.667,4523.0303,4379.303,4313.364,4463.788,3767.3032,4433.394,4219.606,4203.6367,4109.879
426647.29261398315,4259.788,4237.636,4158.819,4420.0,4189.2124,4524.576,4384.4546,4316.9697,4467.909,3771.9395,4438.031,4221.6665,4220.6367,4111.4243
426653.8155078888,4263.9097,4243.303,4161.909,4423.0913,4188.6973,4526.6367,4385.485,4324.182,4471.0005,3777.6064,4446.273,4221.6665,4226.8184,4116.5757
426661.744594574,4264.4243,4251.546,4168.606,4428.758,4189.7275,4527.152,4384.4546,4325.7275,4471.0005,3778.1213,4448.8486,4222.6973,4225.273,4121.2124
426674.86000061035,4263.9097,4251.031,4167.061,4428.2427,4191.273,4528.182,4384.4546,4319.546,4468.4243,3779.1516,4442.6665,4222.6973,4228.364,4121.7275
426677.9475212097,4263.9097,4247.4243,4160.364,4426.182,4188.1816,4523.5454,4384.4546,4315.94,4466.364,3779.667,4435.97,4221.1514,4224.2427,4119.667
426685.78577041626,4256.1816,4242.788,4156.758,4424.1216,4185.6064,4516.8486,4380.333,4314.909,4463.788,3770.9092,4432.364,4218.576,4217.0303,4112.4546
426695.61100006104,4251.546,4238.152,4153.1514,4420.0,4187.152,4520.455,4376.212,4309.2427,4460.6978,3764.7275,4431.8486,4215.485,4217.5454,4105.758
426707.39555358887,4250.0,4236.091,4150.576,4413.8184,4189.2124,4527.152,4375.6973,4307.182,4460.182,3767.8184,4429.273,4208.7876,4213.4243,4105.2427
426716.92156791687,4250.0,4235.5757,4146.9697,4408.667,4189.2124,4524.576,4376.727,4311.8184,4462.2427,3769.879,4426.6973,4203.121,4208.7876,4107.303
426718.031167984,4250.0,4234.0303,4144.909,4409.182,4188.6973,4516.334,4378.2725,4314.3936,4462.7583,3769.3638,4430.8184,4208.7876,4214.9697,4108.3335
426724.7750759125,4251.031,4234.0303,4148.5156,4408.667,4187.667,4512.727,4381.364,4314.3936,4465.3335,3769.879,4432.879,4218.576,4221.1514,4109.364
426733.32834243774,4251.031,4236.091,4155.727,4410.2124,4183.546,4518.3945,4384.4546,4318.0005,4473.576,3776.5762,4435.455,4221.1514,4224.758,4114.0
426747.01499938965,4252.5757,4236.6064,4156.758,4414.3335,4186.6367,4528.182,4387.5454,4326.7573,4482.3335,3784.8184,4445.2427,4220.121,4234.5454,4119.152
