Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
1746041.3091182709,4135.1216,4230.9395,4077.9392,4431.3335,4266.485,4574.546,4403.515,4299.9697,4506.031,3759.0608,4464.303,4220.121,4276.273,4138.727
1746050.620317459,4127.909,4230.4243,4076.9092,4425.152,4264.4243,4574.546,4402.4854,4296.879,4498.8184,3755.4546,4463.788,4216.0,4277.303,4132.5454
1746058.5417747498,4132.5454,4233.515,4077.9392,4425.667,4265.4546,4574.546,4401.4546,4297.909,4496.242,3756.4849,4462.2427,4218.0605,4276.273,4131.5156
1746067.343711853,4141.8184,4236.091,4077.4243,4431.3335,4263.394,4572.4854,4402.4854,4299.4546,4500.879,3761.6362,4461.2124,4219.091,4269.0605,4139.2427
1746073.5127925873,4142.848,4236.091,4080.0002,4432.364,4265.97,4571.97,4401.9697,4299.4546,4501.9097,3761.6362,4462.7583,4219.606,4270.6064,4141.303
1746080.4116725922,4135.1216,4235.0605,4085.667,4432.879,4276.788,4573.0,4401.9697,4300.485,4498.3027,3759.5757,4465.3335,4222.6973,4282.4546,4140.273
1746089.0707969666,4128.4243,4234.0303,4084.1213,4433.9097,4275.758,4571.97,4402.4854,4299.4546,4496.242,3755.97,4465.3335,4221.1514,4282.4546,4140.273
1746109.2669963837,4127.394,4233.515,4081.0303,4434.4243,4267.0,4571.4546,4400.9395,4295.8486,4496.242,3751.3335,4463.788,4219.606,4270.6064,4139.2427
1746109.5039844513,4123.273,4238.152,4087.7275,4434.94,4268.031,4574.031,4406.091,4296.364,4495.7275,3752.3638,4461.7275,4221.6665,4267.515,4139.2427
1746112.7121448517,4113.485,4238.667,4091.8486,4435.97,4270.6064,4574.546,4410.2124,4299.4546,4493.152,3755.4546,4461.2124,4223.2124,4270.0913,4140.7876
1746124.7837543488,4104.212,4235.5757,4087.212,4435.97,4264.4243,4574.031,4402.4854,4303.576,4495.2124,3755.4546,4461.7275,4222.1816,4271.121,4140.7876
1746128.3538341522,4092.8792,4237.1216,4084.1213,4435.455,4257.2124,4574.031,4402.4854,4310.788,4498.3027,3755.97,4462.2427,4222.1816,4274.7275,4142.3335
1746135.2500915527,4079.4854,4236.6064,4083.6064,4433.394,4253.0913,4573.515,4410.7275,4309.2427,4497.788,3758.0305,4463.273,4222.6973,4277.303,4142.848
1746143.369436264,4072.788,4232.485,4080.5154,4432.364,4253.6064,4572.4854,4405.5757,4300.485,4495.2124,3755.4546,4463.273,4222.1816,4273.697,4140.7876
1746151.356458664,4072.2727,4234.5454,4077.9392,4434.4243,4258.2427,4572.4854,4398.3643,4297.909,4493.667,3754.4243,4464.303,4220.6367,4268.546,4139.2427
1746159.9640846252,4073.818,4236.091,4078.9697,4433.9097,4263.9097,4572.4854,4403.515,4300.485,4494.6973,3754.9397,4458.1216,4220.121,4269.5757,4138.727
1746168.2832241058,4073.3032,4233.0,4080.0002,4430.8184,4265.4546,4572.4854,4402.4854,4299.4546,4494.6973,3749.273,4450.3945,4219.606,4268.546,4137.182
1746175.3935813904,4077.9392,4234.0303,4079.4854,4430.8184,4262.364,4571.97,4396.3037,4296.879,4494.6973,3748.758,4455.5454,4219.606,4266.485,4139.2427
1746183.3436489105,4096.4854,4231.9697,4078.9697,4432.879,4259.273,4572.4854,4398.879,4296.364,4494.6973,3755.4546,4465.3335,4219.091,4272.152,4141.8184
1746191.3640499115,4116.5757,4227.3335,4078.4548,4432.879,4260.303,4572.4854,4401.4546,4299.4546,4495.7275,3758.5454,4465.8486,4221.1514,4280.9097,4141.303
1746203.305721283,4123.273,4231.4546,4077.9392,4434.94,4262.364,4569.9097,4400.9395,4300.485,4496.758,3757.5151,4462.2427,4223.2124,4282.97,4142.3335
1746208.3852291107,4128.9395,4237.1216,4077.9392,4434.94,4255.667,4568.364,4404.546,4298.9395,4496.758,3756.4849,4464.303,4222.6973,4279.364,4144.3945
1746214.3485546112,4137.182,4234.5454,4078.9697,4430.8184,4250.0,4570.4243,4409.6973,4303.576,4499.849,3757.5151,4463.788,4221.1514,4277.8184,4142.3335
1746227.3499965668,4136.152,4232.485,4078.9697,4430.8184,4262.879,4574.546,4410.7275,4312.8486,4506.5454,3763.1821,4461.2124,4221.1514,4279.879,4144.3945
1746230.2701473236,4128.9395,4235.0605,4080.0002,4432.879,4273.697,4576.6064,4410.2124,4314.3936,4510.6665,3769.879,4468.4243,4221.6665,4282.4546,4151.606
1746238.5416030884,4127.909,4236.091,4084.6365,4435.97,4268.546,4577.121,4409.182,4312.8486,4512.2124,3777.091,4479.2427,4228.879,4289.667,4155.212
1746246.3567256927,4131.0005,4237.1216,4087.7275,4445.2427,4265.97,4577.636,4408.152,4314.909,4515.8184,3784.303,4482.8486,4237.1216,4297.394,4156.758
1746254.369020462,4134.606,4236.6064,4088.2424,4450.909,4268.546,4577.636,4409.182,4317.4854,4517.364,3784.303,4483.364,4237.636,4300.485,4157.788
1746266.3683891296,4135.1216,4235.5757,4087.212,4443.182,4264.9395,4577.121,4409.6973,4314.909,4513.758,3778.1213,4485.9395,4233.515,4297.909,4155.212
1746271.315574646,4133.576,4236.091,4081.546,4437.0005,4264.4243,4577.121,4404.0303,4307.6973,4512.727,3772.4546,4480.788,4227.8486,4289.667,4151.606
1746278.3875465393,4135.6367,4235.5757,4079.4854,4442.6665,4263.394,4577.636,4398.879,4299.9697,4509.6367,3769.879,4476.667,4222.1816,4281.9395,4148.0005
1746285.2835655212,4141.303,4235.5757,4087.212,4447.303,4259.788,4577.121,4399.394,4298.9395,4503.455,3770.9092,4478.7275,4222.6973,4282.97,4149.5454
1746293.3020591736,4142.848,4235.5757,4088.2424,4442.152,4265.97,4575.0605,4398.879,4299.9697,4497.273,3766.273,4473.576,4224.758,4285.5454,4153.6665
1746301.3694286346,4139.2427,4236.6064,4077.9392,4432.879,4263.394,4573.0,4396.3037,4298.9395,4493.667,3755.4546,4463.788,4221.6665,4279.364,4149.0303
1746318.3028697968,4131.5156,4233.0,4075.8787,4431.8486,4257.7275,4573.515,4400.425,4297.909,4494.6973,3755.4546,4462.2427,4221.6665,4281.4243,4141.303
1746330.3830623627,4126.364,4224.2427,4078.4548,4433.9097,4265.97,4577.121,4406.091,4301.0,4497.788,3762.667,4464.303,4223.2124,4285.5454,4140.273
1746332.3431015015,4126.364,4220.6367,4073.3032,4428.2427,4270.6064,4577.121,4405.5757,4303.061,4496.242,3763.6973,4462.7583,4219.091,4275.242,4139.758
1746333.3683013916,4124.303,4222.1816,4068.1516,4426.6973,4262.879,4575.5757,4402.4854,4300.485,4492.6367,3758.5454,4462.7583,4215.485,4271.121,4137.6973
1746341.2988185883,4125.3335,4223.7275,4071.2427,4432.364,4265.4546,4576.0913,4399.394,4298.4243,4494.1816,3755.97,4464.303,4218.576,4281.4243,4140.7876
1746349.7593402863,4134.606,4222.1816,4075.8787,4432.364,4267.515,4576.6064,4397.8486,4301.0,4496.758,3762.1519,4465.3335,4222.1816,4284.515,4142.3335
1746356.6699028015,4146.9697,4221.1514,4077.9392,4433.9097,4256.1816,4576.0913,4398.3643,4301.515,4496.242,3770.394,4467.394,4220.6367,4279.879,4141.303
1746364.3715381622,4153.6665,4223.7275,4078.4548,4439.576,4255.152,4575.5757,4400.9395,4297.909,4496.242,3772.4546,4470.485,4220.121,4284.0,4142.848
1746372.8411197662,4153.6665,4220.121,4073.818,4428.2427,4260.818,4577.636,4405.0605,4299.9697,4498.8184,3772.9697,4469.4546,4222.6973,4287.606,4145.4243
1746380.2886009216,4149.5454,4209.8184,4068.1516,4414.8486,4254.636,4579.182,4405.0605,4302.0303,4499.3335,3773.4849,4464.303,4221.6665,4282.4546,4143.879
1746389.6753787994,4148.5156,4214.9697,4070.2122,4425.152,4248.9697,4577.636,4399.909,4294.8184,4495.7275,3767.8184,4458.6367,4218.0605,4273.1816,4138.2124
1746396.2848186493,4155.727,4229.394,4077.4243,4436.485,4259.788,4575.5757,4396.3037,4288.121,4491.0913,3756.4849,4455.0303,4219.091,4267.515,4136.152
1746404.3645858765,4160.364,4228.879,4081.0303,4435.455,4266.485,4573.515,4399.909,4289.152,4486.97,3747.2122,4451.4243,4221.6665,4266.485,4137.182
1746417.3703193665,4158.819,4227.8486,4078.4548,4441.6367,4261.3335,4572.4854,4400.425,4293.273,4483.364,3744.1213,4446.273,4221.6665,4262.364,4138.727
