Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
1023707.1855068207,4252.0605,4172.7275,4023.3335,4445.758,4219.606,4540.546,4387.0303,4180.4546,4460.6978,3719.9092,4438.5454,4191.788,4226.303,4129.9697
1023710.2329730988,4252.5757,4173.758,4021.273,4448.334,4223.7275,4542.6064,4388.5757,4189.2124,4466.8794,3724.5457,4438.031,4185.0913,4219.606,4123.788
1023718.3771133423,4251.546,4172.7275,4020.7576,4449.8794,4230.9395,4539.515,4390.636,4185.0913,4467.394,3734.8484,4446.7876,4187.152,4224.758,4127.394
1023726.1643409729,4253.6064,4173.758,4021.273,4447.819,4234.0303,4543.636,4394.2427,4183.546,4463.788,3733.3032,4448.8486,4189.2124,4233.0,4130.485
1023733.2246303558,4252.0605,4175.303,4021.788,4447.819,4234.5454,4542.6064,4394.758,4188.1816,4465.3335,3728.6667,4447.303,4190.758,4235.5757,4131.0005
1023742.2471046448,4239.697,4173.758,4016.6365,4447.819,4231.9697,4530.2427,4390.636,4178.909,4465.3335,3729.697,4443.6973,4188.6973,4229.909,4127.909
1023749.3841648102,4234.0303,4174.273,4013.546,4447.303,4231.9697,4529.7275,4389.606,4173.2427,4463.788,3730.2124,4441.6367,4185.0913,4227.3335,4124.8184
1023762.1123790741,4235.5757,4176.3335,4018.182,4447.819,4236.6064,4539.0,4391.1514,4183.0303,4464.303,3731.2427,4445.2427,4186.6367,4234.5454,4127.394
1023766.1511898041,4219.091,4174.273,4017.1519,4445.758,4233.515,4540.031,4387.5454,4182.0,4463.273,3728.6667,4444.727,4188.6973,4232.485,4127.909
1023774.1219997406,4206.2124,4172.2124,4014.0608,4448.334,4235.5757,4537.9697,4384.4546,4171.6973,4462.7583,3726.6062,4440.0913,4186.121,4225.788,4124.303
1023781.1675071716,4216.0,4173.758,4020.2424,4452.455,4251.546,4545.182,4389.606,4174.273,4464.819,3732.7878,4439.576,4186.6367,4227.3335,4126.364
1023796.1792945862,4214.9697,4175.303,4023.8486,4449.364,4257.7275,4549.303,4395.788,4179.9395,4466.364,3735.3638,4435.455,4189.2124,4229.394,4128.4243
1023797.0645427704,4204.6665,4176.3335,4022.818,4449.364,4248.9697,4545.182,4392.182,4173.2427,4463.273,3731.2427,4434.4243,4187.152,4228.364,4125.3335
1023810.1069927216,4211.364,4178.394,4030.5457,4461.2124,4245.364,4544.152,4390.1216,4174.273,4465.3335,3731.7576,4445.758,4191.273,4233.515,4128.9395
1023813.125371933,4213.9395,4178.909,4034.6667,4462.7583,4247.4243,4545.182,4397.8486,4185.6064,4474.6064,3733.3032,4450.3945,4199.0,4237.1216,4135.6367
1023822.3462104797,4205.1816,4177.364,4026.9397,4452.9697,4247.9395,4544.667,4401.9697,4185.6064,4473.061,3729.697,4446.273,4195.394,4237.1216,4131.5156
1023829.1571140289,4203.121,4175.303,4022.818,4451.94,4248.4546,4545.697,4399.909,4177.879,4466.364,3728.1519,4445.2427,4187.152,4231.9697,4125.3335
1023836.0979557037,4199.0,4174.273,4022.818,4456.576,4248.4546,4549.303,4401.4546,4174.273,4465.3335,3728.6667,4442.6665,4187.667,4221.6665,4124.303
1023844.1054821014,4189.2124,4182.0,4021.273,4458.6367,4250.0,4547.7573,4399.394,4172.7275,4466.364,3727.6365,4441.6367,4188.6973,4223.2124,4124.303
1023852.1127700806,4186.6367,4188.6973,4022.303,4461.7275,4252.5757,4547.2427,4396.3037,4173.758,4465.3335,3730.7273,4446.273,4186.6367,4235.5757,4124.303
1023864.099740982,4182.515,4180.4546,4024.3635,4462.7583,4249.4854,4555.4854,4400.9395,4177.364,4470.485,3733.818,4447.819,4188.6973,4237.636,4125.8486
1023868.1356906891,4175.8184,4172.2124,4023.3335,4463.273,4250.515,4560.121,4402.4854,4178.394,4476.667,3734.3335,4448.334,4189.2124,4234.5454,4126.879
1023876.1146068573,4171.6973,4173.758,4021.788,4457.091,4253.0913,4552.9097,4398.879,4180.4546,4474.0913,3729.697,4449.364,4187.152,4236.091,4124.8184
1023888.3352279663,4168.606,4172.2124,4020.7576,4450.909,4242.273,4549.303,4400.9395,4185.6064,4474.0913,3727.6365,4447.819,4187.667,4235.5757,4122.2427
1023891.6149139404,4174.273,4168.606,4022.303,4456.576,4241.2427,4555.4854,4407.121,4188.1816,4480.273,3735.8792,4446.7876,4188.6973,4235.0605,4127.394
1023905.5459499359,4193.3335,4177.879,4029.0002,4465.8486,4260.818,4559.6064,4408.667,4189.7275,4482.8486,3742.0608,4454.5156,4194.3633,4241.2427,4137.182
1023912.1088981628,4208.273,4189.7275,4037.7573,4469.4546,4271.636,4559.6064,4407.6367,4190.242,4481.8184,3741.5457,4464.819,4203.6367,4250.515,4142.848
1023915.235042572,4207.758,4189.2124,4035.182,4469.9697,4266.485,4559.0913,4405.5757,4187.152,4482.3335,3741.5457,4466.8794,4206.2124,4255.152,4140.273
1023923.4364032745,4205.1816,4180.9697,4025.394,4466.8794,4261.3335,4557.546,4404.546,4187.667,4483.364,3739.485,4462.7583,4199.5156,4247.4243,4132.5454
1023931.1406612396,4200.031,4174.273,4024.3635,4461.7275,4257.7275,4556.0,4403.0,4189.2124,4480.273,3735.8792,4460.6978,4196.424,4242.273,4129.4546
1023942.02709198,4194.879,4174.273,4031.5757,4462.7583,4253.0913,4555.4854,4400.425,4186.121,4479.2427,3738.4548,4458.6367,4197.97,4247.4243,4134.0913
1023949.8600959778,4196.424,4176.3335,4033.1213,4464.303,4253.6064,4555.4854,4399.909,4184.0605,4478.2124,3739.485,4450.909,4192.8184,4243.818,4133.576
1023955.5113315582,4201.0605,4172.7275,4027.4546,4461.2124,4251.546,4557.546,4399.909,4185.6064,4477.182,3733.818,4445.758,4190.758,4234.0303,4127.394
1023973.1187820435,4208.7876,4174.788,4031.5757,4464.303,4250.0,4560.121,4405.5757,4188.1816,4477.6973,3734.3335,4454.0005,4200.031,4241.2427,4133.576
1023974.0808010101,4220.121,4187.152,4044.97,4470.485,4253.0913,4560.121,4411.758,4189.7275,4479.2427,3737.9397,4462.7583,4207.242,4256.1816,4142.3335
1023978.086233139,4223.2124,4190.242,4048.5757,4468.94,4252.0605,4557.546,4406.091,4190.242,4478.7275,3737.4246,4460.6978,4205.1816,4255.152,4140.273
1023986.0768318176,4220.121,4186.121,4042.9094,4466.364,4253.0913,4556.0,4400.425,4186.6367,4477.6973,3738.97,4462.2427,4206.2124,4251.031,4140.273
1023995.1756000519,4220.6367,4179.9395,4036.2124,4460.6978,4252.5757,4558.5757,4408.152,4187.152,4479.758,3743.091,4459.1514,4203.121,4251.031,4141.8184
