Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
2765490.3893470764,4260.303,4228.364,4144.909,4416.909,4214.9697,4534.879,4390.636,4284.515,4490.576,3743.6062,4425.152,4253.0913,4246.394,4111.9395
2765498.1315135956,4256.1816,4221.1514,4140.273,4412.788,4206.727,4526.6367,4386.515,4282.97,4492.121,3744.6365,4421.031,4251.031,4246.394,4108.3335
2765514.1427516937,4259.788,4233.0,4141.8184,4416.909,4202.0913,4530.2427,4389.091,4281.9395,4494.1816,3751.3335,4427.2124,4251.546,4250.515,4110.909
2765515.0690078735,4256.697,4229.909,4144.909,4418.9697,4210.334,4531.273,4387.0303,4291.7275,4495.2124,3758.0305,4432.364,4252.5757,4252.0605,4114.0
2765529.4539928436,4251.031,4218.576,4149.5454,4415.364,4218.0605,4525.091,4379.303,4299.9697,4503.97,3759.5757,4435.455,4257.7275,4253.0913,4116.0605
2765530.0941467285,4259.788,4227.3335,4155.212,4420.515,4217.5454,4525.091,4378.2725,4296.879,4513.2427,3765.2427,4444.2124,4265.97,4261.8486,4122.2427
2765538.138151169,4268.546,4240.7275,4157.273,4430.8184,4220.121,4528.6973,4385.485,4296.364,4511.6973,3771.9395,4451.4243,4269.5757,4268.546,4122.758
2765545.1385974884,4260.303,4233.515,4149.5454,4427.7275,4225.273,4531.788,4389.091,4297.909,4510.6665,3765.7578,4444.2124,4260.818,4259.788,4115.0303
2765553.138256073,4251.031,4224.2427,4141.303,4417.9395,4224.758,4531.788,4390.1216,4297.909,4509.121,3757.0002,4431.8486,4251.546,4251.031,4107.8184
2765569.2007541656,4251.031,4222.6973,4139.758,4416.394,4220.6367,4529.7275,4393.212,4294.8184,4499.3335,3753.394,4428.758,4248.9697,4251.031,4102.667
2765571.1562633514,4252.5757,4221.1514,4141.303,4417.4243,4220.6367,4533.3335,4393.727,4287.606,4494.1816,3750.8186,4431.8486,4250.515,4250.515,4104.212
